index	sample
0	['CNhs11722']
1	['CNhs10745']
2	['CNhs11742']
3	['CNhs11858']
4	['CNhs13054']
5	['CNhs11277']
6	['CNhs11882']
7	['CNhs11876']
8	['CNhs11745']
9	['CNhs11752']
10	['CNhs11746']
11	['CNhs11747']
12	['CNhs11716']
13	['CNhs11748']
14	['CNhs11749']
15	['CNhs11261']
16	['CNhs11253']
17	['CNhs11250', 'CNhs12334', 'CNhs12335', 'CNhs12336']
18	['CNhs13502']
19	['CNhs13241']
20	['CNhs13052']
21	['CNhs10753']
22	['CNhs11886']
23	['CNhs11185', 'CNhs11248']
24	['CNhs13053']
25	['CNhs11740']
26	['CNhs14140']
27	['CNhs11867']
28	['CNhs11881']
29	['CNhs11100']
30	['CNhs11870']
31	['CNhs11862']
32	['CNhs11830']
33	['CNhs10727']
34	['CNhs10743']
35	['CNhs11877']
36	['CNhs14238']
37	['CNhs11271']
38	['CNhs11868']
39	['CNhs11285']
40	['CNhs11274']
41	['CNhs10751']
42	['CNhs13049']
43	['CNhs11873']
44	['CNhs11943']
45	['CNhs11275']
46	['CNhs10736']
47	['CNhs11289']
48	['CNhs11859']
49	['CNhs11865']
50	['CNhs13065', 'CNhs14376']
51	['CNhs13066']
52	['CNhs13067']
53	['CNhs13068']
54	['CNhs13069']
55	['CNhs13070']
56	['CNhs11263']
57	['CNhs13072']
58	['CNhs13073']
59	['CNhs11729']
60	['CNhs11259']
61	['CNhs12838']
62	['CNhs11737']
63	['CNhs11819']
64	['CNhs11888']
65	['CNhs11935']
66	['CNhs11264']
67	['CNhs11843']
68	['CNhs12839']
69	['CNhs11845']
70	['CNhs11282']
71	['CNhs11284']
72	['CNhs11818']
73	['CNhs11878']
74	['CNhs12193']
75	['CNhs11834']
76	['CNhs13063']
77	['CNhs13062']
78	['CNhs13064']
79	['CNhs13061']
80	['CNhs11840']
81	['CNhs14245']
82	['CNhs12806']
83	['CNhs14138']
84	['CNhs14244']
85	['CNhs12809']
86	['CNhs11884']
87	['CNhs10738']
88	['CNhs12351']
89	['CNhs12362']
90	['CNhs11726']
91	['CNhs11811']
92	['CNhs11864']
93	['CNhs11821']
94	['CNhs13074']
95	['CNhs13050']
96	['CNhs13435']
97	['CNhs13051']
98	['CNhs11286']
99	['CNhs14556']
100	['CNhs10724']
101	['CNhs13058', 'CNhs11051', 'CNhs11969']
102	['CNhs11054', 'CNhs12067', 'CNhs12068']
103	['CNhs12069']
104	['CNhs12494', 'CNhs11371', 'CNhs12017']
105	['CNhs10615']
106	['CNhs13972', 'CNhs13973', 'CNhs13974', 'CNhs13975']
107	['CNhs11893']
108	['CNhs11793']
109	['CNhs11279']
110	['CNhs11251']
111	['CNhs11838']
112	['CNhs11325', 'CNhs12084', 'CNhs12119']
113	['CNhs11341', 'CNhs12098', 'CNhs12125']
114	['CNhs12502', 'CNhs12503', 'CNhs12379']
115	['CNhs13793', 'CNhs12311']
116	['CNhs14078']
117	['CNhs11889']
118	['CNhs10876', 'CNhs12064']
119	['CNhs11760']
120	['CNhs12842']
121	['CNhs10740']
122	['CNhs11725']
123	['CNhs12843']
124	['CNhs11321', 'CNhs12081', 'CNhs12117']
125	['CNhs10864', 'CNhs11960', 'CNhs12005']
126	['CNhs10742', 'CNhs10744']
127	['CNhs11932']
128	['CNhs12546', 'CNhs12563', 'CNhs12575']
129	['CNhs11265']
130	['CNhs10616']
131	['CNhs11761']
132	['CNhs10748']
133	['CNhs11931']
134	['CNhs12845']
135	['CNhs11796', 'CNhs10617']
136	['CNhs11797']
137	['CNhs11792']
138	['CNhs11327', 'CNhs12085', 'CNhs12623', 'CNhs12054', 'CNhs12058', 'CNhs12062', 'CNhs12642']
139	['CNhs11268']
140	['CNhs11846']
141	['CNhs12341', 'CNhs12350', 'CNhs12571']
142	['CNhs13802', 'CNhs12321', 'CNhs14232']
143	['CNhs10752']
144	['CNhs14071']
145	['CNhs12552']
146	['CNhs12545']
147	['CNhs13229', 'CNhs13207', 'CNhs13548']
148	['CNhs10858', 'CNhs11897', 'CNhs11904']
149	['CNhs10852', 'CNhs11954', 'CNhs11997']
150	['CNhs13224', 'CNhs13216', 'CNhs13540']
151	['CNhs13541', 'CNhs13208', 'CNhs13549']
