motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	7	22	1.1402665793505355	0.0018998100189981002	chr9	21994352.0	21994466.0	antisense	0.14085734283714485	0.8512205084898328	0.1
KLF13	1	19	1.0760216770225686	9.999000099990002e-05	chr9	21994352.0	21994466.0	sense	0.051894810518948106	1.2848760694284047	0.1
CTCF	4	23	0.975279510734933	0.000999900009999	chr9	21994352.0	21994466.0	antisense	0.12973702629737027	0.8869360607563672	0.1
YY1	8	20	0.9073716937709645	0.00029997000299970003	chr9	21994352.0	21994466.0	antisense	0.07784221577842217	1.1087848103727236	0.1
SP3	3	14	0.8934760963044176	0.0030996900309969004	chr9	21994352.0	21994466.0	sense	0.20109239076092392	0.6966043625860757	0.1
SP2	6	21	0.8767686926228117	0.0051994800519948	chr9	21994352.0	21994466.0	sense	0.24532092245320922	0.6102654109518307	0.1
KLF14	2	16	0.8558360236965551	0.0012998700129987	chr9	21994352.0	21994466.0	sense	0.13492650734926506	0.8699027214575868	0.1
YY2	7	18	0.8514460050172671	0.0005999400059994001	chr9	21994352.0	21994466.0	sense	0.10378962103789621	0.9838460737644236	0.1
Hes1	8	18	0.7910749271293814	0.07329267073292671	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
BARHL2	11	21	0.7661281444740708	0.0057994200579942	chr9	21994352.0	21994466.0	antisense	0.25082491750824915	0.6006293219130924	0.1
SP1	3	14	0.7373237180132368	0.0015998400159984002	chr9	21994352.0	21994466.0	sense	0.13838616138386162	0.8589073371561237	0.1
MAFF	3	21	0.7185983192518749	0.0230976902309769	chr9	21994352.0	21994466.0	sense	0.3499573119611116	0.45598492796514617	0.1
KLF16	3	14	0.7176359607423275	0.003999600039996	chr9	21994352.0	21994466.0	sense	0.20757924207579243	0.6828160781004424	0.1
Gfi1	9	19	0.7105257655261984	0.011398860113988602	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
SP8	3	15	0.6799157966805626	0.013598640135986401	chr9	21994352.0	21994466.0	sense	0.2823077692230777	0.5492771697302249	0.1
EGR4	4	20	0.6795833657200119	0.026197380261973803	chr9	21994352.0	21994466.0	sense	0.3499573119611116	0.45598492796514617	0.1
KLF5	3	13	0.6443071422531985	0.003999600039996	chr9	21994352.0	21994466.0	sense	0.20757924207579243	0.6828160781004424	0.1
Klf12	2	17	0.6439446725094103	0.008799120087991202	chr9	21994352.0	21994466.0	sense	0.2823077692230777	0.5492771697302249	0.1
HIC2	6	15	0.6412557024350216	0.0197980201979802	chr9	21994352.0	21994466.0	sense	0.34250574942505746	0.46533213388653616	0.1
EGR1	3	17	0.634703095903247	0.031296870312968704	chr9	21994352.0	21994466.0	sense	0.3825733705699197	0.4172852627902399	0.1
SPIC	5	19	0.6294868434492751	0.0471952804719528	chr9	21994352.0	21994466.0	antisense	0.44481266159098376	0.351822859059018	0.1
MEF2C	8	23	0.6279363414137863	0.0362963703629637	chr9	21994352.0	21994466.0	antisense	0.40685531446855316	0.39056000674396635	0.1
ZNF263	2	23	0.62443249184357	0.09829017098290171	chr9	21994352.0	21994466.0	antisense	0.4763202251203451	0.3221009774393295	0.1
THAP1	6	15	0.6232219785658165	0.073992600739926	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
ZIC4	5	20	0.6212711353862997	0.0418958104189581	chr9	21994352.0	21994466.0	sense	0.41809592625643094	0.37872406400417	0.1
Rhox11	6	23	0.6165920468979295	0.07779222077792221	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
GSC2	3	13	0.6060718031718275	0.059494050594940506	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Gfi1b	7	18	0.6039274438201553	0.009599040095990401	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
Barhl1	10	20	0.601631415169361	0.08849115088491151	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
Alx4	7	24	0.5956545799605278	0.06929307069293071	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Hic1	6	15	0.5954005029918942	0.0182981701829817	chr9	21994352.0	21994466.0	sense	0.33916965446312514	0.4695830110401945	0.1
Nfe2l2	2	17	0.5901427492701221	0.017698230176982303	chr9	21994352.0	21994466.0	antisense	0.33916965446312514	0.4695830110401945	0.1
MAFK	4	19	0.5891633114226529	0.0316968303169683	chr9	21994352.0	21994466.0	sense	0.3825733705699197	0.4172852627902399	0.1
HOXA10	13	24	0.5864887655868668	0.06979302069793021	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
NFIX	5	14	0.5824029941161746	0.042695730426957304	chr9	21994352.0	21994466.0	sense	0.41809592625643094	0.37872406400417	0.1
Hes2	6	19	0.5806680750332689	0.1601839816018398	chr9	21994352.0	21994466.0	antisense	0.51321738991745	0.28969863636329074	0.1
Dmbx1	5	22	0.5719006752456415	0.08959104089591041	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Gmeb1	3	20	0.5614023251544544	0.3788621137886211	chr9	21994352.0	21994466.0	sense	0.5711312202113122	0.24326409899316379	0.1
Alx1	7	24	0.560143540842037	0.08739126087391261	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
FIGLA	8	18	0.5501092994330508	0.026297370262973702	chr9	21994352.0	21994466.0	sense	0.3499573119611116	0.45598492796514617	0.1
ZBTB7C	6	18	0.5491298596308573	0.09269073092690731	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Bach1::Mafk	1	16	0.5466548157840935	0.0124987501249875	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
PLAG1	10	24	0.5411182619420225	0.012698730126987301	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
SPI1	4	18	0.5393184768917495	0.012798720127987202	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
Arid5a	5	19	0.5335630865066407	0.16848315168483152	chr9	21994352.0	21994466.0	antisense	0.517079892010799	0.28644235056393585	0.1
E2F3	2	20	0.5288035559327238	0.013598640135986401	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
GATA1::TAL1	1	19	0.528721216731788	0.09409059094090591	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
NFIA	14	24	0.5231723501793935	0.015498450154984501	chr9	21994352.0	21994466.0	antisense	0.3093729088629599	0.5095177192289313	0.1
Hnf4a	8	24	0.5214837629615513	0.010998900109989001	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
Sox3	9	19	0.516636583593765	0.022797720227977204	chr9	21994352.0	21994466.0	sense	0.3499573119611116	0.45598492796514617	0.1
NRF1	5	16	0.5157111575547687	0.025697430256974303	chr9	21994352.0	21994466.0	antisense	0.3499573119611116	0.45598492796514617	0.1
EMX1	10	20	0.5105054700522449	0.12938706129387062	chr9	21994352.0	21994466.0	antisense	0.501777028179535	0.2994892249728457	0.1
ZIC1	5	19	0.5101204524689292	0.0221977802219778	chr9	21994352.0	21994466.0	sense	0.3499573119611116	0.45598492796514617	0.1
Nr2f6	10	24	0.5084665581233685	0.020897910208979104	chr9	21994352.0	21994466.0	antisense	0.3498714644664566	0.45609147715162346	0.1
GCM1	6	17	0.5027847094841722	0.030296970302969704	chr9	21994352.0	21994466.0	antisense	0.3825733705699197	0.4172852627902399	0.1
RARA::RXRA	6	23	0.5025577114741397	0.08389161083891611	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
SOX10	14	20	0.5019940983873273	0.0240975902409759	chr9	21994352.0	21994466.0	sense	0.3499573119611116	0.45598492796514617	0.1
SOX9	9	18	0.5009468024521953	0.056694330566943306	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Zfx	5	19	0.5004054168033814	0.09859014098590141	chr9	21994352.0	21994466.0	sense	0.4763202251203451	0.3221009774393295	0.1
Sox6	9	19	0.49860118377197693	0.0193980601939806	chr9	21994352.0	21994466.0	sense	0.34250574942505746	0.46533213388653616	0.1
RORA(var.2)	5	19	0.4975659280218033	0.024997500249975	chr9	21994352.0	21994466.0	antisense	0.3499573119611116	0.45598492796514617	0.1
Nr5a2	8	23	0.49701925961358856	0.06189381061893811	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
ZBTB7A	5	17	0.49407219107462574	0.071992800719928	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Mafb	7	19	0.4937708942941805	0.07889211078892111	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
GLI2	6	18	0.4936835940052389	0.047995200479952004	chr9	21994352.0	21994466.0	sense	0.44481266159098376	0.351822859059018	0.1
LBX2	11	21	0.49301573816797534	0.16878312168783122	chr9	21994352.0	21994466.0	sense	0.517079892010799	0.28644235056393585	0.1
EGR3	4	19	0.4883496225101532	0.0385961403859614	chr9	21994352.0	21994466.0	sense	0.40685531446855316	0.39056000674396635	0.1
MZF1(var.2)	4	14	0.4870072602188791	0.0953904609539046	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
RXRG	10	24	0.48554202355362996	0.009799020097990201	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
HINFP	6	18	0.48449769201280707	0.06619338066193381	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
Klf4	6	16	0.48257688597649384	0.03849615038496151	chr9	21994352.0	21994466.0	antisense	0.40685531446855316	0.39056000674396635	0.1
Rxra	10	24	0.4823291806508213	0.009599040095990401	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
E2F2	3	19	0.4821163399218804	0.011398860113988602	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
GSC	3	13	0.48114672135661707	0.0837916208379162	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
NFIC	16	22	0.4806390266640325	0.0347965203479652	chr9	21994352.0	21994466.0	sense	0.40685531446855316	0.39056000674396635	0.1
SCRT1	7	22	0.4756391211803526	0.0374962503749625	chr9	21994352.0	21994466.0	antisense	0.40685531446855316	0.39056000674396635	0.1
JUN(var.2)	4	18	0.47523036986189976	0.07079292070792921	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
NRL	3	14	0.4750124911733188	0.1860813918608139	chr9	21994352.0	21994466.0	sense	0.517079892010799	0.28644235056393585	0.1
Hoxa11	12	24	0.4735649873045147	0.08999100089991001	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
RXRB	10	24	0.4719296622616814	0.010298970102989701	chr9	21994352.0	21994466.0	antisense	0.2823077692230777	0.5492771697302249	0.1
E2F1	2	14	0.47172144723505954	0.05979402059794021	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
ISL2	11	19	0.4715990267292682	0.08589141085891411	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
Hoxd8	6	23	0.46459776977303524	0.2465753424657534	chr9	21994352.0	21994466.0	antisense	0.517079892010799	0.28644235056393585	0.1
E2F4	1	12	0.46300943780785225	0.0613938606139386	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
NFAT5	14	24	0.4602293115498458	0.10228977102289771	chr9	21994352.0	21994466.0	sense	0.4763202251203451	0.3221009774393295	0.1
PAX5	3	22	0.45651284592597285	0.23267673232676733	chr9	21994352.0	21994466.0	antisense	0.517079892010799	0.28644235056393585	0.1
E2F6	4	15	0.45498262029250125	0.06179382061793821	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
GCM2	7	17	0.4521410762048021	0.0750924907509249	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
HOXC11	13	24	0.4465618791665816	0.05579442055794421	chr9	21994352.0	21994466.0	antisense	0.4760350887988124	0.3223610340230901	0.1
NFATC2	15	22	0.4452297647820363	0.0413958604139586	chr9	21994352.0	21994466.0	sense	0.41809592625643094	0.37872406400417	0.1
Tcfl5	1	11	0.44448944639953547	0.3605639436056394	chr9	21994352.0	21994466.0	sense	0.5611415119615635	0.2509276019987828	0.1
RAX	11	21	0.4437744362309211	0.11178882111788821	chr9	21994352.0	21994466.0	antisense	0.49168134034054223	0.3083162731841257	0.1
Pax6	3	17	0.4428525685962291	0.11398860113988601	chr9	21994352.0	21994466.0	sense	0.493000699930007	0.30715246413955705	0.1
NFATC3	14	24	0.44030314143341115	0.17568243175682433	chr9	21994352.0	21994466.0	sense	0.517079892010799	0.28644235056393585	0.1
Hoxc9	11	24	0.4374472655874847	0.10218978102189781	chr9	21994352.0	21994466.0	antisense	0.4763202251203451	0.3221009774393295	0.1
NFATC1	14	24	0.43651797852224766	0.2156784321567843	chr9	21994352.0	21994466.0	sense	0.517079892010799	0.28644235056393585	0.1
Dlx1	10	20	0.4351973948516423	0.26447355264473554	chr9	21994352.0	21994466.0	antisense	0.5219693784046252	0.2823549743540229	0.1
ZNF740	7	17	0.4331023398250573	0.06729327067293271	chr9	21994352.0	21994466.0	sense	0.4760350887988124	0.3223610340230901	0.1
