motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ETV5	22	32	2.5577184500854804	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ETV4	22	32	2.4243984350281997	9.999000099990002e-05	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ETV1	22	32	2.410633978503212	9.999000099990002e-05	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
Stat4	24	38	2.32520875682824	0.00029997000299970003	chr12	54362420.0	54362534.0	sense	0.008193917450360227	2.086508415661571	0.05
ELF5	22	33	2.2958230939726336	0.00029997000299970003	chr12	54362420.0	54362534.0	antisense	0.008193917450360227	2.086508415661571	0.05
ERG	22	32	2.287361936914971	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
FEV	22	32	2.2728675066616124	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ELK3	22	32	2.2509745749000993	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ETS1	22	32	2.2009869079367173	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ETV2	22	33	2.181367633278042	9.999000099990002e-05	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ETV3	22	32	2.1759925131800157	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
FLI1	22	32	2.1181363487383584	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ELK4	21	32	2.0645425411775524	0.00019998000199980003	chr12	54362420.0	54362534.0	sense	0.006919308069193081	2.159937332820105	0.05
STAT3	23	34	1.992923450536928	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
Gabpa	20	31	1.9884540544419669	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ERF	22	32	1.9509731058227848	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
ELK1	22	32	1.930051345836095	0.00019998000199980003	chr12	54362420.0	54362534.0	antisense	0.006919308069193081	2.159937332820105	0.05
HSF4	25	38	1.9156818398994757	0.0007999200079992001	chr12	54362420.0	54362534.0	sense	0.01596763400583019	1.7967594304072791	0.05
NFATC1	22	32	1.8764098369154227	0.0013998600139986002	chr12	54362420.0	54362534.0	sense	0.025052667147078395	1.6011460316491228	0.05
EHF	22	34	1.7955424642731168	0.0004999500049995	chr12	54362420.0	54362534.0	antisense	0.011794275117942751	1.9283287459145924	0.05
STAT1	23	34	1.7567244771403483	0.00039996000399960006	chr12	54362420.0	54362534.0	antisense	0.010378962103789623	1.9838460737644235	0.05
