motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Nfe2l2	23	38	10.43019832922587	9.999000099990002e-05	chr7	130794716.0	130794830.0	sense	0.018798120187981205	1.7258855780131828	0.05
NRL	31	42	5.272488457338563	0.007599240075992401	chr7	130794716.0	130794830.0	antisense	0.08929107089291072	1.0491919683883162	0.05
RUNX1	27	38	5.04114849395325	0.004299570042995701	chr7	130794716.0	130794830.0	antisense	0.08715492087154922	1.0597080870734714	0.05
MAFF	26	44	4.984266492222959	0.006799320067993201	chr7	130794716.0	130794830.0	sense	0.0889777688897777	1.0507184883497889	0.05
MAFK	27	42	4.929705161136561	0.0032996700329967	chr7	130794716.0	130794830.0	sense	0.08715492087154922	1.0597080870734714	0.05
FOSL2	25	36	4.489820000714537	0.0010998900109989002	chr7	130794716.0	130794830.0	sense	0.04887511248875112	1.3109122300423648	0.05
JUNB	25	36	4.4603089026953295	0.0012998700129987	chr7	130794716.0	130794830.0	sense	0.04887511248875112	1.3109122300423648	0.05
FOSL1	26	37	4.451436630028629	0.0004999500049995	chr7	130794716.0	130794830.0	antisense	0.046995300469953004	1.3279455693411453	0.05
Hes1	29	39	4.323721666173757	0.1282871712828717	chr7	130794716.0	130794830.0	sense	0.5352685070476004	0.2714283079294641	0.05
JUN(var.2)	27	41	4.064118749828886	0.007099290070992901	chr7	130794716.0	130794830.0	antisense	0.0889777688897777	1.0507184883497889	0.05
XBP1	26	40	3.937943878876539	0.0057994200579942	chr7	130794716.0	130794830.0	antisense	0.08820656395898871	1.0544990953092526	0.05
HLF	26	38	3.8801985137739643	0.0098990100989901	chr7	130794716.0	130794830.0	sense	0.1094714058005964	0.9606993047939069	0.05
JUND	26	37	3.8670766487921826	0.0010998900109989002	chr7	130794716.0	130794830.0	antisense	0.04887511248875112	1.3109122300423648	0.05
Tcf12	31	42	3.7766176899446955	0.005099490050994901	chr7	130794716.0	130794830.0	sense	0.08715492087154922	1.0597080870734714	0.05
NFE2	26	37	3.7523564542208785	0.0016998300169983002	chr7	130794716.0	130794830.0	sense	0.05326134053261341	1.2735879070185525	0.05
FOS	26	37	3.6535640640724325	0.004999500049995001	chr7	130794716.0	130794830.0	antisense	0.08715492087154922	1.0597080870734714	0.05
TFAP4	31	41	3.5164957240929855	0.004399560043995601	chr7	130794716.0	130794830.0	sense	0.08715492087154922	1.0597080870734714	0.05
MNX1	23	33	3.429972944835286	0.037396260373962605	chr7	130794716.0	130794830.0	antisense	0.2603887759372211	0.58437773997169	0.05
TBX2	28	39	3.2501174498462504	0.0496950304969503	chr7	130794716.0	130794830.0	antisense	0.32082125120821253	0.4937368717570145	0.05
DBP	26	38	3.2152255425497347	0.013498650134986502	chr7	130794716.0	130794830.0	sense	0.14098590140985903	0.8508243146214827	0.05
CREB3	27	41	3.183506888504177	0.016998300169983	chr7	130794716.0	130794830.0	sense	0.15217525866460974	0.8176559513688282	0.05
NFIX	26	35	3.168082218216358	0.063993600639936	chr7	130794716.0	130794830.0	antisense	0.353846968244352	0.45118452107155077	0.05
