motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	38	53	2.81219338808563	9.999000099990002e-05	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
HOXA10	36	47	2.307994421994258	0.00019998000199980003	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
CDX1	37	46	2.1948278940350905	0.00029997000299970003	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
Hoxd9	37	47	1.9635967314498042	0.0007999200079992001	chr11	65190189.0	65190303.0	sense	0.027677232276772323	1.5578773414921425	0.05
TCF7L2	36	50	1.7695134358091889	0.0006999300069993001	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
HLTF	40	50	1.738138436803436	0.00029997000299970003	chr11	65190189.0	65190303.0	antisense	0.025947405259474053	1.585906065092386	0.05
Barhl1	39	49	1.7307415589273556	0.0018998100189981002	chr11	65190189.0	65190303.0	sense	0.049300069993000704	1.307152464139557	0.05
HOXA13	37	47	1.7044154517577534	0.0005999400059994001	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
CDX2	35	46	1.685422214267674	0.00019998000199980003	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
HOXD13	37	47	1.6507206228945337	0.0004999500049995	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
MNX1	36	46	1.6199057579549263	0.0006999300069993001	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
HOXB13	37	47	1.612185964043603	0.0004999500049995	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
Rhox11	32	49	1.5974033119882893	0.0029997000299970002	chr11	65190189.0	65190303.0	sense	0.06768888328558448	1.1694826507263354	0.05
Hoxa11	36	48	1.5288390226352266	0.00039996000399960006	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
GSX2	36	46	1.4426955131034624	0.026097390260973904	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
HOXC11	36	47	1.3847478876147825	0.00029997000299970003	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
Hoxd3	34	50	1.3466891601570405	0.014098590140985901	chr11	65190189.0	65190303.0	antisense	0.16203889815100123	0.7903807186393197	0.05
GSX1	36	46	1.344528717969178	0.0316968303169683	chr11	65190189.0	65190303.0	sense	0.18419806371011252	0.7347149394183955	0.05
HOXC10	37	47	1.3368448630005412	0.0008999100089991	chr11	65190189.0	65190303.0	sense	0.029190830916908307	1.5347535426450047	0.05
BARHL2	39	49	1.3281266979571051	0.0034996500349965005	chr11	65190189.0	65190303.0	sense	0.07567993200679933	1.1210192667897352	0.05
ISL2	40	48	1.32095450369584	0.0024997500249975004	chr11	65190189.0	65190303.0	antisense	0.05897137558971376	1.2293587415785734	0.05
Nr2e1	42	51	1.3151493743476856	0.0012998700129987	chr11	65190189.0	65190303.0	sense	0.0396842668674309	1.401381638499842	0.05
Gata4	35	46	1.273831404129557	0.0014998500149985001	chr11	65190189.0	65190303.0	antisense	0.04096958725180114	1.3875384113255524	0.05
IRF1	31	52	1.270879622860603	0.011198880111988802	chr11	65190189.0	65190303.0	antisense	0.16201306698598433	0.7904499565002719	0.05
HOXC12	36	47	1.263571624016424	0.0005999400059994001	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
Hoxd8	35	52	1.2426207081555942	0.032296770322967704	chr11	65190189.0	65190303.0	antisense	0.18419806371011252	0.7347149394183955	0.05
Hmx3	33	50	1.2092780919528883	0.028897110288971104	chr11	65190189.0	65190303.0	sense	0.18289756390214637	0.7377920790555736	0.05
HOXD11	37	47	1.196162290848318	0.0013998600139986002	chr11	65190189.0	65190303.0	sense	0.04036263040362631	1.3940205388534728	0.05
Hmx2	33	50	1.180118264075857	0.0268973102689731	chr11	65190189.0	65190303.0	sense	0.1767051142986967	0.7527508807164383	0.05
Arid3a	40	46	1.1753870238788413	0.0005999400059994001	chr11	65190189.0	65190303.0	sense	0.025947405259474053	1.585906065092386	0.05
ALX3	36	46	1.1598055271459293	0.0390960903909609	chr11	65190189.0	65190303.0	sense	0.196998746727269	0.7055365367377102	0.05
ESX1	36	46	1.1538829424622832	0.0364963503649635	chr11	65190189.0	65190303.0	sense	0.19097290270972903	0.7190282507548872	0.05
Hmx1	33	50	1.1461263032821056	0.0341965803419658	chr11	65190189.0	65190303.0	sense	0.1899243065384183	0.7214194506395557	0.05
Prrx2	37	45	1.140700486111927	0.0207979202079792	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
Arid5a	31	45	1.12916480919467	0.05269473052694731	chr11	65190189.0	65190303.0	antisense	0.22361178516294714	0.6505053112670137	0.05
Pou5f1::Sox2	32	47	1.1287137924763844	0.014798520147985201	chr11	65190189.0	65190303.0	antisense	0.16203889815100123	0.7903807186393197	0.05
HOXC13	36	47	1.0968935491114844	0.0022997700229977	chr11	65190189.0	65190303.0	sense	0.05683717342551459	1.2453675281447312	0.05
Nr1h3::Rxra	31	50	1.090619984919135	0.0425957404259574	chr11	65190189.0	65190303.0	antisense	0.20281825028506323	0.6928929682663095	0.05
Dlx3	40	48	1.0827601954352233	0.018098190180981903	chr11	65190189.0	65190303.0	antisense	0.16773144114160013	0.7753855215654207	0.05
Foxj3	33	50	1.0817843226016284	0.06309369063093691	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
MEF2C	34	49	1.0814474547571937	0.030496950304969503	chr11	65190189.0	65190303.0	sense	0.18419806371011252	0.7347149394183955	0.05
PRDM1	35	50	1.0797193843629613	0.021097890210978902	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
SPIC	39	53	1.0730680370455705	0.03469653034696531	chr11	65190189.0	65190303.0	sense	0.1899243065384183	0.7214194506395557	0.05
RAX2	37	45	1.071576889273026	0.024397560243975602	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
TBX2	35	46	1.070745227849287	0.021897810218978103	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
SHOX	37	45	1.067174787047011	0.020097990200979902	chr11	65190189.0	65190303.0	antisense	0.17590318890188905	0.7547262872626057	0.05
Pparg::Rxra	36	51	1.0655323201153952	0.05299470052994701	chr11	65190189.0	65190303.0	sense	0.22361178516294714	0.6505053112670137	0.05
Gmeb1	31	48	1.0622127515022224	0.2181781821817818	chr11	65190189.0	65190303.0	antisense	0.3986464989864649	0.3994120456369376	0.05
GATA5	38	46	1.0599149467424027	0.012798720127987202	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
Hoxc9	36	49	1.0571013078008333	0.0110988901109889	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
HOXB2	36	46	1.047049683468028	0.0598940105989401	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
MIXL1	36	46	1.0391851098852938	0.06929307069293071	chr11	65190189.0	65190303.0	antisense	0.2348745644916028	0.6291640121668585	0.05
NFATC3	37	47	1.038995623184116	0.0354964503549645	chr11	65190189.0	65190303.0	antisense	0.1899243065384183	0.7214194506395557	0.05
MEOX2	36	46	1.0363436780730073	0.0688931106889311	chr11	65190189.0	65190303.0	sense	0.2348745644916028	0.6291640121668585	0.05
Arid3b	38	49	1.0354790718590883	0.0292970702929707	chr11	65190189.0	65190303.0	sense	0.18319493351869628	0.7370865414503693	0.05
Dlx4	40	48	1.0247966523422947	0.018098190180981903	chr11	65190189.0	65190303.0	antisense	0.16773144114160013	0.7753855215654207	0.05
LHX9	37	45	1.0233276620964742	0.019498050194980503	chr11	65190189.0	65190303.0	sense	0.17447393191715313	0.7582694516288241	0.05
LMX1B	37	45	1.0180975068638984	0.045795420457954206	chr11	65190189.0	65190303.0	sense	0.21221270730069852	0.6732286140947172	0.05
NRL	42	53	1.0158740671713646	0.05499450054994501	chr11	65190189.0	65190303.0	antisense	0.22568208295449524	0.6465029184714924	0.05
NFAT5	37	47	1.0122880621824117	0.0244975502449755	chr11	65190189.0	65190303.0	antisense	0.17590318890188905	0.7547262872626057	0.05
STAT1::STAT2	35	50	1.0106307939932764	0.0173982601739826	chr11	65190189.0	65190303.0	antisense	0.16773144114160013	0.7753855215654207	0.05
NFATC2	39	46	1.0084677638909214	0.004899510048995101	chr11	65190189.0	65190303.0	antisense	0.10171382861713829	0.9926199980719288	0.05
FOXC2	39	51	1.006643369980275	0.03519648035196481	chr11	65190189.0	65190303.0	sense	0.1899243065384183	0.7214194506395557	0.05
HLF	36	48	1.0036970003788852	0.014998500149985002	chr11	65190189.0	65190303.0	antisense	0.16203889815100123	0.7903807186393197	0.05
Dmbx1	32	49	0.9977153493728637	0.053594640535946404	chr11	65190189.0	65190303.0	sense	0.2243195035335176	0.6491329648978699	0.05
Mecom	39	53	0.9937543338275228	0.013798620137986202	chr11	65190189.0	65190303.0	sense	0.16203889815100123	0.7903807186393197	0.05
LBX2	36	46	0.9884192691928604	0.07289271072892711	chr11	65190189.0	65190303.0	sense	0.2405740907390742	0.6187511469668674	0.05
HOXD12	36	47	0.9862578672440473	0.0051994800519948	chr11	65190189.0	65190303.0	sense	0.10378962103789621	0.9838460737644236	0.05
MAFG	32	53	0.9857156398323192	0.0313968603139686	chr11	65190189.0	65190303.0	sense	0.18419806371011252	0.7347149394183955	0.05
Dlx1	39	49	0.9796614852403616	0.0822917708229177	chr11	65190189.0	65190303.0	antisense	0.24951749011145394	0.6028990067834071	0.05
NKX6-2	37	45	0.9720425067338966	0.04079592040795921	chr11	65190189.0	65190303.0	sense	0.1978792774928115	0.7035996840237344	0.05
NFIL3	35	46	0.9566513301116211	0.007999200079992	chr11	65190189.0	65190303.0	antisense	0.153762401537624	0.8131498465954486	0.05
Dlx2	40	48	0.9511830667323171	0.014298570142985701	chr11	65190189.0	65190303.0	antisense	0.16203889815100123	0.7903807186393197	0.05
Foxk1	33	50	0.9498872254305877	0.06419358064193581	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
POU4F1	33	47	0.9451842920277022	0.052594740525947405	chr11	65190189.0	65190303.0	sense	0.22361178516294714	0.6505053112670137	0.05
MEF2A	39	51	0.9394700456496707	0.008799120087991202	chr11	65190189.0	65190303.0	sense	0.15903248384838936	0.7985141579738297	0.05
SRY	38	47	0.9385995993702847	0.0316968303169683	chr11	65190189.0	65190303.0	sense	0.18419806371011252	0.7347149394183955	0.05
POU4F3	33	49	0.9384835007702373	0.06429357064293571	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
HNF4G	35	50	0.9343002815357858	0.039696030396960305	chr11	65190189.0	65190303.0	sense	0.1978792774928115	0.7035996840237344	0.05
IRF2	35	53	0.9285368944059922	0.015298470152984701	chr11	65190189.0	65190303.0	sense	0.16203889815100123	0.7903807186393197	0.05
Tcf7	36	48	0.9190645692089002	0.011898810118988102	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
EMX1	39	49	0.9185291228344378	0.08029197080291971	chr11	65190189.0	65190303.0	sense	0.24951749011145394	0.6028990067834071	0.05
PAX5	34	53	0.9105050730511957	0.0994900509949005	chr11	65190189.0	65190303.0	sense	0.26616152817707917	0.5748547186129054	0.05
Spz1	37	48	0.9017429130228639	0.0235976402359764	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
VAX1	40	48	0.8994112722908074	0.0634936506349365	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
Mafb	41	53	0.8975355148649229	0.0433956604339566	chr11	65190189.0	65190303.0	sense	0.20474861604748618	0.6887790250741191	0.05
NFATC1	43	53	0.8939263812248454	0.09259074092590741	chr11	65190189.0	65190303.0	antisense	0.2597471831764192	0.5854491534438199	0.05
Nkx2-5	40	47	0.8933339446279633	0.0108989101089891	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
Tcf12	42	53	0.8925544342751639	0.012698730126987301	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
Bcl6	36	50	0.8869722602240403	0.038396160383961604	chr11	65190189.0	65190303.0	antisense	0.196998746727269	0.7055365367377102	0.05
Alx4	32	49	0.8835196388234446	0.08209179082091791	chr11	65190189.0	65190303.0	antisense	0.24951749011145394	0.6028990067834071	0.05
UNCX	37	45	0.8815011072136597	0.07069293070692931	chr11	65190189.0	65190303.0	sense	0.23670729701223425	0.6257883538017969	0.05
Gfi1b	38	49	0.8789113560295034	0.017698230176982303	chr11	65190189.0	65190303.0	sense	0.16773144114160013	0.7753855215654207	0.05
GSC2	36	46	0.8769441295446432	0.09509049095090491	chr11	65190189.0	65190303.0	antisense	0.2597471831764192	0.5854491534438199	0.05
LEF1	36	51	0.8767341867873776	0.024897510248975102	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
BARX1	40	48	0.8761973343513204	0.0184981501849815	chr11	65190189.0	65190303.0	antisense	0.16843052536851577	0.7735791966978824	0.05
Stat4	39	53	0.8756201323963311	0.035096490350964904	chr11	65190189.0	65190303.0	sense	0.1899243065384183	0.7214194506395557	0.05
Nr2f6	37	51	0.8678895391096765	0.014698530146985302	chr11	65190189.0	65190303.0	sense	0.16203889815100123	0.7903807186393197	0.05
EVX2	36	46	0.8577314373369963	0.10688931106889311	chr11	65190189.0	65190303.0	sense	0.2751452577514526	0.5604379680431729	0.05
EVX1	36	46	0.8563155587947512	0.10648935106489352	chr11	65190189.0	65190303.0	sense	0.2751452577514526	0.5604379680431729	0.05
VAX2	40	48	0.8554868478750282	0.0608939106089391	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
SRF	35	51	0.8529834982123439	0.0115988401159884	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
POU2F2	36	49	0.8521642799332888	0.034096590340965904	chr11	65190189.0	65190303.0	antisense	0.1899243065384183	0.7214194506395557	0.05
GATA1::TAL1	34	52	0.8473142566842417	0.08439156084391561	chr11	65190189.0	65190303.0	antisense	0.25171965562064486	0.5990828710853494	0.05
LMX1A	37	45	0.8460307953696355	0.06779322067793221	chr11	65190189.0	65190303.0	sense	0.23456454354564543	0.6297376346170227	0.05
Gata1	38	49	0.8448488108438796	0.032296770322967704	chr11	65190189.0	65190303.0	antisense	0.18419806371011252	0.7347149394183955	0.05
HSF2	33	46	0.8372534546761543	0.0143985601439856	chr11	65190189.0	65190303.0	antisense	0.16203889815100123	0.7903807186393197	0.05
EOMES	35	48	0.8349889029192128	0.07439256074392561	chr11	65190189.0	65190303.0	sense	0.2405740907390742	0.6187511469668674	0.05
GATA2	36	50	0.8343914594867188	0.06519348065193481	chr11	65190189.0	65190303.0	antisense	0.23052592699913682	0.637280222901507	0.05
Crx	42	53	0.8287161531206487	0.027297270272972702	chr11	65190189.0	65190303.0	sense	0.1770910408959104	0.7518034093795923	0.05
Alx1	32	49	0.8286616114518729	0.11048895110488952	chr11	65190189.0	65190303.0	antisense	0.2797256859679886	0.5532676524630296	0.05
HOXA5	39	47	0.8211566437330023	0.025597440255974404	chr11	65190189.0	65190303.0	antisense	0.17590318890188905	0.7547262872626057	0.05
Hnf4a	37	53	0.8186745824871624	0.011198880111988802	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
HSF4	33	46	0.8165526484143844	0.048595140485951406	chr11	65190189.0	65190303.0	antisense	0.21931198184529374	0.6589376405197231	0.05
Hoxb5	34	50	0.8156973020736233	0.1391860813918608	chr11	65190189.0	65190303.0	sense	0.3182272081161928	0.4972626913469842	0.05
MEF2D	37	49	0.811841057785216	0.012798720127987202	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
Hoxa9	37	48	0.8112767593508682	0.024997500249975	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
YY2	41	52	0.8098217170135127	0.052894710528947106	chr11	65190189.0	65190303.0	antisense	0.22361178516294714	0.6505053112670137	0.05
TBR1	36	46	0.8086610549073739	0.031996800319968	chr11	65190189.0	65190303.0	sense	0.18419806371011252	0.7347149394183955	0.05
RAX	36	46	0.8064048757423389	0.068993100689931	chr11	65190189.0	65190303.0	sense	0.2348745644916028	0.6291640121668585	0.05
Six3	32	49	0.8063729192422144	0.10308969103089691	chr11	65190189.0	65190303.0	sense	0.27159162256363195	0.5660836303064812	0.05
MEF2B	37	49	0.8056556740445788	0.0091990800919908	chr11	65190189.0	65190303.0	sense	0.15903248384838936	0.7985141579738297	0.05
DLX6	40	48	0.8050692312016979	0.047795220477952205	chr11	65190189.0	65190303.0	antisense	0.21931198184529374	0.6589376405197231	0.05
NKX6-1	37	45	0.8013777125433598	0.0402959704029597	chr11	65190189.0	65190303.0	sense	0.1978792774928115	0.7035996840237344	0.05
FOXD2	40	47	0.7970839794467885	0.031596840315968405	chr11	65190189.0	65190303.0	sense	0.18419806371011252	0.7347149394183955	0.05
FOXP1	33	48	0.7962187777200365	0.11698830116988301	chr11	65190189.0	65190303.0	sense	0.29190830916908306	0.5347535426450047	0.05
GATA3	38	46	0.7949013647252895	0.009499050094990502	chr11	65190189.0	65190303.0	sense	0.15903248384838936	0.7985141579738297	0.05
Rarb(var.2)	34	51	0.7926248815107535	0.009499050094990502	chr11	65190189.0	65190303.0	sense	0.15903248384838936	0.7985141579738297	0.05
POU3F3	40	53	0.7919139308755015	0.07379262073792621	chr11	65190189.0	65190303.0	antisense	0.2405740907390742	0.6187511469668674	0.05
NKX2-8	41	50	0.788839050653743	0.0552944705529447	chr11	65190189.0	65190303.0	antisense	0.22568208295449524	0.6465029184714924	0.05
PITX3	39	48	0.7827641022739436	0.0660933906609339	chr11	65190189.0	65190303.0	sense	0.2317734442771939	0.6349363253377219	0.05
Pitx1	37	45	0.7795315231918285	0.05089491050894911	chr11	65190189.0	65190303.0	antisense	0.22361178516294714	0.6505053112670137	0.05
MAFK	38	53	0.7683228665230447	0.09469053094690531	chr11	65190189.0	65190303.0	sense	0.2597471831764192	0.5854491534438199	0.05
Sox3	37	47	0.7654877122178088	0.0367963203679632	chr11	65190189.0	65190303.0	antisense	0.19097290270972903	0.7190282507548872	0.05
FOXC1	39	50	0.762607099845787	0.0648935106489351	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
RARA(var.2)	34	51	0.7578927474267999	0.017798220177982202	chr11	65190189.0	65190303.0	sense	0.16773144114160013	0.7753855215654207	0.05
FOXP3	40	47	0.757237397108492	0.0418958104189581	chr11	65190189.0	65190303.0	sense	0.20133264451332644	0.6960858019490592	0.05
LIN54	37	46	0.7556336007979906	0.036196380361963806	chr11	65190189.0	65190303.0	antisense	0.19097290270972903	0.7190282507548872	0.05
RORA	40	50	0.7539314040439156	0.0225977402259774	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
Foxq1	39	50	0.7537166631025435	0.0560943905609439	chr11	65190189.0	65190303.0	antisense	0.22568208295449524	0.6465029184714924	0.05
HSF1	33	46	0.7520106018324705	0.017298270172982702	chr11	65190189.0	65190303.0	antisense	0.16773144114160013	0.7753855215654207	0.05
Rarg(var.2)	34	51	0.7510125696426692	0.012698730126987301	chr11	65190189.0	65190303.0	sense	0.16201306698598433	0.7904499565002719	0.05
RARA::RXRA	34	51	0.749084910035544	0.12038796120387961	chr11	65190189.0	65190303.0	sense	0.29190830916908306	0.5347535426450047	0.05
GSC	36	46	0.7469016330478165	0.0908909109089091	chr11	65190189.0	65190303.0	antisense	0.2597471831764192	0.5854491534438199	0.05
MEIS2	40	48	0.7421984077549869	0.021597840215978402	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
POU2F1	41	53	0.7411556862387122	0.11478852114788521	chr11	65190189.0	65190303.0	sense	0.28920020619297293	0.5388014017356035	0.05
NKX3-2	40	49	0.7324077320199818	0.06479352064793521	chr11	65190189.0	65190303.0	antisense	0.23052592699913682	0.637280222901507	0.05
Myog	42	53	0.7316275713793388	0.0387961203879612	chr11	65190189.0	65190303.0	sense	0.196998746727269	0.7055365367377102	0.05
Hes2	35	48	0.73023133285204	0.4006599340065993	chr11	65190189.0	65190303.0	sense	0.585753537322324	0.23228508005079918	0.05
FOXF2	33	47	0.7257193508258809	0.0968903109689031	chr11	65190189.0	65190303.0	sense	0.2619066218378162	0.581853521081189	0.05
HOXB3	36	46	0.7205476811272437	0.22127787221277873	chr11	65190189.0	65190303.0	antisense	0.40015057727676706	0.39777655223513925	0.05
DMRT3	35	46	0.7192538239746794	0.0958904109589041	chr11	65190189.0	65190303.0	sense	0.26056085490927344	0.5840908295054688	0.05
SOX9	38	47	0.7176326589697513	0.10828917108289171	chr11	65190189.0	65190303.0	antisense	0.2760091637895034	0.5590764986697552	0.05
DBP	36	48	0.7176309482190968	0.059494050594940506	chr11	65190189.0	65190303.0	antisense	0.23052592699913682	0.637280222901507	0.05
MSC	42	52	0.7166682318063032	0.0221977802219778	chr11	65190189.0	65190303.0	antisense	0.17590318890188905	0.7547262872626057	0.05
RFX4	36	52	0.7155202367780773	0.09169083091690831	chr11	65190189.0	65190303.0	antisense	0.2597471831764192	0.5854491534438199	0.05
FOXA1	34	49	0.7153185434918332	0.1446855314468553	chr11	65190189.0	65190303.0	antisense	0.3243425657434256	0.4889960520843296	0.05
TFAP4	42	52	0.7145029544046873	0.0245975402459754	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
Nobox	41	49	0.706587445397683	0.056894310568943104	chr11	65190189.0	65190303.0	sense	0.22713959373293438	0.6437071553401704	0.05
OTX2	37	45	0.7008188137382642	0.06359364063593641	chr11	65190189.0	65190303.0	antisense	0.23052592699913682	0.637280222901507	0.05
TBX20	35	46	0.7003282639001852	0.06109389061093891	chr11	65190189.0	65190303.0	sense	0.23052592699913682	0.637280222901507	0.05
Myod1	39	52	0.6973870378358464	0.0923907609239076	chr11	65190189.0	65190303.0	antisense	0.2597471831764192	0.5854491534438199	0.05
BSX	40	48	0.6948288826611673	0.0750924907509249	chr11	65190189.0	65190303.0	antisense	0.2405740907390742	0.6187511469668674	0.05
PRRX1	37	45	0.6872960432842501	0.11998800119988001	chr11	65190189.0	65190303.0	sense	0.29190830916908306	0.5347535426450047	0.05
Sox17	36	45	0.6870694084286605	0.08139186081391861	chr11	65190189.0	65190303.0	antisense	0.24951749011145394	0.6028990067834071	0.05
NKX2-3	41	51	0.6854501540297815	0.08759124087591241	chr11	65190189.0	65190303.0	antisense	0.25947405259474055	0.585906065092386	0.05
Arx	32	49	0.6851882640661661	0.1710828917108289	chr11	65190189.0	65190303.0	sense	0.3470465453454655	0.4596122743991199	0.05
Pou2f3	34	50	0.6790581808540117	0.15558444155584442	chr11	65190189.0	65190303.0	sense	0.33367076515488947	0.47668184275516595	0.05
Foxo1	39	50	0.6764288706251961	0.07489251074892511	chr11	65190189.0	65190303.0	antisense	0.2405740907390742	0.6187511469668674	0.05
PHOX2A	38	49	0.672444488968728	0.13588641135886412	chr11	65190189.0	65190303.0	antisense	0.31710943949852805	0.4987908299971744	0.05
MEIS3	37	45	0.6714950399563689	0.07589241075892411	chr11	65190189.0	65190303.0	antisense	0.24164516063731054	0.6168218979368822	0.05
RFX3	36	52	0.6695933316615857	0.0897910208979102	chr11	65190189.0	65190303.0	antisense	0.2597471831764192	0.5854491534438199	0.05
NR2C2	36	51	0.6691972090684796	0.10848915108489152	chr11	65190189.0	65190303.0	sense	0.2760091637895034	0.5590764986697552	0.05
RHOXF1	42	50	0.668066755842056	0.08799120087991201	chr11	65190189.0	65190303.0	sense	0.25947405259474055	0.585906065092386	0.05
RARA	35	53	0.6671337227774102	0.0163983601639836	chr11	65190189.0	65190303.0	sense	0.16773144114160013	0.7753855215654207	0.05
Foxa2	41	53	0.6669526009243606	0.09869013098690131	chr11	65190189.0	65190303.0	antisense	0.2653895232238434	0.5761162257665419	0.05
MEIS1	38	45	0.6658848728795334	0.0770922907709229	chr11	65190189.0	65190303.0	antisense	0.2439688957933475	0.6126655394251458	0.05
IRF7	34	48	0.6619421307058957	0.07989201079892011	chr11	65190189.0	65190303.0	sense	0.24951749011145394	0.6028990067834071	0.05
Stat6	32	47	0.6618816439947436	0.1464853514648535	chr11	65190189.0	65190303.0	antisense	0.3255623155633155	0.48736587125849584	0.05
SPIB	43	50	0.6612355696418248	0.066993300669933	chr11	65190189.0	65190303.0	sense	0.2333525036758069	0.6319875351398524	0.05
CENPB	34	49	0.6578103831981267	0.1847815218478152	chr11	65190189.0	65190303.0	antisense	0.35918205932215763	0.4446853639088922	0.05
POU5F1B	37	46	0.656716339565342	0.09479052094790522	chr11	65190189.0	65190303.0	sense	0.2597471831764192	0.5854491534438199	0.05
TEF	36	48	0.6561664302599373	0.07119288071192881	chr11	65190189.0	65190303.0	antisense	0.23685323775314776	0.6255206741460101	0.05
GCM2	39	49	0.6561118725252509	0.1202879712028797	chr11	65190189.0	65190303.0	sense	0.29190830916908306	0.5347535426450047	0.05
RXRG	37	51	0.6558147685698261	0.0254974502549745	chr11	65190189.0	65190303.0	sense	0.17590318890188905	0.7547262872626057	0.05
