motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	64	74	4.148303609968665	0.00019998000199980003	chr13	50656191.0	50656305.0	antisense	0.051894810518948106	1.2848760694284047	0.1
NRF1	65	76	3.648975426336817	9.999000099990002e-05	chr13	50656191.0	50656305.0	sense	0.051894810518948106	1.2848760694284047	0.1
Tcfl5	66	76	2.8218940644665644	0.005099490050994901	chr13	50656191.0	50656305.0	sense	0.26466353364663536	0.5773058933304684	0.1
Gmeb1	59	76	2.7663608279500496	0.016798320167983202	chr13	50656191.0	50656305.0	sense	0.2940705929407059	0.5315484027697933	0.1
Hes2	60	73	2.5136369965522314	0.012998700129987	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
HIC2	69	78	2.485943162466635	0.0010998900109989002	chr13	50656191.0	50656305.0	sense	0.1556844315568443	0.8077548147087424	0.1
Pax6	62	76	2.3735978321479734	0.0016998300169983002	chr13	50656191.0	50656305.0	sense	0.1556844315568443	0.8077548147087424	0.1
Mitf	65	75	2.2064370533923743	0.010198980101989802	chr13	50656191.0	50656305.0	antisense	0.29331849423753276	0.5326605531391609	0.1
THAP1	69	78	2.064372345927582	0.015398460153984602	chr13	50656191.0	50656305.0	sense	0.2940705929407059	0.5315484027697933	0.1
GCM1	61	72	1.9873595465307354	0.0024997500249975004	chr13	50656191.0	50656305.0	antisense	0.18533860899624324	0.732034100770624	0.1
EGR4	63	79	1.9781529106420477	0.009799020097990201	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
GCM2	62	72	1.9102156811708186	0.004299570042995701	chr13	50656191.0	50656305.0	antisense	0.24794187247941876	0.605650123288143	0.1
EOMES	59	72	1.8597093705597167	0.009999000099990002	chr13	50656191.0	50656305.0	antisense	0.29331849423753276	0.5326605531391609	0.1
SP3	66	77	1.7968136802737291	0.006799320067993201	chr13	50656191.0	50656305.0	sense	0.2754416866005707	0.5599703309979862	0.1
CENPB	64	79	1.7520947804755498	0.015198480151984802	chr13	50656191.0	50656305.0	sense	0.2940705929407059	0.5315484027697933	0.1
TEAD1	66	76	1.7382855196982687	0.012598740125987402	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
EGR2	65	76	1.7344466129470177	0.0013998600139986002	chr13	50656191.0	50656305.0	sense	0.1556844315568443	0.8077548147087424	0.1
TEAD4	66	76	1.7183964246793488	0.012698730126987301	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
TBX2	61	72	1.7137664293088066	0.0198980101989801	chr13	50656191.0	50656305.0	antisense	0.32272085291470853	0.49117297133860416	0.1
EGR3	63	78	1.7060321721015792	0.0029997000299970002	chr13	50656191.0	50656305.0	sense	0.19460553944605538	0.710844801700686	0.1
Pou2f3	59	75	1.6714425317410466	0.016998300169983	chr13	50656191.0	50656305.0	antisense	0.2940705929407059	0.5315484027697933	0.1
PAX1	61	78	1.6308061307418524	0.0064993500649935	chr13	50656191.0	50656305.0	sense	0.2754416866005707	0.5599703309979862	0.1
MAX::MYC	64	75	1.6224611296827025	0.007999200079992	chr13	50656191.0	50656305.0	antisense	0.29331849423753276	0.5326605531391609	0.1
MZF1(var.2)	63	73	1.6006003787193614	0.015298470152984701	chr13	50656191.0	50656305.0	antisense	0.2940705929407059	0.5315484027697933	0.1
GSC2	65	75	1.597291954718722	0.0660933906609339	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
Neurog1	64	74	1.584989444077982	0.10418958104189581	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
Ahr::Arnt	64	70	1.5809451718091998	0.0017998200179982	chr13	50656191.0	50656305.0	antisense	0.1556844315568443	0.8077548147087424	0.1
NRL	68	79	1.553694416959747	0.09379062093790622	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
GATA1::TAL1	59	77	1.5367605925406713	0.04609539046095391	chr13	50656191.0	50656305.0	sense	0.39201620378502694	0.4066959812729577	0.1
ETV5	64	74	1.5353773147185619	0.0326967303269673	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
Hic1	69	78	1.5332108761527166	0.023697630236976304	chr13	50656191.0	50656305.0	sense	0.3589391060893911	0.4449792230999557	0.1
NFIX	68	77	1.5236943583890508	0.048795120487951205	chr13	50656191.0	50656305.0	sense	0.39201620378502694	0.4066959812729577	0.1
POU2F2	60	73	1.5058018245433238	0.0117988201179882	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
POU4F3	59	75	1.4923405919755988	0.0438956104389561	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
PAX9	61	78	1.4707569695854938	0.006899310068993101	chr13	50656191.0	50656305.0	sense	0.2754416866005707	0.5599703309979862	0.1
TBX19	59	79	1.4569782489801149	0.027697230276972302	chr13	50656191.0	50656305.0	antisense	0.36105538382331975	0.4424261747038363	0.1
ARNT::HIF1A	67	75	1.4285037140542454	0.016798320167983202	chr13	50656191.0	50656305.0	antisense	0.2940705929407059	0.5315484027697933	0.1
PAX5	59	78	1.4263374151379713	0.055894410558944105	chr13	50656191.0	50656305.0	sense	0.39201620378502694	0.4066959812729577	0.1
TBR1	61	71	1.424208547940541	0.016298370162983702	chr13	50656191.0	50656305.0	antisense	0.2940705929407059	0.5315484027697933	0.1
POU4F1	61	75	1.4198439171426465	0.04179582041795821	chr13	50656191.0	50656305.0	antisense	0.390137771937092	0.408782000598937	0.1
CLOCK	64	74	1.3945973501110767	0.027997200279972004	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
TBX5	63	71	1.3902724050567032	0.038696130386961305	chr13	50656191.0	50656305.0	antisense	0.38621714751601766	0.41316844804429254	0.1
MIXL1	65	75	1.3822823589371906	0.13958604139586042	chr13	50656191.0	50656305.0	sense	0.43122116359792595	0.36529993286712537	0.1
FOXH1	65	76	1.380792073988669	0.012698730126987301	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
Six3	62	79	1.3763206697802546	0.06419358064193581	chr13	50656191.0	50656305.0	antisense	0.39300114932326985	0.4056061795379979	0.1
EGR1	66	80	1.3656516374828254	0.012598740125987402	chr13	50656191.0	50656305.0	sense	0.29331849423753276	0.5326605531391609	0.1
Ddit3::Cebpa	67	79	1.3442444113510363	0.06229377062293771	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
HEY2	64	74	1.3399101650555145	0.031196880311968805	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
POU3F1	61	73	1.3395931695816568	0.0537946205379462	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
NHLH1	66	76	1.3282463677585008	0.021997800219978002	chr13	50656191.0	50656305.0	sense	0.34596540345965404	0.46096732848408606	0.1
HEY1	64	74	1.3187382574682505	0.029397060293970604	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
TFE3	64	74	1.3085868375642133	0.0893910608939106	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
CEBPE	68	78	1.3064531077544035	0.0342965703429657	chr13	50656191.0	50656305.0	sense	0.36538182916402234	0.43725305438364437	0.1
Pax2	65	73	1.2874103874805063	0.16718328167183283	chr13	50656191.0	50656305.0	sense	0.4874613662229283	0.31205979863430117	0.1
MAFG	59	80	1.275153286762496	0.0385961403859614	chr13	50656191.0	50656305.0	sense	0.38621714751601766	0.41316844804429254	0.1
RARA::RXRA	59	76	1.2664396504916688	0.07189281071892811	chr13	50656191.0	50656305.0	antisense	0.39388161183881615	0.4046342935329244	0.1
CEBPB	68	78	1.2595711924441346	0.028497150284971504	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
HINFP	65	77	1.2567107011054186	0.05089491050894911	chr13	50656191.0	50656305.0	sense	0.39201620378502694	0.4066959812729577	0.1
TBX4	63	71	1.2533509312692306	0.0344965503449655	chr13	50656191.0	50656305.0	antisense	0.36538182916402234	0.43725305438364437	0.1
Atf1	62	70	1.2457799810544474	0.030496950304969503	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
SPIC	60	74	1.2430968180360695	0.07529247075292471	chr13	50656191.0	50656305.0	antisense	0.39388161183881615	0.4046342935329244	0.1
ZBTB7A	66	78	1.2201599197188908	0.06009399060093991	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
PRDM1	65	80	1.2197172945400312	0.055194480551944806	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
POU5F1B	63	72	1.2173486135334435	0.0527947205279472	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
NEUROD2	64	74	1.2160922271148604	0.06629337066293371	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
CEBPG	68	78	1.2016079470107297	0.0193980601939806	chr13	50656191.0	50656305.0	sense	0.32272085291470853	0.49117297133860416	0.1
CEBPD	68	78	1.1994360674465077	0.030996900309969003	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
POU3F2	61	73	1.1973137400731917	0.0451954804519548	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
Arntl	65	75	1.1968750702485702	0.07589241075892411	chr13	50656191.0	50656305.0	antisense	0.39388161183881615	0.4046342935329244	0.1
GMEB2	63	71	1.19546146460165	0.047595240475952406	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
Atoh1	64	74	1.1953400747658507	0.053394660533946606	chr13	50656191.0	50656305.0	sense	0.39201620378502694	0.4066959812729577	0.1
FOS::JUN	63	70	1.1847880292903752	0.0413958604139586	chr13	50656191.0	50656305.0	sense	0.390137771937092	0.408782000598937	0.1
Myc	67	77	1.1816858170534688	0.0326967303269673	chr13	50656191.0	50656305.0	sense	0.36105538382331975	0.4424261747038363	0.1
Nfe2l2	60	75	1.1792887361621285	0.07339266073392661	chr13	50656191.0	50656305.0	antisense	0.39388161183881615	0.4046342935329244	0.1
ESR2	61	76	1.1667952850136407	0.15098490150984903	chr13	50656191.0	50656305.0	antisense	0.4529547045295471	0.3439452252640307	0.1
TEAD3	65	73	1.1608487507005136	0.0273972602739726	chr13	50656191.0	50656305.0	antisense	0.36105538382331975	0.4424261747038363	0.1
Mafb	68	80	1.1571795289515687	0.1267873212678732	chr13	50656191.0	50656305.0	sense	0.4272897385586117	0.369277536719154	0.1
Pparg::Rxra	63	78	1.156952425688721	0.18788121187881213	chr13	50656191.0	50656305.0	antisense	0.5105253872518507	0.2919826565756068	0.1
POU2F1	62	74	1.1534413396329184	0.09869013098690131	chr13	50656191.0	50656305.0	antisense	0.3976058276525289	0.40054725883511666	0.1
POU1F1	66	80	1.1511724569408275	0.07779222077792221	chr13	50656191.0	50656305.0	antisense	0.39633389602216246	0.40193878351775797	0.1
TBX21	62	72	1.1491201875731785	0.0380961903809619	chr13	50656191.0	50656305.0	antisense	0.38621714751601766	0.41316844804429254	0.1
FEV	64	74	1.1476116289269347	0.0634936506349365	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
LBX2	65	75	1.1468424961025967	0.3030696930306969	chr13	50656191.0	50656305.0	sense	0.6446441421431627	0.190679959399512	0.1
ELF5	60	71	1.1451164057346326	0.1207879212078792	chr13	50656191.0	50656305.0	antisense	0.4239244994419477	0.3727114839625903	0.1
ETV6	66	76	1.1366119306899627	0.0514948505149485	chr13	50656191.0	50656305.0	antisense	0.39201620378502694	0.4066959812729577	0.1
ZNF354C	69	75	1.1339422233242888	0.024897510248975102	chr13	50656191.0	50656305.0	sense	0.3589391060893911	0.4449792230999557	0.1
NR2F1	66	79	1.1306407676254475	0.0917908209179082	chr13	50656191.0	50656305.0	antisense	0.3976058276525289	0.40054725883511666	0.1
HSF4	62	75	1.1225014325353118	0.10288971102889712	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
Pou5f1::Sox2	62	77	1.116711979948147	0.10278972102789721	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
ETV3	64	74	1.1144309100505165	0.08639136086391361	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
ERG	64	74	1.113175099899869	0.0613938606139386	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
MGA	63	71	1.1098450720208872	0.0413958604139586	chr13	50656191.0	50656305.0	antisense	0.390137771937092	0.408782000598937	0.1
TFEC	64	74	1.1053109519679611	0.10018998100189981	chr13	50656191.0	50656305.0	antisense	0.3976058276525289	0.40054725883511666	0.1
HLF	61	73	1.1033021712751039	0.10138986101389862	chr13	50656191.0	50656305.0	sense	0.3976058276525289	0.40054725883511666	0.1
OLIG3	64	74	1.1003148841637491	0.08239176082391761	chr13	50656191.0	50656305.0	antisense	0.3976058276525289	0.40054725883511666	0.1
SPDEF	63	74	1.0954344750629024	0.049795020497950204	chr13	50656191.0	50656305.0	sense	0.39201620378502694	0.4066959812729577	0.1
ETS1	64	74	1.0933933452309277	0.0613938606139386	chr13	50656191.0	50656305.0	sense	0.39300114932326985	0.4056061795379979	0.1
Klf1	65	76	1.0908562007368867	0.0420957904209579	chr13	50656191.0	50656305.0	sense	0.390137771937092	0.408782000598937	0.1
T	61	77	1.0890228398732476	0.05729427057294271	chr13	50656191.0	50656305.0	antisense	0.39300114932326985	0.4056061795379979	0.1
