motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
CENPB	58	73	2.285207295617239	0.004999500049995001	chr9	21994622.0	21994736.0	antisense	0.32583408325834085	0.4870034890980461	0.15
Gmeb1	55	72	2.2380378505384377	0.097990200979902	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
LBX2	53	63	2.1776694628023483	0.0091990800919908	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
YY1	54	66	2.0753273433205046	0.0008999100089991	chr9	21994622.0	21994736.0	sense	0.1691830816918308	0.771643068573858	0.15
EGR1	57	71	1.9073234253673956	0.11648835116488351	chr9	21994622.0	21994736.0	antisense	0.40569761205697613	0.39179754855283544	0.15
Hes1	60	70	1.7191544530689222	0.24727527247275272	chr9	21994622.0	21994736.0	antisense	0.5048078525480786	0.29687389803536696	0.15
NFYA	55	73	1.68626762668138	0.015298470152984701	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
ZNF263	53	74	1.6780498859357518	0.1601839816018398	chr9	21994622.0	21994736.0	sense	0.44718345066901755	0.3495142771612495	0.15
ZBTB7A	61	73	1.6601170366534599	0.027097290270972903	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
PLAG1	58	72	1.6574487299898912	0.025597440255974404	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
Nkx3-1	54	63	1.6510437283616692	0.0051994800519948	chr9	21994622.0	21994736.0	antisense	0.32583408325834085	0.4870034890980461	0.15
MAFF	54	72	1.629545537619115	0.057894210578942104	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
E2F4	59	70	1.618984030340986	0.0405959404059594	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
Tcfl5	53	63	1.6150630090623157	0.16868313168683133	chr9	21994622.0	21994736.0	sense	0.44718345066901755	0.3495142771612495	0.15
MZF1(var.2)	64	74	1.5893432619851104	0.0943905609439056	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
E2F6	59	70	1.5569989184592274	0.04709529047095291	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
ZBTB7B	60	72	1.4818497473229202	0.0367963203679632	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
THAP1	63	72	1.4542978428566964	0.1867813218678132	chr9	21994622.0	21994736.0	antisense	0.4745255204209308	0.3237404258500845	0.15
NRL	56	67	1.4252528233074033	0.11868813118688132	chr9	21994622.0	21994736.0	sense	0.40569761205697613	0.39179754855283544	0.15
HINFP	59	71	1.4222762964929336	0.04939506049395061	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
ELK4	60	71	1.3860008480182548	0.030396960303969604	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
NR2C2	56	71	1.338994495766714	0.0683931606839316	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
MIXL1	53	63	1.3361095882258482	0.23527647235276472	chr9	21994622.0	21994736.0	antisense	0.5048078525480786	0.29687389803536696	0.15
ZNF740	64	74	1.3335093145217158	0.1468853114688531	chr9	21994622.0	21994736.0	antisense	0.44539417026039335	0.35125547172118016	0.15
REL	53	63	1.3186020267421175	0.0392960703929607	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
MNT	53	63	1.2973488019481079	0.030996900309969003	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
ZBTB33	53	68	1.2854564832640503	0.08099190080991901	chr9	21994622.0	21994736.0	antisense	0.4004816909613386	0.3974173340022621	0.15
HSF4	54	67	1.2828036731508716	0.0532946705329467	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
SP1	57	68	1.2739235316566087	0.1688831116888311	chr9	21994622.0	21994736.0	antisense	0.44718345066901755	0.3495142771612495	0.15
CTCF	55	74	1.2688106212658792	0.0898910108989101	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
Arid5a	53	67	1.2577999366487895	0.30916908309169083	chr9	21994622.0	21994736.0	sense	0.523326238804691	0.2812274898305415	0.15
Npas2	53	63	1.2542696743259274	0.026697330266973303	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
E2F1	57	69	1.2455221592146024	0.0491950804919508	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
ETV5	60	70	1.2410674140499807	0.09049095090490951	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
MAFK	56	71	1.2098668004375774	0.10538946105389461	chr9	21994622.0	21994736.0	antisense	0.4043514015945344	0.39324104716516867	0.15
SP4	55	72	1.2056474273468263	0.0741925807419258	chr9	21994622.0	21994736.0	antisense	0.4004816909613386	0.3974173340022621	0.15
NFIX	64	73	1.1986130231540353	0.11778822117788221	chr9	21994622.0	21994736.0	antisense	0.40569761205697613	0.39179754855283544	0.15
E2F3	54	72	1.1949985363901514	0.016198380161983803	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
Gabpa	61	72	1.1788834245088051	0.059394060593940604	chr9	21994622.0	21994736.0	sense	0.39718608784282866	0.4010059718556724	0.15
Zfx	58	72	1.177689856889632	0.16628337166283372	chr9	21994622.0	21994736.0	sense	0.44718345066901755	0.3495142771612495	0.15
RELA	53	63	1.168801871918767	0.0122987701229877	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
Arntl	54	64	1.1547786393014154	0.05929407059294071	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
ETV3	56	66	1.1338735687369828	0.06379362063793621	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
SP3	57	68	1.1131829968279485	0.25737426257374263	chr9	21994622.0	21994736.0	antisense	0.5048078525480786	0.29687389803536696	0.15
KLF13	54	72	1.109931797694825	0.060993900609939006	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
HEY1	53	63	1.0960221138376074	0.059194080591940805	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
RREB1	53	73	1.0822953850475876	0.16278372162783722	chr9	21994622.0	21994736.0	antisense	0.44718345066901755	0.3495142771612495	0.15
HIC2	63	72	1.081995655044016	0.19638036196380362	chr9	21994622.0	21994736.0	antisense	0.4922601073226011	0.307805357953952	0.15
ETV4	60	70	1.05638521937038	0.10918908109189081	chr9	21994622.0	21994736.0	sense	0.40569761205697613	0.39179754855283544	0.15
ETV6	60	70	1.051043492461404	0.09719028097190281	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
KLF5	58	68	1.0455959984775534	0.205979402059794	chr9	21994622.0	21994736.0	antisense	0.5029107478862503	0.2985090828165113	0.15
ELK3	56	66	1.0393233361276004	0.09559044095590441	chr9	21994622.0	21994736.0	antisense	0.4004816909613386	0.3974173340022621	0.15
SOX9	53	62	1.0221639652081347	0.18648135186481352	chr9	21994622.0	21994736.0	antisense	0.4745255204209308	0.3237404258500845	0.15
IRF2	53	71	1.0025983127306317	0.1040895910408959	chr9	21994622.0	21994736.0	sense	0.4043514015945344	0.39324104716516867	0.15
TEAD1	61	71	0.9984502441535209	0.2104789521047895	chr9	21994622.0	21994736.0	antisense	0.5048078525480786	0.29687389803536696	0.15
TBX2	55	66	0.9915998166971595	0.2842715728427157	chr9	21994622.0	21994736.0	sense	0.5222459572224596	0.2821249132677555	0.15
E2F8	57	69	0.9581605832798161	0.030496950304969503	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
ELK1	56	66	0.9251490291551987	0.06259374062593741	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
ERF	56	66	0.9212789832418026	0.09619038096190381	chr9	21994622.0	21994736.0	antisense	0.4004816909613386	0.3974173340022621	0.15
KLF16	57	68	0.9187030347058526	0.24327567243275672	chr9	21994622.0	21994736.0	antisense	0.5048078525480786	0.29687389803536696	0.15
Creb3l2	54	63	0.9052180880899586	0.04409559044095591	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
HMBOX1	53	63	0.9009039209188184	0.278972102789721	chr9	21994622.0	21994736.0	antisense	0.5222459572224596	0.2821249132677555	0.15
USF2	53	64	0.9007366637949222	0.0892910708929107	chr9	21994622.0	21994736.0	sense	0.4004816909613386	0.3974173340022621	0.15
TBP	53	68	0.9001842151174227	0.47055294470552944	chr9	21994622.0	21994736.0	sense	0.6410431420626054	0.19311274157441682	0.15
HSF2	54	67	0.8983860990680965	0.0938906109389061	chr9	21994622.0	21994736.0	antisense	0.4004816909613386	0.3974173340022621	0.15
MAX	53	63	0.8885075826500054	0.1317868213178682	chr9	21994622.0	21994736.0	antisense	0.4199308882671055	0.3768221793973359	0.15
TGIF2	59	71	0.8834083264104932	0.0370962903709629	chr9	21994622.0	21994736.0	antisense	0.39718608784282866	0.4010059718556724	0.15
USF1	53	64	0.8802201069192156	0.1264873512648735	chr9	21994622.0	21994736.0	sense	0.4199308882671055	0.3768221793973359	0.15
NFIA	56	66	0.8777435870709925	0.0842915708429157	chr9	21994622.0	21994736.0	antisense	0.4004816909613386	0.3974173340022621	0.15
Gfi1	55	65	0.8739423270080535	0.30386961303869614	chr9	21994622.0	21994736.0	sense	0.5222459572224596	0.2821249132677555	0.15
Tcf12	54	65	0.8728377495222635	0.11088891110888911	chr9	21994622.0	21994736.0	sense	0.40569761205697613	0.39179754855283544	0.15
RUNX1	54	65	0.8653654988341613	0.38116188381161886	chr9	21994622.0	21994736.0	sense	0.5922184641040029	0.22751805636334402	0.15
