motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ELK4	18	29	6.579606927439832	9.999000099990002e-05	chr3	169482906.0	169483020.0	antisense	0.002212278772122788	2.6551601479069995	0.05
ETV5	18	28	6.4732317116016205	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
Gabpa	19	30	5.815849945241651	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
ETV3	18	28	5.641534430552196	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
ETV4	18	28	5.379842162011115	0.00019998000199980003	chr3	169482906.0	169483020.0	sense	0.0023597640235976406	2.627131424306756	0.05
ERF	18	28	5.360761834374072	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
ETV1	18	28	5.31262536209726	0.00019998000199980003	chr3	169482906.0	169483020.0	sense	0.0023597640235976406	2.627131424306756	0.05
ELK1	18	28	4.884460883005576	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
NFATC1	18	28	4.739350958769374	0.0004999500049995	chr3	169482906.0	169483020.0	antisense	0.004424557544245576	2.3541301522430182	0.05
ETV6	18	28	4.6349873724806425	0.00019998000199980003	chr3	169482906.0	169483020.0	sense	0.0023597640235976406	2.627131424306756	0.05
Stat6	13	28	4.492657340474013	0.00019998000199980003	chr3	169482906.0	169483020.0	antisense	0.0023597640235976406	2.627131424306756	0.05
ELF1	16	28	4.413673903407411	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
NFATC3	18	28	4.369055729428064	0.0007999200079992001	chr3	169482906.0	169483020.0	antisense	0.006435720064357201	2.1914028547453186	0.05
ELF4	16	28	4.32314672467928	9.999000099990002e-05	chr3	169482906.0	169483020.0	sense	0.002212278772122788	2.6551601479069995	0.05
MEF2C	16	31	4.266755773454952	0.00039996000399960006	chr3	169482906.0	169483020.0	sense	0.003725943195154169	2.4287637705399225	0.05
REL	21	31	4.067201287007047	0.0005999400059994001	chr3	169482906.0	169483020.0	antisense	0.005056637193423514	2.296138205265332	0.05
THAP1	17	26	3.5129888751672547	0.0122987701229877	chr3	169482906.0	169483020.0	antisense	0.07774579684888652	1.1093230808178776	0.05
STAT1	15	26	3.4302386925857538	0.00039996000399960006	chr3	169482906.0	169483020.0	antisense	0.003725943195154169	2.4287637705399225	0.05
E2F4	16	27	3.415027319728817	0.00019998000199980003	chr3	169482906.0	169483020.0	sense	0.0023597640235976406	2.627131424306756	0.05
E2F7	13	27	3.3608860149128654	0.00039996000399960006	chr3	169482906.0	169483020.0	antisense	0.003725943195154169	2.4287637705399225	0.05
E2F6	16	27	3.320588490117555	0.00019998000199980003	chr3	169482906.0	169483020.0	sense	0.0023597640235976406	2.627131424306756	0.05
RELA	21	31	3.306050828195017	0.00039996000399960006	chr3	169482906.0	169483020.0	antisense	0.003725943195154169	2.4287637705399225	0.05
NFAT5	18	28	3.2665302613004736	0.004399560043995601	chr3	169482906.0	169483020.0	antisense	0.03244675532446756	1.4888287261404747	0.05
E2F8	14	26	3.262452508528374	0.00019998000199980003	chr3	169482906.0	169483020.0	antisense	0.0023597640235976406	2.627131424306756	0.05
HOXB2	21	31	3.18887748978465	0.022997700229977002	chr3	169482906.0	169483020.0	sense	0.1356864313568643	0.8674635796171256	0.05
Bcl6	12	26	3.0657566809825827	0.007399260073992601	chr3	169482906.0	169483020.0	antisense	0.05238676132386761	1.2807784498561174	0.05
ALX3	21	31	2.9512381147478246	0.0336966303369663	chr3	169482906.0	169483020.0	sense	0.18638448655134485	0.7295902383636235	0.05
STAT3	15	26	2.8741159574719783	0.004299570042995701	chr3	169482906.0	169483020.0	antisense	0.03244675532446756	1.4888287261404747	0.05
Arid5a	18	32	2.5815811455761417	0.07079292070792921	chr3	169482906.0	169483020.0	antisense	0.2789394973546124	0.5544899860256364	0.05
HOXB3	21	31	2.4489711262066716	0.0801919808019198	chr3	169482906.0	169483020.0	antisense	0.29509089907335795	0.5300441844111543	0.05
TP53	12	30	2.358614230867294	0.011398860113988602	chr3	169482906.0	169483020.0	antisense	0.07472586074725861	1.1265290737375708	0.05
HLTF	21	31	2.3387304276311704	0.06979302069793021	chr3	169482906.0	169483020.0	antisense	0.2789394973546124	0.5544899860256364	0.05
POU2F1	16	28	2.248342881473124	0.0403959604039596	chr3	169482906.0	169483020.0	sense	0.21666924216669242	0.6642027356823386	0.05
Hes1	17	27	2.1726337917296092	0.3802619738026197	chr3	169482906.0	169483020.0	sense	0.7478485484784855	0.12618634494279846	0.05
TEAD4	19	29	2.1532298102577636	0.05729427057294271	chr3	169482906.0	169483020.0	antisense	0.26002784336950924	0.5849801459741653	0.05
TEAD1	19	29	2.0438668255772887	0.0724927507249275	chr3	169482906.0	169483020.0	antisense	0.2789394973546124	0.5544899860256364	0.05
Hoxc9	17	30	2.0332544574954405	0.05089491050894911	chr3	169482906.0	169483020.0	sense	0.24917245117593506	0.6034999755106377	0.05
Arid3b	22	33	2.0134634227702413	0.0660933906609339	chr3	169482906.0	169483020.0	antisense	0.2789394973546124	0.5544899860256364	0.05
TBP	18	33	1.9839568956177362	0.1867813218678132	chr3	169482906.0	169483020.0	antisense	0.4791346952261295	0.31954237975823685	0.05
MZF1(var.2)	16	26	1.9251775318469688	0.0724927507249275	chr3	169482906.0	169483020.0	sense	0.2789394973546124	0.5544899860256364	0.05
SPI1	14	28	1.8984471751019467	0.009099090090990901	chr3	169482906.0	169483020.0	sense	0.061943805619438054	1.2080021165647805	0.05
Pax6	12	26	1.8462457188155392	0.10028997100289971	chr3	169482906.0	169483020.0	antisense	0.33331666833316664	0.47714296781528	0.05
IRF7	19	33	1.8378703252847353	0.027097290270972903	chr3	169482906.0	169483020.0	sense	0.15471678638587755	0.810462563874923	0.05
TFCP2	16	26	1.7965997917588925	0.06929307069293071	chr3	169482906.0	169483020.0	sense	0.2789394973546124	0.5544899860256364	0.05
LIN54	24	33	1.7367364800536709	0.0428957104289571	chr3	169482906.0	169483020.0	antisense	0.2209750453526076	0.6556567682949098	0.05
CENPB	18	33	1.7123639425364319	0.13438656134386562	chr3	169482906.0	169483020.0	sense	0.3964403559644036	0.4018221425808932	0.05
NFIX	18	27	1.6805967925175567	0.2131786821317868	chr3	169482906.0	169483020.0	antisense	0.5240642602406426	0.28061545699178986	0.05
FOXP1	17	32	1.6701621867617553	0.09399060093990601	chr3	169482906.0	169483020.0	sense	0.32061024666764093	0.4940226017569779	0.05
HSF4	17	30	1.6699381042688586	0.11858814118588142	chr3	169482906.0	169483020.0	sense	0.3682473857877371	0.43386032755930354	0.05
EGR1	12	26	1.6665558330987282	0.0740925907409259	chr3	169482906.0	169483020.0	antisense	0.2790295438541252	0.5543498108714453	0.05
RUNX1	16	27	1.6549345695168445	0.16728327167283272	chr3	169482906.0	169483020.0	antisense	0.4419274490461402	0.35464902265348797	0.05
Tcfl5	16	26	1.6205466542761968	0.523047695230477	chr3	169482906.0	169483020.0	sense	0.8340490275296796	0.0788084196742774	0.05
NFKB2	19	32	1.6201845125239422	0.05349465053494651	chr3	169482906.0	169483020.0	antisense	0.24917245117593506	0.6034999755106377	0.05
SP1	15	26	1.5647995134191894	0.043695630436956304	chr3	169482906.0	169483020.0	antisense	0.2209750453526076	0.6556567682949098	0.05
E2F1	14	26	1.5591930416701691	0.15248475152484753	chr3	169482906.0	169483020.0	antisense	0.4187673540338274	0.37802718209249936	0.05
ZBTB18	13	26	1.5518901336997588	0.0862913708629137	chr3	169482906.0	169483020.0	antisense	0.3054714528547145	0.5150293695358653	0.05
Mitf	16	26	1.5114503202825489	0.3915608439156084	chr3	169482906.0	169483020.0	antisense	0.7530311484980533	0.12318705920296348	0.05
RFX3	12	28	1.471512588118276	0.10768923107689231	chr3	169482906.0	169483020.0	antisense	0.3425871698544431	0.4652289057188884	0.05
HINFP	13	25	1.4702742934595503	0.15378462153784622	chr3	169482906.0	169483020.0	sense	0.4187673540338274	0.37802718209249936	0.05
ZNF263	12	33	1.457817522320021	0.10838916108389161	chr3	169482906.0	169483020.0	sense	0.3425871698544431	0.4652289057188884	0.05
HIC2	15	24	1.432869709009416	0.2552744725527447	chr3	169482906.0	169483020.0	sense	0.605043495650435	0.2182134034599762	0.05
FOXH1	21	32	1.4092085692622942	0.10168983101689831	chr3	169482906.0	169483020.0	sense	0.33331666833316664	0.47714296781528	0.05
GRHL1	15	27	1.370244114970959	0.1533846615338466	chr3	169482906.0	169483020.0	sense	0.4187673540338274	0.37802718209249936	0.05
HSF2	17	30	1.3375327230791392	0.09419058094190581	chr3	169482906.0	169483020.0	sense	0.32061024666764093	0.4940226017569779	0.05
RFX5	12	28	1.3083607020775658	0.07089291070892911	chr3	169482906.0	169483020.0	antisense	0.2789394973546124	0.5544899860256364	0.05
Zfx	14	28	1.266009451466941	0.25637436256374363	chr3	169482906.0	169483020.0	antisense	0.605043495650435	0.2182134034599762	0.05
BCL6B	12	29	1.2296567323026182	0.0168983101689831	chr3	169482906.0	169483020.0	antisense	0.10313796206586238	0.9865814542003386	0.05
HSF1	17	30	1.226671565777019	0.0816918308169183	chr3	169482906.0	169483020.0	sense	0.29509089907335795	0.5300441844111543	0.05
ZBTB7B	12	24	1.2190551548322817	0.18638136186381363	chr3	169482906.0	169483020.0	sense	0.4791346952261295	0.31954237975823685	0.05
TBX19	13	33	1.186007753641619	0.1625837416258374	chr3	169482906.0	169483020.0	sense	0.4360200343602003	0.3604935551988754	0.05
Foxj3	16	33	1.1657512325256225	0.30356964303569645	chr3	169482906.0	169483020.0	sense	0.6716478352164784	0.17285838068355683	0.05
Tcf12	14	25	1.1595198828293813	0.19558044195580443	chr3	169482906.0	169483020.0	sense	0.4893186737664261	0.31040821003412516	0.05
Rarg(var.2)	14	31	1.1270436844057476	0.052594740525947405	chr3	169482906.0	169483020.0	sense	0.24917245117593506	0.6034999755106377	0.05
