motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP3	11	22	2.5737824483449456	0.0016998300169983002	chr9	21994352.0	21994466.0	antisense	0.06391360863913609	1.1944066609709276	0.05
SP1	11	22	2.5464321924969626	0.0007999200079992001	chr9	21994352.0	21994466.0	antisense	0.0422957704229577	1.3737030599018203	0.05
EGR1	8	22	2.52764530389384	0.0065993400659934	chr9	21994352.0	21994466.0	antisense	0.15508449155084492	0.8094316294632578	0.05
KLF16	11	22	2.337948250928133	0.0008999100089991	chr9	21994352.0	21994466.0	antisense	0.0422957704229577	1.3737030599018203	0.05
SP4	8	25	2.239780631159599	0.0004999500049995	chr9	21994352.0	21994466.0	antisense	0.0422957704229577	1.3737030599018203	0.05
Zfx	11	25	2.165844681086168	0.0005999400059994001	chr9	21994352.0	21994466.0	sense	0.0422957704229577	1.3737030599018203	0.05
ZNF263	8	29	2.0807470713053653	0.0994900509949005	chr9	21994352.0	21994466.0	sense	0.3170191455430728	0.49891450890960154	0.05
KLF5	12	22	2.059966567700117	0.0021997800219978004	chr9	21994352.0	21994466.0	antisense	0.06892644068926441	1.1616141475746202	0.05
Hes1	17	27	2.0289390772622715	0.0216978302169783	chr9	21994352.0	21994466.0	antisense	0.20395960403959604	0.6904558398286345	0.05
Gmeb1	9	26	1.984373737630678	0.036396360363963605	chr9	21994352.0	21994466.0	sense	0.26317368263173685	0.5797575423349447	0.05
THAP1	10	19	1.9214352496169438	0.009499050094990502	chr9	21994352.0	21994466.0	antisense	0.17858214178582144	0.748161972724335	0.05
Tcfl5	17	27	1.707238398742377	0.029597040295970403	chr9	21994352.0	21994466.0	sense	0.24192363372358416	0.6163217029718371	0.05
RREB1	9	29	1.7066951499129681	0.0451954804519548	chr9	21994352.0	21994466.0	antisense	0.2796220377962204	0.5534286036125956	0.05
ZNF740	9	19	1.5761216143134205	0.050994900509949	chr9	21994352.0	21994466.0	antisense	0.2830358473586604	0.5481585562632424	0.05
MZF1(var.2)	8	18	1.5278043096298015	0.046995300469953004	chr9	21994352.0	21994466.0	sense	0.2796220377962204	0.5534286036125956	0.05
HINFP	9	21	1.3681662549490112	0.011398860113988602	chr9	21994352.0	21994466.0	antisense	0.1807511556536654	0.7429189173119632	0.05
REL	12	22	1.313259513766563	0.0047995200479952005	chr9	21994352.0	21994466.0	sense	0.12890139557472824	0.8897423806518525	0.05
MNT	17	27	1.1825965774614513	0.008899110088991101	chr9	21994352.0	21994466.0	antisense	0.17858214178582144	0.748161972724335	0.05
ZBTB7A	8	20	1.1376628450079116	0.06179382061793821	chr9	21994352.0	21994466.0	antisense	0.2830358473586604	0.5481585562632424	0.05
ZBTB7B	19	31	1.1362669046925309	0.0451954804519548	chr9	21994352.0	21994466.0	antisense	0.2796220377962204	0.5534286036125956	0.05
NFYA	12	30	1.1177500310231667	0.047595240475952406	chr9	21994352.0	21994466.0	sense	0.2796220377962204	0.5534286036125956	0.05
PLAG1	12	26	1.1039830630831393	0.09069093090690931	chr9	21994352.0	21994466.0	sense	0.304462410901767	0.5164663179592879	0.05
Rfx1	17	31	1.0961880418215966	0.0124987501249875	chr9	21994352.0	21994466.0	antisense	0.1807511556536654	0.7429189173119632	0.05
NR2C2	15	30	1.0933718692205805	0.0775922407759224	chr9	21994352.0	21994466.0	sense	0.2830358473586604	0.5481585562632424	0.05
HIC2	10	19	1.0899658123590046	0.0785921407859214	chr9	21994352.0	21994466.0	antisense	0.2830358473586604	0.5481585562632424	0.05
CENPB	12	27	1.0632526264246258	0.1070892910708929	chr9	21994352.0	21994466.0	antisense	0.32971306043998777	0.481863849445635	0.05
NFKB2	11	24	1.0185271389118074	0.014998500149985002	chr9	21994352.0	21994466.0	antisense	0.2014084305855129	0.6959223546357396	0.05
HEY1	17	27	1.0132542404425526	0.0193980601939806	chr9	21994352.0	21994466.0	antisense	0.20395960403959604	0.6904558398286345	0.05
MAX	17	27	1.0057993618740815	0.0170982901709829	chr9	21994352.0	21994466.0	antisense	0.20395960403959604	0.6904558398286345	0.05
RARA(var.2)	13	30	0.9888818405424102	0.012198780121987801	chr9	21994352.0	21994466.0	sense	0.1807511556536654	0.7429189173119632	0.05
JUN(var.2)	10	24	0.941859073181004	0.0690930906909309	chr9	21994352.0	21994466.0	sense	0.2830358473586604	0.5481585562632424	0.05
PPARG	8	28	0.938001163517619	0.05299470052994701	chr9	21994352.0	21994466.0	sense	0.2830358473586604	0.5481585562632424	0.05
LBX2	17	27	0.9324838573510682	0.21077892210778923	chr9	21994352.0	21994466.0	antisense	0.4554762914513147	0.3415342240912923	0.05
KLF13	11	29	0.9285399643213996	0.07579242075792421	chr9	21994352.0	21994466.0	antisense	0.2830358473586604	0.5481585562632424	0.05
TFE3	17	27	0.9235448444626126	0.0750924907509249	chr9	21994352.0	21994466.0	antisense	0.2830358473586604	0.5481585562632424	0.05
Stat6	16	31	0.9225330619097956	0.10258974102589741	chr9	21994352.0	21994466.0	sense	0.32144785521447855	0.492889467621029	0.05
MYBL2	14	29	0.9206520312109732	0.0292970702929707	chr9	21994352.0	21994466.0	antisense	0.24192363372358416	0.6163217029718371	0.05
Npas2	17	27	0.9138632583230628	0.0254974502549745	chr9	21994352.0	21994466.0	sense	0.2282628879969146	0.6415646923131468	0.05
ZBTB33	12	27	0.8947769687230832	0.1366863313668633	chr9	21994352.0	21994466.0	antisense	0.37405534808837954	0.42706413151368305	0.05
