motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
NRF1	33	44	7.971964759587429	9.999000099990002e-05	chr1	150488170.0	150488284.0	antisense	0.009399060093990603	2.026915573677164	0.05
Tcfl5	35	45	7.610791554717932	0.0007999200079992001	chr1	150488170.0	150488284.0	sense	0.05012832050128321	1.2999168457409016	0.05
Gmeb1	28	45	7.601709394791082	0.004899510048995101	chr1	150488170.0	150488284.0	sense	0.10234532102345321	0.989932007423994	0.05
Hes1	33	43	7.049199273150866	0.0047995200479952005	chr1	150488170.0	150488284.0	antisense	0.10234532102345321	0.989932007423994	0.05
Myc	36	46	4.925036463939088	9.999000099990002e-05	chr1	150488170.0	150488284.0	sense	0.009399060093990603	2.026915573677164	0.05
MAX	35	45	4.555476171510419	0.0020997900209979003	chr1	150488170.0	150488284.0	sense	0.06892644068926441	1.1616141475746202	0.05
LBX2	34	44	4.545218717846549	0.0198980101989801	chr1	150488170.0	150488284.0	sense	0.1781345674956314	0.7492517963373955	0.05
Npas2	35	45	4.475732548824673	0.0020997900209979003	chr1	150488170.0	150488284.0	antisense	0.06892644068926441	1.1616141475746202	0.05
Arntl	36	46	4.287672618050981	0.0035996400359964	chr1	150488170.0	150488284.0	antisense	0.09667604668104618	1.0146811172601524	0.05
TFE3	35	45	4.103561916282732	0.012698730126987301	chr1	150488170.0	150488284.0	antisense	0.1492100789921008	0.8262018397131508	0.05
USF2	35	46	4.006630994079873	0.0021997800219978004	chr1	150488170.0	150488284.0	sense	0.06892644068926441	1.1616141475746202	0.05
HINFP	32	44	3.9531689036059903	0.006199380061993801	chr1	150488170.0	150488284.0	antisense	0.1059530410595304	0.974886573673154	0.05
NRL	37	48	3.9244248734935954	0.0461953804619538	chr1	150488170.0	150488284.0	sense	0.3473892610738926	0.4591836111290949	0.05
TFEB	35	45	3.5753880626094716	0.009099090090990901	chr1	150488170.0	150488284.0	antisense	0.13409325734093258	0.8725930593836544	0.05
CLOCK	33	43	3.5219068536156444	0.009999000099990002	chr1	150488170.0	150488284.0	sense	0.13409325734093258	0.8725930593836544	0.05
TCF3	35	45	3.329819426937453	0.015198480151984802	chr1	150488170.0	150488284.0	sense	0.15434246049079303	0.8115145806115502	0.05
MNT	35	45	3.301492844345664	0.0182981701829817	chr1	150488170.0	150488284.0	sense	0.172002799720028	0.7644644839467345	0.05
HIC2	31	40	3.213300063333241	0.0400959904009599	chr1	150488170.0	150488284.0	antisense	0.3140852581408526	0.5029524471046065	0.05
CEBPB	31	41	3.1614139660210148	0.010698930106989302	chr1	150488170.0	150488284.0	antisense	0.13409325734093258	0.8725930593836544	0.05
HEY1	35	45	3.127020486852371	0.015598440155984402	chr1	150488170.0	150488284.0	sense	0.15434246049079303	0.8115145806115502	0.05
CEBPD	31	41	3.074913207648456	0.010198980101989802	chr1	150488170.0	150488284.0	antisense	0.13409325734093258	0.8725930593836544	0.05
CEBPG	31	41	3.060128818513237	0.005699430056994301	chr1	150488170.0	150488284.0	antisense	0.1059530410595304	0.974886573673154	0.05
MIXL1	34	44	3.0097914996182293	0.15208479152084792	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
ZNF263	27	48	2.8623250801926456	0.060693930606939304	chr1	150488170.0	150488284.0	antisense	0.41096579997172694	0.38619431803040627	0.05
ETV5	33	43	2.845682629041665	0.0633936606339366	chr1	150488170.0	150488284.0	sense	0.41096579997172694	0.38619431803040627	0.05
USF1	35	46	2.69246227578764	0.034996500349965	chr1	150488170.0	150488284.0	sense	0.28605835068667046	0.5435453696805	0.05
ZEB1	37	46	2.676799755607478	0.014998500149985002	chr1	150488170.0	150488284.0	antisense	0.15434246049079303	0.8115145806115502	0.05
Arid5a	26	40	2.6419931696680354	0.20927907209279073	chr1	150488170.0	150488284.0	sense	0.7025797420257975	0.15330437668069669	0.05
TBX2	37	48	2.6216341432277055	0.11998800119988001	chr1	150488170.0	150488284.0	sense	0.612113788621138	0.21316783736958306	0.05
HNF4G	26	41	2.6120426523572196	0.08089191080891911	chr1	150488170.0	150488284.0	antisense	0.47523997600239976	0.3230870347208165	0.05
BHLHE40	35	45	2.593800953177446	0.030096990300969902	chr1	150488170.0	150488284.0	sense	0.25719246257192463	0.5897417632415457	0.05
RUNX1	36	47	2.332551305378601	0.15148485151484853	chr1	150488170.0	150488284.0	sense	0.612113788621138	0.21316783736958306	0.05
CENPB	33	48	2.3124598547787594	0.12768723127687232	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
HSF4	31	44	2.3085561767050864	0.1060893910608939	chr1	150488170.0	150488284.0	sense	0.5698515862699445	0.24423823846211776	0.05
ETV3	33	43	2.305223202045961	0.09909009099090091	chr1	150488170.0	150488284.0	sense	0.5479099148908638	0.26129084057016266	0.05
TBX19	28	48	2.2624686073398235	0.09319068093190681	chr1	150488170.0	150488284.0	antisense	0.5309044853090449	0.2749836055370889	0.05
Tcf12	35	46	2.2112860986728955	0.06189381061893811	chr1	150488170.0	150488284.0	sense	0.41096579997172694	0.38619431803040627	0.05
MLXIPL	35	45	2.171813254408953	0.07229277072292771	chr1	150488170.0	150488284.0	antisense	0.43842067406162616	0.3581089745529246	0.05
ZBTB33	30	45	2.1599550104223724	0.1324867513248675	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
SP3	32	43	2.1417568584932543	0.14538546145385461	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
THAP1	32	41	2.105847970448175	0.39936006399360063	chr1	150488170.0	150488284.0	sense	0.8257745654006028	0.0831384979160041	0.05
NFIX	32	41	2.073364099503678	0.27107289271072893	chr1	150488170.0	150488284.0	antisense	0.711978802119788	0.14753293650282137	0.05
TBP	26	41	2.0602674239686283	0.32696730326967305	chr1	150488170.0	150488284.0	sense	0.7683731626837317	0.1144278123448403	0.05
ETV4	33	43	2.0248329598079375	0.1531846815318468	chr1	150488170.0	150488284.0	sense	0.612113788621138	0.21316783736958306	0.05
REL	34	44	1.979097377500928	0.1782821717828217	chr1	150488170.0	150488284.0	sense	0.6359439527745339	0.19658115805178902	0.05
ELK1	33	43	1.9480983333544373	0.0680931906809319	chr1	150488170.0	150488284.0	sense	0.42671732826717323	0.36985972082006013	0.05
ELK3	33	43	1.8464027923058124	0.17468253174682533	chr1	150488170.0	150488284.0	sense	0.6359439527745339	0.19658115805178902	0.05
NR2F1	35	48	1.8229100856576943	0.18898110188981102	chr1	150488170.0	150488284.0	antisense	0.657934206579342	0.18181753366290723	0.05
Gabpa	36	47	1.8183577659812504	0.143985601439856	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
NFYB	27	42	1.788883360467011	0.16968303169683033	chr1	150488170.0	150488284.0	antisense	0.6359439527745339	0.19658115805178902	0.05
Rfx1	26	40	1.7396846707539417	0.21637836216378362	chr1	150488170.0	150488284.0	antisense	0.711978802119788	0.14753293650282137	0.05
MZF1(var.2)	30	40	1.7362328366169473	0.26777322267773224	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
NFATC3	38	48	1.6972471826245699	0.3638636136386361	chr1	150488170.0	150488284.0	sense	0.8206274610634176	0.0858539541144617	0.05
E2F3	27	45	1.676191114365353	0.048295170482951705	chr1	150488170.0	150488284.0	sense	0.34921123272288157	0.4569117952324886	0.05
ERF	33	43	1.610702662448312	0.15628437156284372	chr1	150488170.0	150488284.0	sense	0.612113788621138	0.21316783736958306	0.05
HLF	30	42	1.5408141412344367	0.2702729727027297	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
ZBTB7A	27	39	1.505053556331712	0.30616938306169383	chr1	150488170.0	150488284.0	antisense	0.76596390993812	0.11579169261801077	0.05
E2F4	27	38	1.5045193594714812	0.15198480151984803	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
ETV6	33	43	1.4990725808779775	0.22747725227477253	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
Zfx	32	46	1.4896522265312144	0.2726727327267273	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
TEAD1	27	37	1.4506699599491215	0.37916208379162086	chr1	150488170.0	150488284.0	antisense	0.8257745654006028	0.0831384979160041	0.05
YY1	27	39	1.4274728017549019	0.24947505249475052	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
HLTF	34	44	1.4262830218051392	0.555044495550445	chr1	150488170.0	150488284.0	sense	0.9243703728800674	0.034153982601083314	0.05
JUN(var.2)	26	40	1.3993587600082533	0.31556844315568444	chr1	150488170.0	150488284.0	antisense	0.76596390993812	0.11579169261801077	0.05
TEAD4	27	37	1.3889525295213925	0.36666333366663334	chr1	150488170.0	150488284.0	antisense	0.8206274610634176	0.0858539541144617	0.05
Foxo1	36	47	1.3367398335063607	0.23657634236576341	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
E2F1	30	42	1.3265430061983883	0.3885611438856114	chr1	150488170.0	150488284.0	sense	0.8257745654006028	0.0831384979160041	0.05
E2F6	27	38	1.307878224348154	0.1792820717928207	chr1	150488170.0	150488284.0	antisense	0.6359439527745339	0.19658115805178902	0.05
PPARG	28	48	1.1894271107312082	0.23367663233676633	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
DBP	30	42	1.1466297250859316	0.31716828317168283	chr1	150488170.0	150488284.0	sense	0.76596390993812	0.11579169261801077	0.05
TGIF2	32	44	1.1289865917838917	0.16668333166683333	chr1	150488170.0	150488284.0	antisense	0.6359439527745339	0.19658115805178902	0.05
ZBTB18	26	39	1.1046287535231198	0.26477352264773524	chr1	150488170.0	150488284.0	antisense	0.711978802119788	0.14753293650282137	0.05
MAFK	26	41	1.095979306061268	0.5031496850314968	chr1	150488170.0	150488284.0	sense	0.8819736208197362	0.05454440410145603	0.05
ELK4	36	47	1.092081597730082	0.34296570342965704	chr1	150488170.0	150488284.0	sense	0.7960191635157472	0.09907647684906207	0.05
SOX9	27	36	1.0768278496616916	0.6606339366063394	chr1	150488170.0	150488284.0	antisense	0.9919738184911666	0.0034997901793551085	0.05
ELF4	31	43	1.0761944780628248	0.2705729427057294	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
MTF1	31	45	1.0530812053511809	0.1406859314068593	chr1	150488170.0	150488284.0	sense	0.612113788621138	0.21316783736958306	0.05
POU2F1	35	47	1.0374878545918966	0.5718428157184282	chr1	150488170.0	150488284.0	sense	0.9243703728800674	0.034153982601083314	0.05
TP53	29	47	1.0125270379947648	0.23427657234276572	chr1	150488170.0	150488284.0	antisense	0.711978802119788	0.14753293650282137	0.05
Sox6	26	36	1.012444940125318	0.24327567243275672	chr1	150488170.0	150488284.0	antisense	0.711978802119788	0.14753293650282137	0.05
ELF1	31	43	1.0005630497267246	0.32186781321867813	chr1	150488170.0	150488284.0	sense	0.76596390993812	0.11579169261801077	0.05
SREBF2	38	48	0.9770721275777068	0.35806419358064195	chr1	150488170.0	150488284.0	sense	0.8206274610634176	0.0858539541144617	0.05
SP4	26	43	0.9518318731732147	0.14628537146285372	chr1	150488170.0	150488284.0	sense	0.612113788621138	0.21316783736958306	0.05
EGR1	29	43	0.9494485447820739	0.41045895410458955	chr1	150488170.0	150488284.0	antisense	0.8257745654006028	0.0831384979160041	0.05
MNX1	27	37	0.8867928645405242	0.7503249675032497	chr1	150488170.0	150488284.0	antisense	0.9999000099990001	4.342727686267685e-05	0.05
ZBTB7B	26	38	0.8741341738274714	0.41135886411358863	chr1	150488170.0	150488284.0	antisense	0.8257745654006028	0.0831384979160041	0.05
Nkx3-1	28	37	0.8731399440423047	0.5615438456154385	chr1	150488170.0	150488284.0	antisense	0.9243703728800674	0.034153982601083314	0.05
FOXA1	33	48	0.864911641383313	0.48975102489751027	chr1	150488170.0	150488284.0	sense	0.8768875493403042	0.057056096294425505	0.05
KLF13	27	45	0.8258061839397945	0.20757924207579243	chr1	150488170.0	150488284.0	antisense	0.7025797420257975	0.15330437668069669	0.05
JUND	37	48	0.7791155328765569	0.4096590340965903	chr1	150488170.0	150488284.0	antisense	0.8257745654006028	0.0831384979160041	0.05
Foxq1	36	47	0.776055554357923	0.4076592340765923	chr1	150488170.0	150488284.0	sense	0.8257745654006028	0.0831384979160041	0.05
FOSL1	37	48	0.7687201679348099	0.39236076392360764	chr1	150488170.0	150488284.0	antisense	0.8257745654006028	0.0831384979160041	0.05
Gfi1	27	37	0.7554193202630708	0.7972202779722027	chr1	150488170.0	150488284.0	sense	0.9999000099990001	4.342727686267685e-05	0.05
NFE2	37	48	0.7394093578083428	0.29647035296470353	chr1	150488170.0	150488284.0	sense	0.7587835811013492	0.11988207514003074	0.05
HSF1	31	44	0.7342928431701822	0.26247375262473754	chr1	150488170.0	150488284.0	sense	0.711978802119788	0.14753293650282137	0.05
RARA(var.2)	28	45	0.7269101517448487	0.1386861313868613	chr1	150488170.0	150488284.0	antisense	0.612113788621138	0.21316783736958306	0.05
KLF5	26	36	0.6700301045806548	0.41825817418258177	chr1	150488170.0	150488284.0	antisense	0.8257745654006028	0.0831384979160041	0.05
SREBF1	38	48	0.6507012410168492	0.4647535246475352	chr1	150488170.0	150488284.0	antisense	0.8566045356248689	0.06721963039282602	0.05
Gata4	26	37	0.6418429285498815	0.5155484451554845	chr1	150488170.0	150488284.0	sense	0.8819736208197362	0.05454440410145603	0.05
HSF2	31	44	0.620487749991218	0.43045695430456954	chr1	150488170.0	150488284.0	sense	0.8257745654006028	0.0831384979160041	0.05
FOS	37	48	0.6058977977485961	0.5834416558344165	chr1	150488170.0	150488284.0	antisense	0.9243703728800674	0.034153982601083314	0.05
SP1	29	40	0.5951162438671197	0.42795720427957207	chr1	150488170.0	150488284.0	sense	0.8257745654006028	0.0831384979160041	0.05
MLX	35	45	0.5798161534226461	0.515948405159484	chr1	150488170.0	150488284.0	sense	0.8819736208197362	0.05454440410145603	0.05
FOXH1	26	37	0.5773979340335369	0.5153484651534846	chr1	150488170.0	150488284.0	antisense	0.8819736208197362	0.05454440410145603	0.05
FOSL2	36	47	0.5764911112320542	0.5814418558144185	chr1	150488170.0	150488284.0	sense	0.9243703728800674	0.034153982601083314	0.05
JUND(var.2)	29	44	0.568237186181944	0.5949405059494051	chr1	150488170.0	150488284.0	antisense	0.9243703728800674	0.034153982601083314	0.05
KLF16	29	40	0.5675850785396608	0.45495450454954506	chr1	150488170.0	150488284.0	sense	0.84684600846846	0.07219555513871301	0.05
SRY	29	38	0.5148047918971427	0.8740125987401259	chr1	150488170.0	150488284.0	antisense	0.9999000099990001	4.342727686267685e-05	0.05
ZNF740	26	36	0.5139946044007656	0.4350564943505649	chr1	150488170.0	150488284.0	antisense	0.826167888261679	0.08293168931801571	0.05
JUNB	36	47	0.5119657264353712	0.6557344265573443	chr1	150488170.0	150488284.0	sense	0.9919738184911666	0.0034997901793551085	0.05
