motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	41	56	4.109250549518202	0.0017998200179982	chr14	101292375.0	101292489.0	sense	0.11278872112788721	0.9477343276295392	0.15
RUNX1	45	56	3.503229332293518	0.0010998900109989002	chr14	101292375.0	101292489.0	antisense	0.11278872112788721	0.9477343276295392	0.15
Foxj3	38	55	2.6750597953582433	0.030796920307969204	chr14	101292375.0	101292489.0	sense	0.35447883783050266	0.45040968682158977	0.15
Foxk1	38	55	2.629257322101348	0.0163983601639836	chr14	101292375.0	101292489.0	sense	0.3007699230076992	0.521765595357258	0.15
Foxo1	42	53	2.6291507731144037	0.0014998500149985001	chr14	101292375.0	101292489.0	antisense	0.11278872112788721	0.9477343276295392	0.15
MIXL1	39	49	2.5999682218005367	0.038196180381961806	chr14	101292375.0	101292489.0	sense	0.35447883783050266	0.45040968682158977	0.15
FOXA1	39	54	2.540138963513191	0.008399160083991601	chr14	101292375.0	101292489.0	antisense	0.22557744225577445	0.646704331965558	0.15
Foxq1	42	53	2.4736161418988263	0.0028997100289971	chr14	101292375.0	101292489.0	antisense	0.1362863713628637	0.8655475714421892	0.15
Foxa2	38	50	2.358878504390752	0.005099490050994901	chr14	101292375.0	101292489.0	antisense	0.17231610172316103	0.7636741389025825	0.15
MAFF	41	59	2.1424631908406204	0.07239276072392761	chr14	101292375.0	101292489.0	antisense	0.523455346773015	0.2811203597868539	0.15
FOXP1	38	53	2.1383069204397858	0.03949605039496051	chr14	101292375.0	101292489.0	sense	0.35447883783050266	0.45040968682158977	0.15
KLF5	47	57	2.110294081891255	0.005499450054994501	chr14	101292375.0	101292489.0	sense	0.17231610172316103	0.7636741389025825	0.15
ZNF263	42	63	2.1021802790178326	0.19148085191480851	chr14	101292375.0	101292489.0	antisense	0.6949855739063775	0.15802421014064807	0.15
HNF4G	38	53	2.096203065713958	0.028697130286971302	chr14	101292375.0	101292489.0	sense	0.35447883783050266	0.45040968682158977	0.15
REL	42	52	2.0910243321742663	0.013398660133986601	chr14	101292375.0	101292489.0	antisense	0.2798831227988312	0.5530232890877	0.15
NFAT5	40	50	2.029753535468265	0.038196180381961806	chr14	101292375.0	101292489.0	antisense	0.35447883783050266	0.45040968682158977	0.15
SP4	44	61	2.0284364572219884	0.010198980101989802	chr14	101292375.0	101292489.0	sense	0.23967603239676036	0.6203753932432088	0.15
EGR1	47	61	1.9971741924031179	0.059394060593940604	chr14	101292375.0	101292489.0	sense	0.4854818865939493	0.3138269690495821	0.15
SP3	47	58	1.9744365931693375	0.05799420057994201	chr14	101292375.0	101292489.0	sense	0.4854818865939493	0.3138269690495821	0.15
Hes1	49	59	1.9623834317597615	0.30546945305469453	chr14	101292375.0	101292489.0	sense	0.7210267478999227	0.14204862397700854	0.15
Gmeb1	39	56	1.9348616847292954	0.4791520847915208	chr14	101292375.0	101292489.0	antisense	0.7786533846615339	0.10865582426397655	0.15
MAFG	43	64	1.932252190701905	0.11458854114588542	chr14	101292375.0	101292489.0	antisense	0.5984068259840682	0.2230034611490989	0.15
Gfi1	44	54	1.9164338427973338	0.0395960403959604	chr14	101292375.0	101292489.0	sense	0.35447883783050266	0.45040968682158977	0.15
Arid3b	41	52	1.907736699162449	0.10008999100089991	chr14	101292375.0	101292489.0	sense	0.5650493774151997	0.247913599256744	0.15
SP1	47	58	1.8907760579143733	0.0207979202079792	chr14	101292375.0	101292489.0	sense	0.3007699230076992	0.521765595357258	0.15
ZNF740	48	58	1.8818172878972952	0.020097990200979902	chr14	101292375.0	101292489.0	sense	0.3007699230076992	0.521765595357258	0.15
LIN54	40	49	1.8570103331681023	0.017798220177982202	chr14	101292375.0	101292489.0	antisense	0.3007699230076992	0.521765595357258	0.15
Arid5a	38	52	1.7977553128925143	0.21657834216578342	chr14	101292375.0	101292489.0	sense	0.6949855739063775	0.15802421014064807	0.15
FOXH1	42	53	1.782710564321427	0.026597340265973404	chr14	101292375.0	101292489.0	sense	0.35447883783050266	0.45040968682158977	0.15
NFATC3	40	50	1.7227400375826838	0.12398760123987601	chr14	101292375.0	101292489.0	antisense	0.621783975448609	0.20636047474043306	0.15
TCF7L2	39	53	1.6369949456831014	0.1267873212678732	chr14	101292375.0	101292489.0	sense	0.621783975448609	0.20636047474043306	0.15
NFYB	43	58	1.62919503790313	0.08759124087591241	chr14	101292375.0	101292489.0	sense	0.5650493774151997	0.247913599256744	0.15
POU2F1	38	50	1.6045247832614922	0.1110888911108889	chr14	101292375.0	101292489.0	sense	0.5967060436813462	0.22423956342259083	0.15
HIC2	41	50	1.6038368576894495	0.09769023097690231	chr14	101292375.0	101292489.0	sense	0.5650493774151997	0.247913599256744	0.15
MZF1(var.2)	44	54	1.5992211044398987	0.128987101289871	chr14	101292375.0	101292489.0	antisense	0.621783975448609	0.20636047474043306	0.15
SRY	39	48	1.5901503710358462	0.0908909109089091	chr14	101292375.0	101292489.0	sense	0.5650493774151997	0.247913599256744	0.15
HLTF	41	51	1.5726303619118143	0.16768323167683233	chr14	101292375.0	101292489.0	antisense	0.6707329267073293	0.17345037334281452	0.15
CENPB	38	53	1.5722130196162991	0.1486851314868513	chr14	101292375.0	101292489.0	sense	0.6374271663742717	0.19556943136272026	0.15
KLF16	47	58	1.5430154119773827	0.0690930906909309	chr14	101292375.0	101292489.0	sense	0.5195800419958004	0.284347539311022	0.15
TBX2	41	52	1.5233520155129083	0.17478252174782521	chr14	101292375.0	101292489.0	antisense	0.6831236876312369	0.1655006550411673	0.15
GATA2	39	53	1.469933295686083	0.144985501449855	chr14	101292375.0	101292489.0	antisense	0.6374271663742717	0.19556943136272026	0.15
TEAD4	44	54	1.3919848157505088	0.1491850814918508	chr14	101292375.0	101292489.0	sense	0.6374271663742717	0.19556943136272026	0.15
CTCF	42	61	1.344741676107192	0.22207779222077792	chr14	101292375.0	101292489.0	antisense	0.6949855739063775	0.15802421014064807	0.15
TEAD1	44	54	1.3418496343680573	0.1924807519248075	chr14	101292375.0	101292489.0	sense	0.6949855739063775	0.15802421014064807	0.15
MNX1	39	49	1.331318040275477	0.24167583241675833	chr14	101292375.0	101292489.0	sense	0.6949855739063775	0.15802421014064807	0.15
