motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	6	23	6.59011775794304	0.000999900009999	chr14	101292375.0	101292489.0	sense	0.037067721799248644	1.4310041051066429	0.05
CREB1	10	18	5.685487518669427	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.006486851314868513	2.1879660564203482	0.05
ATF7	7	21	5.428964466722904	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.006486851314868513	2.1879660564203482	0.05
Crem	10	20	5.017681099192279	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.006486851314868513	2.1879660564203482	0.05
Creb5	8	20	4.743383243809166	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.006486851314868513	2.1879660564203482	0.05
JDP2(var.2)	8	20	4.5414749371898235	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.006486851314868513	2.1879660564203482	0.05
JUN	6	19	4.085833522540765	0.00019998000199980003	chr14	101292375.0	101292489.0	sense	0.011532180115321804	1.9380885832037484	0.05
JUND(var.2)	8	23	3.946823384946548	0.0005999400059994001	chr14	101292375.0	101292489.0	antisense	0.028306260283062604	1.5481175042029862	0.05
GMEB2	10	18	3.91394195225821	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.006486851314868513	2.1879660564203482	0.05
HLF	8	20	3.8921850401541604	0.0012998700129987	chr14	101292375.0	101292489.0	antisense	0.0396842668674309	1.401381638499842	0.05
Atf1	11	19	3.8218953122825	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.006486851314868513	2.1879660564203482	0.05
NR2C2	10	25	3.7078215925518045	0.000999900009999	chr14	101292375.0	101292489.0	sense	0.037067721799248644	1.4310041051066429	0.05
DBP	8	20	3.5451079209517435	0.0006999300069993001	chr14	101292375.0	101292489.0	sense	0.030271972802719732	1.5189592754617727	0.05
BATF3	7	21	3.5152443684276697	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.006486851314868513	2.1879660564203482	0.05
Atf3	8	16	3.4910081016668513	0.0004999500049995	chr14	101292375.0	101292489.0	sense	0.025947405259474053	1.585906065092386	0.05
HNF4G	10	25	3.455822005522604	0.006099390060993901	chr14	101292375.0	101292489.0	sense	0.09892448255174482	1.0046962127375438	0.05
Hoxd3	9	25	3.4274458317220318	0.022097790220977902	chr14	101292375.0	101292489.0	sense	0.19773712283944017	0.7039117893062314	0.05
NRL	14	25	3.342948472436119	0.0217978202179782	chr14	101292375.0	101292489.0	antisense	0.19773712283944017	0.7039117893062314	0.05
Nr1h3::Rxra	10	29	3.3044883304824477	0.036096390360963904	chr14	101292375.0	101292489.0	sense	0.23914412682443095	0.6213402805627132	0.05
CREB3	7	21	3.2844972261999366	0.0027997200279972004	chr14	101292375.0	101292489.0	antisense	0.07413544359849729	1.1299741094426616	0.05
Pparg::Rxra	10	25	3.2122914708047516	0.0206979302069793	chr14	101292375.0	101292489.0	sense	0.1946055394460554	0.710844801700686	0.05
Nr2f6	11	25	3.167689219453654	0.0011998800119988001	chr14	101292375.0	101292489.0	sense	0.03892110788921108	1.4098148060367048	0.05
Foxj3	9	26	3.1294757799192516	0.0225977402259774	chr14	101292375.0	101292489.0	sense	0.19878351147936055	0.7016196419231481	0.05
THAP1	10	19	3.1252180243055303	0.020997900209979003	chr14	101292375.0	101292489.0	antisense	0.1946055394460554	0.710844801700686	0.05
