motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
LEF1	59	74	1.6340574064990623	0.00019998000199980003	chr20	47895099.0	47895213.0	antisense	0.10378962103789621	0.9838460737644236	0.15
HNF4G	66	81	1.5804280875998882	0.0017998200179982	chr20	47895099.0	47895213.0	antisense	0.34596540345965404	0.46096732848408606	0.15
Hoxb5	63	79	1.412848536352025	0.015998400159984	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
Gmeb1	59	76	1.3395172504812605	0.15848415158484153	chr20	47895099.0	47895213.0	sense	0.4102772891027729	0.38692252273654565	0.15
TCF7L2	60	74	1.3275531321209086	0.0098990100989901	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
Tcf7	62	74	1.2898857867134863	0.001999800019998	chr20	47895099.0	47895213.0	antisense	0.34596540345965404	0.46096732848408606	0.15
ELF5	68	79	1.2409147254755337	0.007599240075992401	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
Hoxd3	63	79	1.231363346591133	0.0532946705329467	chr20	47895099.0	47895213.0	sense	0.37943867950867255	0.4208583997495404	0.15
Hes1	62	72	1.2234801821051704	0.14628537146285372	chr20	47895099.0	47895213.0	antisense	0.40830942286482014	0.3890105974197062	0.15
Pparg::Rxra	66	81	1.2126884426800875	0.046495350464953504	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
MIXL1	67	77	1.1806062965123285	0.05629437056294371	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
NFYB	60	75	1.1772479253535704	0.014198580141985802	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
FOXA1	60	75	1.1765716970260924	0.022297770222977704	chr20	47895099.0	47895213.0	sense	0.37943867950867255	0.4208583997495404	0.15
LBX2	67	77	1.1758600341624335	0.0456954304569543	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
FOXP1	66	81	1.1610526688049883	0.028397160283971604	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
Hes2	61	74	1.1575180376551886	0.11828817118288171	chr20	47895099.0	47895213.0	antisense	0.39741380700639617	0.40075704864410505	0.15
CENPB	64	79	1.1557279956041115	0.026197380261973803	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
Nr1h3::Rxra	62	81	1.131580673326218	0.07179282071792821	chr20	47895099.0	47895213.0	antisense	0.3952735567564739	0.4031022383736378	0.15
EMX1	67	77	1.1267905828729563	0.045995400459954004	chr20	47895099.0	47895213.0	antisense	0.37943867950867255	0.4208583997495404	0.15
EVX2	67	77	1.1222099724669339	0.0463953604639536	chr20	47895099.0	47895213.0	sense	0.37943867950867255	0.4208583997495404	0.15
