motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
HLTF	40	50	2.038861484398622	9.999000099990002e-05	chr20	47895099.0	47895213.0	antisense	0.017698230176982303	1.752070160915056	0.05
Arid5a	33	47	1.8396649155525844	0.0008999100089991	chr20	47895099.0	47895213.0	antisense	0.07964203579642036	1.0988576471397125	0.05
TBP	31	46	1.3670538852753678	0.0117988201179882	chr20	47895099.0	47895213.0	antisense	0.3480651934806519	0.45833940399257433	0.05
CENPB	34	49	1.2577376728124816	0.0029997000299970002	chr20	47895099.0	47895213.0	antisense	0.17698230176982302	0.752070160915056	0.05
ALX3	38	48	1.1881246599052822	0.0192980701929807	chr20	47895099.0	47895213.0	antisense	0.4167128741671287	0.3801630819920293	0.05
Gmeb1	32	49	1.087315380716358	0.14608539146085392	chr20	47895099.0	47895213.0	sense	0.8291352682913526	0.08137461121063744	0.05
Bcl6	36	50	0.9252877809756845	0.024197580241975804	chr20	47895099.0	47895213.0	sense	0.4167128741671287	0.3801630819920293	0.05
Gata1	38	49	0.8812326984276818	0.008399160083991601	chr20	47895099.0	47895213.0	antisense	0.3480651934806519	0.45833940399257433	0.05
Arid3b	40	51	0.8532944944398108	0.046995300469953004	chr20	47895099.0	47895213.0	sense	0.5545445455454455	0.2560635620350198	0.05
HOXB3	38	48	0.833360262576135	0.09419058094190581	chr20	47895099.0	47895213.0	sense	0.7843533828435337	0.10548822603872551	0.05
POU4F1	34	48	0.7946983336301697	0.073992600739926	chr20	47895099.0	47895213.0	sense	0.6548345165483451	0.18386843684806106	0.05
TEF	36	48	0.7905038238592961	0.019098090190980903	chr20	47895099.0	47895213.0	antisense	0.4167128741671287	0.3801630819920293	0.05
Foxk1	32	49	0.782906978753509	0.067993200679932	chr20	47895099.0	47895213.0	antisense	0.6334103431762087	0.19831484916164868	0.05
Crem	41	51	0.7571765536512036	0.022497750224977502	chr20	47895099.0	47895213.0	sense	0.4167128741671287	0.3801630819920293	0.05
HSF4	38	51	0.7317824288749746	0.0608939106089391	chr20	47895099.0	47895213.0	sense	0.5987901209879012	0.22272537338548676	0.05
Hoxc9	38	51	0.7253183529092199	0.05909409059094091	chr20	47895099.0	47895213.0	sense	0.5987901209879012	0.22272537338548676	0.05
TEAD1	40	50	0.6907590188649797	0.0974902509749025	chr20	47895099.0	47895213.0	antisense	0.7843533828435337	0.10548822603872551	0.05
MEF2C	31	46	0.6855417367107385	0.10668933106689331	chr20	47895099.0	47895213.0	sense	0.8210439825582659	0.08563357750817902	0.05
HOXB2	38	48	0.6781530942397718	0.22397760223977603	chr20	47895099.0	47895213.0	antisense	0.9462653734626537	0.02398705168657379	0.05
HSF2	33	46	0.6775968785747831	0.03799620037996201	chr20	47895099.0	47895213.0	antisense	0.5545445455454455	0.2560635620350198	0.05
Sox6	39	49	0.6685786597883009	0.025897410258974102	chr20	47895099.0	47895213.0	antisense	0.4167128741671287	0.3801630819920293	0.05
TEAD4	40	50	0.6633352224160121	0.11178882111788821	chr20	47895099.0	47895213.0	antisense	0.8244425557444256	0.08383959907625754	0.05
Mecom	34	48	0.652057889274032	0.043795620437956206	chr20	47895099.0	47895213.0	sense	0.5545445455454455	0.2560635620350198	0.05
NFYB	32	47	0.6265261068903374	0.1364863513648635	chr20	47895099.0	47895213.0	sense	0.8291352682913526	0.08137461121063744	0.05
BCL6B	33	50	0.6185870657117641	0.0115988401159884	chr20	47895099.0	47895213.0	antisense	0.3480651934806519	0.45833940399257433	0.05
GATA2	34	48	0.6074898626349297	0.1496850314968503	chr20	47895099.0	47895213.0	sense	0.8291352682913526	0.08137461121063744	0.05
FOXP1	32	47	0.5993259642714565	0.1533846615338466	chr20	47895099.0	47895213.0	antisense	0.8291352682913526	0.08137461121063744	0.05
HSF1	33	46	0.5992213191901256	0.0463953604639536	chr20	47895099.0	47895213.0	antisense	0.5545445455454455	0.2560635620350198	0.05
Dmbx1	34	51	0.5876309663322324	0.3073692630736926	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
MYBL2	36	51	0.5854503645990063	0.12068793120687932	chr20	47895099.0	47895213.0	antisense	0.8291352682913526	0.08137461121063744	0.05
POU2F1	33	45	0.585266620909711	0.1810818918108189	chr20	47895099.0	47895213.0	antisense	0.9390175268187466	0.0273263015255513	0.05
Foxj3	33	50	0.5725135436065281	0.27317268273172685	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
JUND(var.2)	33	48	0.5428516036976526	0.19138086191380863	chr20	47895099.0	47895213.0	sense	0.940955904409559	0.026430728241518563	0.05
Stat6	34	49	0.5392161718863165	0.23517648235176483	chr20	47895099.0	47895213.0	antisense	0.9462653734626537	0.02398705168657379	0.05
LEF1	36	51	0.5312153437256767	0.12988701129887012	chr20	47895099.0	47895213.0	sense	0.8291352682913526	0.08137461121063744	0.05
STAT3	36	47	0.5286341256745816	0.1312868713128687	chr20	47895099.0	47895213.0	antisense	0.8291352682913526	0.08137461121063744	0.05
NFATC3	37	47	0.5284985821887582	0.29077092290770923	chr20	47895099.0	47895213.0	antisense	0.9773587347147639	0.009946001366774987	0.05
JUN(var.2)	37	51	0.5193032620148196	0.2465753424657534	chr20	47895099.0	47895213.0	sense	0.9487790351399642	0.022834920336917308	0.05
Hmx3	30	47	0.5084154336971477	0.38616138386161386	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
Mitf	41	51	0.5075066930543106	0.48155184481551844	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
NFAT5	39	49	0.5043565694434672	0.2405759424057594	chr20	47895099.0	47895213.0	antisense	0.9462653734626537	0.02398705168657379	0.05
JDP2	42	51	0.5039900778874219	0.054894510548945105	chr20	47895099.0	47895213.0	antisense	0.5987901209879012	0.22272537338548676	0.05
MAFF	29	47	0.4654437279197767	0.5218478152184781	chr20	47895099.0	47895213.0	antisense	0.9773587347147639	0.009946001366774987	0.05
ZBTB33	29	44	0.4631022706922046	0.34096590340965904	chr20	47895099.0	47895213.0	antisense	0.9773587347147639	0.009946001366774987	0.05
MZF1(var.2)	40	50	0.4491943308149974	0.3026697330266973	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
E2F1	33	45	0.4435776448350694	0.34396560343965604	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
HMBOX1	41	51	0.43519317822120634	0.42955704429557046	chr20	47895099.0	47895213.0	antisense	0.9773587347147639	0.009946001366774987	0.05
STAT1	39	50	0.42785765168593576	0.20327967203279673	chr20	47895099.0	47895213.0	sense	0.9462653734626537	0.02398705168657379	0.05
MAFK	29	44	0.42741604393498045	0.4928507149285071	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
Hes1	41	51	0.42334001474236344	0.873012698730127	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
NR2C2	35	50	0.4144357569874328	0.3106689331066893	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
MAFG	29	50	0.4085670312384176	0.40215978402159785	chr20	47895099.0	47895213.0	antisense	0.9773587347147639	0.009946001366774987	0.05
ZNF410	34	51	0.40544750066927304	0.14538546145385461	chr20	47895099.0	47895213.0	sense	0.8291352682913526	0.08137461121063744	0.05
JUNB	40	51	0.4007482988303016	0.27677232276772323	chr20	47895099.0	47895213.0	sense	0.9773587347147639	0.009946001366774987	0.05
