motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Mitf	78	88	1.5882707290584386	0.00019998000199980003	chr3	169482906.0	169483020.0	antisense	0.02794335951020283	1.5537213817209847	0.05
TFE3	77	87	1.4259470163856678	0.0006999300069993001	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
ZBTB33	72	87	1.3937180042103414	9.999000099990002e-05	chr3	169482906.0	169483020.0	antisense	0.02794335951020283	1.5537213817209847	0.05
Hes1	79	89	1.3486291502722558	0.0105989401059894	chr3	169482906.0	169483020.0	antisense	0.20423118978424737	0.6898779325879293	0.05
TFEC	77	87	1.3306274143719856	0.00029997000299970003	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
Arntl	78	88	1.2468702913642635	0.0005999400059994001	chr3	169482906.0	169483020.0	antisense	0.02794335951020283	1.5537213817209847	0.05
TFEB	77	87	1.2411469277766785	0.0005999400059994001	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
Tcfl5	77	87	1.2379422403980482	0.008099190080991902	chr3	169482906.0	169483020.0	sense	0.17514498550144988	0.756602292261361	0.05
MLXIPL	77	87	1.10042656900643	0.0004999500049995	chr3	169482906.0	169483020.0	antisense	0.02794335951020283	1.5537213817209847	0.05
BHLHE40	77	87	1.0838533237484704	0.0005999400059994001	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
USF1	77	88	1.0584789084863704	0.0005999400059994001	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
Srebf1(var.2)	77	87	1.0463325184774275	0.00039996000399960006	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
SREBF2(var.2)	77	87	1.0210117189414438	0.00039996000399960006	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
MLX	77	87	1.0097532266741047	0.0004999500049995	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
Hes2	73	86	0.9868763954843999	0.039896010398960104	chr3	169482906.0	169483020.0	sense	0.3235317093290671	0.49008314772554373	0.05
USF2	77	88	0.9844057950159996	0.0011998800119988001	chr3	169482906.0	169483020.0	sense	0.04448126615909838	1.351822859059018	0.05
BHLHE41	77	87	0.9816243447813329	0.0006999300069993001	chr3	169482906.0	169483020.0	sense	0.02794335951020283	1.5537213817209847	0.05
Pax2	80	88	0.9255577820883413	0.019198080191980802	chr3	169482906.0	169483020.0	antisense	0.21660442651387035	0.6643326724064292	0.05
Stat6	75	90	0.9074441808586134	0.0071992800719928	chr3	169482906.0	169483020.0	antisense	0.16245331988540276	0.7892714090147293	0.05
Id2	78	86	0.8902929224088466	0.0013998600139986002	chr3	169482906.0	169483020.0	sense	0.048435156484351566	1.314839292805848	0.05
EBF1	74	88	0.8726282700312861	0.006099390060993901	chr3	169482906.0	169483020.0	sense	0.15074206865027784	0.8217655291515571	0.05
ETV5	80	90	0.863397775334554	0.014798520147985201	chr3	169482906.0	169483020.0	sense	0.21024051441009745	0.6772835895004814	0.05
RARA::RXRA	72	89	0.820324160850775	0.013598640135986401	chr3	169482906.0	169483020.0	antisense	0.20757924207579243	0.6828160781004424	0.05
PAX5	71	90	0.8108327823604313	0.0316968303169683	chr3	169482906.0	169483020.0	antisense	0.29910281699102814	0.5241794967048972	0.05
Hand1::Tcf3	78	88	0.8091704808297012	0.015798420157984203	chr3	169482906.0	169483020.0	antisense	0.21024051441009745	0.6772835895004814	0.05
NKX2-8	78	87	0.8064636968663893	0.016698330166983303	chr3	169482906.0	169483020.0	sense	0.21517360459076043	0.6672110047698664	0.05
GATA1::TAL1	72	90	0.8037878993482277	0.0313968603139686	chr3	169482906.0	169483020.0	antisense	0.29910281699102814	0.5241794967048972	0.05
ZEB1	76	85	0.7969491134422787	0.0029997000299970002	chr3	169482906.0	169483020.0	sense	0.09157907738637901	1.0382037360870164	0.05
HOXC13	75	86	0.789149300037292	0.0044995500449955	chr3	169482906.0	169483020.0	antisense	0.11676332366763324	0.9326935513170423	0.05
ALX3	76	86	0.7767163692568353	0.06029397060293971	chr3	169482906.0	169483020.0	antisense	0.36814789109324364	0.43397768300254624	0.05
RARA(var.2)	72	89	0.7766650143536423	0.0018998100189981002	chr3	169482906.0	169483020.0	antisense	0.061625087491250875	1.2102424511315006	0.05
MNT	77	87	0.762798682027314	0.015198480151984802	chr3	169482906.0	169483020.0	sense	0.21024051441009745	0.6772835895004814	0.05
