motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	64	74	4.148303609968665	0.00019998000199980003	chr13	50656191.0	50656305.0	antisense	0.017698230176982303	1.752070160915056	0.05
NRF1	65	76	3.648975426336817	9.999000099990002e-05	chr13	50656191.0	50656305.0	sense	0.017698230176982303	1.752070160915056	0.05
Tcfl5	66	76	2.8218940644665644	0.005099490050994901	chr13	50656191.0	50656305.0	sense	0.1805219478052195	0.7434699891531384	0.05
Gmeb1	59	76	2.7663608279500496	0.016798320167983202	chr13	50656191.0	50656305.0	sense	0.1982201779822018	0.7028521382448745	0.05
HIC2	69	78	2.485943162466635	0.0010998900109989002	chr13	50656191.0	50656305.0	sense	0.06489351064893512	1.1877987304764934	0.05
Pax6	62	76	2.3735978321479734	0.0016998300169983002	chr13	50656191.0	50656305.0	sense	0.07521747825217479	1.1236812308647446	0.05
Mitf	65	75	2.2064370533923743	0.010198980101989802	chr13	50656191.0	50656305.0	antisense	0.19468053194680532	0.710677475756831	0.05
THAP1	69	78	2.064372345927582	0.015398460153984602	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
SP3	66	77	1.7968136802737291	0.006799320067993201	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
CENPB	64	79	1.7520947804755498	0.015198480151984802	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
TEAD1	66	76	1.7382855196982687	0.012598740125987402	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
TEAD4	66	76	1.7183964246793488	0.012698730126987301	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
MZF1(var.2)	63	73	1.6006003787193614	0.015298470152984701	chr13	50656191.0	50656305.0	antisense	0.19468053194680532	0.710677475756831	0.05
ETV5	64	74	1.5353773147185619	0.0326967303269673	chr13	50656191.0	50656305.0	sense	0.24113838616138383	0.617733649966376	0.05
NFIX	68	77	1.5236943583890508	0.048795120487951205	chr13	50656191.0	50656305.0	sense	0.2761996527619965	0.5587768717517526	0.05
TBX19	59	79	1.4569782489801149	0.027697230276972302	chr13	50656191.0	50656305.0	antisense	0.24113838616138383	0.617733649966376	0.05
POU4F1	61	75	1.4198439171426465	0.04179582041795821	chr13	50656191.0	50656305.0	antisense	0.2759612927596129	0.559151829238375	0.05
CLOCK	64	74	1.3945973501110767	0.027997200279972004	chr13	50656191.0	50656305.0	sense	0.24113838616138383	0.617733649966376	0.05
FOXH1	65	76	1.380792073988669	0.012698730126987301	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
EGR1	66	80	1.3656516374828254	0.012598740125987402	chr13	50656191.0	50656305.0	sense	0.19468053194680532	0.710677475756831	0.05
HEY1	64	74	1.3187382574682505	0.029397060293970604	chr13	50656191.0	50656305.0	sense	0.24113838616138383	0.617733649966376	0.05
TFE3	64	74	1.3085868375642133	0.0893910608939106	chr13	50656191.0	50656305.0	sense	0.3161270079888563	0.5001383990687791	0.05
MAFG	59	80	1.275153286762496	0.0385961403859614	chr13	50656191.0	50656305.0	sense	0.2732606739326067	0.5634228649153388	0.05
CEBPB	68	78	1.2595711924441346	0.028497150284971504	chr13	50656191.0	50656305.0	sense	0.24113838616138383	0.617733649966376	0.05
HINFP	65	77	1.2567107011054186	0.05089491050894911	chr13	50656191.0	50656305.0	sense	0.2761996527619965	0.5587768717517526	0.05
ZBTB7A	66	78	1.2201599197188908	0.06009399060093991	chr13	50656191.0	50656305.0	sense	0.30127214551272147	0.521041019701777	0.05
CEBPG	68	78	1.2016079470107297	0.0193980601939806	chr13	50656191.0	50656305.0	sense	0.21459104089591038	0.6683884136407549	0.05
CEBPD	68	78	1.1994360674465077	0.030996900309969003	chr13	50656191.0	50656305.0	sense	0.24113838616138383	0.617733649966376	0.05
Myc	67	77	1.1816858170534688	0.0326967303269673	chr13	50656191.0	50656305.0	sense	0.24113838616138383	0.617733649966376	0.05
Nfe2l2	60	75	1.1792887361621285	0.07339266073392661	chr13	50656191.0	50656305.0	antisense	0.30127214551272147	0.521041019701777	0.05
POU2F1	62	74	1.1534413396329184	0.09869013098690131	chr13	50656191.0	50656305.0	antisense	0.3161270079888563	0.5001383990687791	0.05
ETV6	66	76	1.1366119306899627	0.0514948505149485	chr13	50656191.0	50656305.0	antisense	0.2761996527619965	0.5587768717517526	0.05
HSF4	62	75	1.1225014325353118	0.10288971102889712	chr13	50656191.0	50656305.0	sense	0.3161270079888563	0.5001383990687791	0.05
ETV3	64	74	1.1144309100505165	0.08639136086391361	chr13	50656191.0	50656305.0	sense	0.3161270079888563	0.5001383990687791	0.05
