motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP3	20	31	7.580124707670919	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
Hes1	20	30	7.194848627208056	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
KLF16	20	31	6.3904116246755525	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
Tcfl5	20	30	5.696668437551818	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
Zfx	17	31	5.108614012964746	9.999000099990002e-05	chr3	70048804.0	70048918.0	antisense	0.0017698230176982303	2.752070160915056	0.05
SP4	17	34	5.078677081507583	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
EGR1	20	34	4.623970636949335	0.0010998900109989002	chr3	70048804.0	70048918.0	sense	0.012167533246675334	1.9147974584127558	0.05
Klf1	19	30	4.241600310437177	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
SP1	20	31	4.121953977064853	0.00039996000399960006	chr3	70048804.0	70048918.0	sense	0.005899410058994101	2.2291914156347183	0.05
CREB3	18	32	3.9302983730903454	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
CREB3L1	18	32	3.8933321740525435	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
Mitf	19	29	3.679281429797415	0.0022997700229977	chr3	70048804.0	70048918.0	sense	0.02142417337213647	1.6690959258502922	0.05
HEY1	20	30	3.552573258415457	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017698230176982303	2.752070160915056	0.05
MNT	20	30	3.421757955524066	0.0007999200079992001	chr3	70048804.0	70048918.0	sense	0.010113274386847029	1.9951082096013506	0.05
XBP1	17	31	3.3899575083916407	0.0005999400059994001	chr3	70048804.0	70048918.0	sense	0.008168413927837985	2.0878622628382493	0.05
THAP1	23	32	3.3103741084327094	0.0124987501249875	chr3	70048804.0	70048918.0	sense	0.0790099561472424	1.102318179249219	0.05
Gmeb1	16	33	3.2745490504667014	0.0372962703729627	chr3	70048804.0	70048918.0	antisense	0.1737221014740631	0.7601449257231786	0.05
HINFP	21	33	3.1078512684976274	0.0017998200179982	chr3	70048804.0	70048918.0	sense	0.0176982301769823	1.7520701609150562	0.05
USF1	20	31	2.979109070379938	0.0008999100089991	chr3	70048804.0	70048918.0	sense	0.010618938106189382	1.9739189105314123	0.05
MAX	20	30	2.8703460647820824	0.0015998400159984002	chr3	70048804.0	70048918.0	sense	0.0166571578136304	1.7783990996374053	0.05
