unique_id	cage_id	n_motifs	n_bp_cov	max_cov	avg_tf_tissue_sp	log_n_motifs	log_bp_cov	log_max_cov	log_avg_tf_tissue_sp
WILDTYPE__mrna.noflip.NA__chr10:102046079..102046193,-__971.1.0.0	chr10:102046079..102046193,-	4	25	4		1.6094379124341003	3.258096538021482	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:102133304..102133418,+__103.1.0.0	chr10:102133304..102133418,+	13	51	5		2.6390573296152584	3.9512437185814275	1.791759469228055	
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0	chr10:1034322..1034436,+	13	37	7		2.6390573296152584	3.6375861597263857	2.0794415416798357	
WILDTYPE__Lincrna.noflip.NA__chr10:106113294..106113408,-__104.1.0.0	chr10:106113294..106113408,-	11	48	5		2.4849066497880004	3.8918202981106265	1.791759469228055	
WILDTYPE__Lincrna.noflip.NA__chr10:10836857..10836971,-__105.1.0.0	chr10:10836857..10836971,-	1	19	1		0.6931471805599453	2.995732273553991	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:10836906..10837020,-__106.1.0.0	chr10:10836906..10837020,-	3	21	2		1.3862943611198906	3.091042453358316	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:1102659..1102773,+__1337.1.0.0	chr10:1102659..1102773,+	41	85	14		3.7376696182833684	4.454347296253507	2.70805020110221	
WILDTYPE__Antisense.noflip.NA__chr10:112631947..112632061,-__107.1.0.0	chr10:112631947..112632061,-	8	60	3		2.1972245773362196	4.110873864173311	1.3862943611198906	
WILDTYPE__mrna.flip.sense__chr10:114710172..114710286,+__972.1.0.0	chr10:114710172..114710286,+	1	15	1		0.6931471805599453	2.772588722239781	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:116286634..116286748,-__1409.1.0.0	chr10:116286634..116286748,-	9	39	4		2.302585092994046	3.6888794541139363	1.6094379124341003	
WILDTYPE__Antisense.noflip.NA__chr10:118609196..118609310,-__108.1.0.0	chr10:118609196..118609310,-	9	52	4		2.302585092994046	3.970291913552122	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	chr10:11936664..11936778,-	16	58	6		2.833213344056216	4.07753744390572	1.9459101490553132	
WILDTYPE__Antisense.noflip.NA__chr10:119806425..119806539,+__111.1.0.0	chr10:119806425..119806539,+	17	74	7		2.8903717578961645	4.31748811353631	2.0794415416798357	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:121030597..121030711,-__2037.1.0.0	Enhancer.noflip.NA	13	52	6		2.6390573296152584	3.970291913552122	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:121030665..121030779,+__1744.1.0.0	Enhancer.noflip.NA	16	55	6		2.833213344056216	4.02535169073515	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:121302190..121302304,-__1298.1.0.0	chr10:121302190..121302304,-	44	74	3		3.8066624897703196	4.31748811353631	1.3862943611198906	
WILDTYPE__mrna.flip.sense__chr10:123687943..123688057,-__973.1.0.0	chr10:123687943..123688057,-	12	66	4		2.5649493574615367	4.204692619390966	1.6094379124341003	
WILDTYPE__Antisense.flip.sense__chr10:127408027..127408141,-__112.1.0.0	chr10:127408027..127408141,-	15	70	7		2.772588722239781	4.2626798770413155	2.0794415416798357	
WILDTYPE__Enhancer.noflip.NA__chr10:129862576..129862690,-__2038.1.0.0	Enhancer.noflip.NA	2	2	1		1.0986122886681098	1.0986122886681098	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:129862613..129862727,+__1745.1.0.0	Enhancer.noflip.NA	2	11	1		1.0986122886681098	2.4849066497880004	0.6931471805599453	
WILDTYPE__Lincrna.noflip.NA__chr10:131909050..131909164,-__113.1.0.0	chr10:131909050..131909164,-	27	91	10		3.332204510175204	4.5217885770490405	2.3978952727983707	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:135192695..135192809,+__1442.1.0.0	chr10:135192695..135192809,+	16	56	4		2.833213344056216	4.04305126783455	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:135192712..135192826,+__1443.1.0.0	chr10:135192712..135192826,+	14	45	4		2.70805020110221	3.828641396489095	1.6094379124341003	
WILDTYPE__mrna.noflip.NA__chr10:14574678..14574792,-__974.1.0.0	chr10:14574678..14574792,-	1	15	1		0.6931471805599453	2.772588722239781	0.6931471805599453	
WILDTYPE__mrna.noflip.NA__chr10:15085869..15085983,+__1393.1.0.0	chr10:15085869..15085983,+	1	13	1		0.6931471805599453	2.6390573296152584	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:17255060..17255174,-__2228.1.0.0	Enhancer.noflip.NA	2	21	2		1.0986122886681098	3.091042453358316	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:26223078..26223192,+__1345.1.0.0	chr10:26223078..26223192,+	8	69	4		2.1972245773362196	4.248495242049359	1.6094379124341003	
WILDTYPE__mrna.noflip.NA__chr10:26727261..26727375,+__975.1.0.0	chr10:26727261..26727375,+	2	32	1		1.0986122886681098	3.4965075614664802	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	chr10:28821597..28821711,-	19	95	7		2.995732273553991	4.564348191467836	2.0794415416798357	
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:28821628..28821742,+__1144.1.0.0	chr10:28821628..28821742,+	15	93	3		2.772588722239781	4.543294782270004	1.3862943611198906	
WILDTYPE__mrna.noflip.NA__chr10:28822565..28822679,+__976.1.0.0	chr10:28822565..28822679,+	7	51	3		2.0794415416798357	3.9512437185814275	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	chr10:29698406..29698520,+	9	75	3		2.302585092994046	4.330733340286331	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698426..29698540,+__120.1.0.0	chr10:29698426..29698540,+	10	87	3		2.3978952727983707	4.477336814478207	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:29698438..29698552,+__121.1.0.0	chr10:29698438..29698552,+	10	81	3		2.3978952727983707	4.406719247264253	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr10:30782546..30782660,+__1844.1.0.0	Enhancer.flip.sense	1	11	1		0.6931471805599453	2.4849066497880004	0.6931471805599453	
WILDTYPE_BUT_HAS_SNP__Enhancer.flip.sense__chr10:30782567..30782681,-__2137.1.0.0	Enhancer.flip.sense	1	11	1		0.6931471805599453	2.4849066497880004	0.6931471805599453	
WILDTYPE__Enhancer.noflip.NA__chr10:30831506..30831620,-__2138.1.0.0	Enhancer.noflip.NA	5	13	4		1.791759469228055	2.6390573296152584	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:30831727..30831841,+__1845.1.0.0	Enhancer.noflip.NA	4	50	1		1.6094379124341003	3.9318256327243257	0.6931471805599453	
WILDTYPE__mrna.flip.sense__chr10:31608065..31608179,+__1145.1.0.0	chr10:31608065..31608179,+	46	69	6		3.8501476017100584	4.248495242049359	1.9459101490553132	
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:38146503..38146617,-__1146.1.0.0	chr10:38146503..38146617,-	18	56	6		2.9444389791664403	4.04305126783455	1.9459101490553132	
WILDTYPE__Antisense.flip.sense__chr10:38146597..38146711,+__123.1.0.0	chr10:38146597..38146711,+	10	54	3		2.3978952727983707	4.007333185232471	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:3893812..3893926,+__1746.1.0.0	Enhancer.noflip.NA	2	13	2		1.0986122886681098	2.6390573296152584	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:3893845..3893959,-__2039.1.0.0	Enhancer.noflip.NA	3	25	2		1.3862943611198906	3.258096538021482	1.0986122886681098	
WILDTYPE__Lincrna.noflip.NA__chr10:42970994..42971108,+__126.1.0.0	chr10:42970994..42971108,+	7	23	4		2.0794415416798357	3.1780538303479458	1.6094379124341003	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:43633193..43633307,+__1936.1.0.0	Enhancer.noflip.NA	8	49	5		2.1972245773362196	3.912023005428146	1.791759469228055	
WILDTYPE_BUT_HAS_SNP__Enhancer.noflip.NA__chr10:43633199..43633313,-__2229.1.0.0	Enhancer.noflip.NA	8	49	5		2.1972245773362196	3.912023005428146	1.791759469228055	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:43915994..43916108,+__127.1.0.0	chr10:43915994..43916108,+	12	40	4		2.5649493574615367	3.713572066704308	1.6094379124341003	
WILDTYPE__Lincrna.noflip.NA__chr10:4720371..4720485,-__128.1.0.0	chr10:4720371..4720485,-	10	27	8		2.3978952727983707	3.332204510175204	2.1972245773362196	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:52645352..52645466,-__1445.1.0.0	chr10:52645352..52645466,-	1	12	1		0.6931471805599453	2.5649493574615367	0.6931471805599453	
WILDTYPE__mrna.noflip.NA__chr10:54074938..54075052,+__1300.1.0.0	chr10:54074938..54075052,+	2	20	1		1.0986122886681098	3.044522437723423	0.6931471805599453	
WILDTYPE__Lincrna.noflip.NA__chr10:54215018..54215132,-__129.1.0.0	chr10:54215018..54215132,-	4	32	2		1.6094379124341003	3.4965075614664802	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:54515153..54515267,-__130.1.0.0	chr10:54515153..54515267,-	5	38	3		1.791759469228055	3.6635616461296463	1.3862943611198906	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:5932135..5932249,+__1408.1.0.0	chr10:5932135..5932249,+	13	60	5		2.6390573296152584	4.110873864173311	1.791759469228055	
WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr10:5987842..5987956,-__131.1.0.0	chr10:5987842..5987956,-	4	40	2		1.6094379124341003	3.713572066704308	1.0986122886681098	
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:60028845..60028959,+__1447.1.0.0	chr10:60028845..60028959,+	18	41	6		2.9444389791664403	3.7376696182833684	1.9459101490553132	
