motif	start	end
NHLH1	8	17
YY1	10	21
MAFF	11	28
NRL	12	22
Mafb	12	23
MAF::NFE2	13	27
MAFG	13	33
Mafb	13	24
NRL	13	23
JUN(var.2)	14	27
JUND(var.2)	14	28
XBP1	15	28
Gmeb1	15	31
JUN	16	28
CREB3	16	29
BATF::JUN	16	26
BATF3	16	29
Gmeb1	16	32
CREB3L1	16	29
ATF7	16	29
Bach1::Mafk	16	30
Pax2	16	23
BATF3	17	30
CREB3	17	30
Nfe2l2	17	31
JUNB	17	27
Crem	17	26
FOSL2	17	27
JDP2(var.2)	17	28
ATF7	17	30
Creb5	17	28
ZNF263	29	49
ZIC3	32	46
ZNF263	32	52
ZNF263	33	53
PLAG1	33	46
PLAG1	35	48
NR2C2	35	49
PLAG1	36	49
E2F4	37	47
THAP1	41	49
RARA(var.2)	42	58
Rarb(var.2)	42	58
RARA::RXRA	42	58
RREB1	46	65
TBP	49	63
HOXD13	49	58
HOXA13	49	58
HOXB13	49	58
SP4	54	70
