motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	83	93	1.2016977927767427	0.0086991300869913	chr13	50656285.0	50656399.0	sense	0.30098990100989903	0.5214480758654675	0.05
EGR4	78	94	1.1444524856057068	0.0011998800119988001	chr13	50656285.0	50656399.0	antisense	0.06919308069193081	1.1599373328201048	0.05
Tcfl5	81	91	1.0540094519002177	0.014898510148985102	chr13	50656285.0	50656399.0	sense	0.40280257688516863	0.3949077597583663	0.05
SP3	84	95	1.0334710783680654	0.0013998600139986002	chr13	50656285.0	50656399.0	antisense	0.07265273472652735	1.1387480337501668	0.05
EGR2	81	92	1.017732243144694	9.999000099990002e-05	chr13	50656285.0	50656399.0	antisense	0.017298270172982702	1.7619973241480673	0.05
Pax6	81	95	0.9747016595791231	0.0007999200079992001	chr13	50656285.0	50656399.0	antisense	0.05930835487879784	1.226884122450718	0.05
EGR1	81	95	0.9708161813867217	9.999000099990002e-05	chr13	50656285.0	50656399.0	antisense	0.017298270172982702	1.7619973241480673	0.05
GCM2	85	95	0.9570207430276814	0.0005999400059994001	chr13	50656285.0	50656399.0	sense	0.051894810518948106	1.2848760694284047	0.05
NRF1	82	93	0.9564086894433022	9.999000099990002e-05	chr13	50656285.0	50656399.0	sense	0.017298270172982702	1.7619973241480673	0.05
EGR3	79	94	0.9521572674847099	0.00039996000399960006	chr13	50656285.0	50656399.0	antisense	0.04151584841515849	1.3817860824364612	0.05
Hes2	82	95	0.9505780156659769	0.016198380161983803	chr13	50656285.0	50656399.0	antisense	0.40280257688516863	0.3949077597583663	0.05
Ahr::Arnt	87	93	0.9178022545863517	0.00029997000299970003	chr13	50656285.0	50656399.0	sense	0.03892110788921108	1.4098148060367048	0.05
SP8	83	95	0.9112383644310641	0.0021997800219978004	chr13	50656285.0	50656399.0	antisense	0.10378962103789623	0.9838460737644236	0.05
KLF16	84	95	0.8840869459805787	0.0010998900109989002	chr13	50656285.0	50656399.0	antisense	0.06919308069193081	1.1599373328201048	0.05
Gmeb1	75	92	0.7659215775060464	0.22907709229077092	chr13	50656285.0	50656399.0	antisense	0.9901864652244452	0.004283014298728366	0.05
SP2	80	95	0.7198076053612839	0.016298370162983702	chr13	50656285.0	50656399.0	antisense	0.40280257688516863	0.3949077597583663	0.05
TFAP2A(var.2)	81	93	0.7127761753141969	0.026597340265973404	chr13	50656285.0	50656399.0	antisense	0.4913789871012899	0.30858341924600574	0.05
MAFG	74	95	0.6637673287564103	0.09219078092190781	chr13	50656285.0	50656399.0	sense	0.6739016239221148	0.17140349709385075	0.05
HEY1	85	95	0.6630650639229754	0.0082991700829917	chr13	50656285.0	50656399.0	antisense	0.30098990100989903	0.5214480758654675	0.05
ARNT::HIF1A	86	94	0.6572357810628318	0.006299370062993701	chr13	50656285.0	50656399.0	sense	0.25149023559182543	0.5994788722816599	0.05
RUNX1	84	95	0.6527959290183712	0.0461953804619538	chr13	50656285.0	50656399.0	sense	0.5266771195220903	0.2784555483240084	0.05
ZBTB33	76	91	0.6434511893285559	0.0374962503749625	chr13	50656285.0	50656399.0	antisense	0.5175824522810877	0.28602045607714266	0.05
HEY2	85	95	0.6423858857107612	0.012398760123987601	chr13	50656285.0	50656399.0	antisense	0.40218478152184783	0.3955743669220945	0.05
CENPB	78	93	0.6267965063929983	0.06229377062293771	chr13	50656285.0	50656399.0	antisense	0.6313868613138687	0.1997044596915925	0.05
Npas2	85	95	0.6203147664748133	0.015498450154984501	chr13	50656285.0	50656399.0	sense	0.40280257688516863	0.3949077597583663	0.05
THAP1	83	92	0.619699238208252	0.10168983101689831	chr13	50656285.0	50656399.0	antisense	0.7036936306369362	0.1526163798973603	0.05
RUNX2	86	95	0.6178057617717552	0.0131986801319868	chr13	50656285.0	50656399.0	antisense	0.40280257688516863	0.3949077597583663	0.05
TFAP2C(var.2)	83	94	0.6125676768033027	0.0324967503249675	chr13	50656285.0	50656399.0	antisense	0.49374205436599194	0.3064998802723606	0.05
TFAP2B(var.2)	83	94	0.595571014331467	0.024997500249975	chr13	50656285.0	50656399.0	antisense	0.4862735948627359	0.31311931241157426	0.05
HINFP	82	94	0.5934585774695543	0.035896410358964105	chr13	50656285.0	50656399.0	antisense	0.5175065826750659	0.28608412161737284	0.05
RUNX3	85	95	0.5859055021492761	0.029997000299970003	chr13	50656285.0	50656399.0	antisense	0.4913789871012899	0.30858341924600574	0.05
EBF1	80	94	0.5840248369683985	0.023397660233976603	chr13	50656285.0	50656399.0	antisense	0.4862735948627359	0.31311931241157426	0.05
TFAP2C	81	93	0.582854289917907	0.0882911708829117	chr13	50656285.0	50656399.0	antisense	0.6612881568985959	0.17960925506653858	0.05
SP1	84	95	0.582184962800638	0.017998200179982	chr13	50656285.0	50656399.0	antisense	0.40613329971350687	0.39133140034269165	0.05
TFAP2B	81	93	0.580671767739111	0.07729227077292271	chr13	50656285.0	50656399.0	antisense	0.6313868613138687	0.1997044596915925	0.05
HIC2	85	94	0.5805888657922136	0.0476952304769523	chr13	50656285.0	50656399.0	antisense	0.5266771195220903	0.2784555483240084	0.05
Rhox11	78	95	0.5792621634349963	0.23117688231176883	chr13	50656285.0	50656399.0	antisense	0.9901864652244452	0.004283014298728366	0.05
TBX5	86	94	0.5734601082094274	0.046795320467953205	chr13	50656285.0	50656399.0	sense	0.5266771195220903	0.2784555483240084	0.05
Mlxip	86	94	0.559306208942351	0.005599440055994401	chr13	50656285.0	50656399.0	sense	0.24217578242175786	0.6158692884698291	0.05
CLOCK	85	95	0.5540213483753542	0.025297470252974703	chr13	50656285.0	50656399.0	sense	0.4862735948627359	0.31311931241157426	0.05
TFAP2A	83	94	0.5523576033572668	0.06459354064593541	chr13	50656285.0	50656399.0	antisense	0.6313868613138687	0.1997044596915925	0.05
GLIS2	80	94	0.5485734134442403	0.0420957904209579	chr13	50656285.0	50656399.0	antisense	0.5266771195220903	0.2784555483240084	0.05
PAX5	76	95	0.547397150965637	0.25737426257374263	chr13	50656285.0	50656399.0	sense	0.9978119429436367	0.00095130223740787	0.05
MZF1(var.2)	85	95	0.5454633108256525	0.07789221077892211	chr13	50656285.0	50656399.0	sense	0.6313868613138687	0.1997044596915925	0.05
Mitf	84	94	0.5454429841260009	0.1528847115288471	chr13	50656285.0	50656399.0	sense	0.8276692738889376	0.08214316710171277	0.05
TCF4	81	91	0.5344349556067104	0.0301969803019698	chr13	50656285.0	50656399.0	antisense	0.4913789871012899	0.30858341924600574	0.05
