motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
HNF4G	66	81	0.8009886159733779	0.0007999200079992001	chr20	47895099.0	47895213.0	antisense	0.07519248075192482	1.1238255866852205	0.1
Gmeb1	62	79	0.6831655274529987	0.09209079092090791	chr20	47895099.0	47895213.0	antisense	0.34794951877361285	0.4584837598130502	0.1
Tcf7	62	74	0.6658300135204793	0.0005999400059994001	chr20	47895099.0	47895213.0	antisense	0.07519248075192482	1.1238255866852205	0.1
TCF7L2	60	74	0.6563161622992093	0.007099290070992901	chr20	47895099.0	47895213.0	antisense	0.26693330666933307	0.5735972336301263	0.1
FOXA1	60	75	0.5952550542459573	0.013098690130986902	chr20	47895099.0	47895213.0	sense	0.28935677860785347	0.5385663391946705	0.1
IRF1	59	80	0.592684145757392	0.019098090190980903	chr20	47895099.0	47895213.0	sense	0.28935677860785347	0.5385663391946705	0.1
Foxj3	64	81	0.5715952869522014	0.05219478052194781	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
Foxk1	64	81	0.570003638985926	0.034896510348965105	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
MIXL1	67	77	0.5637347496954009	0.05019498050194981	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
LBX2	67	77	0.5550141909197845	0.0364963503649635	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
FOXP1	66	81	0.5513037600230152	0.029997000299970003	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
TBP	61	76	0.5245784304869517	0.1014898510148985	chr20	47895099.0	47895213.0	antisense	0.35597075213113605	0.4485856837964227	0.1
Nr2f6	66	80	0.5235933083932943	0.005599440055994401	chr20	47895099.0	47895213.0	antisense	0.26317368263173685	0.5797575423349447	0.1
Hes1	60	70	0.5227954685523856	0.19618038196180382	chr20	47895099.0	47895213.0	sense	0.4196838743091983	0.37707771754828046	0.1
CENPB	64	79	0.5213225859473622	0.033396660333966606	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
NR2F1	62	75	0.5179696529119777	0.014698530146985302	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
NFYB	60	75	0.5148806189626544	0.0211978802119788	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
Hnf4a	64	80	0.48548929127378077	0.0052994700529947	chr20	47895099.0	47895213.0	antisense	0.26317368263173685	0.5797575423349447	0.1
NFATC3	69	79	0.46282501652171815	0.06729327067293271	chr20	47895099.0	47895213.0	sense	0.31590011730534256	0.5004502128252926	0.1
NR2C2	66	81	0.4623854951028535	0.030496950304969503	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
GATA2	65	79	0.45971435177489267	0.0580941905809419	chr20	47895099.0	47895213.0	sense	0.31590011730534256	0.5004502128252926	0.1
ZNF263	60	81	0.4566437641891379	0.1665833416658334	chr20	47895099.0	47895213.0	antisense	0.3919756172530895	0.4067409473208239	0.1
REL	66	76	0.4396889541139451	0.026697330266973303	chr20	47895099.0	47895213.0	sense	0.28935677860785347	0.5385663391946705	0.1
ONECUT2	61	75	0.43810894469026584	0.05599440055994401	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
SOX9	62	71	0.436529326651204	0.040195980401959805	chr20	47895099.0	47895213.0	sense	0.28935677860785347	0.5385663391946705	0.1
RUNX1	63	74	0.4323459860896036	0.0872912708729127	chr20	47895099.0	47895213.0	sense	0.34794951877361285	0.4584837598130502	0.1
E2F4	70	81	0.42714078276244893	0.034596540345965404	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
ELF3	67	80	0.42208738416782743	0.019498050194980503	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
ONECUT1	61	75	0.42065020542836395	0.058994100589941006	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
E2F6	70	81	0.4103327602277911	0.0418958104189581	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
TEAD1	64	74	0.4103124976058222	0.0688931106889311	chr20	47895099.0	47895213.0	sense	0.31590011730534256	0.5004502128252926	0.1
TEAD4	64	74	0.40894019128546816	0.0658934106589341	chr20	47895099.0	47895213.0	sense	0.31590011730534256	0.5004502128252926	0.1
TBX2	63	74	0.408167594509386	0.10818918108189181	chr20	47895099.0	47895213.0	antisense	0.35597075213113605	0.4485856837964227	0.1
NFAT5	70	80	0.40532122601574716	0.07779222077792221	chr20	47895099.0	47895213.0	sense	0.33238494332384944	0.4783586575096813	0.1
MNX1	67	77	0.40507510553837733	0.11908809119088092	chr20	47895099.0	47895213.0	antisense	0.35597075213113605	0.4485856837964227	0.1
Gfi1	65	75	0.3996880212302443	0.0816918308169183	chr20	47895099.0	47895213.0	antisense	0.3412903154129031	0.4668760352561111	0.1
HSF4	62	75	0.39851460763450486	0.070992900709929	chr20	47895099.0	47895213.0	sense	0.3177777460349203	0.49787651969200797	0.1
SRY	67	76	0.39766188502450245	0.0755924407559244	chr20	47895099.0	47895213.0	antisense	0.3304971828398555	0.48083223809156284	0.1
MAFF	62	80	0.39413886690324007	0.2328767123287671	chr20	47895099.0	47895213.0	antisense	0.4458382444583825	0.3508226800351558	0.1
Rxra	66	80	0.39403228480510083	0.010998900109989001	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
HLTF	64	74	0.3935307409166503	0.1548845115488451	chr20	47895099.0	47895213.0	sense	0.3868455259737184	0.412462421570145	0.1
ETV6	68	78	0.3927543094523178	0.038696130386961305	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
Rarg	65	81	0.3879485214706796	0.017998200179982	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
RXRB	66	80	0.3850098689612113	0.011698830116988301	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
ETV4	68	78	0.37995640248597046	0.06779322067793221	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
IRF2	60	78	0.37618205512764524	0.0665933406659334	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
Sox6	65	75	0.37583797219747644	0.032996700329967	chr20	47895099.0	47895213.0	sense	0.28935677860785347	0.5385663391946705	0.1
ELK3	68	78	0.37153841162972356	0.054094590540945904	chr20	47895099.0	47895213.0	antisense	0.31590011730534256	0.5004502128252926	0.1
HNF1A	63	78	0.37037192410940784	0.12858714128587143	chr20	47895099.0	47895213.0	antisense	0.37191357787298196	0.4295579660678351	0.1
ELF4	68	80	0.3703304250458161	0.0347965203479652	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
ELF1	68	80	0.3568709661590764	0.0430956904309569	chr20	47895099.0	47895213.0	antisense	0.28935677860785347	0.5385663391946705	0.1
Tcfl5	62	72	0.35316604859056844	0.4400559944005599	chr20	47895099.0	47895213.0	sense	0.5319392111421769	0.27413799509957365	0.1
Foxa2	64	76	0.3481514596785847	0.1116888311168883	chr20	47895099.0	47895213.0	sense	0.35597075213113605	0.4485856837964227	0.1
Stat6	66	81	0.3452210845249187	0.1780821917808219	chr20	47895099.0	47895213.0	antisense	0.39741437620943787	0.40075642661850175	0.1
Arid5a	61	75	0.34427817170721087	0.39516048395160486	chr20	47895099.0	47895213.0	sense	0.5058980588427643	0.29593698699881227	0.1
Foxq1	66	77	0.3431976181223521	0.09309069093090691	chr20	47895099.0	47895213.0	sense	0.34794951877361285	0.4584837598130502	0.1
