motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
XBP1	21	35	2.1753775799849815	9.999000099990002e-05	chr11	65190189.0	65190303.0	antisense	0.009399060093990603	2.026915573677164	0.05
Hes1	24	34	2.1571052571665326	0.0057994200579942	chr11	65190189.0	65190303.0	antisense	0.03517067648073902	1.4538192782845183	0.05
CREB3	20	34	1.976810308816219	9.999000099990002e-05	chr11	65190189.0	65190303.0	antisense	0.009399060093990603	2.026915573677164	0.05
HINFP	19	31	1.7899246634720463	0.00029997000299970003	chr11	65190189.0	65190303.0	antisense	0.012532080125320803	1.901976837068864	0.05
Nfe2l2	18	33	1.7349741982704685	0.00039996000399960006	chr11	65190189.0	65190303.0	sense	0.012532080125320803	1.901976837068864	0.05
MAFK	16	31	1.7090497840013634	0.000999900009999	chr11	65190189.0	65190303.0	antisense	0.022557744225577443	1.6467043319655579	0.05
JUND	21	32	1.702744930325176	0.00019998000199980003	chr11	65190189.0	65190303.0	sense	0.012532080125320803	1.901976837068864	0.05
NRL	16	27	1.681961044691634	0.0071992800719928	chr11	65190189.0	65190303.0	sense	0.03658012577120666	1.4367548056489094	0.05
MAFG	16	37	1.6390007000060645	0.0028997100289971	chr11	65190189.0	65190303.0	sense	0.0320673814971444	1.4939365014925006	0.05
FOSL1	21	32	1.5636130404577755	0.00039996000399960006	chr11	65190189.0	65190303.0	sense	0.012532080125320803	1.901976837068864	0.05
USF1	17	28	1.4767079199710684	0.0018998100189981002	chr11	65190189.0	65190303.0	sense	0.027022297770222976	1.5682777246515147	0.05
Gmeb1	19	36	1.4759174485369355	0.0741925807419258	chr11	65190189.0	65190303.0	sense	0.16409653152331824	0.7849005984484485	0.05
TFE3	17	27	1.4373975071330318	0.0052994700529947	chr11	65190189.0	65190303.0	sense	0.03517067648073902	1.4538192782845183	0.05
RORA	23	33	1.4271865984012495	0.0011998800119988001	chr11	65190189.0	65190303.0	antisense	0.022557744225577443	1.6467043319655579	0.05
NR2F1	19	32	1.4203040896437191	0.0034996500349965005	chr11	65190189.0	65190303.0	antisense	0.03517067648073902	1.4538192782845183	0.05
Arntl	18	28	1.404025355266504	0.0044995500449955	chr11	65190189.0	65190303.0	antisense	0.03517067648073902	1.4538192782845183	0.05
Creb5	21	33	1.3732082507512124	0.0005999400059994001	chr11	65190189.0	65190303.0	antisense	0.01611267444684103	1.792832367643796	0.05
ATF7	20	34	1.3723620917817647	0.0011998800119988001	chr11	65190189.0	65190303.0	sense	0.022557744225577443	1.6467043319655579	0.05
JUNB	20	31	1.3509179865830945	0.0017998200179982	chr11	65190189.0	65190303.0	sense	0.027022297770222976	1.5682777246515147	0.05
FOSL2	20	31	1.3496902488370557	0.0017998200179982	chr11	65190189.0	65190303.0	sense	0.027022297770222976	1.5682777246515147	0.05
ZBTB33	19	34	1.3309603613340977	0.006399360063993601	chr11	65190189.0	65190303.0	antisense	0.0353846968244352	1.4511845210715508	0.05
NFIX	21	30	1.3238072903531817	0.013398660133986601	chr11	65190189.0	65190303.0	antisense	0.06032885083584665	1.2194749471915327	0.05
TFEB	17	27	1.312932033464692	0.004199580041995801	chr11	65190189.0	65190303.0	sense	0.03517067648073902	1.4538192782845183	0.05
JUN(var.2)	17	31	1.312057357088832	0.0065993400659934	chr11	65190189.0	65190303.0	sense	0.03544788378305027	1.4504096868215897	0.05
FOS	21	32	1.3075384812132713	0.0021997800219978004	chr11	65190189.0	65190303.0	sense	0.027022297770222976	1.5682777246515147	0.05
Tcfl5	24	34	1.2855380174494035	0.07139286071392861	chr11	65190189.0	65190303.0	sense	0.16368119285632413	0.7860012186207251	0.05
ATF4	20	33	1.2735340987801165	0.0037996200379962005	chr11	65190189.0	65190303.0	sense	0.03517067648073902	1.4538192782845183	0.05
NR2C2	16	31	1.2068392793124645	0.006999300069993001	chr11	65190189.0	65190303.0	antisense	0.036551900365519	1.4370900387662133	0.05
SP3	22	33	1.2003717278905333	0.018198180181981802	chr11	65190189.0	65190303.0	sense	0.07437517117853433	1.128572021709682	0.05
USF2	17	28	1.1839534231827957	0.004999500049995001	chr11	65190189.0	65190303.0	sense	0.03517067648073902	1.4538192782845183	0.05
Crem	21	31	1.1654677486244405	0.0051994800519948	chr11	65190189.0	65190303.0	sense	0.03517067648073902	1.4538192782845183	0.05
NFE2	21	32	1.1564575604466507	0.0022997700229977	chr11	65190189.0	65190303.0	sense	0.027022297770222976	1.5682777246515147	0.05
BHLHE40	17	27	1.0748334164604916	0.008399160083991601	chr11	65190189.0	65190303.0	sense	0.041553739362905816	1.3813898885681113	0.05
HMBOX1	21	31	1.0743096844558773	0.0324967503249675	chr11	65190189.0	65190303.0	antisense	0.10354896713718459	0.9848542286764526	0.05
FOXA1	16	31	1.0612877184237848	0.03569643035696431	chr11	65190189.0	65190303.0	sense	0.109756766258858	0.959568696978271	0.05
