motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	6	23	8.171061665226578	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
CREB1	10	18	7.077314589096977	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.003991908501457547	2.3988194217352414	0.05
ATF7	7	21	6.556289357580116	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
Crem	10	20	6.128320596404205	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.003991908501457547	2.3988194217352414	0.05
Creb5	8	20	5.747506144419072	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.003991908501457547	2.3988194217352414	0.05
JDP2(var.2)	8	20	5.512358628739245	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.003991908501457547	2.3988194217352414	0.05
GMEB2	10	18	4.796048649955611	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
Atf1	11	19	4.733148698492081	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.003991908501457547	2.3988194217352414	0.05
JUN	6	19	4.72649763747527	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
JUND(var.2)	8	23	4.699083984359496	9.999000099990002e-05	chr14	101292375.0	101292489.0	antisense	0.003991908501457547	2.3988194217352414	0.05
HLF	8	20	4.501018959852426	0.00029997000299970003	chr14	101292375.0	101292489.0	antisense	0.011120316539774595	1.9538828503869803	0.05
Atf3	8	16	4.363954147390105	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
BATF3	7	21	4.249583199780675	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
DBP	8	20	4.118359934369992	9.999000099990002e-05	chr14	101292375.0	101292489.0	sense	0.003991908501457547	2.3988194217352414	0.05
CREB3	7	21	4.091529613756086	0.0004999500049995	chr14	101292375.0	101292489.0	antisense	0.017298270172982702	1.7619973241480673	0.05
NRL	14	25	3.9159268913146184	0.0082991700829917	chr14	101292375.0	101292489.0	antisense	0.1133491913966498	0.9455815736691411	0.05
NR2C2	10	25	3.728425243288725	0.0008999100089991	chr14	101292375.0	101292489.0	sense	0.029190830916908307	1.5347535426450047	0.05
Hoxd3	9	25	3.689339355057087	0.0173982601739826	chr14	101292375.0	101292489.0	sense	0.16721661167216612	0.7767205809687736	0.05
Hes1	7	17	3.512911309473255	0.07789221077892211	chr14	101292375.0	101292489.0	sense	0.3885883411658834	0.410510233698356	0.05
Pax2	13	21	3.435090785729557	0.0131986801319868	chr14	101292375.0	101292489.0	sense	0.14191642060283768	0.8479673510921109	0.05
Foxj3	9	26	3.320475641044193	0.0216978302169783	chr14	101292375.0	101292489.0	sense	0.19167599369095348	0.7174322765867707	0.05
PPARG	10	30	3.2974494224437705	0.007099290070992901	chr14	101292375.0	101292489.0	sense	0.10234809852348101	0.9899202214766167	0.05
XBP1	6	20	3.2410306028365343	0.0030996900309969004	chr14	101292375.0	101292489.0	sense	0.07584626152769339	1.1200658207824126	0.05
HNF4G	10	25	3.2257267884203573	0.009999000099990002	chr14	101292375.0	101292489.0	sense	0.12355907266416216	0.9081253598263053	0.05
HINFP	6	18	3.169384191708662	0.0036996300369963003	chr14	101292375.0	101292489.0	antisense	0.07584626152769339	1.1200658207824126	0.05
MEIS1	12	19	3.148597756488471	0.0035996400359964	chr14	101292375.0	101292489.0	antisense	0.07584626152769339	1.1200658207824126	0.05
NR2F1	9	22	3.123383509035033	0.0065993400659934	chr14	101292375.0	101292489.0	sense	0.10234809852348101	0.9899202214766167	0.05
Nr2f6	11	25	3.1093532863133735	0.0022997700229977	chr14	101292375.0	101292489.0	sense	0.06919308069193081	1.1599373328201048	0.05
Nr1h3::Rxra	10	29	3.0652684807711617	0.06629337066293371	chr14	101292375.0	101292489.0	sense	0.3649024571227088	0.4378232122417069	0.05
PAX1	13	30	3.0556696997936985	0.0037996200379962005	chr14	101292375.0	101292489.0	sense	0.07584626152769339	1.1200658207824126	0.05
RARA::RXRA	10	27	3.0194336134093995	0.015298470152984701	chr14	101292375.0	101292489.0	antisense	0.1556844315568443	0.8077548147087424	0.05
DUXA	6	19	3.0140142833421506	0.009599040095990401	chr14	101292375.0	101292489.0	antisense	0.12355907266416216	0.9081253598263053	0.05
Pparg::Rxra	10	25	2.931913770462851	0.04789521047895211	chr14	101292375.0	101292489.0	sense	0.31868736203302744	0.496635158704322	0.05
THAP1	10	19	2.9282158705965187	0.039996000399960006	chr14	101292375.0	101292489.0	antisense	0.2781561843815618	0.5557112797356348	0.05
MAFG::NFE2L1	14	20	2.903990991026913	0.0023997600239976003	chr14	101292375.0	101292489.0	antisense	0.06919308069193081	1.1599373328201048	0.05
MAFF	9	27	2.900380093852339	0.0663933606639336	chr14	101292375.0	101292489.0	sense	0.3649024571227088	0.4378232122417069	0.05
