motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	68	85	1.5152270753990942	0.005599440055994401	chr3	169482812.0	169482926.0	sense	0.24217578242175786	0.6158692884698291	0.15
Zfx	76	90	1.1574403100119166	0.0011998800119988001	chr3	169482812.0	169482926.0	sense	0.20757924207579243	0.6828160781004424	0.15
PAX5	71	90	1.0961722676702619	0.009099090090990901	chr3	169482812.0	169482926.0	antisense	0.30488201179882013	0.515868198484631	0.15
HIC2	80	89	1.0090447180490973	0.0015998400159984002	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
SP2	73	88	0.9820570717426872	0.007499250074992501	chr3	169482812.0	169482926.0	antisense	0.2780079134943649	0.5559428417149428	0.15
Klf4	78	88	0.9052025639611788	0.00029997000299970003	chr3	169482812.0	169482926.0	sense	0.15568443155684433	0.8077548147087423	0.15
HINFP	72	84	0.8871234665756905	0.003999600039996	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
MAFG	69	90	0.878447112780393	0.035996400359964	chr3	169482812.0	169482926.0	sense	0.3920941239209413	0.4066096661614933	0.15
HLF	70	82	0.8687633495970192	0.005599440055994401	chr3	169482812.0	169482926.0	antisense	0.24217578242175786	0.6158692884698291	0.15
EGR4	75	91	0.8660720163899142	0.0174982501749825	chr3	169482812.0	169482926.0	antisense	0.3783996600339966	0.4220492624537164	0.15
SP8	80	92	0.8497729557501229	0.006799320067993201	chr3	169482812.0	169482926.0	antisense	0.2714497780991132	0.5663105090290053	0.15
Nr1h3::Rxra	72	91	0.8433173381795003	0.06059394060593941	chr3	169482812.0	169482926.0	sense	0.4193100689931007	0.37746470865381865	0.15
GLI2	77	89	0.8170390858027066	0.0038996100389961006	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
EGR3	76	91	0.8148430259189602	0.0037996200379962005	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
NRL	69	80	0.8104705821989757	0.044795520447955206	chr3	169482812.0	169482926.0	sense	0.3920941239209413	0.4066096661614933	0.15
Hes1	78	88	0.799069011097976	0.16628337166283372	chr3	169482812.0	169482926.0	antisense	0.5374819660891054	0.26963610287166795	0.15
MZF1(var.2)	76	86	0.7977661514523751	0.013298670132986702	chr3	169482812.0	169482926.0	sense	0.3068562708946497	0.5130649970757801	0.15
ESR2	73	88	0.7968299783848584	0.029797020297970205	chr3	169482812.0	169482926.0	antisense	0.38661633836616344	0.41271979668011194	0.15
Klf1	78	89	0.7902934061800526	0.0020997900209979003	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
Hic1	80	89	0.7832116673846727	0.0093990600939906	chr3	169482812.0	169482926.0	antisense	0.30488201179882013	0.515868198484631	0.15
ZBTB7C	77	89	0.782657152870058	0.026997300269973004	chr3	169482812.0	169482926.0	antisense	0.3837484672585373	0.4159533461401351	0.15
SP3	81	92	0.7785165689118844	0.020397960203979604	chr3	169482812.0	169482926.0	antisense	0.3837484672585373	0.4159533461401351	0.15
Neurog1	73	83	0.7775855398368953	0.0638936106389361	chr3	169482812.0	169482926.0	antisense	0.43065953144945246	0.36586593644248655	0.15
SP1	77	88	0.7756802164845868	0.0024997500249975004	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
MAFF	67	85	0.7712715508037574	0.07789221077892211	chr3	169482812.0	169482926.0	antisense	0.43162510672009724	0.36489330126237096	0.15
EGR2	78	89	0.7698731238579378	0.0023997600239976003	chr3	169482812.0	169482926.0	antisense	0.20757924207579243	0.6828160781004424	0.15
Hes2	72	85	0.765361381331671	0.13888611138886112	chr3	169482812.0	169482926.0	sense	0.5078533525957749	0.29426167620590565	0.15
REST	71	92	0.7653585212116151	0.013598640135986401	chr3	169482812.0	169482926.0	antisense	0.3068562708946497	0.5130649970757801	0.15
