motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Nfe2l2	23	38	7.852192015873633	9.999000099990002e-05	chr7	130794716.0	130794830.0	sense	0.005899410058994101	2.2291914156347183	0.05
MAFF	26	44	5.248346663715102	0.0005999400059994001	chr7	130794716.0	130794830.0	sense	0.017698230176982303	1.752070160915056	0.05
MAFK	27	42	5.21943958833507	9.999000099990002e-05	chr7	130794716.0	130794830.0	sense	0.005899410058994101	2.2291914156347183	0.05
FOSL1	26	37	4.049777770523681	9.999000099990002e-05	chr7	130794716.0	130794830.0	antisense	0.005899410058994101	2.2291914156347183	0.05
JUNB	25	36	4.021404663544816	0.00019998000199980003	chr7	130794716.0	130794830.0	sense	0.008849115088491151	2.0531001565790374	0.05
JUN(var.2)	27	41	3.714681314666234	0.0018998100189981002	chr7	130794716.0	130794830.0	antisense	0.0305696703056967	1.5147092451204522	0.05
XBP1	26	40	3.6803820108424206	0.000999900009999	chr7	130794716.0	130794830.0	antisense	0.019664700196647	1.706312670354381	0.05
JUND	26	37	3.486398721957696	0.0004999500049995	chr7	130794716.0	130794830.0	antisense	0.017698230176982303	1.752070160915056	0.05
RUNX1	27	38	3.414001937329404	0.0053994600539946005	chr7	130794716.0	130794830.0	antisense	0.07351572535054186	1.1336197533989243	0.05
FOS	26	37	3.308470947285557	0.0018998100189981002	chr7	130794716.0	130794830.0	antisense	0.0305696703056967	1.5147092451204522	0.05
Tcf12	31	42	3.126662345327988	0.0022997700229977	chr7	130794716.0	130794830.0	sense	0.03392160783921608	1.469523570945088	0.05
TFAP4	31	41	2.994436903501263	0.000999900009999	chr7	130794716.0	130794830.0	sense	0.019664700196647	1.706312670354381	0.05
NFE2	26	37	2.93726667152675	0.0007999200079992001	chr7	130794716.0	130794830.0	sense	0.019664700196647	1.706312670354381	0.05
ZNF263	25	46	2.882562664487381	0.03849615038496151	chr7	130794716.0	130794830.0	sense	0.290958904109589	0.5361683477110245	0.05
Hes1	27	37	2.6551502062648615	0.25717428257174285	chr7	130794716.0	130794830.0	sense	0.5907323901756165	0.22860921588864913	0.05
NFYA	24	42	2.4921864776613467	0.037396260373962605	chr7	130794716.0	130794830.0	antisense	0.290958904109589	0.5361683477110245	0.05
Gmeb1	28	45	2.4174232803204263	0.45065493450654937	chr7	130794716.0	130794830.0	antisense	0.685692969164622	0.1638703036025299	0.05
CREB3L1	27	41	2.372695490866066	0.016798320167983202	chr7	130794716.0	130794830.0	sense	0.16714995167149949	0.7768937446400883	0.05
ATF4	25	38	2.349975905756951	0.0150984901509849	chr7	130794716.0	130794830.0	sense	0.16714995167149949	0.7768937446400883	0.05
FOXH1	24	35	2.333212421775875	0.016298370162983702	chr7	130794716.0	130794830.0	sense	0.16714995167149949	0.7768937446400883	0.05
HOXB3	27	37	2.3192311978607743	0.13908609139086092	chr7	130794716.0	130794830.0	sense	0.5005059494050594	0.3005907557901943	0.05
TCF4	34	44	2.282858723382141	0.016998300169983	chr7	130794716.0	130794830.0	antisense	0.16714995167149949	0.7768937446400883	0.05
ALX3	23	33	2.19740276654911	0.19098090190980901	chr7	130794716.0	130794830.0	antisense	0.5633936606339366	0.24918804405097214	0.05
Gfi1b	27	38	2.1765158860255567	0.0211978802119788	chr7	130794716.0	130794830.0	sense	0.19747498934317095	0.7044879009391336	0.05
HOXB2	23	33	2.1311638602401906	0.19768023197680232	chr7	130794716.0	130794830.0	antisense	0.5652015443616929	0.24779666015177876	0.05
POU2F1	30	42	2.0859876142735607	0.0862913708629137	chr7	130794716.0	130794830.0	antisense	0.4501090431497391	0.3466822615547941	0.05
TP53	24	42	2.0675726169627286	0.033896610338966106	chr7	130794716.0	130794830.0	sense	0.2857000014284286	0.5440897574458932	0.05
MAFG	24	45	2.0627411770463944	0.14138586141385862	chr7	130794716.0	130794830.0	antisense	0.5005059494050594	0.3005907557901943	0.05
Dmbx1	28	45	2.0522866011107723	0.17818218178182182	chr7	130794716.0	130794830.0	sense	0.5633936606339366	0.24918804405097214	0.05
ZBTB18	30	43	2.0506901421330324	0.033596640335966405	chr7	130794716.0	130794830.0	antisense	0.2857000014284286	0.5440897574458932	0.05
TCF3	31	41	2.046835250376398	0.0397960203979602	chr7	130794716.0	130794830.0	sense	0.290958904109589	0.5361683477110245	0.05
CREB3	25	39	2.0460111290679945	0.04939506049395061	chr7	130794716.0	130794830.0	antisense	0.31983230248403727	0.49507767541747616	0.05
JDP2	27	36	2.0430969300132187	0.009299070092990702	chr7	130794716.0	130794830.0	sense	0.11756681474709671	0.929715248039359	0.05
Mitf	23	33	2.0128036997030003	0.2196780321967803	chr7	130794716.0	130794830.0	antisense	0.5781421857814218	0.23796533994222363	0.05
ETV6	34	44	2.000244041970969	0.0410958904109589	chr7	130794716.0	130794830.0	sense	0.290958904109589	0.5361683477110245	0.05
TBP	23	38	1.9837922920864892	0.27247275272472754	chr7	130794716.0	130794830.0	sense	0.5907323901756165	0.22860921588864913	0.05
ETV5	34	44	1.9589654095050573	0.1080891910808919	chr7	130794716.0	130794830.0	sense	0.47829467053294666	0.3203044582897081	0.05
TBX19	26	46	1.9344595043817079	0.1297870212978702	chr7	130794716.0	130794830.0	sense	0.48227677232276767	0.31670365430239483	0.05
Tcfl5	34	44	1.9244574136202597	0.42645735426457354	chr7	130794716.0	130794830.0	sense	0.666069045269386	0.17648074917015474	0.05
STAT3	28	39	1.9116841299015497	0.050594940505949405	chr7	130794716.0	130794830.0	antisense	0.31983230248403727	0.49507767541747616	0.05
ETV3	31	41	1.846389301839374	0.0871912808719128	chr7	130794716.0	130794830.0	antisense	0.4501090431497391	0.3466822615547941	0.05
CENPB	25	40	1.7826777420240658	0.17378262173782622	chr7	130794716.0	130794830.0	sense	0.5633936606339366	0.24918804405097214	0.05
Arid5a	31	45	1.7393572420232346	0.3792620737926207	chr7	130794716.0	130794830.0	antisense	0.6393274958218463	0.1942766172822036	0.05
Hoxc9	23	36	1.7202708184993787	0.1307869213078692	chr7	130794716.0	130794830.0	sense	0.48227677232276767	0.31670365430239483	0.05
HIC2	28	37	1.7172431064097384	0.18488151184881513	chr7	130794716.0	130794830.0	sense	0.5633936606339366	0.24918804405097214	0.05
TEF	26	38	1.6681331122739433	0.0760923907609239	chr7	130794716.0	130794830.0	sense	0.44894510548945105	0.34780675886414564	0.05
Crem	26	36	1.600834918399936	0.09409059094090591	chr7	130794716.0	130794830.0	sense	0.4501090431497391	0.3466822615547941	0.05
HMBOX1	27	37	1.5843737505935458	0.2506749325067493	chr7	130794716.0	130794830.0	sense	0.5907323901756165	0.22860921588864913	0.05
Myc	33	43	1.5838895336205026	0.06869313068693131	chr7	130794716.0	130794830.0	antisense	0.4192649700547187	0.3775114217544617	0.05
HSF4	25	38	1.5579547903297317	0.1882811718828117	chr7	130794716.0	130794830.0	antisense	0.5633936606339366	0.24918804405097214	0.05
ERF	34	44	1.554339023818364	0.0908909109089091	chr7	130794716.0	130794830.0	sense	0.4501090431497391	0.3466822615547941	0.05
