motif	start	end
Pparg::Rxra	3	17
NR2C2	3	17
PLAG1	4	17
SP3	5	15
KLF16	5	15
ZNF263	5	25
EGR1	5	18
SP2	5	19
SP1	5	15
EGR4	6	21
EGR3	6	20
ZNF740	6	15
SP2	8	22
SP1	8	18
KLF5	8	17
EGR1	8	21
E2F6	9	19
E2F4	9	19
E2F7	10	23
E2F6	10	20
E2F4	10	20
TFAP2A(var.3)	11	23
TFAP2C(var.3)	11	23
TFAP2B(var.3)	11	23
TFAP2B	12	23
TFAP2A(var.2)	12	23
INSM1	12	23
TFAP2C	12	23
ZNF143	12	27
TFAP2C(var.2)	13	23
TFAP2B	13	24
TFAP2A	13	23
TFAP2C	13	24
TFAP2A(var.2)	13	24
TFAP2B(var.2)	13	23
Hes2	16	28
HIC2	17	25
Myc	19	28
USF2	20	30
HES5	20	31
NRF1	20	30
HES7	20	31
Myc	20	29
MAX::MYC	20	30
NRF1	21	31
HEY2	21	30
