motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
THAP1	2	11	3.1297746060935463	0.0006999300069993001	chr1	173837438.0	173837552.0	sense	0.060543945605439464	1.2179292797977916	0.1
E2F4	1	12	2.8308248235629296	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.051894810518948106	1.2848760694284047	0.1
E2F6	1	12	2.79943063785729	0.00019998000199980003	chr1	173837438.0	173837552.0	antisense	0.051894810518948106	1.2848760694284047	0.1
ZNF263	1	22	2.375703687077832	0.021097890210978902	chr1	173837438.0	173837552.0	antisense	0.49771840997718414	0.3030162949529184	0.1
Stat4	2	16	2.327603799717561	0.00029997000299970003	chr1	173837438.0	173837552.0	sense	0.051894810518948106	1.2848760694284047	0.1
Hes2	3	16	1.999764483966725	0.0207979202079792	chr1	173837438.0	173837552.0	sense	0.49771840997718414	0.3030162949529184	0.1
STAT3	2	13	1.986736175629426	0.00039996000399960006	chr1	173837438.0	173837552.0	sense	0.051894810518948106	1.2848760694284047	0.1
SP2	2	17	1.9146369349746948	0.041995800419958006	chr1	173837438.0	173837552.0	sense	0.5991491759914918	0.22246503363067296	0.1
SPIB	3	10	1.8140507774131178	0.0018998100189981002	chr1	173837438.0	173837552.0	antisense	0.12325017498250175	0.9092124554675194	0.1
HSF4	3	16	1.7891298422349475	0.0034996500349965005	chr1	173837438.0	173837552.0	sense	0.17298270172982702	0.7619973241480672	0.1
Bcl6	2	16	1.7277610705380582	0.007499250074992501	chr1	173837438.0	173837552.0	sense	0.24325692430756923	0.6139347886926295	0.1
STAT1	2	13	1.6818971882756817	0.0006999300069993001	chr1	173837438.0	173837552.0	sense	0.060543945605439464	1.2179292797977916	0.1
EGR1	2	16	1.6466018062636525	0.07979202079792021	chr1	173837438.0	173837552.0	sense	0.7395010498950105	0.13106120508387578	0.1
Stat5a::Stat5b	3	14	1.6205802196902248	0.0036996300369963003	chr1	173837438.0	173837552.0	antisense	0.17298270172982702	0.7619973241480672	0.1
NFATC2	1	8	1.5969705456608925	0.0046995300469953	chr1	173837438.0	173837552.0	sense	0.1876196995685047	0.7267215637995241	0.1
GCM2	3	13	1.5844441681670713	0.008899110088991101	chr1	173837438.0	173837552.0	antisense	0.27168459624625774	0.565934984161766	0.1
PAX5	2	21	1.5805008703382943	0.060993900609939006	chr1	173837438.0	173837552.0	antisense	0.6331166883311669	0.19851623875365662	0.1
EWSR1-FLI1	1	19	1.5323020746139822	0.0018998100189981002	chr1	173837438.0	173837552.0	antisense	0.12325017498250175	0.9092124554675194	0.1
Hand1::Tcf3	2	12	1.508871604745717	0.017798220177982202	chr1	173837438.0	173837552.0	antisense	0.46186381361863815	0.335486062783492	0.1
HSF2	3	16	1.4999587856481034	0.0038996100389961006	chr1	173837438.0	173837552.0	sense	0.17298270172982702	0.7619973241480672	0.1
Pax6	3	17	1.4783726654459635	0.017798220177982202	chr1	173837438.0	173837552.0	sense	0.46186381361863815	0.335486062783492	0.1
Pax2	2	10	1.4736415347075955	0.037396260373962605	chr1	173837438.0	173837552.0	sense	0.5545331181167598	0.25607251157820027	0.1
ZBTB18	2	15	1.453556610161121	0.0059994000599940004	chr1	173837438.0	173837552.0	sense	0.22240633079549188	0.6528528547229993	0.1
ETV5	4	14	1.3969600182594573	0.032096790320967905	chr1	173837438.0	173837552.0	sense	0.5270566693330667	0.2781426867694364	0.1
Gmeb1	1	18	1.389206408422427	0.3344665533446655	chr1	173837438.0	173837552.0	antisense	0.9924131139009651	0.003307505527200584	0.1
HSF1	3	16	1.388500188985942	0.003999600039996	chr1	173837438.0	173837552.0	sense	0.17298270172982702	0.7619973241480672	0.1
NFIX	1	10	1.3589263469396655	0.04739526047395261	chr1	173837438.0	173837552.0	sense	0.5991491759914918	0.22246503363067296	0.1
MZF1(var.2)	3	13	1.3453143203131075	0.0740925907409259	chr1	173837438.0	173837552.0	antisense	0.7121121221211212	0.14745162127204517	0.1
YY2	3	14	1.3410261398814896	0.025897410258974102	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
ETV1	4	14	1.3115321195188567	0.029097090290970903	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
ETV4	4	14	1.3106666536336613	0.029197080291970802	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
EGR4	3	19	1.3010187829670397	0.09259074092590741	chr1	173837438.0	173837552.0	sense	0.8144846532295924	0.08911709438861462	0.1
TFAP2A(var.3)	3	16	1.2443467081707833	0.0496950304969503	chr1	173837438.0	173837552.0	antisense	0.5991491759914918	0.22246503363067296	0.1
E2F8	2	14	1.242157729885663	0.0066993300669933005	chr1	173837438.0	173837552.0	sense	0.2317968203179682	0.6348925257832596	0.1
FEV	4	14	1.218043214839135	0.029497050294970503	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
Rhox11	3	20	1.2176235227097256	0.1842815718428157	chr1	173837438.0	173837552.0	antisense	0.9675714671523502	0.014316947090847413	0.1
ELK3	4	14	1.2161902062268426	0.0324967503249675	chr1	173837438.0	173837552.0	sense	0.5270566693330667	0.2781426867694364	0.1
TFAP2C(var.3)	3	16	1.2085468840636375	0.050294970502949704	chr1	173837438.0	173837552.0	antisense	0.5991491759914918	0.22246503363067296	0.1
TFAP2B(var.3)	3	16	1.2049992600341344	0.047995200479952004	chr1	173837438.0	173837552.0	antisense	0.5991491759914918	0.22246503363067296	0.1
GCM1	2	13	1.2016453915697762	0.0282971702829717	chr1	173837438.0	173837552.0	antisense	0.5102989701029897	0.2921753081699042	0.1
ERG	4	14	1.1965850236256665	0.028197180281971802	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
ETV3	4	14	1.1811496588413604	0.0354964503549645	chr1	173837438.0	173837552.0	sense	0.5418428745360758	0.26612663341556586	0.1
TFAP2C	4	16	1.1799064895867095	0.12988701129887012	chr1	173837438.0	173837552.0	sense	0.8988181181881811	0.04632818174707701	0.1
ELF5	3	14	1.1733312461781098	0.08199180081991801	chr1	173837438.0	173837552.0	sense	0.746556923255043	0.1269370727171795	0.1
TFAP2B	4	16	1.1679560741355433	0.11968803119688032	chr1	173837438.0	173837552.0	sense	0.8685173149351733	0.06122151894878604	0.1
ETS1	4	14	1.1407132575342471	0.034596540345965404	chr1	173837438.0	173837552.0	sense	0.5418428745360758	0.26612663341556586	0.1
ELK4	4	15	1.1264720714069254	0.05349465053494651	chr1	173837438.0	173837552.0	antisense	0.6169716361697164	0.20973480118252003	0.1
FLI1	4	14	1.1030221312777384	0.029197080291970802	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
Rfx1	1	15	1.093933100596674	0.06519348065193481	chr1	173837438.0	173837552.0	sense	0.6506810857375801	0.18663181733128378	0.1
NFIC	3	9	1.089338379614631	0.047495250474952504	chr1	173837438.0	173837552.0	antisense	0.5991491759914918	0.22246503363067296	0.1
Gabpa	5	16	1.0851409474022526	0.059194080591940805	chr1	173837438.0	173837552.0	sense	0.6331166883311669	0.19851623875365662	0.1
CTCF	2	21	1.0815510200585328	0.11458854114588542	chr1	173837438.0	173837552.0	sense	0.8685173149351733	0.06122151894878604	0.1
EBF1	2	16	1.0762369208598324	0.04559544045595441	chr1	173837438.0	173837552.0	sense	0.5991491759914918	0.22246503363067296	0.1
SP1	2	13	1.0609642463982867	0.1362863713628637	chr1	173837438.0	173837552.0	sense	0.916808319168083	0.03772145454727829	0.1
TFAP2A(var.2)	4	16	1.057585346301703	0.1852814718528147	chr1	173837438.0	173837552.0	sense	0.9675714671523502	0.014316947090847413	0.1
ZBTB7C	3	15	1.0566256880315785	0.2091790820917908	chr1	173837438.0	173837552.0	antisense	0.9822946276800892	0.007758231169834947	0.1
ELK1	4	14	1.0560932566938879	0.027497250274972504	chr1	173837438.0	173837552.0	sense	0.5102989701029897	0.2921753081699042	0.1
Neurog1	4	14	1.038285018482874	0.29827017298270175	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
EGR3	3	18	1.03568972466978	0.08549145085491451	chr1	173837438.0	173837552.0	sense	0.7650010860982868	0.11633794826316944	0.1
TFCP2	2	12	1.0292933922688752	0.050794920507949204	chr1	173837438.0	173837552.0	antisense	0.5991491759914918	0.22246503363067296	0.1
ZBTB33	3	18	1.0279227211462423	0.1337866213378662	chr1	173837438.0	173837552.0	sense	0.9136217957151652	0.039233548277391915	0.1
Hes1	7	17	1.0177215327682214	0.5292470752924707	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
HLF	1	13	1.004880120489357	0.10998900109989002	chr1	173837438.0	173837552.0	sense	0.8685173149351733	0.06122151894878604	0.1
CENPB	5	20	0.9773582368094407	0.19718028197180282	chr1	173837438.0	173837552.0	sense	0.9675714671523502	0.014316947090847413	0.1
E2F7	1	15	0.9701170652504687	0.015898410158984102	chr1	173837438.0	173837552.0	sense	0.4584041595840416	0.3387514502112594	0.1
EHF	2	14	0.9627605264379122	0.07789221077892211	chr1	173837438.0	173837552.0	sense	0.7350192253501924	0.13370130125008414	0.1
GLIS2	1	15	0.9579775045979966	0.11908809119088092	chr1	173837438.0	173837552.0	antisense	0.8685173149351733	0.06122151894878604	0.1
CREB3	2	16	0.9550171923697869	0.09679032096790322	chr1	173837438.0	173837552.0	sense	0.8372362763723629	0.07715196250365472	0.1
GLI2	5	17	0.9541228560138603	0.12048795120487951	chr1	173837438.0	173837552.0	antisense	0.8685173149351733	0.06122151894878604	0.1
ELF4	2	14	0.9502308928288251	0.0585941405859414	chr1	173837438.0	173837552.0	sense	0.6331166883311669	0.19851623875365662	0.1
ELF1	2	14	0.9497042905881508	0.06059394060593941	chr1	173837438.0	173837552.0	sense	0.6331166883311669	0.19851623875365662	0.1
HIC2	2	11	0.9485088081281448	0.1977802219778022	chr1	173837438.0	173837552.0	sense	0.9675714671523502	0.014316947090847413	0.1
GLIS3	1	15	0.9439747683080132	0.0580941905809419	chr1	173837438.0	173837552.0	antisense	0.6331166883311669	0.19851623875365662	0.1
TAL1::TCF3	4	16	0.9429659481953212	0.0734926507349265	chr1	173837438.0	173837552.0	antisense	0.7121121221211212	0.14745162127204517	0.1
Stat6	1	16	0.9232757595445454	0.17328267173282672	chr1	173837438.0	173837552.0	antisense	0.9675714671523502	0.014316947090847413	0.1
XBP1	1	15	0.9223945989721551	0.11428857114288571	chr1	173837438.0	173837552.0	sense	0.8685173149351733	0.06122151894878604	0.1
ZNF143	3	19	0.9195038450807763	0.04989501049895011	chr1	173837438.0	173837552.0	sense	0.5991491759914918	0.22246503363067296	0.1
Zfx	1	15	0.9165253520754545	0.24087591240875914	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
Dmbx1	1	18	0.9157051163373084	0.3241675832416758	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
SMAD2::SMAD3::SMAD4	6	19	0.9082175683392036	0.17848215178482152	chr1	173837438.0	173837552.0	sense	0.9675714671523502	0.014316947090847413	0.1
Tcfl5	2	12	0.902911859846679	0.5101489851014899	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
Mitf	2	12	0.9021518592085678	0.34656534346565343	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
RARA::RXRA	3	20	0.8994406105377805	0.24897510248975102	chr1	173837438.0	173837552.0	antisense	0.9924131139009651	0.003307505527200584	0.1
REL	6	16	0.8946231198600635	0.14128587141285873	chr1	173837438.0	173837552.0	sense	0.9193710258603768	0.03650918723704351	0.1
SPDEF	4	15	0.8859707984594611	0.06469353064693531	chr1	173837438.0	173837552.0	sense	0.6506810857375801	0.18663181733128378	0.1
RUNX3	2	12	0.878191291604857	0.1830816918308169	chr1	173837438.0	173837552.0	antisense	0.9675714671523502	0.014316947090847413	0.1
Hic1	2	11	0.873099075053657	0.19518048195180482	chr1	173837438.0	173837552.0	sense	0.9675714671523502	0.014316947090847413	0.1
ESR2	1	16	0.8723946754410302	0.28957104289571045	chr1	173837438.0	173837552.0	antisense	0.9924131139009651	0.003307505527200584	0.1
SP3	7	18	0.8680784737001946	0.26107389261073893	chr1	173837438.0	173837552.0	sense	0.9924131139009651	0.003307505527200584	0.1
