motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TFE3	74	84	1.675453019160897	0.00039996000399960006	chr9	21994716.0	21994830.0	sense	0.010741782964560688	1.9689236266994772	0.05
USF2	73	84	1.6339570709643276	9.999000099990002e-05	chr9	21994716.0	21994830.0	antisense	0.004699530046995301	2.327945569341145	0.05
TFEB	74	84	1.5756318079156189	0.00019998000199980003	chr9	21994716.0	21994830.0	sense	0.007519248075192481	2.1238255866852205	0.05
Hes1	74	84	1.5700631049554703	0.0082991700829917	chr9	21994716.0	21994830.0	antisense	0.053801516400084126	1.269205483536065	0.05
Tcfl5	74	84	1.5470089736463268	0.0029997000299970002	chr9	21994716.0	21994830.0	sense	0.029681242402075585	1.5275179242463492	0.05
USF1	74	85	1.4709256731623943	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.004699530046995301	2.327945569341145	0.05
Srebf1(var.2)	74	84	1.313936782214282	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.004699530046995301	2.327945569341145	0.05
BHLHE40	74	84	1.3127237168425345	0.00039996000399960006	chr9	21994716.0	21994830.0	antisense	0.010741782964560688	1.9689236266994772	0.05
NRL	73	84	1.2877328999392674	0.007999200079992	chr9	21994716.0	21994830.0	sense	0.053801516400084126	1.269205483536065	0.05
SREBF2(var.2)	74	84	1.2721522373829357	9.999000099990002e-05	chr9	21994716.0	21994830.0	sense	0.004699530046995301	2.327945569341145	0.05
Arntl	75	85	1.2262716927779136	0.0012998700129987	chr9	21994716.0	21994830.0	antisense	0.02282628879969146	1.6415646923131468	0.05
Gmeb1	71	88	1.1408923137174631	0.1014898510148985	chr9	21994716.0	21994830.0	sense	0.2355566912444558	0.6279045546426009	0.05
HLF	73	85	1.113991067872318	0.0025997400259974	chr9	21994716.0	21994830.0	sense	0.0271528402715284	1.566184735145671	0.05
MLXIPL	74	84	1.1094962930816061	0.0021997800219978004	chr9	21994716.0	21994830.0	antisense	0.024326979066799204	1.6139118185692505	0.05
MAFF	71	89	1.1012007248541393	0.0184981501849815	chr9	21994716.0	21994830.0	antisense	0.08459154084591541	1.072673064237839	0.05
HEY1	74	84	1.088809975195722	0.0016998300169983002	chr9	21994716.0	21994830.0	antisense	0.02282628879969146	1.6415646923131468	0.05
NR2C2	73	88	1.0784476000769765	0.0015998400159984002	chr9	21994716.0	21994830.0	antisense	0.02282628879969146	1.6415646923131468	0.05
Foxj3	69	86	1.0724101422811692	0.014498550144985502	chr9	21994716.0	21994830.0	sense	0.07787792649306498	1.1085856201284836	0.05
MLX	74	84	1.0661154454383561	0.0012998700129987	chr9	21994716.0	21994830.0	sense	0.02282628879969146	1.6415646923131468	0.05
CREB3	72	86	1.0621628242101249	0.004299570042995701	chr9	21994716.0	21994830.0	antisense	0.038491388956342465	1.4146364171675154	0.05
SREBF1	74	84	1.0486581160503585	0.0006999300069993001	chr9	21994716.0	21994830.0	sense	0.016448355164483553	1.7838775249908694	0.05
DBP	73	85	1.0131266950900495	0.001999800019998	chr9	21994716.0	21994830.0	sense	0.023497650234976502	1.6289755650051263	0.05
TEF	73	85	1.0015690459792628	0.0018998100189981002	chr9	21994716.0	21994830.0	sense	0.023497650234976502	1.6289755650051263	0.05
Nfe2l2	75	90	0.9869943686767851	0.008999100089991	chr9	21994716.0	21994830.0	sense	0.0563943605639436	1.2487643232935204	0.05
MAFK	73	88	0.9728244870310055	0.015998400159984	chr9	21994716.0	21994830.0	antisense	0.08063404185897201	1.0934815702260352	0.05
TGIF2	73	85	0.9652158190839845	0.0014998500149985001	chr9	21994716.0	21994830.0	sense	0.02282628879969146	1.6415646923131468	0.05
Npas2	74	84	0.9634317855497861	0.008099190080991902	chr9	21994716.0	21994830.0	antisense	0.053801516400084126	1.269205483536065	0.05
NR2F1	69	82	0.9523095514351974	0.012798720127987202	chr9	21994716.0	21994830.0	sense	0.07519248075192482	1.1238255866852205	0.05
JUN(var.2)	70	84	0.9049043941455025	0.017698230176982303	chr9	21994716.0	21994830.0	antisense	0.08459154084591541	1.072673064237839	0.05
LBX2	74	84	0.8911932012595845	0.0730926907309269	chr9	21994716.0	21994830.0	antisense	0.20429133557232512	0.6897500523245934	0.05
MNT	74	84	0.8803472575536619	0.014098590140985901	chr9	21994716.0	21994830.0	sense	0.07787792649306498	1.1085856201284836	0.05
SREBF2	74	84	0.848442792160993	0.0040995900409959	chr9	21994716.0	21994830.0	antisense	0.038491388956342465	1.4146364171675154	0.05
XBP1	73	87	0.8475606425665925	0.015998400159984	chr9	21994716.0	21994830.0	antisense	0.08063404185897201	1.0934815702260352	0.05
NFIX	78	87	0.8436935749892478	0.049595040495950406	chr9	21994716.0	21994830.0	antisense	0.16075633815928753	0.7938318950859227	0.05
Creb3l2	74	83	0.8421820592035544	0.0045995400459954	chr9	21994716.0	21994830.0	sense	0.039305160393051604	1.405550427153815	0.05
PKNOX1	73	85	0.8420224038977625	0.0016998300169983002	chr9	21994716.0	21994830.0	antisense	0.02282628879969146	1.6415646923131468	0.05
MYBL1	71	83	0.8108410764542177	0.013798620137986202	chr9	21994716.0	21994830.0	sense	0.07787792649306498	1.1085856201284836	0.05
FOSL1	69	80	0.8015849463364451	0.0110988901109889	chr9	21994716.0	21994830.0	antisense	0.06730939809244882	1.171924293060798	0.05
Foxk1	72	89	0.794966164868076	0.043795620437956206	chr9	21994716.0	21994830.0	antisense	0.15072674550726747	0.821809678039588	0.05
TBX2	78	89	0.7804677495603664	0.05319468053194681	chr9	21994716.0	21994830.0	antisense	0.16667666566676664	0.7781251961017783	0.05
NFE2	78	89	0.7705037433926399	0.005499450054994501	chr9	21994716.0	21994830.0	sense	0.044952026536476786	1.347250724536532	0.05
FOXP1	69	84	0.7547743897853546	0.0397960203979602	chr9	21994716.0	21994830.0	sense	0.14387791990031765	0.8420058495742941	0.05
Nr2f6	73	87	0.7466649335637117	0.018098190180981903	chr9	21994716.0	21994830.0	antisense	0.08459154084591541	1.072673064237839	0.05
Creb5	68	80	0.7434642216797989	0.016298370162983702	chr9	21994716.0	21994830.0	sense	0.08063404185897201	1.0934815702260352	0.05
Rxra	73	87	0.7362223114749836	0.0066993300669933005	chr9	21994716.0	21994830.0	antisense	0.048441309715182325	1.3147841232831743	0.05
TCF3	74	84	0.7349049466458702	0.035396460353964605	chr9	21994716.0	21994830.0	sense	0.13048106954010483	0.8844524920853313	0.05
RXRB	73	87	0.7337053845402359	0.006399360063993601	chr9	21994716.0	21994830.0	antisense	0.04812318768123188	1.3176456127013332	0.05
Crem	75	85	0.7334566832174868	0.027297270272972702	chr9	21994716.0	21994830.0	antisense	0.10473238390446668	0.9799190110009405	0.05
TFAP4	74	84	0.7166013993015188	0.019498050194980503	chr9	21994716.0	21994830.0	sense	0.08524728922456593	1.0693194222302513	0.05
JUNB	79	90	0.7105864781662605	0.023997600239976002	chr9	21994716.0	21994830.0	antisense	0.09759024097590241	1.0105936096101709	0.05
Gfi1	72	82	0.7102052382196208	0.0796920307969203	chr9	21994716.0	21994830.0	antisense	0.2110155181664932	0.6756856053361457	0.05
JUND	78	89	0.7084077885725474	0.0188981101889811	chr9	21994716.0	21994830.0	sense	0.08459154084591541	1.072673064237839	0.05
TGIF1	73	85	0.707667162650115	0.0057994200579942	chr9	21994716.0	21994830.0	antisense	0.0454287904542879	1.3426688261618516	0.05
RORA	80	90	0.7061552412208766	0.0240975902409759	chr9	21994716.0	21994830.0	antisense	0.09759024097590241	1.0105936096101709	0.05
MAX	74	84	0.7045616265467806	0.04409559044095591	chr9	21994716.0	21994830.0	sense	0.15072674550726747	0.821809678039588	0.05
FOSL2	79	90	0.7040324830642222	0.024397560243975602	chr9	21994716.0	21994830.0	antisense	0.09759024097590241	1.0105936096101709	0.05
HINFP	76	88	0.6909788582972131	0.056394360563943605	chr9	21994716.0	21994830.0	antisense	0.17380557026264587	0.7599363090406075	0.05
MIXL1	74	84	0.6894995254473363	0.1967803219678032	chr9	21994716.0	21994830.0	antisense	0.3504253348250081	0.4554045030263437	0.05
ETV5	77	87	0.6817233369035987	0.09569043095690431	chr9	21994716.0	21994830.0	sense	0.22675232476752324	0.6444482516613338	0.05
Arid5a	70	84	0.6807680294633586	0.20577942205779423	chr9	21994716.0	21994830.0	antisense	0.3615563677277132	0.4418239852719783	0.05
HMBOX1	70	80	0.6769105290875769	0.09499050094990501	chr9	21994716.0	21994830.0	sense	0.22675232476752324	0.6444482516613338	0.05
RUNX1	75	86	0.6697513508404448	0.09069093090690931	chr9	21994716.0	21994830.0	antisense	0.22434072382235465	0.6490918832338788	0.05
TP53	71	89	0.6696375610726749	0.0458954104589541	chr9	21994716.0	21994830.0	sense	0.15407744939791734	0.812260919482122	0.05
TBP	71	86	0.6666986826573404	0.24427557244275572	chr9	21994716.0	21994830.0	antisense	0.4017893862787634	0.3960015398163592	0.05
RARA(var.2)	69	86	0.6577616242686339	0.028597140285971403	chr9	21994716.0	21994830.0	antisense	0.10752524747525248	0.9684895492201586	0.05
THAP1	79	88	0.6574301142403993	0.21277872212778723	chr9	21994716.0	21994830.0	sense	0.37032296770322964	0.43141935185158997	0.05
ATF7	72	86	0.6500661939109781	0.047795220477952205	chr9	21994716.0	21994830.0	antisense	0.15764037631324584	0.8023325370735555	0.05
ZBTB33	69	84	0.648505907256469	0.10948905109489052	chr9	21994716.0	21994830.0	antisense	0.24238517324738112	0.6154939495791252	0.05
PPARG	70	90	0.6455791009059092	0.0735926407359264	chr9	21994716.0	21994830.0	sense	0.20429133557232512	0.6897500523245934	0.05
YY1	71	83	0.6263901446679535	0.07239276072392761	chr9	21994716.0	21994830.0	antisense	0.20429133557232512	0.6897500523245934	0.05
ZEB1	73	82	0.625479897843476	0.025997400259974	chr9	21994716.0	21994830.0	sense	0.10182315101823151	0.9921534674179521	0.05
