motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
NFYB	4	19	4.698153952390599	9.999000099990002e-05	chr3	169482812.0	169482926.0	sense	0.017698230176982303	1.752070160915056	0.05
NFIX	7	16	3.217296174335873	0.0024997500249975004	chr3	169482812.0	169482926.0	sense	0.14748525147485253	0.8312514069626808	0.05
Arid5a	7	21	2.6049730508455062	0.022997700229977002	chr3	169482812.0	169482926.0	antisense	0.46605339466053397	0.331564324344277	0.05
CENPB	6	21	2.2970952588158604	0.015998400159984	chr3	169482812.0	169482926.0	antisense	0.46605339466053397	0.331564324344277	0.05
HOXB3	10	20	2.256543720212596	0.041195880411958805	chr3	169482812.0	169482926.0	sense	0.5386898810118987	0.2686611823563465	0.05
PLAG1	7	21	2.2288735565518363	0.0012998700129987	chr3	169482812.0	169482926.0	sense	0.11503849615038496	0.9391568042722005	0.05
HIC2	8	17	2.0930027805387623	0.023697630236976304	chr3	169482812.0	169482926.0	sense	0.46605339466053397	0.331564324344277	0.05
ALX3	10	20	2.00495626927453	0.08149185081491851	chr3	169482812.0	169482926.0	sense	0.5624104256241041	0.24994663722533797	0.05
NFIA	7	17	1.992641340252577	0.012198780121987801	chr3	169482812.0	169482926.0	sense	0.46605339466053397	0.331564324344277	0.05
Zfx	7	21	1.8676157698931832	0.0364963503649635	chr3	169482812.0	169482926.0	antisense	0.5383211678832116	0.2689585425062062	0.05
Hes1	11	21	1.8285760826946467	0.3461653834616538	chr3	169482812.0	169482926.0	sense	0.8026147385261474	0.09549286951894198	0.05
THAP1	8	17	1.8117282689222778	0.1250874912508749	chr3	169482812.0	169482926.0	sense	0.6325853128972816	0.1988808955719118	0.05
NFATC1	6	16	1.8099492780972015	0.0857914208579142	chr3	169482812.0	169482926.0	sense	0.5624104256241041	0.24994663722533797	0.05
TFAP2A(var.2)	2	14	1.7375426437063721	0.06009399060093991	chr3	169482812.0	169482926.0	sense	0.5598229650719139	0.2519492898651455	0.05
Klf1	2	13	1.6780350708341523	0.0197980201979802	chr3	169482812.0	169482926.0	antisense	0.46605339466053397	0.331564324344277	0.05
YY1	7	19	1.6590728348546118	0.0357964203579642	chr3	169482812.0	169482926.0	antisense	0.5383211678832116	0.2689585425062062	0.05
NFATC3	6	16	1.613327499302267	0.10418958104189581	chr3	169482812.0	169482926.0	sense	0.6271810318968103	0.20260708467807426	0.05
KLF13	3	21	1.5691034057944646	0.0235976402359764	chr3	169482812.0	169482926.0	sense	0.46605339466053397	0.331564324344277	0.05
MZF1(var.2)	8	18	1.5635833475271776	0.0746925307469253	chr3	169482812.0	169482926.0	antisense	0.5624104256241041	0.24994663722533797	0.05
E2F1	4	16	1.5556573413725234	0.0751924807519248	chr3	169482812.0	169482926.0	antisense	0.5624104256241041	0.24994663722533797	0.05
Mitf	3	13	1.542125992494491	0.2273772622737726	chr3	169482812.0	169482926.0	antisense	0.7891328514207402	0.10284987666127648	0.05
SP3	1	12	1.5318238303000002	0.0785921407859214	chr3	169482812.0	169482926.0	antisense	0.5624104256241041	0.24994663722533797	0.05
TFAP2A(var.3)	9	22	1.4610737154166642	0.0710928907109289	chr3	169482812.0	169482926.0	sense	0.5624104256241041	0.24994663722533797	0.05
Tcfl5	9	19	1.4146430758894977	0.45335466453354667	chr3	169482812.0	169482926.0	sense	0.8328894383288944	0.07941264506438499	0.05
HOXB2	10	20	1.3653414694639805	0.2956704329567043	chr3	169482812.0	169482926.0	sense	0.8026147385261474	0.09549286951894198	0.05
NFAT5	6	16	1.3586114166641041	0.12358764123587641	chr3	169482812.0	169482926.0	sense	0.6325853128972816	0.1988808955719118	0.05
REL	8	18	1.3475422178263547	0.12428757124287572	chr3	169482812.0	169482926.0	sense	0.6325853128972816	0.1988808955719118	0.05
TEAD1	10	20	1.3322049835453653	0.1498850114988501	chr3	169482812.0	169482926.0	sense	0.7170174874404451	0.14447025213377157	0.05
Gmeb1	1	18	1.3266900122494303	0.6552344765523448	chr3	169482812.0	169482926.0	sense	0.8654962861922763	0.06273479132372503	0.05
KLF16	1	12	1.2808517251121767	0.05599440055994401	chr3	169482812.0	169482926.0	antisense	0.5598229650719139	0.2519492898651455	0.05
HMBOX1	6	16	1.2670693480619715	0.22377762223777622	chr3	169482812.0	169482926.0	antisense	0.7891328514207402	0.10284987666127648	0.05
USF1	2	13	1.2319718121355407	0.11198880111988802	chr3	169482812.0	169482926.0	sense	0.6271810318968103	0.20260708467807426	0.05
NRF1	10	21	1.2195890797325395	0.08349165083491651	chr3	169482812.0	169482926.0	sense	0.5624104256241041	0.24994663722533797	0.05
