motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
THAP1	67	76	1.5530546041232731	0.0020997900209979003	chr3	70048804.0	70048918.0	antisense	0.21304536213045364	0.6715279156905901	0.15
NRL	67	78	1.191321283772744	0.0150984901509849	chr3	70048804.0	70048918.0	sense	0.39893788398937885	0.39909472020478015	0.15
RUNX1	67	78	1.1429997021773857	0.0071992800719928	chr3	70048804.0	70048918.0	antisense	0.2706929307069293	0.5675230859179332	0.15
Hes1	71	81	1.130802231824652	0.0771922807719228	chr3	70048804.0	70048918.0	sense	0.49995000499950004	0.3010734229408439	0.15
Gata4	71	82	1.078911246927013	0.0025997400259974	chr3	70048804.0	70048918.0	antisense	0.21304536213045364	0.6715279156905901	0.15
HNF4G	67	82	1.0298266945527796	0.012898710128987101	chr3	70048804.0	70048918.0	sense	0.39893788398937885	0.39909472020478015	0.15
ZBTB18	69	82	1.0290734700681634	0.0033996600339966003	chr3	70048804.0	70048918.0	sense	0.21304536213045364	0.6715279156905901	0.15
NR2C2	67	82	1.0194141635214318	0.0046995300469953	chr3	70048804.0	70048918.0	sense	0.22087791220877911	0.6558477114054277	0.15
HIC2	67	76	0.9162161438261088	0.027697230276972302	chr3	70048804.0	70048918.0	antisense	0.46055394460553944	0.33671949364865034	0.15
CTCF	66	85	0.892933941249393	0.019098090190980903	chr3	70048804.0	70048918.0	sense	0.39893788398937885	0.39909472020478015	0.15
GATA2	67	81	0.8128618577208486	0.0342965703429657	chr3	70048804.0	70048918.0	antisense	0.46055394460553944	0.33671949364865034	0.15
Stat6	65	80	0.7744763819645999	0.04939506049395061	chr3	70048804.0	70048918.0	sense	0.4887511248875113	0.3109122300423648	0.15
TCF3	71	81	0.7669488771019575	0.030796920307969204	chr3	70048804.0	70048918.0	antisense	0.46055394460553944	0.33671949364865034	0.15
NRF1	69	80	0.7459188940688887	0.0254974502549745	chr3	70048804.0	70048918.0	antisense	0.46055394460553944	0.33671949364865034	0.15
MAFK	64	79	0.7400352066903453	0.0634936506349365	chr3	70048804.0	70048918.0	sense	0.49995000499950004	0.3010734229408439	0.15
MAFF	66	84	0.7387236712069383	0.09069093090690931	chr3	70048804.0	70048918.0	sense	0.49995000499950004	0.3010734229408439	0.15
PROX1	72	84	0.7377373792916891	0.017198280171982803	chr3	70048804.0	70048918.0	sense	0.39893788398937885	0.39909472020478015	0.15
Gfi1	74	84	0.7174768676957161	0.08239176082391761	chr3	70048804.0	70048918.0	sense	0.49995000499950004	0.3010734229408439	0.15
Gabpa	69	80	0.7016928213601077	0.0420957904209579	chr3	70048804.0	70048918.0	sense	0.4887511248875113	0.3109122300423648	0.15
Tcf12	71	82	0.6985641703978541	0.0392960703929607	chr3	70048804.0	70048918.0	sense	0.4887511248875113	0.3109122300423648	0.15
FOXA1	64	79	0.6873388413922124	0.07849215078492151	chr3	70048804.0	70048918.0	antisense	0.49995000499950004	0.3010734229408439	0.15
ELK4	68	79	0.68613827530179	0.04689531046895311	chr3	70048804.0	70048918.0	antisense	0.4887511248875113	0.3109122300423648	0.15
SRY	72	81	0.6773435359390703	0.08439156084391561	chr3	70048804.0	70048918.0	sense	0.49995000499950004	0.3010734229408439	0.15
TBX2	66	77	0.6683531533793182	0.12498750124987501	chr3	70048804.0	70048918.0	sense	0.49995000499950004	0.3010734229408439	0.15
FOS	66	77	0.6555223609631142	0.04839516048395161	chr3	70048804.0	70048918.0	antisense	0.4887511248875113	0.3109122300423648	0.15
