unique_id	cage_id	n_motifs	n_bp_cov	max_cov	avg_tf_tissue_sp	log_n_motifs	log_bp_cov	log_max_cov	log_avg_tf_tissue_sp
WILDTYPE__mrna.noflip.NA__chr10:102046079..102046193,-__971.1.0.0	chr10:102046098..102046122,-	13	39	11	0.4173493712901904	2.6390573296152584	3.6888794541139363	2.4849066497880004	0.34878848733331214
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:102133304..102133418,+__103.1.0.0	chr10:102133377..102133394,+	18	61	5	0.4442244891894432	2.9444389791664403	4.127134385045092	1.791759469228055	0.3675724918150403
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0	chr10:1034365..1034411,+	31	77	11	0.39103646169381456	3.4657359027997265	4.356708826689592	2.4849066497880004	0.3300491251741925
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:104597135..104597249,-__1441.1.0.0	chr10:104597163..104597180,-	10	78	3	0.4521621141169517	2.3978952727983707	4.3694478524670215	1.3862943611198906	0.3730535590112122
WILDTYPE__Lincrna.noflip.NA__chr10:106113294..106113408,-__104.1.0.0	chr10:106113320..106113338,-	25	65	13	0.4080140023026099	3.258096538021482	4.189654742026425	2.6390573296152584	0.3421802025035959
WILDTYPE__Lincrna.noflip.NA__chr10:10836857..10836971,-__105.1.0.0	chr10:10836865..10836899,-	2	35	1	0.40094966303205154	1.0986122886681098	3.58351893845611	0.6931471805599453	0.33715033739608585
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:10836906..10837020,-__106.1.0.0	chr10:10836919..10836948,-	7	57	4	0.5160950322329756	2.0794415416798357	4.060443010546419	1.6094379124341003	0.41613797142499304
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:1102659..1102773,+__1337.1.0.0	chr10:1102721..1102805,+	75	91	24	0.38444203499210555	4.330733340286331	4.5217885770490405	3.2188758248682006	0.3252971956466897
WILDTYPE__Antisense.noflip.NA__chr10:112631947..112632061,-__107.1.0.0	chr10:112631976..112632038,-	25	83	10	0.36941029239425666	3.258096538021482	4.430816798843313	2.3978952727983707	0.3143802036647919
WILDTYPE__mrna.flip.sense__chr10:114710172..114710286,+__972.1.0.0	chr10:114710244..114710257,+	7	46	4	0.4764758941581786	2.0794415416798357	3.8501476017100584	1.6094379124341003	0.38965809572801463
