motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	54	64	5.671190037527568	0.00039996000399960006	chr1	211556065.0	211556179.0	antisense	0.051894810518948106	1.2848760694284047	0.1
Tcfl5	54	64	5.142414068518891	0.0005999400059994001	chr1	211556065.0	211556179.0	sense	0.051894810518948106	1.2848760694284047	0.1
NRF1	55	66	4.72589604406622	9.999000099990002e-05	chr1	211556065.0	211556179.0	sense	0.051894810518948106	1.2848760694284047	0.1
Gmeb1	50	67	4.284882862398735	0.0026997300269973002	chr1	211556065.0	211556179.0	antisense	0.10008284885797135	0.9996403409476555	0.1
HINFP	55	67	3.480881369810824	0.00019998000199980003	chr1	211556065.0	211556179.0	sense	0.051894810518948106	1.2848760694284047	0.1
Hes2	55	68	3.228345652129702	0.006299370062993701	chr1	211556065.0	211556179.0	antisense	0.16346865313468656	0.7865655156388043	0.1
EGR4	51	67	3.181997489544833	0.0040995900409959	chr1	211556065.0	211556179.0	antisense	0.12017745593861667	0.9201769938950464	0.1
Mitf	55	65	3.1027771082453004	0.0032996700329967	chr1	211556065.0	211556179.0	antisense	0.11416858314168583	0.9424533886061985	0.1
Arntl	55	65	2.920842679315731	0.0004999500049995	chr1	211556065.0	211556179.0	antisense	0.051894810518948106	1.2848760694284047	0.1
EGR3	54	69	2.7173572011878067	0.0010998900109989002	chr1	211556065.0	211556179.0	antisense	0.06342699063426992	1.1977258937095046	0.1
ARNT::HIF1A	55	63	2.6611535624541016	0.00029997000299970003	chr1	211556065.0	211556179.0	sense	0.051894810518948106	1.2848760694284047	0.1
EGR2	56	67	2.639840962627007	0.0015998400159984002	chr1	211556065.0	211556179.0	antisense	0.08303169683031698	1.08075608677248	0.1
ZBTB33	50	65	2.6264727564756836	0.004399560043995601	chr1	211556065.0	211556179.0	sense	0.12017745593861667	0.9201769938950464	0.1
HEY1	54	64	2.48702032309478	0.0021997800219978004	chr1	211556065.0	211556179.0	antisense	0.09181389553352357	1.0370915857176488	0.1
HEY2	54	64	2.432208313753387	0.0022997700229977	chr1	211556065.0	211556179.0	sense	0.09181389553352357	1.0370915857176488	0.1
MAX::MYC	54	65	2.3438787756895265	0.0007999200079992001	chr1	211556065.0	211556179.0	antisense	0.05930835487879784	1.226884122450718	0.1
EGR1	56	70	2.252540458537308	0.0375962403759624	chr1	211556065.0	211556179.0	antisense	0.5134854935559076	0.28947182111755393	0.1
ETV5	56	66	2.245683618707706	0.0160983901609839	chr1	211556065.0	211556179.0	antisense	0.28810567219140154	0.5404481912955112	0.1
TFE3	54	64	2.192498591265586	0.012598740125987402	chr1	211556065.0	211556179.0	antisense	0.25149023559182543	0.5994788722816599	0.1
PAX5	52	71	2.1725106903301814	0.0476952304769523	chr1	211556065.0	211556179.0	antisense	0.5381266221203966	0.269115522069865	0.1
TBX19	51	71	2.1684098063180404	0.010298970102989701	chr1	211556065.0	211556179.0	sense	0.22003399660033995	0.6575102128356722	0.1
Ahr::Arnt	56	62	2.110235378399971	0.0018998100189981002	chr1	211556065.0	211556179.0	sense	0.08963649089636491	1.047515153633801	0.1
Zfx	57	71	2.0983306315267316	0.043695630436956304	chr1	211556065.0	211556179.0	sense	0.5298098097167027	0.27588000476587005	0.1
E2F4	58	69	2.026071448131319	0.019698030196980302	chr1	211556065.0	211556179.0	antisense	0.3194774272572743	0.49555982158671785	0.1
SP2	55	70	2.0076575067474893	0.08149185081491851	chr1	211556065.0	211556179.0	antisense	0.7292115616024605	0.13714645425136546	0.1
MNT	54	64	2.005221851309266	0.008999100089991	chr1	211556065.0	211556179.0	antisense	0.2122969521229695	0.6730562408112862	0.1
E2F1	51	63	1.983503679797537	0.013898610138986101	chr1	211556065.0	211556179.0	antisense	0.2576206665047781	0.589019300516529	0.1
THAP1	56	65	1.9604622406670527	0.12808719128087193	chr1	211556065.0	211556179.0	antisense	0.8015559889794153	0.09606613662168013	0.1
