unique_id	PromType2	cage_activ	cage_ts	mpra_activ	mpra_ts	avg_tf_tissue_sp	log_avg_tf_tissue_sp	n_total_motifs	n_unique_motifs	max_cov	n_bp_cov	log_n_total_motifs	log_n_unique_motifs	log_max_cov	log_n_bp_cov
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	intergenic	1.8107022636010623	0.6650683638989321	1.4000562770744425	0.14223002845835028	0.2640089787709786	0.23428839915748886	5	5	2	34	1.6094379124341005	1.6094379124341005	0.6931471805599453	3.5263605246161616
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	div_lnc	0.8698339359780342	0.15124258187630202	-0.054568378538540775	0.21438431765737026	0.3437629786629651	0.2954738713870736	5	5	3	57	1.6094379124341005	1.6094379124341005	1.0986122886681098	4.043051267834549
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	intergenic	2.898406830663104	0.15819137680862366	1.3788496004279145	0.1181028732013019	0.1627712721189835	0.15080618361736312	2	2	1	27	0.6931471805599453	0.6931471805599453	0.0	3.2958368660043287
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:27528316..27528430,+__175.1.0.0	div_lnc	1.0707096543150092	0.2920279050418009	3.0463164987113687	0.0857573822734548	0.3277220857696641	0.2834647563898346	7	6	2	65	1.9459101490553128	1.791759469228055	0.6931471805599453	4.174387269895637
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.0.0	div_lnc	1.0945228321306202	0.5693540272116233	-0.9785752443817384	0.2517358919129264	0.36776859384095956	0.31318064834276993	7	7	5	27	1.9459101490553128	1.9459101490553128	1.6094379124341005	3.2958368660043287
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:70244500..70244614,-__195.1.0.0	div_lnc	1.750731281144848	0.13619117491949662	0.9339473112597142	0.2583766741574549	0.33582102627080535	0.2895461037685422	2	2	2	19	0.6931471805599453	0.6931471805599453	0.6931471805599453	2.9444389791664403
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr13:79980346..79980460,+__274.1.0.0	div_lnc	1.023740451207584	0.15223813919591853	3.10504267446073	0.05484368726345831	0.1063989665891083	0.10111056733788508	3	3	1	43	1.0986122886681098	1.0986122886681098	0.0	3.7612001156935615
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:20811533..20811647,-__282.1.0.0	div_lnc	3.4510014665960607	0.1649103530022874	-1.6214206286238633	0.3776460327500979	0.22389180173406753	0.20203578290677635	2	2	2	10	0.6931471805599453	0.6931471805599453	0.6931471805599453	2.302585092994046
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451688..35451802,-__286.1.0.0	div_lnc	2.325149468378205	0.3330603585529842	0.4454498563223341	0.023144416032500503	0.23071641489742306	0.20759645096161602	1	1	1	11	0.0	0.0	0.0	2.3978952727983707
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:41576126..41576240,+__317.1.0.0	intergenic	3.767950798620465	0.10365503421231843	0.9748717087021216	0.0938594922597169	0.2947266110240257	0.2582995616860409	5	5	4	30	1.6094379124341005	1.6094379124341005	1.3862943611198906	3.4011973816621555
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:83419244..83419358,+__335.1.0.0	intergenic	2.0296298987086385	0.18692011939145736	2.527774615324708	0.11054567881914107	0.22830556253548584	0.20563562819833509	2	2	1	26	0.6931471805599453	0.6931471805599453	0.0	3.258096538021482
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr16:699214..699328,-__348.1.0.0	div_lnc	0.3530218342932961	0.5499633117080552	1.626762405369167	0.0700015139026718	0.3431880729895706	0.29504594719261235	10	10	6	36	2.302585092994046	2.302585092994046	1.791759469228055	3.58351893845611
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:54960184..54960298,-__386.1.0.0	div_lnc	1.2362686907343865	0.15090025532471746	1.373553739246446	0.08404493177839804	0.3903368317005982	0.32954604275110766	6	6	5	28	1.791759469228055	1.791759469228055	1.6094379124341005	3.332204510175204
