unique_id	cage_id	n_motifs	n_bp_cov	max_cov	avg_tf_tissue_sp	log_n_motifs	log_bp_cov	log_max_cov	log_avg_tf_tissue_sp
WILDTYPE__mrna.noflip.NA__chr10:102046079..102046193,-__971.1.0.0	chr10:102046098..102046122,-	4	25	4	0.38340842257199237	1.6094379124341003	3.258096538021482	1.6094379124341003	0.32455032547866036
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:102133304..102133418,+__103.1.0.0	chr10:102133377..102133394,+	13	51	5	0.40715079294323925	2.6390573296152584	3.9512437185814275	1.791759469228055	0.3415669457678753
WILDTYPE_BUT_HAS_SNP__mrna.flip.sense__chr10:1034322..1034436,+__1440.1.0.0	chr10:1034365..1034411,+	9	35	4	0.4293122729483481	2.302585092994046	3.58351893845611	1.6094379124341003	0.3571934005807016
WILDTYPE__Lincrna.noflip.NA__chr10:106113294..106113408,-__104.1.0.0	chr10:106113320..106113338,-	11	48	5	0.4513595010157498	2.4849066497880004	3.8918202981106265	1.791759469228055	0.37250070407983377
WILDTYPE__Lincrna.noflip.NA__chr10:10836857..10836971,-__105.1.0.0	chr10:10836865..10836899,-	1	19	1	0.13523265939743642	0.6931471805599453	2.995732273553991	0.6931471805599453	0.12683761617980266
WILDTYPE_BUT_HAS_SNP__Lincrna.noflip.NA__chr10:10836906..10837020,-__106.1.0.0	chr10:10836919..10836948,-	3	21	2	0.47284603758546684	1.3862943611198906	3.091042453358316	1.0986122886681098	0.38719660899345826
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:1102659..1102773,+__1337.1.0.0	chr10:1102721..1102805,+	27	78	9	0.42148530510943427	3.332204510175204	4.3694478524670215	2.302585092994046	0.35170231446099537
WILDTYPE__Antisense.noflip.NA__chr10:112631947..112632061,-__107.1.0.0	chr10:112631976..112632038,-	8	60	3	0.3799624125796631	2.1972245773362196	4.110873864173311	1.3862943611198906	0.3220562615370588
WILDTYPE__mrna.flip.sense__chr10:114710172..114710286,+__972.1.0.0	chr10:114710244..114710257,+	1	15	1	0.4927808854423224	0.6931471805599453	2.772588722239781	0.6931471805599453	0.400640746528912
WILDTYPE_BUT_HAS_SNP__mrna.noflip.NA__chr10:116286634..116286748,-__1409.1.0.0	chr10:116286656..116286693,-	9	39	4	0.4841149117883049	2.302585092994046	3.6888794541139363	1.6094379124341003	0.39481857556695765
