motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	64	74	6.155659619102353	9.999000099990002e-05	chr13	50656191.0	50656305.0	antisense	0.009399060093990603	2.026915573677164	0.05
NRF1	65	76	5.437629017648751	9.999000099990002e-05	chr13	50656191.0	50656305.0	sense	0.009399060093990603	2.026915573677164	0.05
Tcfl5	66	76	4.854216148820948	0.0006999300069993001	chr13	50656191.0	50656305.0	sense	0.04386228043862281	1.3579087927185884	0.05
Gmeb1	59	76	3.801324287423295	0.0244975502449755	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
NRL	68	79	2.737675503295866	0.034896510348965105	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
TBX19	59	79	2.575303418201723	0.0093990600939906	chr13	50656191.0	50656305.0	antisense	0.3534046595340466	0.45172772874950295	0.05
CENPB	61	76	2.5423745982772155	0.012098790120987902	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
HIC2	69	78	2.371168727205753	0.017598240175982403	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
ETV5	66	76	2.33509951082666	0.0212978702129787	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
MZF1(var.2)	67	77	2.2528851043073574	0.009099090090990901	chr13	50656191.0	50656305.0	sense	0.3534046595340466	0.45172772874950295	0.05
TBX2	61	72	2.2206687451923957	0.031796820317968204	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
TFE3	66	76	2.106163059297023	0.0514948505149485	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
MIXL1	65	75	2.0549300374440946	0.11068893110688931	chr13	50656191.0	50656305.0	sense	0.43598447172826577	0.3605289785360528	0.05
CLOCK	64	74	1.983279716557483	0.026497350264973504	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
TEAD1	64	74	1.9390276710461896	0.04559544045595441	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
TEAD4	64	74	1.903205016154477	0.0484951504849515	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
NFIX	70	79	1.8741529037603228	0.08969103089691031	chr13	50656191.0	50656305.0	sense	0.4144329753071205	0.382545696254703	0.05
HEY1	66	76	1.8339103457338508	0.030396960303969604	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
E2F1	67	79	1.7657140916451617	0.06329367063293671	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
CEBPB	68	78	1.762300313815086	0.030396960303969604	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
Arntl	65	75	1.7476817011963977	0.064993500649935	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
ETV3	64	74	1.7475866055996911	0.055894410558944105	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
CEBPG	68	78	1.721698147537819	0.0168983101689831	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
Nfe2l2	60	75	1.7177895781512778	0.0565943405659434	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
CEBPD	68	78	1.7159161395923201	0.029197080291970802	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
SP3	66	77	1.6806630365682904	0.048295170482951705	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
LBX2	65	75	1.680553271853132	0.28347165283471654	chr13	50656191.0	50656305.0	antisense	0.7012193517490357	0.15414610706504872	0.05
HINFP	65	77	1.6770234152268042	0.0580941905809419	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
Myc	67	77	1.6747461335291822	0.027597240275972403	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
THAP1	69	78	1.6523458413859358	0.21497850214978503	chr13	50656191.0	50656305.0	sense	0.5797877355121631	0.23673097569320878	0.05
MAX	64	74	1.5691635294881459	0.07989201079892011	chr13	50656191.0	50656305.0	sense	0.4144329753071205	0.382545696254703	0.05
POU2F1	62	74	1.5635753293088435	0.10128987101289871	chr13	50656191.0	50656305.0	antisense	0.4327839943278399	0.36372880913908984	0.05
ETV4	66	76	1.5455292899197555	0.09359064093590641	chr13	50656191.0	50656305.0	antisense	0.4144329753071205	0.382545696254703	0.05
RUNX1	62	73	1.5302743777872154	0.11798820117988201	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
FOS	61	72	1.4984406659189555	0.057894210578942104	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
ERF	66	76	1.4904814080259785	0.055894410558944105	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
JUN(var.2)	62	76	1.4343200627793369	0.12668733126687332	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
USF2	63	74	1.4079421556718568	0.08819118088191182	chr13	50656191.0	50656305.0	antisense	0.4144329753071205	0.382545696254703	0.05
Bcl6	60	74	1.4053018629074268	0.1548845115488451	chr13	50656191.0	50656305.0	sense	0.4924491157441633	0.30763863804597724	0.05
ELK1	66	76	1.39983583442914	0.05679432056794321	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
FOSL1	61	72	1.380712931501378	0.06379362063793621	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
Npas2	66	76	1.3730259613428932	0.12298770122987701	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
ELK3	66	76	1.3383569026024977	0.12968703129687031	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
TP53	62	80	1.3280956814794056	0.0673932606739326	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
HLF	61	73	1.310205619141439	0.1593840615938406	chr13	50656191.0	50656305.0	sense	0.4924491157441633	0.30763863804597724	0.05
MAFG	59	80	1.3005108202987083	0.08199180081991801	chr13	50656191.0	50656305.0	sense	0.4144329753071205	0.382545696254703	0.05
Gabpa	65	76	1.2735780927129063	0.12038796120387961	chr13	50656191.0	50656305.0	sense	0.43598447172826577	0.3605289785360528	0.05
FOSL2	62	73	1.2727163899587666	0.09169083091690831	chr13	50656191.0	50656305.0	antisense	0.4144329753071205	0.382545696254703	0.05
JUND	61	72	1.2685720887425191	0.0862913708629137	chr13	50656191.0	50656305.0	sense	0.4144329753071205	0.382545696254703	0.05
ETV6	66	76	1.2392564049835801	0.12188781121887811	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
JUNB	62	73	1.2202723207116484	0.11378862113788621	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
ZBTB33	65	80	1.187955557838609	0.21587841215878412	chr13	50656191.0	50656305.0	antisense	0.5797877355121631	0.23673097569320878	0.05
ELK4	64	75	1.1843825270467645	0.1321867813218678	chr13	50656191.0	50656305.0	antisense	0.43598447172826577	0.3605289785360528	0.05
NFE2	61	72	1.1785069272914728	0.062193780621937804	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
TBP	59	74	1.1735466451107286	0.39186081391860816	chr13	50656191.0	50656305.0	sense	0.7816884978168851	0.10696627843741767	0.05
TFEB	64	74	1.1647419944881217	0.20467953204679531	chr13	50656191.0	50656305.0	sense	0.5743246570865301	0.2408425380515036	0.05
DBP	61	73	1.158600006488949	0.14138586141385862	chr13	50656191.0	50656305.0	sense	0.45828520596216243	0.33886416211523945	0.05
EGR1	66	80	1.1426328012723483	0.09479052094790522	chr13	50656191.0	50656305.0	sense	0.4144329753071205	0.382545696254703	0.05
JDP2	62	71	1.138003579512526	0.062193780621937804	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
Crem	61	71	1.1294275277486836	0.16778322167783222	chr13	50656191.0	50656305.0	sense	0.5087620270231041	0.29348531101875525	0.05
TEF	61	73	1.106668880198515	0.12168783121687832	chr13	50656191.0	50656305.0	sense	0.43598447172826577	0.3605289785360528	0.05
USF1	63	74	1.089820500016409	0.198980101989801	chr13	50656191.0	50656305.0	antisense	0.566791805667918	0.2465764371453449	0.05
FOXA1	59	74	1.0859646027543417	0.22447755224477553	chr13	50656191.0	50656305.0	antisense	0.5879634258796343	0.23064968826514257	0.05
E2F4	69	80	1.052627309102043	0.11948805119488051	chr13	50656191.0	50656305.0	sense	0.43598447172826577	0.3605289785360528	0.05
TCF3	64	74	1.0168968380391517	0.2565743425657434	chr13	50656191.0	50656305.0	sense	0.6518375189508075	0.18586064570524935	0.05
ATF4	60	73	0.9973121684085015	0.1723827617238276	chr13	50656191.0	50656305.0	sense	0.5144120508584061	0.2886888659780706	0.05
NFIA	62	72	0.996421113143806	0.23567643235676433	chr13	50656191.0	50656305.0	antisense	0.6069475244256397	0.21684885560931488	0.05
NFATC3	60	70	0.9958579590912591	0.4326567343265673	chr13	50656191.0	50656305.0	sense	0.7990974487456916	0.097400255890141	0.05
Rfx1	59	73	0.9892908010014695	0.3227677232276772	chr13	50656191.0	50656305.0	antisense	0.7400040483756501	0.13076590434686675	0.05
IRF2	62	80	0.9849202576911127	0.0668933106689331	chr13	50656191.0	50656305.0	antisense	0.36199808590569515	0.44129372582813864	0.05
GATA2	59	73	0.9325746403129459	0.3027697230276972	chr13	50656191.0	50656305.0	antisense	0.7117438256174383	0.14767629167227062	0.05
SOX9	64	73	0.9290335508472293	0.47405259474052597	chr13	50656191.0	50656305.0	antisense	0.8229782526334523	0.0846116409555022	0.05
MTF1	64	78	0.9210950862915581	0.1136886311368863	chr13	50656191.0	50656305.0	sense	0.43598447172826577	0.3605289785360528	0.05
ELF4	60	72	0.9209891749303651	0.196980301969803	chr13	50656191.0	50656305.0	antisense	0.566791805667918	0.2465764371453449	0.05
ELF1	60	72	0.9167246073533578	0.20857914208579142	chr13	50656191.0	50656305.0	antisense	0.5766599810607175	0.23908018662890704	0.05
Foxa2	60	72	0.8588859446830672	0.29177082291770823	chr13	50656191.0	50656305.0	sense	0.7117438256174383	0.14767629167227062	0.05
MNT	66	76	0.8434535079573172	0.38996100389961	chr13	50656191.0	50656305.0	sense	0.7816884978168851	0.10696627843741767	0.05
IRF9	64	79	0.8404390502319466	0.051594840515948405	chr13	50656191.0	50656305.0	sense	0.36199808590569515	0.44129372582813864	0.05
Arid5a	59	73	0.8048913751819311	0.6693330666933307	chr13	50656191.0	50656305.0	sense	0.9532925495329255	0.020773801197274334	0.05
REL	67	77	0.7676627938057508	0.52004799520048	chr13	50656191.0	50656305.0	antisense	0.8643866048177792	0.06329197188921064	0.05
STAT3	60	71	0.7605775481005516	0.3701629837016298	chr13	50656191.0	50656305.0	antisense	0.7816884978168851	0.10696627843741767	0.05
NFAT5	61	71	0.7601337324790381	0.49945005499450057	chr13	50656191.0	50656305.0	sense	0.845915408459154	0.07267306423783916	0.05
FOXH1	65	76	0.7524982393987424	0.2970702929707029	chr13	50656191.0	50656305.0	sense	0.7117438256174383	0.14767629167227062	0.05
JUND(var.2)	60	75	0.7389915888975094	0.39646035396460355	chr13	50656191.0	50656305.0	antisense	0.7816884978168851	0.10696627843741767	0.05
LIN54	63	72	0.7356910909835187	0.31526847315268475	chr13	50656191.0	50656305.0	sense	0.731734233984009	0.1356466261439279	0.05
TGIF2	65	77	0.7261325003018143	0.22517748225177484	chr13	50656191.0	50656305.0	sense	0.5879634258796343	0.23064968826514257	0.05
SREBF2	61	71	0.7112779859157207	0.33386661333866613	chr13	50656191.0	50656305.0	antisense	0.7472252774722528	0.12654844502069373	0.05
ZNF143	61	77	0.7022548047257196	0.15978402159784022	chr13	50656191.0	50656305.0	sense	0.4924491157441633	0.30763863804597724	0.05
NR2F1	59	72	0.6893560848376186	0.5382461753824618	chr13	50656191.0	50656305.0	antisense	0.8723300083784725	0.05931918742441341	0.05
JUN	61	74	0.6873357207929347	0.39406059394060594	chr13	50656191.0	50656305.0	antisense	0.7816884978168851	0.10696627843741767	0.05
BHLHE40	66	76	0.6858781314026723	0.39066093390660933	chr13	50656191.0	50656305.0	sense	0.7816884978168851	0.10696627843741767	0.05
ZBTB18	59	72	0.6776521901561708	0.37276272372762725	chr13	50656191.0	50656305.0	antisense	0.7816884978168851	0.10696627843741767	0.05
XBP1	65	79	0.6620600593097785	0.44925507449255075	chr13	50656191.0	50656305.0	sense	0.7990974487456916	0.097400255890141	0.05
Foxo1	62	73	0.6470436546931732	0.43345665433456654	chr13	50656191.0	50656305.0	antisense	0.7990974487456916	0.097400255890141	0.05
MAFK	59	74	0.6455260149481723	0.6137386261373863	chr13	50656191.0	50656305.0	sense	0.9380720464538912	0.027763805356776954	0.05
Zfx	59	73	0.6421117028430361	0.5242475752424758	chr13	50656191.0	50656305.0	antisense	0.8643866048177792	0.06329197188921064	0.05
PPARG	59	79	0.63567606198508	0.2773722627737226	chr13	50656191.0	50656305.0	sense	0.6952798053527981	0.15784038466761677	0.05
PLAG1	64	78	0.6324070494291536	0.1770822917708229	chr13	50656191.0	50656305.0	antisense	0.5201792320767923	0.28384699080699527	0.05
ZBTB7A	66	78	0.6262605918975375	0.5821417858214178	chr13	50656191.0	50656305.0	sense	0.9190714261907141	0.03665073584447605	0.05
Gfi1	64	74	0.5995544543136571	0.7472252774722528	chr13	50656191.0	50656305.0	antisense	0.9810586508916677	0.008305028300783071	0.05
HMBOX1	62	72	0.5917625722064817	0.7922207779222078	chr13	50656191.0	50656305.0	antisense	0.9923166623734978	0.0033497161764122745	0.05
STAT1	60	71	0.5855450792146633	0.44175582441755823	chr13	50656191.0	50656305.0	antisense	0.7990974487456916	0.097400255890141	0.05
ZEB1	71	80	0.5801780862621763	0.39486051394860516	chr13	50656191.0	50656305.0	sense	0.7816884978168851	0.10696627843741767	0.05
Stat6	59	74	0.5764997957273201	0.5287471252874713	chr13	50656191.0	50656305.0	antisense	0.8643866048177792	0.06329197188921064	0.05
NFYA	62	80	0.5463999513837705	0.45055494450554945	chr13	50656191.0	50656305.0	antisense	0.7990974487456916	0.097400255890141	0.05
ZNF263	59	80	0.5363869731437017	0.3484651534846515	chr13	50656191.0	50656305.0	antisense	0.7707229277072292	0.11310172129344738	0.05
HSF4	65	78	0.5357275777438308	0.7031296870312969	chr13	50656191.0	50656305.0	antisense	0.9700927717447233	0.013186731372690193	0.05
Nr2f6	63	77	0.5285655229083372	0.41125887411258877	chr13	50656191.0	50656305.0	antisense	0.7970790549810999	0.09849860277025253	0.05
YY1	61	73	0.5235922670588667	0.5866413358664133	chr13	50656191.0	50656305.0	sense	0.9190714261907141	0.03665073584447605	0.05
NFKB2	64	77	0.5226992499016904	0.397960203979602	chr13	50656191.0	50656305.0	sense	0.7816884978168851	0.10696627843741767	0.05
SREBF1	61	71	0.5192681979413251	0.44495550444955506	chr13	50656191.0	50656305.0	sense	0.7990974487456916	0.097400255890141	0.05
E2F6	69	80	0.5084505708322374	0.39766023397660233	chr13	50656191.0	50656305.0	sense	0.7816884978168851	0.10696627843741767	0.05
TFCP2	62	72	0.5022121473454725	0.698030196980302	chr13	50656191.0	50656305.0	antisense	0.9700927717447233	0.013186731372690193	0.05
CREB3	60	74	0.47363451678652146	0.6085391460853915	chr13	50656191.0	50656305.0	sense	0.9377488480660131	0.027913460665782736	0.05
ELF3	59	72	0.4605461290926706	0.47415258474152583	chr13	50656191.0	50656305.0	antisense	0.8229782526334523	0.0846116409555022	0.05
MLXIPL	66	76	0.4594750535402002	0.6482351764823517	chr13	50656191.0	50656305.0	antisense	0.9532925495329255	0.020773801197274334	0.05
Tcf12	66	77	0.4035660216586394	0.6546345365463454	chr13	50656191.0	50656305.0	sense	0.9532925495329255	0.020773801197274334	0.05
RORA	61	71	0.3981710494085087	0.7152284771522848	chr13	50656191.0	50656305.0	antisense	0.9743692297436923	0.011276439369988926	0.05
TCF7L2	61	75	0.38481531643389993	0.7341265873412659	chr13	50656191.0	50656305.0	antisense	0.9810586508916677	0.008305028300783071	0.05
KLF16	66	77	0.37384851462667046	0.4951504849515049	chr13	50656191.0	50656305.0	sense	0.845915408459154	0.07267306423783916	0.05
HLTF	61	71	0.36269877219658997	0.9403059694030597	chr13	50656191.0	50656305.0	antisense	0.9998000199980002	8.685889667019445e-05	0.05
ZNF740	61	71	0.3537949716178366	0.43185681431856815	chr13	50656191.0	50656305.0	sense	0.7990974487456916	0.097400255890141	0.05
SRY	71	80	0.34486654372444614	0.9021097890210978	chr13	50656191.0	50656305.0	sense	0.9998000199980002	8.685889667019445e-05	0.05
Nkx3-1	70	79	0.33641675785598485	0.8305169483051695	chr13	50656191.0	50656305.0	sense	0.9972521735168255	0.0011950084697799187	0.05
SP4	63	80	0.33436491408557895	0.3307669233076692	chr13	50656191.0	50656305.0	sense	0.7472252774722528	0.12654844502069373	0.05
ATF7	59	73	0.33432673629428883	0.5767423257674232	chr13	50656191.0	50656305.0	antisense	0.9188776037650472	0.03674233360793557	0.05
RARA(var.2)	59	76	0.32096558488823324	0.30286971302869714	chr13	50656191.0	50656305.0	antisense	0.7117438256174383	0.14767629167227062	0.05
PROX1	61	73	0.32011628380254326	0.5751424857514249	chr13	50656191.0	50656305.0	sense	0.9188776037650472	0.03674233360793557	0.05
JDP2(var.2)	60	72	0.3051391096245302	0.6334366563343665	chr13	50656191.0	50656305.0	antisense	0.9526887311268872	0.02104897180177912	0.05
HNF4G	63	78	0.29716473957395867	0.8381161883811619	chr13	50656191.0	50656305.0	antisense	0.9972521735168255	0.0011950084697799187	0.05
Creb5	60	72	0.2826696254715126	0.6648335166483351	chr13	50656191.0	50656305.0	antisense	0.9532925495329255	0.020773801197274334	0.05
Foxq1	62	73	0.27987207459794905	0.7001299870012999	chr13	50656191.0	50656305.0	antisense	0.9700927717447233	0.013186731372690193	0.05
RREB1	60	80	0.2742473223918164	0.1316868313168683	chr13	50656191.0	50656305.0	sense	0.43598447172826577	0.3605289785360528	0.05
E2F8	59	71	0.2655421438197382	0.45055494450554945	chr13	50656191.0	50656305.0	sense	0.7990974487456916	0.097400255890141	0.05
MLX	70	80	0.2588224947085646	0.7723227677232277	chr13	50656191.0	50656305.0	sense	0.9810586508916677	0.008305028300783071	0.05
HSF2	59	72	0.2556350776566438	0.6955304469553044	chr13	50656191.0	50656305.0	sense	0.9700927717447233	0.013186731372690193	0.05
Esrra	60	71	0.24595538498689695	0.6672332766723328	chr13	50656191.0	50656305.0	sense	0.9532925495329255	0.020773801197274334	0.05
SREBF2(var.2)	66	76	0.24566632040227027	0.662933706629337	chr13	50656191.0	50656305.0	sense	0.9532925495329255	0.020773801197274334	0.05
Srebf1(var.2)	66	76	0.23929746859414328	0.7654234576542346	chr13	50656191.0	50656305.0	sense	0.9810586508916677	0.008305028300783071	0.05
RELA	66	76	0.2307591806925627	0.6686331366863314	chr13	50656191.0	50656305.0	antisense	0.9532925495329255	0.020773801197274334	0.05
ZBTB7B	59	71	0.23030570114097523	0.7557244275572442	chr13	50656191.0	50656305.0	sense	0.9810586508916677	0.008305028300783071	0.05
SP1	67	78	0.22169933350818027	0.6287371262873712	chr13	50656191.0	50656305.0	antisense	0.9526887311268872	0.02104897180177912	0.05
Creb3l2	60	69	0.21639664855565036	0.797020297970203	chr13	50656191.0	50656305.0	antisense	0.9923166623734978	0.0033497161764122745	0.05
NFKB1	64	77	0.2045915640988913	0.4771522847715228	chr13	50656191.0	50656305.0	antisense	0.8229782526334523	0.0846116409555022	0.05
Gata4	60	71	0.20096685293474717	0.8172182781721827	chr13	50656191.0	50656305.0	sense	0.9972521735168255	0.0011950084697799187	0.05
HNF1A	60	75	0.1986312975005921	0.826017398260174	chr13	50656191.0	50656305.0	sense	0.9972521735168255	0.0011950084697799187	0.05
KLF5	70	80	0.19685650563741758	0.706929307069293	chr13	50656191.0	50656305.0	antisense	0.9700927717447233	0.013186731372690193	0.05
ONECUT1	61	75	0.1867587080323492	0.7706229377062294	chr13	50656191.0	50656305.0	antisense	0.9810586508916677	0.008305028300783071	0.05
Sox6	59	69	0.17558904052255755	0.7401259874012599	chr13	50656191.0	50656305.0	antisense	0.9810586508916677	0.008305028300783071	0.05
FOXP1	59	74	0.1751687419585893	0.7696230376962304	chr13	50656191.0	50656305.0	antisense	0.9810586508916677	0.008305028300783071	0.05
NFYB	59	74	0.1725318086793282	0.857014298570143	chr13	50656191.0	50656305.0	sense	0.9998000199980002	8.685889667019445e-05	0.05
ONECUT2	61	75	0.16666985326146175	0.8375162483751625	chr13	50656191.0	50656305.0	antisense	0.9972521735168255	0.0011950084697799187	0.05
