motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	74	89	1.3608220522059484	0.001999800019998	chr9	21994352.0	21994466.0	sense	0.05370891482280343	1.2699536223634584	0.05
YY1	76	88	1.1226741169475192	9.999000099990002e-05	chr9	21994352.0	21994466.0	sense	0.018798120187981205	1.7258855780131828	0.05
PLAG1	72	86	1.0285755515642563	0.00039996000399960006	chr9	21994352.0	21994466.0	sense	0.03759624037596241	1.4248555823492015	0.05
HNF4G	71	86	0.9739541152071888	0.0071992800719928	chr9	21994352.0	21994466.0	sense	0.10473238390446671	0.9799190110009404	0.05
SP3	79	90	0.9644932306633863	0.0072992700729927005	chr9	21994352.0	21994466.0	antisense	0.10473238390446671	0.9799190110009404	0.05
KLF5	80	90	0.9239776004169102	0.0012998700129987	chr9	21994352.0	21994466.0	antisense	0.05263473652634737	1.2787275466709636	0.05
NFIX	72	81	0.8977264861932848	0.010498950104989501	chr9	21994352.0	21994466.0	sense	0.13158684131586842	0.8807875379989258	0.05
Hes1	78	88	0.8824134902145248	0.1277872212778722	chr9	21994352.0	21994466.0	antisense	0.45180309555251374	0.34505079781412945	0.05
NR2C2	71	86	0.8816948103525248	0.0044995500449955	chr9	21994352.0	21994466.0	sense	0.0845915408459154	1.0726730642378393	0.05
CTCF	70	89	0.8741225210190997	0.013598640135986401	chr9	21994352.0	21994466.0	sense	0.1503849615038496	0.8227955910212392	0.05
NR2F1	77	90	0.8732842596646986	0.005699430056994301	chr9	21994352.0	21994466.0	sense	0.09740844097408441	1.0114034074989164	0.05
Nr2f6	72	86	0.8681267051823125	0.001999800019998	chr9	21994352.0	21994466.0	sense	0.05370891482280343	1.2699536223634584	0.05
SP1	79	90	0.8663967797738423	0.0030996900309969004	chr9	21994352.0	21994466.0	antisense	0.06474908064749081	1.188766393618235	0.05
THAP1	78	87	0.8433697243241002	0.0403959604039596	chr9	21994352.0	21994466.0	antisense	0.2712300198551574	0.566662244244797	0.05
LBX2	75	85	0.8389412230593248	0.044995500449955005	chr9	21994352.0	21994466.0	antisense	0.29169496843419107	0.5350710621367952	0.05
E2F1	69	81	0.8071353448496865	0.007799220077992201	chr9	21994352.0	21994466.0	antisense	0.10473238390446671	0.9799190110009404	0.05
NFIA	72	82	0.8005401369151229	0.0028997100289971	chr9	21994352.0	21994466.0	sense	0.06474908064749081	1.188766393618235	0.05
Rxra	72	86	0.7744244928117919	0.0012998700129987	chr9	21994352.0	21994466.0	sense	0.05263473652634737	1.2787275466709636	0.05
RXRB	72	86	0.7616786332899805	0.0013998600139986002	chr9	21994352.0	21994466.0	sense	0.05263473652634737	1.2787275466709636	0.05
TCF7L2	71	85	0.7327311434616756	0.03849615038496151	chr9	21994352.0	21994466.0	sense	0.26804726934713935	0.5717886126636695	0.05
ZBTB7B	78	90	0.7119762648730614	0.022297770222977704	chr9	21994352.0	21994466.0	antisense	0.20959904009599042	0.6786107106290032	0.05
HINFP	78	90	0.7088486965731977	0.027197280271972803	chr9	21994352.0	21994466.0	sense	0.2223082039622125	0.6530445099965769	0.05
HLTF	75	85	0.6846074428348039	0.07289271072892711	chr9	21994352.0	21994466.0	antisense	0.3806619338066194	0.4194605504624954	0.05
MZF1(var.2)	78	88	0.6756557699779732	0.055694430556944306	chr9	21994352.0	21994466.0	sense	0.3239911302987348	0.4894668790373473	0.05
Hnf4a	72	88	0.64670306587528	0.011398860113988602	chr9	21994352.0	21994466.0	sense	0.13393660633936608	0.873100709332635	0.05
EGR1	76	90	0.6465421700630863	0.07989201079892011	chr9	21994352.0	21994466.0	antisense	0.40593778459991836	0.39154052276618645	0.05
TBX2	70	81	0.6372608126615089	0.0918908109189081	chr9	21994352.0	21994466.0	sense	0.4213529866525542	0.37535392334680706	0.05
Gmeb1	68	85	0.6341323968814957	0.5515448455154485	chr9	21994352.0	21994466.0	antisense	0.738625457182173	0.13157572819977617	0.05
SOX9	74	83	0.6278389090809935	0.056894310568943104	chr9	21994352.0	21994466.0	antisense	0.3239911302987348	0.4894668790373473	0.05
ZNF740	79	89	0.6117314701181176	0.036996300369963	chr9	21994352.0	21994466.0	antisense	0.26751171036742477	0.5726572019170058	0.05
NFYA	72	90	0.6061731121904094	0.09149085091490851	chr9	21994352.0	21994466.0	antisense	0.4213529866525542	0.37535392334680706	0.05
NRL	78	89	0.5870635677439386	0.2273772622737726	chr9	21994352.0	21994466.0	sense	0.5295964230737421	0.27605495680963665	0.05
Gfi1	77	87	0.5798308131541325	0.10058994100589941	chr9	21994352.0	21994466.0	sense	0.42979338429793384	0.36674027377946167	0.05
KLF16	79	90	0.5794351654351273	0.0570942905709429	chr9	21994352.0	21994466.0	antisense	0.3239911302987348	0.4894668790373473	0.05
TEAD1	79	89	0.5794278635290437	0.10058994100589941	chr9	21994352.0	21994466.0	antisense	0.42979338429793384	0.36674027377946167	0.05
Tcf7	71	83	0.5711482938836754	0.0324967503249675	chr9	21994352.0	21994466.0	sense	0.2545578775455788	0.5942134587459145	0.05
ETV5	79	89	0.5514077746243548	0.12468753124687532	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
TBX19	69	89	0.5429723830508566	0.13838616138386162	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
TEAD4	79	89	0.5354754484148905	0.1287871212878712	chr9	21994352.0	21994466.0	antisense	0.45180309555251374	0.34505079781412945	0.05
NFYB	69	84	0.5342213282219486	0.13538646135386462	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
Sox6	73	83	0.5339233748330141	0.036396360363963605	chr9	21994352.0	21994466.0	antisense	0.26751171036742477	0.5726572019170058	0.05
STAT3	70	81	0.5311204762621878	0.0585941405859414	chr9	21994352.0	21994466.0	sense	0.3239911302987348	0.4894668790373473	0.05
ZNF263	69	90	0.5238513390994703	0.26117388261173885	chr9	21994352.0	21994466.0	sense	0.5719382084780028	0.24265088933045306	0.05
NFAT5	72	82	0.5222589526965313	0.13938606139386062	chr9	21994352.0	21994466.0	antisense	0.45180309555251374	0.34505079781412945	0.05
Rarg	71	87	0.5193230699966233	0.025397460253974602	chr9	21994352.0	21994466.0	sense	0.2204506822045068	0.6566885528721589	0.05
RUNX1	73	84	0.5173190921661488	0.20157984201579843	chr9	21994352.0	21994466.0	antisense	0.5209396868532326	0.28321255536283396	0.05
E2F8	69	81	0.5128338228699344	0.019698030196980302	chr9	21994352.0	21994466.0	sense	0.20573498205734983	0.686691856954896	0.05
RARA	71	89	0.5105755225666456	0.021897810218978103	chr9	21994352.0	21994466.0	sense	0.20959904009599042	0.6786107106290032	0.05
Rfx1	72	86	0.5073348357380877	0.1362863713628637	chr9	21994352.0	21994466.0	antisense	0.45180309555251374	0.34505079781412945	0.05
CENPB	69	84	0.49883102362488513	0.2206779322067793	chr9	21994352.0	21994466.0	antisense	0.5295964230737421	0.27605495680963665	0.05
NFATC3	72	82	0.49719987758381085	0.22817718228177183	chr9	21994352.0	21994466.0	antisense	0.5295964230737421	0.27605495680963665	0.05
IRF2	70	88	0.4939552437280093	0.08959104089591041	chr9	21994352.0	21994466.0	sense	0.4213529866525542	0.37535392334680706	0.05
ETV6	74	84	0.48958032922504247	0.09809019098090191	chr9	21994352.0	21994466.0	sense	0.42979338429793384	0.36674027377946167	0.05
RFX3	71	87	0.4890297923742734	0.138986101389861	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
Nr2f6(var.2)	71	86	0.487609122349659	0.025797420257974202	chr9	21994352.0	21994466.0	sense	0.2204506822045068	0.6566885528721589	0.05
ETV3	79	89	0.46638366870228204	0.14588541145885411	chr9	21994352.0	21994466.0	sense	0.4571076225710762	0.33998153650337487	0.05
ZNF143	73	89	0.45860207529991776	0.07019298070192981	chr9	21994352.0	21994466.0	sense	0.37703658205608015	0.4236165102336531	0.05
Nkx3-1	77	86	0.44500536695878296	0.12868713128687131	chr9	21994352.0	21994466.0	antisense	0.45180309555251374	0.34505079781412945	0.05
NR3C1	72	89	0.44227864743445666	0.1272872712728727	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
Bcl6	72	86	0.4420703123648298	0.2692730726927307	chr9	21994352.0	21994466.0	sense	0.575265200752652	0.24013189675184105	0.05
Tcf12	79	90	0.43933342989689295	0.13038696130386962	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
Gabpa	75	86	0.4372498070070025	0.16468353164683533	chr9	21994352.0	21994466.0	sense	0.47191698740573707	0.32613438925211585	0.05
E2F4	71	82	0.4372198149327028	0.1521847815218478	chr9	21994352.0	21994466.0	sense	0.469028506985367	0.32880076058939584	0.05
HIC2	73	82	0.4274075198651447	0.28577142285771423	chr9	21994352.0	21994466.0	sense	0.583967690187503	0.2336111809037866	0.05
Zfx	73	87	0.42727386530529565	0.31286871312868714	chr9	21994352.0	21994466.0	sense	0.5881126173096975	0.23053950318732133	0.05
MIXL1	75	85	0.4255219713401581	0.4814518548145185	chr9	21994352.0	21994466.0	antisense	0.7022336526037318	0.15351836201122335	0.05
Tcfl5	75	85	0.4248699476026219	0.638936106389361	chr9	21994352.0	21994466.0	sense	0.760253088615189	0.11904180680920533	0.05
ZBTB7A	76	88	0.4223004978692629	0.2646735326467353	chr9	21994352.0	21994466.0	antisense	0.5719382084780028	0.24265088933045306	0.05
MYBL2	71	86	0.4220227975928092	0.20227977202279773	chr9	21994352.0	21994466.0	sense	0.5209396868532326	0.28321255536283396	0.05
REST	68	89	0.421983337296945	0.11258874112588742	chr9	21994352.0	21994466.0	antisense	0.45180309555251374	0.34505079781412945	0.05
NRF1	74	85	0.41684565736164697	0.15958404159584041	chr9	21994352.0	21994466.0	antisense	0.47191698740573707	0.32613438925211585	0.05
E2F6	71	82	0.413289469318047	0.16818318168183183	chr9	21994352.0	21994466.0	sense	0.47191698740573707	0.32613438925211585	0.05
ELK4	74	85	0.4130298724869114	0.19148085191480851	chr9	21994352.0	21994466.0	antisense	0.5070197205631549	0.2949751484276166	0.05
Arid5a	75	89	0.4107354169967916	0.5389461053894611	chr9	21994352.0	21994466.0	sense	0.7342164334291209	0.13417589922768058	0.05
E2F7	68	82	0.4098402768905837	0.048095190480951906	chr9	21994352.0	21994466.0	sense	0.30139652701396524	0.5208617563590134	0.05
USF2	74	85	0.40929722168422666	0.1653834616538346	chr9	21994352.0	21994466.0	antisense	0.47191698740573707	0.32613438925211585	0.05
Foxa2	71	83	0.40687046967769913	0.23547645235476453	chr9	21994352.0	21994466.0	sense	0.5345007667907908	0.2720516674191501	0.05
SRY	72	81	0.40639071137424343	0.2790720927907209	chr9	21994352.0	21994466.0	sense	0.5794365618383217	0.23699410474209615	0.05
HLF	71	83	0.4048732822174955	0.29827017298270175	chr9	21994352.0	21994466.0	antisense	0.5881126173096975	0.23053950318732133	0.05
MNX1	72	82	0.403277051742372	0.37176282371762825	chr9	21994352.0	21994466.0	sense	0.5881126173096975	0.23053950318732133	0.05
Rarg(var.2)	69	86	0.3988199171399649	0.0888911108889111	chr9	21994352.0	21994466.0	sense	0.4213529866525542	0.37535392334680706	0.05
Foxo1	74	85	0.39392635999450104	0.21187881211878812	chr9	21994352.0	21994466.0	antisense	0.5295964230737421	0.27605495680963665	0.05
RARA(var.2)	69	86	0.39209365141191077	0.13088691130886912	chr9	21994352.0	21994466.0	sense	0.45180309555251374	0.34505079781412945	0.05
ERF	79	89	0.3911768228395909	0.18448155184481552	chr9	21994352.0	21994466.0	sense	0.4954647392403617	0.30498724753236045	0.05
Myc	74	84	0.3907247864528573	0.14378562143785623	chr9	21994352.0	21994466.0	antisense	0.4571076225710762	0.33998153650337487	0.05
POU2F1	70	82	0.39036117640845724	0.3722627737226277	chr9	21994352.0	21994466.0	sense	0.5881126173096975	0.23053950318732133	0.05
RORA	76	86	0.38835241212036786	0.15578442155784422	chr9	21994352.0	21994466.0	sense	0.47191698740573707	0.32613438925211585	0.05
LIN54	73	82	0.3882537261785969	0.17628237176282371	chr9	21994352.0	21994466.0	antisense	0.4816677752514604	0.31725240807338384	0.05
Stat6	68	83	0.38744924734180036	0.36976302369763026	chr9	21994352.0	21994466.0	antisense	0.5881126173096975	0.23053950318732133	0.05
