motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Nfe2l2	23	38	10.43019832922587	9.999000099990002e-05	chr7	130794716.0	130794830.0	sense	0.017298270172982702	1.7619973241480673	0.05
MAF::NFE2	27	42	8.333177943123536	9.999000099990002e-05	chr7	130794716.0	130794830.0	sense	0.017298270172982702	1.7619973241480673	0.05
Bach1::Mafk	24	39	7.155229295891507	9.999000099990002e-05	chr7	130794716.0	130794830.0	sense	0.017298270172982702	1.7619973241480673	0.05
FOS::JUN	28	35	5.609234740086064	0.00019998000199980003	chr7	130794716.0	130794830.0	sense	0.025947405259474053	1.585906065092386	0.05
MAFG::NFE2L1	26	32	5.470629841156427	0.00029997000299970003	chr7	130794716.0	130794830.0	sense	0.031136886311368867	1.506724819044761	0.05
Hes2	25	38	5.319495455591883	0.020497950204979503	chr7	130794716.0	130794830.0	sense	0.2216340865913409	0.6543634457482377	0.05
NRL	31	42	5.272488457338563	0.007599240075992401	chr7	130794716.0	130794830.0	antisense	0.1272259870787115	0.8954241709818862	0.05
MEIS1	27	34	5.210345095085773	0.0005999400059994001	chr7	130794716.0	130794830.0	sense	0.03892110788921108	1.4098148060367048	0.05
Pax2	25	33	5.101355827051845	0.006999300069993001	chr7	130794716.0	130794830.0	antisense	0.12281771822817719	0.910738975428992	0.05
RUNX1	27	38	5.04114849395325	0.004299570042995701	chr7	130794716.0	130794830.0	antisense	0.10850733108507331	0.964540918569037	0.05
MAFF	26	44	4.984266492222959	0.006799320067993201	chr7	130794716.0	130794830.0	sense	0.12281771822817719	0.910738975428992	0.05
Myod1	28	41	4.977895314510538	0.0020997900209979003	chr7	130794716.0	130794830.0	antisense	0.07265273472652735	1.1387480337501668	0.05
MAFK	27	42	4.929705161136561	0.0032996700329967	chr7	130794716.0	130794830.0	sense	0.09802353098023532	1.0086696574894556	0.05
CREB3L1	27	41	4.726272459402081	0.0013998600139986002	chr7	130794716.0	130794830.0	sense	0.060543945605439464	1.2179292797977916	0.05
MEIS3	27	35	4.715333054803387	0.0015998400159984002	chr7	130794716.0	130794830.0	sense	0.0630151270587227	1.200555183728369	0.05
FOSL2	25	36	4.489820000714537	0.0010998900109989002	chr7	130794716.0	130794830.0	sense	0.057084291570842924	1.2434833842701798	0.05
JUNB	25	36	4.4603089026953295	0.0012998700129987	chr7	130794716.0	130794830.0	sense	0.060543945605439464	1.2179292797977916	0.05
FOSL1	26	37	4.451436630028629	0.0004999500049995	chr7	130794716.0	130794830.0	antisense	0.03892110788921108	1.4098148060367048	0.05
Six3	23	40	4.448820984724537	0.008599140085991401	chr7	130794716.0	130794830.0	antisense	0.13524102135241023	0.8688915580627246	0.05
TBX5	28	36	4.4251978194453025	0.004399560043995601	chr7	130794716.0	130794830.0	antisense	0.10850733108507331	0.964540918569037	0.05
Hes1	29	39	4.323721666173757	0.1282871712828717	chr7	130794716.0	130794830.0	sense	0.5348872255631579	0.2717377740131487	0.05
SOX10	30	36	4.285797254504121	0.0005999400059994001	chr7	130794716.0	130794830.0	antisense	0.03892110788921108	1.4098148060367048	0.05
JUN(var.2)	27	41	4.064118749828886	0.007099290070992901	chr7	130794716.0	130794830.0	antisense	0.12281771822817719	0.910738975428992	0.05
XBP1	26	40	3.937943878876539	0.0057994200579942	chr7	130794716.0	130794830.0	antisense	0.11576534654226885	0.9364214238362856	0.05
MEIS2	27	35	3.8802809614596123	0.0030996900309969004	chr7	130794716.0	130794830.0	sense	0.09802353098023532	1.0086696574894556	0.05
HLF	26	38	3.8801985137739643	0.0098990100989901	chr7	130794716.0	130794830.0	sense	0.14678817832502464	0.8333089191811305	0.05
JUND	26	37	3.8670766487921826	0.0010998900109989002	chr7	130794716.0	130794830.0	antisense	0.057084291570842924	1.2434833842701798	0.05
MEOX2	23	33	3.864863581827413	0.050294970502949704	chr7	130794716.0	130794830.0	antisense	0.3575765711100123	0.44663094449293333	0.05
Tcf12	31	42	3.7766176899446955	0.005099490050994901	chr7	130794716.0	130794830.0	sense	0.11027647235276473	0.9575171350420745	0.05
NFE2	26	37	3.7523564542208785	0.0016998300169983002	chr7	130794716.0	130794830.0	sense	0.0630151270587227	1.200555183728369	0.05
Myog	31	42	3.736526706008998	0.005599440055994401	chr7	130794716.0	130794830.0	sense	0.11576534654226885	0.9364214238362856	0.05
ALX3	23	33	3.7146901008126774	0.06259374062593741	chr7	130794716.0	130794830.0	antisense	0.37317616552951444	0.42808610208943043	0.05
