motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
YY1	64	76	1.5899838458455255	0.00019998000199980003	chr13	50656285.0	50656399.0	antisense	0.10378962103789621	0.9838460737644236	0.15
Pparg::Rxra	66	81	1.2872510564721749	0.0331966803319668	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
MAFF	68	86	1.280124908063054	0.030496950304969503	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
NKX2-8	69	78	1.2683237903588955	0.004999500049995001	chr13	50656285.0	50656399.0	sense	0.33443322334433223	0.4756905853047924	0.15
PROX1	64	76	1.2203733749598757	0.0011998800119988001	chr13	50656285.0	50656399.0	antisense	0.31136886311368867	0.5067248190447611	0.15
Hes1	68	78	1.211517353247921	0.17818218178182182	chr13	50656285.0	50656399.0	antisense	0.4373317213733173	0.35918902044213274	0.15
SPIC	64	78	1.2067634533985567	0.024297570242975703	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
SCRT2	66	79	1.1958290594497287	0.0018998100189981002	chr13	50656285.0	50656399.0	antisense	0.32866713328667135	0.48324372319523823	0.15
ATF4	71	84	1.18400670314635	0.0057994200579942	chr13	50656285.0	50656399.0	antisense	0.33443322334433223	0.4756905853047924	0.15
Nr1h3::Rxra	66	85	1.1512601884813594	0.06869313068693131	chr13	50656285.0	50656399.0	sense	0.42532706188840574	0.37127698395678926	0.15
HNF4G	66	81	1.149562692500808	0.024897510248975102	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
NKX2-3	68	78	1.1331957523493108	0.0098990100989901	chr13	50656285.0	50656399.0	sense	0.37675632436756323	0.42393944872831113	0.15
Foxq1	71	82	1.1065752277346386	0.0044995500449955	chr13	50656285.0	50656399.0	sense	0.33443322334433223	0.4756905853047924	0.15
Hes2	64	77	1.1052355800839315	0.16078392160783922	chr13	50656285.0	50656399.0	sense	0.4373317213733173	0.35918902044213274	0.15
Mitf	69	79	1.1012311181075858	0.055594440555944404	chr13	50656285.0	50656399.0	antisense	0.41967107637062384	0.37709096122808133	0.15
TFAP2A	74	85	1.098485630981978	0.0211978802119788	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
Tcfl5	68	78	1.0882750089427056	0.16818318168183183	chr13	50656285.0	50656399.0	sense	0.4373317213733173	0.35918902044213274	0.15
Gmeb1	68	85	1.0840962187950896	0.3955604439556044	chr13	50656285.0	50656399.0	antisense	0.5304802853048028	0.2753307515221744	0.15
MAX	68	78	1.0838282288648455	0.007499250074992501	chr13	50656285.0	50656399.0	sense	0.37675632436756323	0.42393944872831113	0.15
Nr5a2	64	79	1.0796880412537861	0.023397660233976603	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
Alx4	68	85	1.0615686726122355	0.06999300069993	chr13	50656285.0	50656399.0	antisense	0.42532706188840574	0.37127698395678926	0.15
MAX::MYC	68	79	1.0585102379621725	0.005599440055994401	chr13	50656285.0	50656399.0	antisense	0.33443322334433223	0.4756905853047924	0.15
NFYB	69	84	1.042478694591359	0.0292970702929707	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
SCRT1	64	79	1.0396355235539396	0.0115988401159884	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
Myc	69	79	1.037777827555672	0.0037996200379962005	chr13	50656285.0	50656399.0	sense	0.33443322334433223	0.4756905853047924	0.15
SOX9	70	79	1.036160893496762	0.025597440255974404	chr13	50656285.0	50656399.0	sense	0.37675632436756323	0.42393944872831113	0.15
THAP1	65	74	1.0294872521973224	0.10258974102589741	chr13	50656285.0	50656399.0	sense	0.42532706188840574	0.37127698395678926	0.15
Foxj3	69	86	1.02794140218969	0.08449155084491551	chr13	50656285.0	50656399.0	antisense	0.42532706188840574	0.37127698395678926	0.15
PBX1	72	84	1.0165993386150889	0.019098090190980903	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
Ddit3::Cebpa	69	81	1.0002068309357106	0.032896710328967106	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
Hmx3	64	81	0.9982427057869366	0.11078892110788921	chr13	50656285.0	50656399.0	antisense	0.42532706188840574	0.37127698395678926	0.15
NRL	70	81	0.9978112171532556	0.11348865113488651	chr13	50656285.0	50656399.0	sense	0.42532706188840574	0.37127698395678926	0.15
SRY	72	81	0.995051264046405	0.0268973102689731	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
FOXA1	70	85	0.9852581339649354	0.0486951304869513	chr13	50656285.0	50656399.0	sense	0.40856866694282956	0.388734942391789	0.15
ONECUT3	69	83	0.9788031680193113	0.0168983101689831	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
POU2F2	68	81	0.9758541967754084	0.024997500249975	chr13	50656285.0	50656399.0	sense	0.37675632436756323	0.42393944872831113	0.15
TCF7L2	68	82	0.9724611881894389	0.04789521047895211	chr13	50656285.0	50656399.0	antisense	0.40856866694282956	0.388734942391789	0.15
SNAI2	69	78	0.9705367520340561	0.026197380261973803	chr13	50656285.0	50656399.0	antisense	0.37675632436756323	0.42393944872831113	0.15
POU4F3	70	86	0.9672963411576311	0.1116888311168883	chr13	50656285.0	50656399.0	antisense	0.42532706188840574	0.37127698395678926	0.15
MAFK	70	85	0.9550324112460501	0.06409359064093591	chr13	50656285.0	50656399.0	antisense	0.42532706188840574	0.37127698395678926	0.15
JUND(var.2)	64	79	0.9538073822131403	0.0420957904209579	chr13	50656285.0	50656399.0	antisense	0.40856866694282956	0.388734942391789	0.15
Arid5a	67	81	0.9530621124365778	0.20657934206579343	chr13	50656285.0	50656399.0	sense	0.4431181371658752	0.3534804735977007	0.15
FIGLA	68	78	0.9454092906628292	0.031296870312968704	chr13	50656285.0	50656399.0	sense	0.37675632436756323	0.42393944872831113	0.15
ZIC4	67	82	0.9432348417890286	0.08819118088191182	chr13	50656285.0	50656399.0	sense	0.42532706188840574	0.37127698395678926	0.15
