gene_id	TSS_associated_1st.transc_id	oligo_reg	TSS_id	TSS_description	TSS_transc_association	avExpALL	gene_name	gene_type	GeneType	lncdb	TSS_start	bidirec160	bidirec70	K562_rep1	K562_rep2	K562_rep3	HeLa_rep1	HeLa_rep2	HeLa_rep3	HepG2_rep1	HepG2_rep2	HepG2_rep3	avExpCS	gwas.snp.LD	selected	flip	enhancer_id	flip.sense.anti	seq_id	NumSNPs	NumSNPs94	rs.SNP1	rs.SNP2	R.squared	Distance	trait	n.eQTLs	n.eQTLs94	PromType	PromType2	PromType3
ENSG00000000419.8	ENST00000371583	chr20:49575034..49575148,-	chr20:49575059..49575077,-	p1@DPM1	0bp_to_ENST00000371583,ENST00000413082,ENST00000449701,NM_003859,uc002xvw.1,uc002xvx.1_5end	71.1105664488017	DPM1	protein_coding	protein_coding	no	chr20:49575068..49575069,-	nodirec	nodirec	86.6287336769973	81.9541393448149	97.1686988590132	112.721125951784	121.547534314326	112.58029161995	177.734859285097	170.518410990634	186.775220019947	127.51433489584	no	mRNA.random	noflip	NA	NA	mrna.noflip.NA__chr20:49575034..49575148,-	0	0	NA	NA	NA	NA	NA	0	0	protein_coding	protein_coding	protein_coding
ENSG00000002586.13	ENST00000381187	chrX:2609217..2609331,+	chrX:2609278..2609302,+	p3@CD99	-14bp_to_ENST00000381187_5end	17.3948801742919	CD99	protein_coding	protein_coding	no	chrX:2609296..2609297,+	nodirec	nodirec	2.48155226678899	2.15668787749513	2.18168063068596	15.2875003436754	18.4185079057187	15.9303986683226	0	0	0	6.27292529918742	no	mRNA.random	noflip	NA	NA	mrna.noflip.NA__chrX:2609217..2609331,+	3	2	NA	NA	NA	NA	NA	0	0	protein_coding	protein_coding	protein_coding
ENSG00000002919.10	ENST00000359238	chr17:46184858..46184972,+	chr17:46184920..46184951,+	p2@SNX11	0bp_to_ENST00000359238,ENST00000393405,ENST00000439357,NM_013323,NM_152244,uc002inf.1,uc002ing.1,uc010wlh.1,uc010wli.1,uc010wlj.1_5end	4.72254901960784	SNX11	protein_coding	protein_coding	no	chr17:46184937..46184938,+	nodirec	nodirec	4.73750887296079	2.54881294613061	2.18168063068596	2.12863928835987	1.60796497589608	2.13500188338344	2.44227865152394	2.55489160981616	2.96575592958414	2.58917053203789	yes	mRNA.gwas	noflip	NA	NA	mrna.noflip.NA__chr17:46184858..46184972,+	2	2	rs72823592	rs16952265	0.844249196799263	-61879	Epilepsy_(generalized)	2	2	protein_coding	protein_coding	protein_coding
ENSG00000003436.10	ENST00000435414	chr2:188378345..188378459,-	chr2:188378374..188378387,-	p3@TFPI	0bp_to_ENST00000435414_5end	3.67994553376906	TFPI	protein_coding	protein_coding	no	chr2:188378379..188378380,-	nodirec	nodirec	4.06072189110925	3.33306308340156	4.02771808742024	0	0	0	58.2995549073456	61.3173986355879	65.920665889393	21.8843469438064	no	mRNA.expmatch	flip	NA	sense	mrna.flip.sense__chr2:188378345..188378459,-	0	0	NA	NA	NA	NA	NA	0	0	protein_coding	protein_coding	protein_coding
ENSG00000003436.10	ENST00000435414	chr2:188378345..188378459,+	chr2:188378374..188378387,-	p3@TFPI	0bp_to_ENST00000435414_5end	3.67994553376906	TFPI	protein_coding	protein_coding	no	chr2:188378379..188378380,-	nodirec	nodirec	4.06072189110925	3.33306308340156	4.02771808742024	0	0	0	58.2995549073456	61.3173986355879	65.920665889393	21.8843469438064	no	mRNA.expmatch	flip	NA	antisense	mrna.flip.antisense__chr2:188378345..188378459,+	0	0	NA	NA	NA	NA	NA	0	0	protein_coding	protein_coding	protein_coding
ENSG00000004948.9	ENST00000359558	chr7:93204001..93204115,-	chr7:93204033..93204043,-	p1@CALCR	0bp_to_ENST00000359558,ENST00000360249,ENST00000426151,NM_001164737,NM_001742,uc003umw.2_5end	0.840713507625272	CALCR	protein_coding	protein_coding	no	chr7:93204035..93204036,-	nodirec	nodirec	0	0	0	0	0	0	0	0	0	0	no	mRNA.expmatch	noflip	NA	NA	mrna.noflip.NA__chr7:93204001..93204115,-	0	0	NA	NA	NA	NA	NA	0	0	protein_coding	protein_coding	protein_coding
ENSG00000005100.8	ENST00000433302	chr17:5372218..5372332,-	chr17:5372229..5372261,-	p4@DHX33	0bp_to_ENST00000433302_5end	1.04083877995643	DHX33	protein_coding	protein_coding	no	chr17:5372252..5372253,-	nodirec	nodirec	0.676786981851542	0.980312671588696	0.671286347903373	2.99944626996163	1.68105429298227	3.20250282507516	8.50858368918017	7.66467482944849	8.29063589406476	3.85280931133957	no	mRNA.expmatch	flip	NA	sense	mrna.flip.sense__chr17:5372218..5372332,-	1	1	NA	NA	NA	NA	NA	0	0	protein_coding	div_pc	div_lnc_pc
ENSG00000005100.8	ENST00000433302	chr17:5372218..5372332,+	chr17:5372229..5372261,-	p4@DHX33	0bp_to_ENST00000433302_5end	1.04083877995643	DHX33	protein_coding	protein_coding	no	chr17:5372252..5372253,-	nodirec	nodirec	0.676786981851542	0.980312671588696	0.671286347903373	2.99944626996163	1.68105429298227	3.20250282507516	8.50858368918017	7.66467482944849	8.29063589406476	3.85280931133957	no	mRNA.expmatch	flip	NA	antisense	mrna.flip.antisense__chr17:5372218..5372332,+	1	1	NA	NA	NA	NA	NA	0	0	protein_coding	div_pc	div_lnc_pc
ENSG00000005955.8	ENST00000486208	chr17:34900775..34900889,+	chr17:34900837..34900860,+	p3@GGNBP2	21bp_to_ENST00000486208_5end	1.10451226158038	GGNBP2	protein_coding	protein_coding	no	chr17:34900854..34900855,+	nodirec	nodirec	1.35357396370308	2.35275041181287	4.53118284834777	0.19351266257817	0.365446585430927	0.164230914106419	1.02418136999391	0.659326867049333	0.876246070104406	1.28005018812521	yes	mRNA.expmatch	noflip	NA	NA	mrna.noflip.NA__chr17:34900775..34900889,+	3	3	rs12150665	rs3736167	0.954947254739001	13940	Body_mass_index,Body_mass_index	2	2	protein_coding	protein_coding	protein_coding
ENSG00000006638.7	ENST00000375190	chr19:3606824..3606938,-	chr19:3606847..3606898,-	p1@TBXA2R	-16bp_to_ENST00000375190,ENST00000411851,NM_001060,NM_201636_5end	6.18071895424837	TBXA2R	protein_coding	protein_coding	no	chr19:3606858..3606859,-	nodirec	nodirec	32.485775128874	26.4684421328948	36.9207491346855	5.90213620863417	6.65112785484288	6.2407747360439	0	0.0824158583811666	0.26961417541674	12.7801150255304	no	mRNA.random	noflip	NA	NA	mrna.noflip.NA__chr19:3606824..3606938,-	0	0	NA	NA	NA	NA	NA	0	0	protein_coding	div_pc	div_pc
