motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
YY1	78	90	9.034048266703076	9.999000099990002e-05	chrX	73164097.0	73164211.0	sense	0.051894810518948106	1.2848760694284047	0.1
YY2	80	91	5.478639107626773	0.00029997000299970003	chrX	73164097.0	73164211.0	antisense	0.07784221577842217	1.1087848103727236	0.1
THAP1	80	89	4.992099634692116	0.0025997400259974	chrX	73164097.0	73164211.0	antisense	0.265960903909609	0.5751821997006129	0.1
CTCF	72	91	4.499165098145709	0.0010998900109989002	chrX	73164097.0	73164211.0	sense	0.19028097190280974	0.7206046389898422	0.1
Neurog1	77	87	4.355163250713642	0.0108989101089891	chrX	73164097.0	73164211.0	sense	0.3452133047564809	0.4619124746283989	0.1
GSX1	76	86	4.260514735130147	0.024897510248975102	chrX	73164097.0	73164211.0	antisense	0.401421622543628	0.39639923798090204	0.1
TBP	75	90	4.078016854637902	0.019998000199980003	chrX	73164097.0	73164211.0	sense	0.3855043067121859	0.4139707658078625	0.1
Hic1	80	89	3.8614505132115653	0.003999600039996	chrX	73164097.0	73164211.0	antisense	0.265960903909609	0.5751821997006129	0.1
Hes1	80	90	3.8247660632327958	0.09469053094690531	chrX	73164097.0	73164211.0	sense	0.5228126123557857	0.28165394402483007	0.1
NEUROD2	77	87	3.7823124554903376	0.0016998300169983002	chrX	73164097.0	73164211.0	antisense	0.22055294470552944	0.6564871393780933	0.1
SP2	77	92	3.662832951122768	0.0040995900409959	chrX	73164097.0	73164211.0	antisense	0.265960903909609	0.5751821997006129	0.1
NFIX	81	90	3.5709323536842015	0.014598540145985401	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
NFIC	82	88	3.487383853171196	0.0034996500349965005	chrX	73164097.0	73164211.0	sense	0.265960903909609	0.5751821997006129	0.1
E2F1	81	93	3.480842981752935	0.007099290070992901	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
GSX2	76	86	3.418568817422295	0.08559144085591441	chrX	73164097.0	73164211.0	antisense	0.5228126123557857	0.28165394402483007	0.1
Arid5a	77	91	3.3947474789352157	0.048595140485951406	chrX	73164097.0	73164211.0	sense	0.46705329467053297	0.33063355998907995	0.1
Nr1h3::Rxra	73	92	3.275218562276455	0.0443955604439556	chrX	73164097.0	73164211.0	sense	0.46705329467053297	0.33063355998907995	0.1
HLTF	78	88	3.271851275429444	0.026297370262973702	chrX	73164097.0	73164211.0	antisense	0.401421622543628	0.39639923798090204	0.1
GATA2	73	87	3.125040432534597	0.013998600139986002	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
SP3	81	92	3.082309701388665	0.023397660233976603	chrX	73164097.0	73164211.0	antisense	0.39172211811076957	0.40702190585253467	0.1
Arid3b	73	84	3.029312808930085	0.027597240275972403	chrX	73164097.0	73164211.0	antisense	0.40253542213346233	0.3951958967614075	0.1
ZBTB7C	78	90	3.0006959701415483	0.0433956604339566	chrX	73164097.0	73164211.0	antisense	0.46705329467053297	0.33063355998907995	0.1
EGR1	78	92	2.982075136273	0.013298670132986702	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
Hes2	73	86	2.9415507390129294	0.17888211178882113	chrX	73164097.0	73164211.0	sense	0.5718766768741452	0.24269761513615118	0.1
NFIA	80	90	2.9351283302305067	0.008899110088991101	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
ALX3	76	86	2.916279723639585	0.0922907709229077	chrX	73164097.0	73164211.0	antisense	0.5228126123557857	0.28165394402483007	0.1
FOXA1	72	87	2.9139702623414214	0.023397660233976603	chrX	73164097.0	73164211.0	antisense	0.39172211811076957	0.40702190585253467	0.1
TAL1::TCF3	77	89	2.873106858610457	0.009499050094990502	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
ESX1	76	86	2.8476888432775564	0.0932906709329067	chrX	73164097.0	73164211.0	antisense	0.5228126123557857	0.28165394402483007	0.1
OLIG3	77	87	2.8350795395586306	0.0150984901509849	chrX	73164097.0	73164211.0	antisense	0.3452133047564809	0.4619124746283989	0.1
