motif	start	end
Tcf12	10	20
Myog	10	20
TCF3	11	20
NHLH1	11	20
TCF4	11	20
Ascl2	11	20
ZNF263	11	31
ID4	11	20
Zfx	12	25
NR2C2	13	27
ZEB1	13	21
Zfx	13	26
EGR3	16	30
SP1	17	27
RREB1	17	36
EGR1	18	31
KLF5	18	27
ZNF740	19	28
MZF1(var.2)	20	29
E2F6	20	30
Pparg::Rxra	21	35
MZF1(var.2)	21	30
ZNF263	21	41
NR2C2	21	35
SP2	21	35
EGR3	21	35
PLAG1	22	35
ZNF263	22	42
SP2	22	36
SP4	23	39
SP2	23	37
ZNF263	23	43
ZNF263	24	44
EGR1	24	37
KLF16	24	34
KLF14	24	37
ZNF263	25	45
SP8	25	36
RREB1	26	45
SP1	26	36
EGR4	26	41
KLF16	26	36
ZNF263	26	46
SP3	26	36
EWSR1-FLI1	27	44
EGR3	27	41
EGR4	27	42
ZNF263	27	47
Zfx	27	40
SP2	28	42
EGR3	28	42
SP4	29	45
EGR1	29	42
EGR2	29	39
SP2	29	43
KLF14	30	43
EGR1	30	43
EGR2	30	40
SP4	30	46
ZNF740	31	40
SP8	31	42
KLF14	31	44
EGR4	31	46
SP1	32	42
KLF16	32	42
SP3	32	42
ZNF740	32	41
NR2C2	32	46
SP3	33	43
SP1	33	43
KLF5	33	42
SP2	33	47
GLIS2	33	46
KLF16	33	43
PLAG1	33	46
ZNF740	33	42
Klf4	33	42
SP2	34	48
E2F4	34	44
ZNF740	34	43
Klf4	34	43
KLF5	34	43
E2F6	35	45
ZNF740	35	44
E2F4	35	45
ZNF740	36	45
KLF16	37	47
SP1	37	47
ZNF740	37	46
SP1	38	48
KLF5	38	47
KLF5	39	48
NRF1	48	58
Hic1	48	56
RREB1	56	75
KLF14	58	71
Bach1::Mafk	61	75
Vdr	62	77
Bach1::Mafk	62	76
PLAG1	62	75
TFAP2B(var.2)	66	76
TFAP2A	66	76
TFAP2C(var.2)	66	76
THAP1	70	78
NFKB2	72	84
Sox3	73	82
Sox6	73	82
GLIS1	76	91
EGR4	78	93
ZIC3	78	92
ZIC4	78	92
