unique_id	wt_id	SNP	rna_3_wt_med	rna_4_wt_med	rna_5_wt_med	rna_6_wt_med	rna_7_wt_med	rna_8_wt_med	rna_9_wt_med	rna_10_wt_med	rna_11_wt_med	rna_12_wt_med	rna_13_wt_med	rna_14_wt_med	combined_wt_med	rna_3_snp_med	rna_4_snp_med	rna_5_snp_med	rna_6_snp_med	rna_7_snp_med	rna_8_snp_med	rna_9_snp_med	rna_10_snp_med	rna_11_snp_med	rna_12_snp_med	rna_13_snp_med	rna_14_snp_med	combined_snp_med	rna_3_l2fc	rna_4_l2fc	rna_5_l2fc	rna_6_l2fc	rna_7_l2fc	rna_8_l2fc	rna_9_l2fc	rna_10_l2fc	rna_11_l2fc	rna_12_l2fc	rna_13_l2fc	rna_14_l2fc	combined_l2fc	rna_3_pval	rna_4_pval	rna_5_pval	rna_6_pval	rna_7_pval	rna_8_pval	rna_9_pval	rna_10_pval	rna_11_pval	rna_12_pval	rna_13_pval	rna_14_pval	combined_pval	rna_3_padj	rna_4_padj	rna_5_padj	rna_6_padj	rna_7_padj	rna_8_padj	rna_9_padj	rna_10_padj	rna_11_padj	rna_12_padj	rna_13_padj	rna_14_padj	combined_padj	rna_3_sig	rna_4_sig	rna_5_sig	rna_6_sig	rna_7_sig	rna_8_sig	rna_9_sig	rna_10_sig	rna_11_sig	rna_12_sig	rna_13_sig	rna_14_sig	combined_sig	downsamp_sig
WILDTYPE_SNP_INDIV__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.1.0	WILDTYPE_BUT_HAS_SNP__Lincrna.flip.sense__chr1:109642741..109642855,+__3.1.0.0	rs4970820	2.286466480239819	2.5331746444427448	2.2114891637206093	2.2378109113560662	2.5242647744382745	2.4221478387410467	2.4382389397780497	2.4698507931884515	2.363380278638416	2.6635774266804777	2.5571978418920955	2.4766672907171	2.432022198652762	2.2988578692173323	2.5869921347860148	2.2025242533642375	2.0281172003127192	2.2760957906509476	2.301570901905495	2.2224277415659546	2.523826070817396	2.505070230014234	2.4698720479403926	2.464988127638798	2.4839883744368043	2.3636942285541935	0.012391388977513351	0.05381749034326999	-0.008964910356371814	-0.209693711043347	-0.24816898378732688	-0.1205769368355516	-0.21581119821209516	0.05397527762894461	0.14168995137581764	-0.1937053787400851	-0.09220971425329738	0.007321083719704191	-0.06832797009856877	0.957167318493	0.572794651112	0.242741268695	0.0986283746992	0.129198935732	0.237368605078	0.206893929435	0.87199428352	0.657696241675	0.0959193233604	0.285759223278	0.48504462162	0.184393883963	1	1	1	1	1	1	1	1	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:113499003..113499117,+__5.1.0.0	rs60844753	-0.6796074136496677	-0.05269732175896209	-0.3615488156669868	-1.0734973288358105	0.1707354246661114	-1.0006543321410155	-0.3024475988919211	-1.0478709950737441	-0.4515657418082615	-0.9692723955733809	0.10676725976545327	-0.4979247672149662	-0.513298668848596	-0.44775059075932494	-0.01210239911512878	-0.24387500068548237	-0.030057600305465296	-0.1494501390511612	0.04599227824289015	-0.8254621493022785	0.1979916898183407	-0.5995711953156834	-0.6888681762388386	-0.30874218769514705	-0.6628191084346463	-0.3103928815701605	0.23185682289034276	0.04059492264383331	0.11767381498150445	1.0434397285303452	-0.3201855637172726	1.0466466103839056	-0.5230145504103574	1.2458626848920848	-0.1480054535074219	0.2804042193345423	-0.4155094474606003	-0.1648943412196801	0.20290578727843553	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__not_enough_barcodes	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:113499041..113499155,+__6.1.0.0	rs60844753	-1.017331900837374	-0.7047332848864013	-1.0001903293695795	-1.0372875983437002	-0.9547530544001618	-0.818437753405195	-1.3843159629676614	-1.0738082583237323	-0.8746710832668274	-0.9296010877577511	-0.830441328978644	-0.9216407040501204	-0.962267695548929	-1.0448619257930019	-1.029009348834101	-1.1343740442865329	-0.6389687213164724	-0.7826135097229759	-1.054824052601478	-1.093866455404246	-1.0727095514924994	-1.126738427327168	-1.0081688286350927	-0.7759690997493282	-0.9776971741659028	-0.9783167616107332	-0.02753002495562784	-0.3242760639476997	-0.13418371491695336	0.3983188770272278	0.17213954467718584	-0.23638629919628307	0.29044950756341525	0.0010987068312329207	-0.2520673440603405	-0.07856774087734164	0.05447222922931583	-0.05605647011578241	-0.01604906606180424	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	0.0440018610392	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	0.21176555971	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	0.0381769103775	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	1	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	1	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:116961180..116961294,-__8.1.0.0	rs115274951	2.6601579207893584	3.402033802401689	2.6242429232441298	2.543345473474006	2.855234494623555	2.842445760916737	2.8611283455698113	3.0270875288633166	3.093857704414253	3.0139528636859816	3.1451033745786052	2.90909819278214	2.9148073654452986	2.9224415059482447	3.2075771901956918	2.753416748752001	2.582298626155908	2.7899658329954566	2.998519588164971	2.91211639455025	3.3539539126422158	3.0998974940549795	3.0568826025863216	3.1065987478850228	3.1149096692625933	2.9915481927661376	0.2622835851588863	-0.1944566122059972	0.12917382550787115	0.038953152681902026	-0.06526866162809819	0.15607382724823404	0.05098804898043863	0.3268663837788992	0.0060397896407264895	0.04292973890034002	-0.038504626693582455	0.20581147648045306	0.07674082732083942	0.8931878581	0.390154148302	0.957167318493	0.85089220831	0.428242856315	0.628827692687	0.581967350665	0.510582765025	0.687084607526	0.696989544957	0.382791178922	0.452098798395	0.912110809494	1	1	1	1	1	1	1	1	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs1555794	-0.481364882829578	-0.6272721338360152	-0.793396301544102	-0.5276936679244776	-0.820783643651727	-0.3776906489224358	-0.4187289603032154	-0.5644425623474352	-0.31221686712046776	-0.5373908115306736	-0.617445632500373	-0.5512179722645607	-0.5524703403979219	-0.744241401067961	-0.3138209387633505	-0.9411746366030843	-0.827445519289631	-0.6831313507100573	0.029902286996341232	-0.27234750590511536	-0.4372773639344525	-0.3988958436957002	-0.7273295462807389	-0.5125580535436994	-0.6611197704566312	-0.5407866369378401	-0.262876518238383	0.3134511950726647	-0.1477783350589823	-0.29975185136515337	0.1376522929416697	0.40759293591877704	0.14638145439810002	0.12716519841298268	-0.08667897657523244	-0.18993873475006529	0.10488757895667356	-0.10990179819207047	0.011683703460081745	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	0.276771967065	0.326996172605	0.170821264488	0.727009731456	NA__no_active_tile	0.88258056334	0.737113058664	0.687081215138	0.914457985151	0.791023984807	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	1	1	1	1	NA__no_active_tile	1	1	1	1	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	not sig	not sig	not sig	NA__too_many_rep_NAs	not sig	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.2.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs1555795	-0.481364882829578	-0.6272721338360152	-0.793396301544102	-0.5276936679244776	-0.820783643651727	-0.3776906489224358	-0.4187289603032154	-0.5644425623474352	-0.31221686712046776	-0.5373908115306736	-0.617445632500373	-0.5512179722645607	-0.5524703403979219	-0.08955344887718003	-0.06879096925275689	0.14343291652683215	-0.3431292845452755	-0.23785928956458768	-0.4673894343183811	0.026251058359322454	0.09498634981531892	0.18552361446062626	0.035066229303340926	-0.09512351155304119	0.14036888066848843	-0.05635140741477445	0.391811433952398	0.5584811645832584	0.9368292180709341	0.18456438337920206	0.5829243540871393	-0.08969878539594528	0.44498001866253784	0.6594289121627541	0.497740481581094	0.5724570408340145	0.5223221209473318	0.6915868529330491	0.4961189329831474	0.188220673538	0.0440018610392	0.00522462344006	0.619326784864	0.0531733827136	0.87199428352	0.301187193336	0.0249397487324	0.122558611289	0.0276615481105	0.0412580447575	0.00460947122508	5.52158500611e-06	1	1	1	1	1	1	1	1	1	1	1	1	0.00462708823512	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.3.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs73004198	-0.481364882829578	-0.6272721338360152	-0.793396301544102	-0.5276936679244776	-0.820783643651727	-0.3776906489224358	-0.4187289603032154	-0.5644425623474352	-0.31221686712046776	-0.5373908115306736	-0.617445632500373	-0.5512179722645607	-0.5524703403979219	-0.4410769708272615	-1.1324971815430096	-1.267292347985863	-1.0734973288358105	-0.7511791682032948	-1.1480153225682428	-1.00947515000037	-0.7364658129064194	-1.0948579207431113	-0.8784988551134919	-0.730203021402756	-0.7567900221822051	-0.9183207585259864	0.04028791200231652	-0.5052250477069944	-0.4738960464417611	-0.5458036609113329	0.06960447544843218	-0.7703246736458069	-0.5907461896971546	-0.17202325055898426	-0.7826410536226436	-0.3411080435828183	-0.11275738890238296	-0.20557204991764444	-0.36585041812806457	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	0.468411351413	NA__no_active_tile	0.405136064622	0.179364149792	NA__no_active_tile	0.0959193233604	0.298053645387	NA__no_active_tile	0.66743649171	0.14061707543	NA__no_active_tile	NA__no_active_tile	NA__no_active_tile	1	NA__no_active_tile	1	1	NA__no_active_tile	1	1	NA__no_active_tile	1	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	NA__too_many_rep_NAs	not sig	not sig	NA__too_many_rep_NAs	not sig	not sig	NA__too_many_rep_NAs	not sig	not sig	not sig
WILDTYPE_SNP_PLUS_HAPLO__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.3.1	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:117602051..117602165,-__9.1.0.0	rs1555794,rs1555795,rs73004198	-0.481364882829578	-0.6272721338360152	-0.793396301544102	-0.5276936679244776	-0.820783643651727	-0.3776906489224358	-0.4187289603032154	-0.5644425623474352	-0.31221686712046776	-0.5373908115306736	-0.617445632500373	-0.5512179722645607	-0.5524703403979219	-0.8203617362587765	-0.8203842243643275	-0.29144521748039753	-0.5382440499549133	-0.5694878535860508	-0.6852961296191453	-0.49552453460446677	-0.5269542575758112	-0.4527662260204157	-0.7397390881896857	-0.5338080088119525	-0.2826232032745196	-0.5630528774783718	-0.3389968534291985	-0.19311209052831224	0.5019510840637045	-0.010550382030435679	0.25129579006567615	-0.3076054806967095	-0.07679557430125139	0.037488304771624015	-0.14054935889994796	-0.20234827665901212	0.08363762368842054	0.2685947689900411	-0.010582537080450094	NA__no_active_tile	NA__no_active_tile	0.0932701621097	0.946473618223	0.476688253492	0.60051573606	0.265084565602	NA__no_active_tile	0.368322877114	0.127508858211	0.586575008857	0.677233097055	0.377436791777	NA__no_active_tile	NA__no_active_tile	1	1	1	1	1	NA__no_active_tile	1	1	1	1	1	NA__too_many_rep_NAs	NA__too_many_rep_NAs	not sig	not sig	not sig	not sig	not sig	NA__too_many_rep_NAs	not sig	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr1:119682960..119683074,+__10.1.0.0	rs3934789	0.7002862242984369	0.9416730212868544	0.12190034822666848	0.6197599533856913	0.5150639807075291	0.3134461968964282	0.397751649204794	0.1941681010174422	0.778140253184094	0.6812000171336202	0.6462430088157654	0.673283703514948	0.5485763714726893	1.0254772132097882	0.7735802289525925	0.5564863576170977	0.3263443941772293	0.9140369986781156	0.6660757988451934	0.4465264321768794	0.6964852096863141	0.5436919655353553	0.6184942647978634	0.6101638225037948	0.9235171351038616	0.6750733184403405	0.32519098891135134	-0.1680927923342619	0.43458600939042924	-0.293415559208462	0.3989730179705865	0.3526296019487652	0.04877478297208537	0.5023171086688719	-0.2344482876487387	-0.06270575233575681	-0.0360791863119706	0.25023343158891354	0.12649694696765112	0.861430881609	0.79863356553	0.265084565602	0.609889042629	0.301187193336	0.288805731951	0.861430881609	0.183747876053	0.788281320858	0.946473618223	0.595849425807	0.572794651112	0.845265899384	1	1	1	1	1	1	1	1	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig
WILDTYPE_SNP_INDIV__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.1.0	WILDTYPE_BUT_HAS_SNP__Antisense.noflip.NA__chr1:119683314..119683428,+__11.1.0.0	rs12096448	0.8433329120390533	1.0961435228114635	1.1356613510011209	0.8601602802798944	1.0666322129310994	1.1434196805457228	1.0337991179345414	1.2483590762107428	1.3345526600718614	1.1049263604662418	1.2672955963326191	1.0856983145314123	1.1016650904296477	0.6178357270614068	0.6322558606831888	0.5328011628942932	0.7130962739852662	0.8354994523761999	0.8841131960986123	1.1286912124783282	1.131656189977845	0.8914852136328262	0.7283970260551793	1.1951709381642115	1.2679019060619203	0.8799086799557733	-0.22549718497764648	-0.4638876621282747	-0.6028601881068276	-0.14706400629462824	-0.2311327605548995	-0.2593064844471106	0.09489209454378678	-0.11670288623289782	-0.4430674464390352	-0.3765293344110625	-0.07212465816840763	0.18220359153050802	-0.22175641047387462	0.250954198416	0.0368026762697	0.175053819161	0.361218104761	0.0856555181328	0.216719559135	0.914457985151	0.777966336216	0.0698833862508	0.122554330111	0.732052639825	0.648013768535	0.0592653159503	1	1	1	1	1	1	1	1	1	1	1	1	1	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig	not sig
