motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
THAP1	2	11	3.541448828438049	0.0006999300069993001	chr1	173837438.0	173837552.0	sense	0.028317168283171684	1.5479501782591312	0.05
E2F4	1	12	3.044038902504499	0.0004999500049995	chr1	173837438.0	173837552.0	antisense	0.028317168283171684	1.5479501782591312	0.05
E2F6	1	12	3.0083759897786835	0.00039996000399960006	chr1	173837438.0	173837552.0	antisense	0.028317168283171684	1.5479501782591312	0.05
ZNF263	1	22	2.6487292009869705	0.024697530246975304	chr1	173837438.0	173837552.0	antisense	0.34307338496919537	0.4646129724403487	0.05
STAT3	2	13	2.349667560134682	0.00029997000299970003	chr1	173837438.0	173837552.0	sense	0.028317168283171684	1.5479501782591312	0.05
HSF4	3	16	2.1122422422120146	0.0028997100289971	chr1	173837438.0	173837552.0	sense	0.06858064193580642	1.1637984540727269	0.05
Bcl6	2	16	2.0257815118888716	0.0086991300869913	chr1	173837438.0	173837552.0	sense	0.1512394215123942	0.8203349924735824	0.05
STAT1	2	13	1.9734733945275216	0.0007999200079992001	chr1	173837438.0	173837552.0	sense	0.028317168283171684	1.5479501782591312	0.05
HSF2	3	16	1.8038516032202774	0.0030996900309969004	chr1	173837438.0	173837552.0	sense	0.06858064193580642	1.1637984540727269	0.05
EGR1	2	16	1.778431880054405	0.08949105089491051	chr1	173837438.0	173837552.0	sense	0.5392060793920608	0.26824521990088707	0.05
ETV5	4	14	1.676481708222335	0.035096490350964904	chr1	173837438.0	173837552.0	sense	0.36541639953651694	0.4372119658275059	0.05
HSF1	3	16	1.6750691158334265	0.0029997000299970002	chr1	173837438.0	173837552.0	sense	0.06858064193580642	1.1637984540727269	0.05
ZBTB18	2	15	1.6668236412191144	0.007499250074992501	chr1	173837438.0	173837552.0	sense	0.1474852514748525	0.8312514069626808	0.05
Gmeb1	3	20	1.6136145153127581	0.3762623737626237	chr1	173837438.0	173837552.0	antisense	0.6754824517548246	0.17038592895881163	0.05
ETV1	4	14	1.575087806972097	0.031996800319968	chr1	173837438.0	173837552.0	sense	0.35396460353964604	0.4510401652510748	0.05
ETV4	4	14	1.574751584072285	0.030496950304969503	chr1	173837438.0	173837552.0	sense	0.35396460353964604	0.4510401652510748	0.05
Pax6	3	17	1.5726088854034757	0.037196280371962806	chr1	173837438.0	173837552.0	sense	0.36576342365763426	0.43679972613646456	0.05
NFIX	1	10	1.5045172791032198	0.07329267073292671	chr1	173837438.0	173837552.0	sense	0.46331438284742954	0.3341242176161473	0.05
MZF1(var.2)	3	13	1.4221072491495825	0.11258874112588742	chr1	173837438.0	173837552.0	antisense	0.5861237405671198	0.23201068744198372	0.05
ETV3	4	14	1.3905576920305691	0.04279572042795721	chr1	173837438.0	173837552.0	sense	0.38212087882120876	0.4177992321123958	0.05
ELK4	4	15	1.3653081618105112	0.0466953304669533	chr1	173837438.0	173837552.0	antisense	0.38212087882120876	0.4177992321123958	0.05
TFAP2A(var.3)	3	16	1.3599574457557333	0.0695930406959304	chr1	173837438.0	173837552.0	antisense	0.4562210445622104	0.34082468546348127	0.05
E2F8	2	14	1.3377541343943413	0.0093990600939906	chr1	173837438.0	173837552.0	sense	0.1512394215123942	0.8203349924735824	0.05
Gabpa	5	16	1.314317721493432	0.05369463053694631	chr1	173837438.0	173837552.0	sense	0.41321520021910857	0.3838237112330933	0.05
CTCF	2	21	1.281284953812608	0.09929007099290071	chr1	173837438.0	173837552.0	sense	0.5669142763143041	0.24648260625394747	0.05
ELK1	4	14	1.2712466545908454	0.0282971702829717	chr1	173837438.0	173837552.0	sense	0.35396460353964604	0.4510401652510748	0.05
Hes1	7	17	1.2299215892268798	0.5414458554144586	chr1	173837438.0	173837552.0	sense	0.7304780633047807	0.13639282165813624	0.05
ELF1	3	15	1.198654191413722	0.043695630436956304	chr1	173837438.0	173837552.0	sense	0.38212087882120876	0.4177992321123958	0.05
TFCP2	2	12	1.182966411017733	0.05959404059594041	chr1	173837438.0	173837552.0	antisense	0.4219258074192581	0.3747639098468572	0.05
ELF4	3	15	1.1658484785396994	0.047495250474952504	chr1	173837438.0	173837552.0	sense	0.38212087882120876	0.4177992321123958	0.05
TFAP2A(var.2)	4	16	1.1550262130875653	0.22307769223077692	chr1	173837438.0	173837552.0	sense	0.6542542467064769	0.1842534497118437	0.05
XBP1	4	18	1.1361183179883683	0.0913908609139086	chr1	173837438.0	173837552.0	sense	0.5392060793920608	0.26824521990088707	0.05
REL	6	16	1.1213155509165211	0.11818818118188182	chr1	173837438.0	173837552.0	sense	0.5976945162626595	0.2235207287200951	0.05
SP1	2	13	1.1141567434242623	0.15458454154584542	chr1	173837438.0	173837552.0	sense	0.6452354764523548	0.19028176216973766	0.05
ZBTB33	3	18	1.1123027306697593	0.1792820717928207	chr1	173837438.0	173837552.0	sense	0.6452354764523548	0.19028176216973766	0.05
Zfx	1	15	1.1090950933855364	0.21347865213478653	chr1	173837438.0	173837552.0	sense	0.6452354764523548	0.19028176216973766	0.05
CREB3	2	16	1.083187233819675	0.11098890110988902	chr1	173837438.0	173837552.0	sense	0.5861237405671198	0.23201068744198372	0.05
