index	n_total_motifs	n_unique_motifs	max_cov	n_bp_cov	log_n_total_motifs	log_n_unique_motifs	log_max_cov	log_n_bp_cov
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:11936664..11936778,-__110.1.0.0	48	35	19	83	3.871201010907891	3.5553480614894135	2.9444389791664403	4.418840607796598
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:28821597..28821711,-__118.1.0.0	37	29	16	84	3.6109179126442243	3.367295829986474	2.772588722239781	4.430816798843313
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:29698406..29698520,+__119.1.0.0	10	8	3	77	2.302585092994046	2.0794415416798357	1.0986122886681098	4.343805421853684
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr10:97667625..97667739,-__147.1.0.0	12	8	5	54	2.4849066497880004	2.0794415416798357	1.6094379124341003	3.9889840465642745
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:27528316..27528430,+__175.1.0.0	37	31	22	80	3.6109179126442243	3.4339872044851463	3.091042453358316	4.382026634673881
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:64013348..64013462,+__188.1.0.0	45	35	30	56	3.8066624897703196	3.5553480614894135	3.4011973816621555	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:70244500..70244614,-__195.1.0.0	49	35	25	86	3.8918202981106265	3.5553480614894135	3.2188758248682006	4.454347296253507
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr11:77850722..77850836,+__199.1.0.0	32	31	16	71	3.4657359027997265	3.4339872044851463	2.772588722239781	4.2626798770413155
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr13:79980346..79980460,+__274.1.0.0	8	5	3	70	2.0794415416798357	1.6094379124341003	1.0986122886681098	4.248495242049359
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:20811533..20811647,-__282.1.0.0	7	7	4	31	1.9459101490553132	1.9459101490553132	1.3862943611198906	3.4339872044851463
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451688..35451802,-__286.1.0.0	6	5	3	31	1.791759469228055	1.6094379124341003	1.0986122886681098	3.4339872044851463
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:35451727..35451841,-__287.1.0.0	14	13	8	47	2.6390573296152584	2.5649493574615367	2.0794415416798357	3.8501476017100584
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr14:56046793..56046907,-__291.1.0.0	24	16	12	83	3.1780538303479458	2.772588722239781	2.4849066497880004	4.418840607796598
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:41576126..41576240,+__317.1.0.0	31	30	25	78	3.4339872044851463	3.4011973816621555	3.2188758248682006	4.356708826689592
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:50647384..50647498,+__323.1.0.0	13	13	7	62	2.5649493574615367	2.5649493574615367	1.9459101490553132	4.127134385045092
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr15:83419244..83419358,+__335.1.0.0	26	21	13	88	3.258096538021482	3.044522437723423	2.5649493574615367	4.477336814478207
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr16:699214..699328,-__348.1.0.0	75	57	32	90	4.31748811353631	4.04305126783455	3.4657359027997265	4.499809670330265
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr17:20771760..20771874,+__357.1.0.0	6	6	3	56	1.791759469228055	1.791759469228055	1.0986122886681098	4.02535169073515
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr17:46667702..46667816,+__365.1.0.0	11	11	7	45	2.3978952727983707	2.3978952727983707	1.9459101490553132	3.8066624897703196
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr17:5015167..5015281,+__367.1.0.0	22	19	11	86	3.091042453358316	2.9444389791664403	2.3978952727983707	4.454347296253507
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr18:3594030..3594144,+__374.1.0.0	21	18	8	74	3.044522437723423	2.8903717578961645	2.0794415416798357	4.30406509320417
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:36036367..36036481,-__379.1.0.0	34	33	24	68	3.5263605246161616	3.4965075614664802	3.1780538303479458	4.219507705176107
WILDTYPE_BUT_HAS_SNP__Antisense.flip.sense__chr19:37064191..37064305,+__381.1.0.0	19	18	17	61	2.9444389791664403	2.8903717578961645	2.833213344056216	4.110873864173311
