motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	7	22	2.360403309961333	9.999000099990002e-05	chr3	169482079.0	169482193.0	antisense	0.009399060093990603	2.026915573677164	0.05
TCF7L2	10	24	2.107023819534646	9.999000099990002e-05	chr3	169482079.0	169482193.0	antisense	0.009399060093990603	2.026915573677164	0.05
HLTF	10	20	1.7797652332142457	0.00019998000199980003	chr3	169482079.0	169482193.0	sense	0.012532080125320803	1.901976837068864	0.05
RUNX1	14	25	1.3960237519619683	0.004299570042995701	chr3	169482079.0	169482193.0	sense	0.10103989601039896	0.9955071094255399	0.05
Bcl6	10	24	1.3218783744075735	0.0020997900209979003	chr3	169482079.0	169482193.0	antisense	0.05639436056394361	1.2487643232935204	0.05
Arid5a	13	27	1.2971128286824105	0.022897710228977103	chr3	169482079.0	169482193.0	sense	0.23121687831216878	0.6359804665737849	0.05
Tcf7	12	24	1.2842553330071622	0.0007999200079992001	chr3	169482079.0	169482193.0	antisense	0.03759624037596241	1.4248555823492015	0.05
CENPB	10	25	1.1910440352126808	0.0093990600939906	chr3	169482079.0	169482193.0	antisense	0.14725194147251944	0.8319389704611089	0.05
Gmeb1	5	22	1.1834965458953852	0.15798420157984203	chr3	169482079.0	169482193.0	sense	0.4013652688785176	0.39646021078973637	0.05
MYBL2	9	24	1.1606062652203024	0.0020997900209979003	chr3	169482079.0	169482193.0	antisense	0.05639436056394361	1.2487643232935204	0.05
LBX2	11	21	1.1092790487708244	0.0245975402459754	chr3	169482079.0	169482193.0	sense	0.23121687831216878	0.6359804665737849	0.05
MYBL1	11	23	1.1052687289794447	0.0011998800119988001	chr3	169482079.0	169482193.0	antisense	0.045115488451154886	1.3456743363015768	0.05
MNX1	14	24	1.0918634106401224	0.021497850214978503	chr3	169482079.0	169482193.0	antisense	0.23121687831216878	0.6359804665737849	0.05
CTCF	6	25	1.0090300601107027	0.026497350264973504	chr3	169482079.0	169482193.0	antisense	0.2372143738007152	0.6248589988102942	0.05
Gabpa	11	22	1.0068967636016375	0.0071992800719928	chr3	169482079.0	169482193.0	antisense	0.13534646535346465	0.8685530815819145	0.05
THAP1	16	25	0.9807296234544798	0.0872912708729127	chr3	169482079.0	169482193.0	antisense	0.3349134474307671	0.47506741433612676	0.05
Foxj3	8	25	0.9244268221807679	0.148985101489851	chr3	169482079.0	169482193.0	antisense	0.4013652688785176	0.39646021078973637	0.05
MIXL1	14	24	0.9057507048513518	0.1202879712028797	chr3	169482079.0	169482193.0	antisense	0.3963013534712103	0.4019744444357465	0.05
ZBTB7B	14	26	0.8930216178857397	0.024197580241975804	chr3	169482079.0	169482193.0	antisense	0.23121687831216878	0.6359804665737849	0.05
NFATC3	13	23	0.8822404161695008	0.08449155084491551	chr3	169482079.0	169482193.0	sense	0.33092524080925245	0.48027010643907764	0.05
ELK4	12	23	0.8821844705802551	0.0187981201879812	chr3	169482079.0	169482193.0	sense	0.23121687831216878	0.6359804665737849	0.05
ETV5	13	23	0.8736413082175233	0.035896410358964105	chr3	169482079.0	169482193.0	antisense	0.26595858932625255	0.5751859792604614	0.05
SOX9	16	25	0.8694549382439498	0.0435956404359564	chr3	169482079.0	169482193.0	sense	0.28262001386068286	0.548797086643553	0.05
Stat6	12	27	0.861791428569248	0.04559544045595441	chr3	169482079.0	169482193.0	antisense	0.2857314268573143	0.5440419900684103	0.05
ETV3	13	23	0.8497850738027997	0.020897910208979104	chr3	169482079.0	169482193.0	antisense	0.23121687831216878	0.6359804665737849	0.05
