motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ZBTB33	28	43	1.9879732534097931	9.999000099990002e-05	chr16	86543231.0	86543345.0	sense	0.051894810518948106	1.2848760694284047	0.1
Hes1	30	40	1.4314583783598431	0.05799420057994201	chr16	86543231.0	86543345.0	antisense	0.4610883739212286	0.33621582812869844	0.1
Gmeb1	26	43	1.4130054375780832	0.10378962103789621	chr16	86543231.0	86543345.0	antisense	0.4755184056062479	0.3228326684247194	0.1
Stat6	28	43	1.368203759999079	0.0051994800519948	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
Mitf	31	41	1.3586215419799692	0.0160983901609839	chr16	86543231.0	86543345.0	antisense	0.28810567219140154	0.5404481912955112	0.1
TFE3	30	40	1.3162147828591444	0.0081991800819918	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
THAP1	32	41	1.2730356850995246	0.020897910208979104	chr16	86543231.0	86543345.0	antisense	0.29688659041072635	0.5274094179046123	0.1
E2F4	31	42	1.2572536325745525	0.0010998900109989002	chr16	86543231.0	86543345.0	sense	0.24650034996500353	0.6081824598035382	0.1
Stat4	30	44	1.2524079593548598	0.006099390060993901	chr16	86543231.0	86543345.0	sense	0.24650034996500353	0.6081824598035382	0.1
Hes2	31	44	1.2436793876649148	0.07379262073792621	chr16	86543231.0	86543345.0	antisense	0.4610883739212286	0.33621582812869844	0.1
Tcfl5	30	40	1.2155658288587772	0.07529247075292471	chr16	86543231.0	86543345.0	sense	0.4610883739212286	0.33621582812869844	0.1
PPARG	26	46	1.202421752618699	0.008099190080991902	chr16	86543231.0	86543345.0	sense	0.24650034996500353	0.6081824598035382	0.1
STAT3	30	41	1.1676842672258076	0.0052994700529947	chr16	86543231.0	86543345.0	sense	0.24650034996500353	0.6081824598035382	0.1
GLIS2	29	43	1.1348330969216724	0.0037996200379962005	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
EVX1	36	46	1.123624607838402	0.048295170482951705	chr16	86543231.0	86543345.0	sense	0.44851943377090864	0.3482187347901928	0.1
E2F6	31	42	1.1183643842579285	0.0021997800219978004	chr16	86543231.0	86543345.0	sense	0.24650034996500353	0.6081824598035382	0.1
EVX2	36	46	1.1116366297767093	0.050294970502949704	chr16	86543231.0	86543345.0	sense	0.4500532705350154	0.3467360779354147	0.1
Gabpa	26	37	1.107656457313249	0.0053994600539946005	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
TFEB	30	40	1.0965952848738085	0.009499050094990502	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
Barhl1	36	46	1.0937715958518046	0.08739126087391261	chr16	86543231.0	86543345.0	antisense	0.46758829271712	0.3301363710602467	0.1
E2F8	29	41	1.0884944793689477	0.0015998400159984002	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
ELF5	28	39	1.0589330649861384	0.024397560243975602	chr16	86543231.0	86543345.0	antisense	0.29688659041072635	0.5274094179046123	0.1
TFEC	30	40	1.0494884328020337	0.0168983101689831	chr16	86543231.0	86543345.0	sense	0.2923407659234077	0.5341106195343936	0.1
Pax2	29	37	1.0253057669766565	0.06229377062293771	chr16	86543231.0	86543345.0	sense	0.4610883739212286	0.33621582812869844	0.1
Arid5a	31	45	1.0237404949451903	0.10068993100689931	chr16	86543231.0	86543345.0	antisense	0.4755184056062479	0.3228326684247194	0.1
Arntl	29	39	1.0096660725070743	0.0202979702029797	chr16	86543231.0	86543345.0	sense	0.29688659041072635	0.5274094179046123	0.1
MLXIPL	30	40	1.0027871121213567	0.0110988901109889	chr16	86543231.0	86543345.0	sense	0.2665506176655062	0.5742203067671914	0.1
ELF1	28	40	0.9946084184656881	0.007699230076992301	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
ELK4	33	44	0.9910852558502654	0.012698730126987301	chr16	86543231.0	86543345.0	antisense	0.28342550360348584	0.5475610730161662	0.1
ELF4	28	40	0.9885328462345397	0.007999200079992	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
ETV5	33	43	0.982798357875446	0.039696030396960305	chr16	86543231.0	86543345.0	sense	0.3887215052079698	0.4103614322660788	0.1
E2F7	28	42	0.9733917812408083	0.0034996500349965005	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
EMX1	36	46	0.9699292484680236	0.0964903509649035	chr16	86543231.0	86543345.0	antisense	0.4755184056062479	0.3228326684247194	0.1
TBP	32	47	0.9686321029092749	0.1454854514548545	chr16	86543231.0	86543345.0	antisense	0.48714160841980314	0.31234477427677027	0.1
BHLHE40	30	40	0.9635612000931528	0.0112988701129887	chr16	86543231.0	86543345.0	antisense	0.2665506176655062	0.5742203067671914	0.1
ETV1	33	43	0.9626306624775932	0.0301969803019698	chr16	86543231.0	86543345.0	sense	0.3275859914008599	0.484674678301687	0.1
ETV4	33	43	0.9606402783786979	0.030296970302969704	chr16	86543231.0	86543345.0	sense	0.3275859914008599	0.484674678301687	0.1
STAT1	30	41	0.958868945481989	0.0091990800919908	chr16	86543231.0	86543345.0	sense	0.24650034996500353	0.6081824598035382	0.1
LBX2	36	46	0.9562956577711439	0.13738626137386262	chr16	86543231.0	86543345.0	sense	0.48714160841980314	0.31234477427677027	0.1
MLX	30	40	0.9517341178863507	0.0071992800719928	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
NFIX	29	38	0.9434491774185352	0.0694930506949305	chr16	86543231.0	86543345.0	antisense	0.4610883739212286	0.33621582812869844	0.1
ELK3	33	43	0.9372850872093492	0.025997400259974	chr16	86543231.0	86543345.0	sense	0.30444955504449556	0.5164846563339174	0.1
Stat5a::Stat5b	31	42	0.9363814654310463	0.0201979802019798	chr16	86543231.0	86543345.0	antisense	0.29688659041072635	0.5274094179046123	0.1
Rhox11	26	43	0.9333218305124994	0.16328367163283672	chr16	86543231.0	86543345.0	antisense	0.5126957183799692	0.2901403094207621	0.1
Bcl6	30	44	0.9301801711489669	0.052894710528947106	chr16	86543231.0	86543345.0	sense	0.4575392460753925	0.33957164777686266	0.1
ELF3	27	40	0.9265676920978829	0.0136986301369863	chr16	86543231.0	86543345.0	antisense	0.28342550360348584	0.5475610730161662	0.1
FEV	33	43	0.9234908564469426	0.0263973602639736	chr16	86543231.0	86543345.0	sense	0.30444955504449556	0.5164846563339174	0.1
ZIC4	28	43	0.9215404648060275	0.063993600639936	chr16	86543231.0	86543345.0	antisense	0.4610883739212286	0.33621582812869844	0.1
ERG	33	43	0.9188300329425219	0.023797620237976203	chr16	86543231.0	86543345.0	sense	0.29688659041072635	0.5274094179046123	0.1
Srebf1(var.2)	30	40	0.9180314189296871	0.008799120087991202	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
RARA::RXRA	28	45	0.9145840271505078	0.06229377062293771	chr16	86543231.0	86543345.0	sense	0.4610883739212286	0.33621582812869844	0.1
SREBF2(var.2)	30	40	0.9091355071119374	0.007099290070992901	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
ETV3	33	43	0.9070948375075202	0.034396560343965606	chr16	86543231.0	86543345.0	sense	0.357036296370363	0.4472876311928935	0.1
EHF	28	40	0.9011766501096637	0.021097890210978902	chr16	86543231.0	86543345.0	antisense	0.29688659041072635	0.5274094179046123	0.1
HOXA2	36	46	0.8977975881840097	0.12338766123387661	chr16	86543231.0	86543345.0	antisense	0.4755184056062479	0.3228326684247194	0.1
NRL	32	43	0.8975998122188208	0.17448255174482552	chr16	86543231.0	86543345.0	antisense	0.5257685660005428	0.27920538251378146	0.1
ETS1	33	43	0.8969428513722761	0.0244975502449755	chr16	86543231.0	86543345.0	sense	0.29688659041072635	0.5274094179046123	0.1
Dlx1	36	46	0.8938655143814331	0.16058394160583941	chr16	86543231.0	86543345.0	antisense	0.511625524564108	0.29104779706901807	0.1
NFATC1	33	43	0.8815448499645336	0.11088891110888911	chr16	86543231.0	86543345.0	antisense	0.4755184056062479	0.3228326684247194	0.1
Hoxd3	31	47	0.8782535439780077	0.18708129187081293	chr16	86543231.0	86543345.0	sense	0.5394177248941773	0.26807478703170096	0.1
BHLHE41	30	40	0.8757221101082956	0.0086991300869913	chr16	86543231.0	86543345.0	antisense	0.24650034996500353	0.6081824598035382	0.1
EGR4	27	43	0.8730538186434984	0.10468953104689531	chr16	86543231.0	86543345.0	sense	0.4755184056062479	0.3228326684247194	0.1
FOSL1	25	36	0.8682447729396925	0.019598040195980403	chr16	86543231.0	86543345.0	sense	0.29688659041072635	0.5274094179046123	0.1
HOXB2	36	46	0.8612737310569688	0.17128287171282872	chr16	86543231.0	86543345.0	sense	0.5229165318762241	0.2815676278411683	0.1
TFAP2A(var.2)	27	39	0.8600481616834884	0.08869113088691132	chr16	86543231.0	86543345.0	antisense	0.46970098908476504	0.32817852528917324	0.1
E2F1	29	41	0.8591277984111476	0.06259374062593741	chr16	86543231.0	86543345.0	antisense	0.4610883739212286	0.33621582812869844	0.1
