motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
SP3	20	31	7.511998291439649	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
Hes1	20	30	7.386390877212068	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
KLF16	20	31	6.275079926093945	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
Tcfl5	20	30	6.147263820517114	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
SP4	17	34	5.0204726666995585	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
Zfx	17	31	5.005245485521143	9.999000099990002e-05	chr3	70048804.0	70048918.0	antisense	0.0017089200170892003	2.767278263171408	0.05
KLF5	20	30	4.585130412299807	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
EGR1	20	34	4.583369241087782	0.0008999100089991	chr3	70048804.0	70048918.0	sense	0.008904372720622675	2.0503966695266866	0.05
SP1	20	31	4.382595898101049	0.00019998000199980003	chr3	70048804.0	70048918.0	sense	0.0025064160250641604	2.6009468414048826	0.05
KLF13	18	36	4.205349339683802	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
CREB3	18	32	4.174893153145146	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
Arntl	19	29	3.7473315786072035	0.00019998000199980003	chr3	70048804.0	70048918.0	sense	0.0025064160250641604	2.6009468414048826	0.05
HEY1	20	30	3.733323508942122	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
MNT	20	30	3.7254248604527267	0.00019998000199980003	chr3	70048804.0	70048918.0	sense	0.0025064160250641604	2.6009468414048826	0.05
XBP1	17	31	3.5734160447423715	9.999000099990002e-05	chr3	70048804.0	70048918.0	sense	0.0017089200170892003	2.767278263171408	0.05
Npas2	20	30	3.3983637049842397	0.00019998000199980003	chr3	70048804.0	70048918.0	antisense	0.0025064160250641604	2.6009468414048826	0.05
Gmeb1	16	33	3.381395462671628	0.0357964203579642	chr3	70048804.0	70048918.0	antisense	0.1687131286871313	0.772851120762826	0.05
HINFP	21	33	3.196016459526955	0.0023997600239976003	chr3	70048804.0	70048918.0	sense	0.021483565929121373	1.6678936310354961	0.05
USF1	20	31	3.1844646059701667	0.00039996000399960006	chr3	70048804.0	70048918.0	sense	0.0044230871030544	2.3542745080634946	0.05
THAP1	23	32	3.17468689720833	0.019598040195980403	chr3	70048804.0	70048918.0	sense	0.10913353109133532	0.962041792669416	0.05
MAX	20	30	3.1287329550259377	0.0004999500049995	chr3	70048804.0	70048918.0	sense	0.005221700052217001	2.28218807878047	0.05
TFE3	20	30	2.94996613673036	0.0032996700329967	chr3	70048804.0	70048918.0	sense	0.02697121592188607	1.5690994741528883	0.05
Creb3l2	20	29	2.8545405855652484	0.00029997000299970003	chr3	70048804.0	70048918.0	sense	0.0035246475352464753	2.452884305949445	0.05
ZBTB7A	16	28	2.828575262963962	0.006099390060993901	chr3	70048804.0	70048918.0	sense	0.04095304755238762	1.387713774344635	0.05
