motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
RFX4	43	59	1.858338036350216	0.0122987701229877	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
RFX3	43	59	1.7043694880639138	0.015598440155984402	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
TBP	44	59	1.5854858619865575	0.10988901109889011	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
RFX2	43	59	1.4650331874067564	0.0170982901709829	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
RFX5	43	59	1.4434419432839394	0.018698130186981302	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
PAX1	42	59	1.1765974491911801	0.0678932106789321	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
Rfx1	44	58	1.1717080276854939	0.11428857114288571	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
NHLH1	49	59	1.1604470604929302	0.0734926507349265	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
YY1	46	58	1.1085921231859512	0.1075892410758924	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
TFAP2A	48	59	1.1021802902633222	0.16378362163783622	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
ZNF263	37	58	1.05716673339096	0.1573842615738426	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
INSM1	47	59	1.05457028610981	0.097990200979902	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
PAX9	42	59	1.0494118390294762	0.0756924307569243	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
Hes1	49	59	1.0464790084466078	0.5964403559644036	chr11	65266377.0	65266491.0	antisense	0.9757842929157376	0.010646176954357258	0.15
Mafb	47	59	1.0414444466980963	0.24987501249875013	chr11	65266377.0	65266491.0	sense	0.9757842929157376	0.010646176954357258	0.15
