motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	7	22	1.1402665793505355	0.0015998400159984002	chr9	21994352.0	21994466.0	antisense	0.09869013098690131	1.005726274607226	0.1
YY1	8	20	0.9073716937709645	0.0006999300069993001	chr9	21994352.0	21994466.0	antisense	0.09869013098690131	1.005726274607226	0.1
Hes1	8	18	0.7910749271293814	0.0648935106489351	chr9	21994352.0	21994466.0	sense	0.43571357149999285	0.3607989125550328	0.1
Gfi1	9	19	0.7105257655261984	0.007899210078992101	chr9	21994352.0	21994466.0	antisense	0.22557744225577442	0.646704331965558	0.1
SP1	6	17	0.6424697525375741	0.0011998800119988001	chr9	21994352.0	21994466.0	sense	0.09869013098690131	1.005726274607226	0.1
HIC2	6	15	0.6412557024350216	0.0165983401659834	chr9	21994352.0	21994466.0	sense	0.2573896456508195	0.5894089280111257	0.1
THAP1	6	15	0.6232219785658165	0.05959404059594041	chr9	21994352.0	21994466.0	sense	0.43571357149999285	0.3607989125550328	0.1
HNF4G	10	25	0.6140306983511158	0.031796820317968204	chr9	21994352.0	21994466.0	antisense	0.33272672732726727	0.47791231165137615	0.1
NFIX	15	24	0.5818475263560715	0.04279572042795721	chr9	21994352.0	21994466.0	antisense	0.3831235924026645	0.41666110373393006	0.1
KLF5	6	16	0.5801044646295307	0.0020997900209979003	chr9	21994352.0	21994466.0	sense	0.09869013098690131	1.005726274607226	0.1
E2F1	15	27	0.5419663559675182	0.0336966303369663	chr9	21994352.0	21994466.0	sense	0.33272672732726727	0.47791231165137615	0.1
PLAG1	10	24	0.5411182619420225	0.005699430056994301	chr9	21994352.0	21994466.0	antisense	0.2142985701429857	0.6689807266767103	0.1
STAT3	15	26	0.5299766140574439	0.0212978702129787	chr9	21994352.0	21994466.0	antisense	0.2807185948071859	0.5517288187347013	0.1
NFIA	14	24	0.5231723501793935	0.017798220177982202	chr9	21994352.0	21994466.0	antisense	0.2573896456508195	0.5894089280111257	0.1
Hnf4a	8	24	0.5214837629615513	0.011998800119988001	chr9	21994352.0	21994466.0	antisense	0.22557744225577442	0.646704331965558	0.1
SP3	6	17	0.5137197628390111	0.050794920507949204	chr9	21994352.0	21994466.0	sense	0.42745290688322474	0.36911172516350144	0.1
Nr2f6	10	24	0.5084665581233685	0.022397760223977603	chr9	21994352.0	21994466.0	antisense	0.2807185948071859	0.5517288187347013	0.1
CTCF	6	25	0.505714676454872	0.057394260573942604	chr9	21994352.0	21994466.0	sense	0.43571357149999285	0.3607989125550328	0.1
NR2C2	10	25	0.5031749845990989	0.035396460353964605	chr9	21994352.0	21994466.0	antisense	0.33272672732726727	0.47791231165137615	0.1
SOX9	9	18	0.5009468024521953	0.06109389061093891	chr9	21994352.0	21994466.0	sense	0.43571357149999285	0.3607989125550328	0.1
Sox6	9	19	0.49860118377197693	0.011898810118988102	chr9	21994352.0	21994466.0	sense	0.22557744225577442	0.646704331965558	0.1
TBX2	15	26	0.4939964892973107	0.09399060093990601	chr9	21994352.0	21994466.0	antisense	0.5048637993343523	0.2968257687637597	0.1
LBX2	11	21	0.49301573816797534	0.18518148185181482	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
TCF7L2	11	25	0.48700385403893626	0.06879312068793121	chr9	21994352.0	21994466.0	antisense	0.4417558244175582	0.3548177157414466	0.1
HINFP	6	18	0.48449769201280707	0.0522947705229477	chr9	21994352.0	21994466.0	antisense	0.42745290688322474	0.36911172516350144	0.1
Rxra	10	24	0.4823291806508213	0.009799020097990201	chr9	21994352.0	21994466.0	antisense	0.22557744225577442	0.646704331965558	0.1
RXRB	10	24	0.4719296622616814	0.009999000099990002	chr9	21994352.0	21994466.0	antisense	0.22557744225577442	0.646704331965558	0.1
NFAT5	14	24	0.4602293115498458	0.07799220077992201	chr9	21994352.0	21994466.0	sense	0.45820417958204185	0.33894095364260834	0.1
NFATC3	14	24	0.44030314143341115	0.14588541145885411	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
Gmeb1	6	23	0.4342502209210196	0.6488351164883511	chr9	21994352.0	21994466.0	antisense	0.8078212046345034	0.09268475114759839	0.1
ZNF740	7	17	0.4331023398250573	0.026497350264973504	chr9	21994352.0	21994466.0	sense	0.3113438656134387	0.5067596867322997	0.1
E2F8	15	27	0.4261772371767543	0.015998400159984	chr9	21994352.0	21994466.0	antisense	0.2573896456508195	0.5894089280111257	0.1
HLTF	10	20	0.4239517736568366	0.2044795520447955	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
CENPB	9	24	0.4227472036744745	0.15908409159084091	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
ELK4	8	19	0.42119685668880175	0.0704929507049295	chr9	21994352.0	21994466.0	antisense	0.4417558244175582	0.3548177157414466	0.1
MZF1(var.2)	8	18	0.4210191037668841	0.11868813118688132	chr9	21994352.0	21994466.0	antisense	0.5488134113417926	0.2605752843265077	0.1
ZBTB7B	6	18	0.4192588985728456	0.0826917308269173	chr9	21994352.0	21994466.0	sense	0.4710922847109228	0.32689400833852367	0.1
Foxj3	8	25	0.40277420305135936	0.22317768223177684	chr9	21994352.0	21994466.0	antisense	0.5637299906372998	0.24892885994330183	0.1
Arid5a	10	24	0.3978307784146678	0.34926507349265073	chr9	21994352.0	21994466.0	sense	0.6194512624209277	0.20799285764030628	0.1
NR2F1	6	19	0.3977724222902433	0.14228577142285773	chr9	21994352.0	21994466.0	antisense	0.5637299906372998	0.24892885994330183	0.1
NFYA	6	24	0.395039441061723	0.1805819418058194	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
Stat6	13	28	0.3893765614377806	0.18198180181981802	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
EGR1	6	20	0.38892747625521945	0.11258874112588742	chr9	21994352.0	21994466.0	sense	0.5427354700427394	0.26541179452435454	0.1
TEAD1	7	17	0.38549735663937235	0.18098190180981902	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
Tcf7	13	25	0.38398963250743684	0.06269373062693731	chr9	21994352.0	21994466.0	antisense	0.43571357149999285	0.3607989125550328	0.1
Tcf12	6	17	0.3815056167055842	0.09819018098190181	chr9	21994352.0	21994466.0	antisense	0.5127709451277095	0.29007659099352034	0.1
RUNX1	7	18	0.37757078712902115	0.2101789821017898	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
IRF2	8	26	0.3750969174049666	0.07629237076292371	chr9	21994352.0	21994466.0	antisense	0.45820417958204185	0.33894095364260834	0.1
REL	10	20	0.37101541106033764	0.15098490150984903	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
E2F7	14	28	0.3698141353715923	0.03189681031896811	chr9	21994352.0	21994466.0	sense	0.33272672732726727	0.47791231165137615	0.1
NRL	7	18	0.3668909594324301	0.4527547245275472	chr9	21994352.0	21994466.0	antisense	0.7093157350931573	0.14916040588059268	0.1
RORA(var.2)	6	20	0.36157572419788253	0.1060893910608939	chr9	21994352.0	21994466.0	antisense	0.5390487978229204	0.2683719181788372	0.1
Tcfl5	8	18	0.35347520103236857	0.5745425457454254	chr9	21994352.0	21994466.0	sense	0.7660567276605672	0.1157390690126341	0.1
ZNF263	6	27	0.3522623077045081	0.24647535246475352	chr9	21994352.0	21994466.0	antisense	0.5637299906372998	0.24892885994330183	0.1
FOXA1	9	24	0.3514997354284045	0.2528747125287471	chr9	21994352.0	21994466.0	sense	0.5637299906372998	0.24892885994330183	0.1
FOXP1	10	25	0.34840158102645713	0.21747825217478253	chr9	21994352.0	21994466.0	antisense	0.5637299906372998	0.24892885994330183	0.1
LIN54	14	23	0.3472486459047128	0.1090890910908909	chr9	21994352.0	21994466.0	sense	0.5397039243444077	0.26784442404165104	0.1
Creb3l2	8	17	0.34412831521030385	0.0872912708729127	chr9	21994352.0	21994466.0	sense	0.4826693801208114	0.31635025134986827	0.1
MNX1	14	24	0.3423079204619016	0.3043695630436956	chr9	21994352.0	21994466.0	antisense	0.5867962223385504	0.23151269070946895	0.1
ETV5	8	18	0.3415641154865309	0.2903709629037096	chr9	21994352.0	21994466.0	sense	0.5795757266378625	0.23688981162043196	0.1
TFCP2	6	16	0.3413872826865442	0.17128287171282872	chr9	21994352.0	21994466.0	antisense	0.5637299906372998	0.24892885994330183	0.1
TEAD4	9	19	0.33980796346447717	0.26987301269873015	chr9	21994352.0	21994466.0	antisense	0.5668677576686776	0.24651824412878942	0.1
Bcl6	12	26	0.3387733324969963	0.2863713628637136	chr9	21994352.0	21994466.0	antisense	0.5791033799845822	0.23724390026370917	0.1
SRY	15	24	0.33832012239307324	0.23417658234176583	chr9	21994352.0	21994466.0	antisense	0.5637299906372998	0.24892885994330183	0.1
Foxk1	9	26	0.33391640912593673	0.2765723427657234	chr9	21994352.0	21994466.0	antisense	0.5713802246149011	0.24307479456098466	0.1
