motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
THAP1	65	74	0.8496460686872576	0.0052994700529947	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
SP3	61	72	0.6884454271237508	0.018698130186981302	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
EGR1	62	76	0.6448357655112807	0.0230976902309769	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
CTCF	63	82	0.6363118077627514	0.010698930106989302	chr1	150488170.0	150488284.0	antisense	0.2894910508949105	0.5383648571767198	0.15
HINFP	62	74	0.6227096682008695	0.006399360063993601	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
MZF1(var.2)	63	73	0.5923650970964934	0.021097890210978902	chr1	150488170.0	150488284.0	antisense	0.2894910508949105	0.5383648571767198	0.15
Bcl6	65	79	0.5788613286018894	0.014098590140985901	chr1	150488170.0	150488284.0	antisense	0.2894910508949105	0.5383648571767198	0.15
HIC2	64	73	0.5709715031541971	0.0193980601939806	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
ZNF740	65	75	0.5705729960771175	0.017298270172982702	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
NR2F1	61	74	0.5629205921681804	0.0103989601039896	chr1	150488170.0	150488284.0	antisense	0.2894910508949105	0.5383648571767198	0.15
Hes1	67	77	0.5595712073179473	0.18198180181981802	chr1	150488170.0	150488284.0	sense	0.5183724051837241	0.28535812556997664	0.15
Gmeb1	61	78	0.5555926672636572	0.2833716628337166	chr1	150488170.0	150488284.0	antisense	0.623402877103594	0.20523119771633103	0.15
ZBTB7A	63	75	0.5542944911518377	0.0221977802219778	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
KLF16	61	72	0.5482522874695459	0.0273972602739726	chr1	150488170.0	150488284.0	sense	0.3219178082191781	0.4922549978487196	0.15
Zfx	64	78	0.5319311875180215	0.039896010398960104	chr1	150488170.0	150488284.0	antisense	0.34092954340929543	0.4673353631486408	0.15
ZBTB7B	64	76	0.5263674111541508	0.0193980601939806	chr1	150488170.0	150488284.0	sense	0.2894910508949105	0.5383648571767198	0.15
Tcfl5	67	77	0.5042380824478633	0.17628237176282371	chr1	150488170.0	150488284.0	sense	0.5101520617169052	0.2923003538602375	0.15
SP1	62	73	0.49882208112545307	0.039396060393960604	chr1	150488170.0	150488284.0	sense	0.34092954340929543	0.4673353631486408	0.15
