motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TBP	33	48	2.393812127756683	0.0006999300069993001	chr1	173837092.0	173837206.0	antisense	0.18163183681631836	0.7408080250781293	0.15
MIXL1	38	48	1.8945598778741048	0.0040995900409959	chr1	173837092.0	173837206.0	sense	0.20211663044221892	0.6943979506502577	0.15
Arid5a	39	53	1.7445640408134575	0.0093990600939906	chr1	173837092.0	173837206.0	sense	0.20325467453254675	0.6919594575403122	0.15
Foxo1	41	52	1.6329382761603601	0.0006999300069993001	chr1	173837092.0	173837206.0	antisense	0.18163183681631836	0.7408080250781293	0.15
ALX3	38	48	1.6170599733970803	0.013498650134986502	chr1	173837092.0	173837206.0	sense	0.2415792903468274	0.6169402988323548	0.15
HOXA10	38	49	1.5817066224447842	0.007899210078992101	chr1	173837092.0	173837206.0	sense	0.20325467453254675	0.6919594575403122	0.15
HLTF	36	46	1.579678696557277	0.005699430056994301	chr1	173837092.0	173837206.0	sense	0.20211663044221892	0.6943979506502577	0.15
Hes2	41	54	1.5186011909779031	0.045495450454954504	chr1	173837092.0	173837206.0	sense	0.3113688631136886	0.5067248190447612	0.15
GSX2	38	48	1.4842471848728571	0.049795020497950204	chr1	173837092.0	173837206.0	sense	0.3113688631136886	0.5067248190447612	0.15
FOXB1	40	51	1.4572427078774874	0.0024997500249975004	chr1	173837092.0	173837206.0	antisense	0.20211663044221892	0.6943979506502577	0.15
Foxq1	41	52	1.427989745693596	0.0013998600139986002	chr1	173837092.0	173837206.0	antisense	0.20211663044221892	0.6943979506502577	0.15
POU3F1	40	52	1.420384264857637	0.0072992700729927005	chr1	173837092.0	173837206.0	antisense	0.20211663044221892	0.6943979506502577	0.15
GSX1	38	48	1.4189531140959886	0.059994000599940006	chr1	173837092.0	173837206.0	sense	0.31857647568576475	0.49678629651058137	0.15
Pou2f3	38	54	1.4186155806227176	0.0108989101089891	chr1	173837092.0	173837206.0	antisense	0.2131394003456797	0.6713362604170123	0.15
Pparg::Rxra	33	48	1.4087774594630664	0.0301969803019698	chr1	173837092.0	173837206.0	antisense	0.3083749317375955	0.5109209336383693	0.15
HOXA13	39	49	1.3868389053583896	0.0036996300369963003	chr1	173837092.0	173837206.0	sense	0.20211663044221892	0.6943979506502577	0.15
