motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
LEF1	59	74	1.6340574064990623	0.00019998000199980003	chr20	47895099.0	47895213.0	antisense	0.035396460353964605	1.451040165251075	0.05
Gmeb1	59	76	1.3395172504812605	0.15848415158484153	chr20	47895099.0	47895213.0	sense	0.4668961675261046	0.3307796909205455	0.05
Tcf7	62	74	1.2898857867134863	0.001999800019998	chr20	47895099.0	47895213.0	antisense	0.17698230176982302	0.752070160915056	0.05
Hes1	62	72	1.2234801821051704	0.14628537146285372	chr20	47895099.0	47895213.0	antisense	0.45518606034133435	0.34181104628243825	0.05
NFYB	60	75	1.1772479253535704	0.014198580141985802	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
FOXP1	66	81	1.1610526688049883	0.028397160283971604	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
CENPB	64	79	1.1557279956041115	0.026197380261973803	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
IRF1	59	80	1.1194803284822892	0.028897110288971104	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
Foxj3	64	81	1.088817884254682	0.08149185081491851	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
Foxk1	64	81	1.0884334172517602	0.0524947505249475	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
NFATC1	69	79	0.953960722249517	0.0974902509749025	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
GATA2	65	79	0.9534475994179433	0.05879412058794121	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
ZNF263	60	81	0.9490492931009288	0.15908409159084091	chr20	47895099.0	47895213.0	antisense	0.4668961675261046	0.3307796909205455	0.05
Nr2f6	66	80	0.9477772365104019	0.014998500149985002	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
NFATC3	69	79	0.9167257791966125	0.09009099090090991	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
HOXB3	67	77	0.9157060371257575	0.14288571142885712	chr20	47895099.0	47895213.0	sense	0.45518606034133435	0.34181104628243825	0.05
TBP	63	78	0.9037239250104885	0.21797820217978203	chr20	47895099.0	47895213.0	antisense	0.4942599490050995	0.3060445799717449	0.05
REL	66	76	0.901836167847827	0.036996300369963	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
Hmx3	63	80	0.8869854465442351	0.1715828417158284	chr20	47895099.0	47895213.0	antisense	0.4670219545209658	0.3306627029388282	0.05
TEAD4	64	74	0.8760096966602069	0.060993900609939006	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
E2F4	70	81	0.8732780402357053	0.0397960203979602	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
TEAD1	64	74	0.8716431636602604	0.0678932106789321	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
IRF7	65	79	0.8558821749430998	0.03519648035196481	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
Gata1	68	79	0.8499244325354223	0.0375962403759624	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
RUNX1	68	79	0.8498010662617024	0.1156884311568843	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
HSF4	62	75	0.8385356664255048	0.07239276072392761	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
MEF2C	64	79	0.8340157202637525	0.13458654134586542	chr20	47895099.0	47895213.0	antisense	0.4418002644180026	0.3547740285387236	0.05
NR2C2	66	81	0.8323597729607709	0.06269373062693731	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
Sox6	62	72	0.8308879899676472	0.0244975502449755	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
Stat6	66	81	0.8297813098619111	0.09579042095790422	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
E2F6	70	81	0.826852232074835	0.049095090490950906	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
Hoxc9	67	80	0.8117619061737339	0.0800919908009199	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
MAFF	62	80	0.7927170699880026	0.2518748125187481	chr20	47895099.0	47895213.0	antisense	0.4942599490050995	0.3060445799717449	0.05
Tcfl5	62	72	0.7883744263003944	0.40285971402859716	chr20	47895099.0	47895213.0	sense	0.5570794483051695	0.2540828631745466	0.05
ETV4	68	78	0.7872671704081723	0.07779222077792221	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
NFAT5	69	79	0.7817045575345043	0.11378862113788621	chr20	47895099.0	47895213.0	sense	0.42660108989101087	0.3699780393388937	0.05
HLTF	64	74	0.7761933793166984	0.20857914208579142	chr20	47895099.0	47895213.0	sense	0.4942599490050995	0.3060445799717449	0.05
ETV1	68	78	0.7751407891573591	0.0862913708629137	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
IRF2	60	78	0.7723784102885873	0.055894410558944105	chr20	47895099.0	47895213.0	antisense	0.42660108989101087	0.3699780393388937	0.05
POU4F1	62	76	0.7627618241900587	0.1944805519448055	chr20	47895099.0	47895213.0	antisense	0.4917579670604368	0.30824859526758636	0.05
