motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
RFX3	43	59	1.7043694880639138	0.015598440155984402	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
TBP	44	59	1.5854858619865575	0.10988901109889011	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
RFX2	43	59	1.4650331874067564	0.0170982901709829	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
RFX5	43	59	1.4434419432839394	0.018698130186981302	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
Rfx1	44	58	1.1717080276854939	0.11428857114288571	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
YY1	46	58	1.1085921231859512	0.1075892410758924	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
ZNF263	37	58	1.05716673339096	0.1573842615738426	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
Hes1	49	59	1.0464790084466078	0.5964403559644036	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
PLAG1	44	58	0.9080707388884676	0.0964903509649035	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
EGR1	45	59	0.8757050294426765	0.24127587241275872	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
Gfi1	49	59	0.8370346699944545	0.40185981401859816	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
HINFP	47	59	0.8190940637950689	0.32556744325567444	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
Gmeb1	38	55	0.8020545738817254	0.8663133686631337	chr11	65266377.0	65266491.0	antisense	0.9628584102915675	0.01643757180595458	0.15
ZNF410	41	58	0.7978706944648023	0.13288671132886712	chr11	65266377.0	65266491.0	sense	0.9628584102915675	0.01643757180595458	0.15
