motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
EGR1	27	41	1.2319595067396043	0.023697630236976304	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
RREB1	27	47	1.1168002109511714	0.004899510048995101	chr3	70048804.0	70048918.0	sense	0.8672132786721328	0.06187408088654236	0.15
PLAG1	27	41	0.9908506092983553	0.014998500149985002	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
TBP	33	48	0.9866162441612406	0.09919008099190081	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
ZNF740	27	37	0.9851871502719997	0.0337966203379662	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
ALX3	38	48	0.8469897716639763	0.16498350164983502	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
NFYB	32	47	0.8379356540812927	0.056194380561943806	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Zfx	29	43	0.7464510248104604	0.11918808119188082	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
CENPB	28	43	0.7017472848378059	0.1548845115488451	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
SP1	27	38	0.6583895897568743	0.14458554144585542	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Gmeb1	29	46	0.6560496511892402	0.7293270672932707	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
HLTF	36	46	0.6027688782274514	0.28847115288471153	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
TFAP2A(var.2)	27	39	0.5873782502187769	0.27307269273072693	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
ZNF263	28	49	0.5844761753784858	0.3314668533146685	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
ELK4	27	38	0.5844216037087759	0.1386861313868613	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Arid5a	35	49	0.5837337673905801	0.43185681431856815	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
TFAP2A(var.3)	27	40	0.5688283940910879	0.21187881211878812	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
ZEB1	28	37	0.550765332662844	0.09529047095290472	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
KLF13	29	47	0.547979084573248	0.12988701129887012	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
HINFP	27	39	0.5468602840668364	0.23657634236576341	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
SP3	27	38	0.5382850074204389	0.2546745325467453	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
MAFF	27	45	0.5362476134159629	0.45145485451454853	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Dmbx1	30	47	0.530165993806758	0.45595440455954406	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
ZBTB33	28	43	0.5296145477698976	0.293970602939706	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
HOXB3	38	48	0.5290982155111968	0.44865513448655137	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Hes1	27	37	0.5205933704500769	0.7390260973902609	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
HOXB2	38	48	0.5107949406105642	0.4754524547545245	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Gata1	38	49	0.5092658386067183	0.20707929207079293	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
Mitf	27	37	0.49912378906700033	0.5311468853114688	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
CTCF	27	46	0.466636510405638	0.3203679632036796	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
MZF1(var.2)	36	46	0.45886697292567746	0.36076392360763926	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
Stat6	34	49	0.4577395358111635	0.386961303869613	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Tcf12	34	45	0.4541951079066638	0.22677732226777322	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
FOXH1	38	49	0.45145500273831624	0.26347365263473654	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
THAP1	36	45	0.444615558448334	0.5576442355764424	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
MTF1	35	49	0.4432787959184266	0.1516848315168483	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
TP53	27	45	0.43490318101788733	0.26207379262073793	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Hmx3	27	44	0.4325732235191305	0.5276472352764724	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
SP4	29	46	0.43250245127991266	0.23067693230676933	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Gabpa	29	40	0.429852556723957	0.3243675632436756	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
ETV5	28	38	0.42851744662712776	0.47585241475852413	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
NFIX	35	44	0.4271123282092966	0.5503449655034497	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
REL	36	46	0.4202362836248316	0.3745625437456254	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
E2F3	29	47	0.4185842943030765	0.17628237176282371	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
Foxk1	28	45	0.41334224066838166	0.40855914408559146	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
NR2C2	29	44	0.41234825909680833	0.35966403359664034	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
TFAP2A	27	38	0.405407565195747	0.45425457454254575	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
KLF16	27	38	0.40147128503395574	0.2693730626937306	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Arid3b	38	49	0.399774356205947	0.47165283471652836	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
USF2	36	47	0.3939494491812707	0.34806519348065196	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
TEAD1	27	37	0.3917062344085644	0.5393460653934606	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
POU2F1	33	45	0.39109120714562234	0.5169483051694831	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
NFATC1	34	44	0.3863735307571933	0.575942405759424	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
Tcfl5	37	47	0.38519358341052334	0.8134186581341866	chr3	70048804.0	70048918.0	sense	0.9192545031211165	0.03656423399011757	0.15
STAT1	36	47	0.3840876781814845	0.29727027297270275	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
MAFK	30	45	0.3819454692126399	0.639036096390361	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
RUNX1	38	49	0.3742758909194067	0.5243475652434757	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
ZBTB7A	28	40	0.37290213900951796	0.4894510548945106	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
LIN54	40	49	0.36794563642484324	0.3468653134686531	chr3	70048804.0	70048918.0	sense	0.908667522509494	0.04159499417371247	0.15
SPI1	31	45	0.36392412255067436	0.2735726427357264	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
ZBTB18	36	49	0.3612515439264489	0.41905809419058093	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
POU4F1	34	48	0.3604555123667766	0.5548445155484452	chr3	70048804.0	70048918.0	antisense	0.908667522509494	0.04159499417371247	0.15
