motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Hes1	53	63	2.276272288974542	0.0044995500449955	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
KLF5	53	63	2.262814593597606	9.999000099990002e-05	chr11	65187510.0	65187624.0	sense	0.009399060093990603	2.026915573677164	0.05
SP3	53	64	2.1814431121549953	0.000999900009999	chr11	65187510.0	65187624.0	sense	0.0375962403759624	1.4248555823492017	0.05
SP1	53	64	2.169353852457765	9.999000099990002e-05	chr11	65187510.0	65187624.0	sense	0.009399060093990603	2.026915573677164	0.05
THAP1	56	65	2.064362841276791	0.0023997600239976003	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
E2F4	51	62	1.832690704685924	0.0006999300069993001	chr11	65187510.0	65187624.0	antisense	0.0375962403759624	1.4248555823492017	0.05
EGR1	53	67	1.823884242445377	0.0032996700329967	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
E2F6	51	62	1.7786323849041668	0.0007999200079992001	chr11	65187510.0	65187624.0	antisense	0.0375962403759624	1.4248555823492017	0.05
KLF16	53	64	1.6679510097115926	0.0026997300269973002	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
Zfx	50	64	1.6539174622250983	0.0037996200379962005	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
Tcfl5	53	63	1.6403189351761782	0.027997200279972004	chr11	65187510.0	65187624.0	sense	0.23924880239248802	0.6211502274931698	0.05
SP4	50	67	1.5948678843637933	0.0021997800219978004	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
TBP	54	69	1.4838767094660745	0.03189681031896811	chr11	65187510.0	65187624.0	antisense	0.24287171282871714	0.6146230643541175	0.05
ZNF740	55	65	1.4650586185058818	0.0071992800719928	chr11	65187510.0	65187624.0	sense	0.08576642335766423	1.0666827005486517	0.05
NFIX	55	64	1.4580824571128	0.004299570042995701	chr11	65187510.0	65187624.0	sense	0.06042252917565386	1.2188010999160772	0.05
