motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
JUNB	17	28	7.422641384885031	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.002212278772122788	2.6551601479069995	0.05
MAFF	9	27	7.013038909559547	0.00039996000399960006	chr5	90610184.0	90610298.0	antisense	0.0078658800786588	2.1042526790264184	0.05
JUN(var.2)	12	26	6.683834806149767	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.002212278772122788	2.6551601479069995	0.05
JUND	16	27	6.42992636069463	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.002212278772122788	2.6551601479069995	0.05
MAFK	11	26	6.167656023495018	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.002212278772122788	2.6551601479069995	0.05
FOSL1	16	27	5.990519302425985	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.002212278772122788	2.6551601479069995	0.05
NFE2	16	27	5.419593514325585	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.002212278772122788	2.6551601479069995	0.05
FOS	16	27	5.34996199472624	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.002212278772122788	2.6551601479069995	0.05
JDP2	17	26	4.890411672779751	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.002212278772122788	2.6551601479069995	0.05
XBP1	13	27	4.42066693607857	0.0012998700129987	chr5	90610184.0	90610298.0	sense	0.0209160902091609	1.6795194937664444	0.05
ATF4	15	28	3.992835502883226	0.0010998900109989002	chr5	90610184.0	90610298.0	antisense	0.019468053194680535	1.7106774757568308	0.05
Nfe2l2	13	28	3.7596753613001606	0.005099490050994901	chr5	90610184.0	90610298.0	sense	0.07521747825217479	1.1236812308647446	0.05
HMBOX1	17	27	3.69655476944335	0.006299370062993701	chr5	90610184.0	90610298.0	sense	0.08576834624229884	1.0666729637683112	0.05
Gmeb1	12	29	3.688722573983214	0.14108589141085892	chr5	90610184.0	90610298.0	antisense	0.531323463398341	0.27464100509642564	0.05
HOXB3	16	26	3.641730910225322	0.020597940205979402	chr5	90610184.0	90610298.0	antisense	0.2064793520647935	0.6851233712844429	0.05
RUNX1	15	26	2.843439779940356	0.025397460253974602	chr5	90610184.0	90610298.0	sense	0.23659739289228973	0.6259900452479469	0.05
HOXB2	17	27	2.832065657221784	0.08499150084991501	chr5	90610184.0	90610298.0	sense	0.42067331728365626	0.3760550337970582	0.05
ZNF263	7	28	2.7366827521801316	0.012098790120987902	chr5	90610184.0	90610298.0	antisense	0.14276572342765725	0.8453760496542871	0.05
CREB3L1	12	26	2.6209576695126167	0.020997900209979003	chr5	90610184.0	90610298.0	antisense	0.2064793520647935	0.6851233712844429	0.05
MAFG	8	29	2.557939758932347	0.05349465053494651	chr5	90610184.0	90610298.0	sense	0.3156184381561844	0.50083763361349	0.05
Hes1	19	29	2.4764494431400097	0.41685831416858316	chr5	90610184.0	90610298.0	antisense	0.7517367075173672	0.12393424251297429	0.05
ZEB1	14	23	2.4337632323002154	0.009999000099990002	chr5	90610184.0	90610298.0	antisense	0.12641592983558786	0.8981981965932941	0.05
TFAP4	12	22	2.4153858572946163	0.0187981201879812	chr5	90610184.0	90610298.0	sense	0.2064793520647935	0.6851233712844429	0.05
TBX19	7	27	2.3037981689046587	0.06079392060793921	chr5	90610184.0	90610298.0	antisense	0.33948423339484235	0.4691803907755884	0.05
Mitf	13	23	2.3003649799431707	0.2024797520247975	chr5	90610184.0	90610298.0	antisense	0.5598086345211633	0.2519604072346735	0.05
Tcf12	12	23	2.297920836287846	0.030996900309969003	chr5	90610184.0	90610298.0	sense	0.26125958832688156	0.5829277618147026	0.05
CREB3	14	28	2.2681143301594506	0.048095190480951906	chr5	90610184.0	90610298.0	sense	0.3020904806071117	0.5198629598804434	0.05
Pax6	12	26	2.186742615683545	0.09549045095490451	chr5	90610184.0	90610298.0	antisense	0.42254524547545247	0.3741267806592721	0.05
CEBPB	16	26	2.1475653098638237	0.04229577042295771	chr5	90610184.0	90610298.0	antisense	0.287936590956289	0.5407031415108317	0.05
CEBPD	16	26	2.0753866931779923	0.0418958104189581	chr5	90610184.0	90610298.0	antisense	0.287936590956289	0.5407031415108317	0.05
ALX3	16	26	2.0747790642689656	0.2548745125487451	chr5	90610184.0	90610298.0	antisense	0.6015038496150384	0.2207615888374886	0.05
TEF	15	27	2.0212506726844475	0.04409559044095591	chr5	90610184.0	90610298.0	antisense	0.2890710928907109	0.5389953356062048	0.05
MZF1(var.2)	12	22	2.018333182304313	0.0877912208779122	chr5	90610184.0	90610298.0	sense	0.42067331728365626	0.3760550337970582	0.05
Dmbx1	9	26	1.9950150958286228	0.20307969203079693	chr5	90610184.0	90610298.0	sense	0.5598086345211633	0.2519604072346735	0.05
TCF4	12	22	1.9925922954994595	0.0628937106289371	chr5	90610184.0	90610298.0	antisense	0.33948423339484235	0.4691803907755884	0.05
Bcl6	12	26	1.9807785836677794	0.13608639136086392	chr5	90610184.0	90610298.0	antisense	0.5251757432952356	0.27969534121985534	0.05
POU2F1	11	23	1.955604083003935	0.1284871512848715	chr5	90610184.0	90610298.0	sense	0.5251757432952356	0.27969534121985534	0.05
Myb	11	21	1.9340371373388259	0.0494950504949505	chr5	90610184.0	90610298.0	antisense	0.3020904806071117	0.5198629598804434	0.05
CEBPG	16	26	1.9315076516432705	0.0370962903709629	chr5	90610184.0	90610298.0	antisense	0.287936590956289	0.5407031415108317	0.05
Crem	17	27	1.9232221205531306	0.07589241075892411	chr5	90610184.0	90610298.0	antisense	0.3950869618920461	0.4033073020618308	0.05
SREBF1	12	22	1.8880403631920943	0.038896110388961104	chr5	90610184.0	90610298.0	antisense	0.287936590956289	0.5407031415108317	0.05
JUN	16	29	1.7868480312512245	0.0922907709229077	chr5	90610184.0	90610298.0	antisense	0.42067331728365626	0.3760550337970582	0.05
EGR1	12	26	1.7770578449129975	0.06329367063293671	chr5	90610184.0	90610298.0	antisense	0.33948423339484235	0.4691803907755884	0.05
CENPB	9	24	1.7725369206571928	0.19968003199680032	chr5	90610184.0	90610298.0	sense	0.5598086345211633	0.2519604072346735	0.05
REL	18	28	1.760555572790079	0.1690830916908309	chr5	90610184.0	90610298.0	sense	0.5435456454354565	0.264763979216406	0.05
HINFP	8	20	1.7436353318810023	0.1364863513648635	chr5	90610184.0	90610298.0	sense	0.5251757432952356	0.27969534121985534	0.05
SP1	12	23	1.711144812853167	0.027297270272972702	chr5	90610184.0	90610298.0	antisense	0.24158084191580842	0.6169375095382812	0.05
Arid5a	8	22	1.6814458092911873	0.40235976402359763	chr5	90610184.0	90610298.0	sense	0.7517367075173672	0.12393424251297429	0.05
ZNF143	8	24	1.6633263807374752	0.0418958104189581	chr5	90610184.0	90610298.0	antisense	0.287936590956289	0.5407031415108317	0.05
TCF3	12	22	1.6148537866766273	0.16498350164983502	chr5	90610184.0	90610298.0	antisense	0.5435456454354565	0.264763979216406	0.05
THAP1	11	20	1.5930799619528846	0.521947805219478	chr5	90610184.0	90610298.0	antisense	0.791428549452747	0.10158828734500686	0.05
TFAP2A	18	29	1.5872385768155668	0.20557944205579443	chr5	90610184.0	90610298.0	antisense	0.5598086345211633	0.2519604072346735	0.05
Klf1	14	25	1.5470556183121948	0.10018998100189981	chr5	90610184.0	90610298.0	antisense	0.4325274789594211	0.36398629610356464	0.05
NFYB	10	25	1.4832195617078574	0.23297670232976703	chr5	90610184.0	90610298.0	antisense	0.5727343932273439	0.24204673632030554	0.05
TFE3	12	22	1.4750224493282054	0.41815818418158185	chr5	90610184.0	90610298.0	antisense	0.7517367075173672	0.12393424251297429	0.05
SP3	13	24	1.4656161025296763	0.22967703229677033	chr5	90610184.0	90610298.0	antisense	0.5727343932273439	0.24204673632030554	0.05
TFAP2A(var.2)	12	24	1.4655758524046258	0.29717028297170284	chr5	90610184.0	90610298.0	sense	0.6619138086191381	0.1791985587145759	0.05
ZBTB18	10	23	1.4354013051137877	0.16418358164183583	chr5	90610184.0	90610298.0	sense	0.5435456454354565	0.264763979216406	0.05
KLF16	13	24	1.4156332293759668	0.08899110088991101	chr5	90610184.0	90610298.0	antisense	0.42067331728365626	0.3760550337970582	0.05
Stat6	13	28	1.4128358999144994	0.25347465253474655	chr5	90610184.0	90610298.0	antisense	0.6015038496150384	0.2207615888374886	0.05
Hmx3	12	29	1.4073208335646774	0.40675932406759324	chr5	90610184.0	90610298.0	antisense	0.7517367075173672	0.12393424251297429	0.05
SREBF2	12	22	1.3734989071505341	0.1608839116088391	chr5	90610184.0	90610298.0	sense	0.5435456454354565	0.264763979216406	0.05
Myc	10	20	1.3497075238188607	0.16798320167983202	chr5	90610184.0	90610298.0	sense	0.5435456454354565	0.264763979216406	0.05
Srebf1(var.2)	12	22	1.348125820594122	0.13288671132886712	chr5	90610184.0	90610298.0	antisense	0.5251757432952356	0.27969534121985534	0.05
USF2	12	23	1.3336112621633898	0.2288771122887711	chr5	90610184.0	90610298.0	sense	0.5727343932273439	0.24204673632030554	0.05
Tcfl5	9	19	1.3222152076302485	0.8433156684331566	chr5	90610184.0	90610298.0	sense	0.8991980320040285	0.0461446522762665	0.05
ATF7	14	28	1.297519494615253	0.1640835916408359	chr5	90610184.0	90610298.0	antisense	0.5435456454354565	0.264763979216406	0.05
TP53	11	29	1.2799952364537446	0.17628237176282371	chr5	90610184.0	90610298.0	antisense	0.5435456454354565	0.264763979216406	0.05
MAX	9	19	1.2642283936944732	0.32026797320267975	chr5	90610184.0	90610298.0	sense	0.6828567143285671	0.16567041594472776	0.05
Zfx	10	24	1.2342074138250416	0.34466553344665535	chr5	90610184.0	90610298.0	antisense	0.7093697606983488	0.14912732875067614	0.05
Gabpa	10	21	1.220847113311964	0.28347165283471654	chr5	90610184.0	90610298.0	sense	0.6516166565161666	0.1860078228586125	0.05
NR2C2	10	25	1.2087091202503397	0.2094790520947905	chr5	90610184.0	90610298.0	sense	0.5617847306178473	0.2504300691546106	0.05
POU4F1	13	27	1.1987170080435632	0.42895710428957107	chr5	90610184.0	90610298.0	sense	0.7517367075173672	0.12393424251297429	0.05
NFYA	8	26	1.1526056731659173	0.30956904309569044	chr5	90610184.0	90610298.0	sense	0.6682161052187464	0.17508306128791776	0.05
KLF13	8	26	1.1520642491260467	0.148985101489851	chr5	90610184.0	90610298.0	antisense	0.5435456454354565	0.264763979216406	0.05
FOXH1	15	26	1.1510009453664016	0.23117688231176883	chr5	90610184.0	90610298.0	antisense	0.5727343932273439	0.24204673632030554	0.05
JDP2(var.2)	15	27	1.138760379386125	0.17988201179882013	chr5	90610184.0	90610298.0	antisense	0.5435456454354565	0.264763979216406	0.05
HSF4	11	24	1.116422186067377	0.45515448455154484	chr5	90610184.0	90610298.0	sense	0.7600221109964475	0.11917377279281156	0.05
ELK4	9	20	1.1077492885206035	0.29917008299170084	chr5	90610184.0	90610298.0	antisense	0.6619138086191381	0.1791985587145759	0.05
USF1	11	22	1.0981001469660434	0.36876312368763126	chr5	90610184.0	90610298.0	antisense	0.7275511579276855	0.13813646375159036	0.05
HLTF	15	25	1.0951271265485003	0.6638336166383362	chr5	90610184.0	90610298.0	antisense	0.8087007625768035	0.09221214736453949	0.05
ETV5	9	19	1.094262648782616	0.5578442155784421	chr5	90610184.0	90610298.0	sense	0.8087007625768035	0.09221214736453949	0.05
E2F1	9	21	1.0757338163128474	0.48135186481351866	chr5	90610184.0	90610298.0	antisense	0.7888822228888221	0.1029878304629946	0.05
MNT	9	19	1.0658352463822414	0.44665533446655337	chr5	90610184.0	90610298.0	sense	0.7541131601125602	0.12256348022438321	0.05
TBP	8	23	1.0643502286320874	0.6283371662833717	chr5	90610184.0	90610298.0	sense	0.8087007625768035	0.09221214736453949	0.05
ESRRB	16	27	1.0590964004636296	0.22497750224977503	chr5	90610184.0	90610298.0	sense	0.5727343932273439	0.24204673632030554	0.05
ZBTB33	7	22	1.0155896101011024	0.4914508549145086	chr5	90610184.0	90610298.0	sense	0.791428549452747	0.10158828734500686	0.05
RARA(var.2)	11	28	1.0123423237644587	0.11448855114488551	chr5	90610184.0	90610298.0	antisense	0.4824874655391604	0.31651396463704967	0.05
Rarg(var.2)	8	25	0.9958653184622734	0.09269073092690731	chr5	90610184.0	90610298.0	sense	0.42067331728365626	0.3760550337970582	0.05
ZBTB7A	7	19	0.9865287123930185	0.5111488851114888	chr5	90610184.0	90610298.0	antisense	0.791428549452747	0.10158828734500686	0.05
ETV1	9	19	0.9859936718418713	0.5663433656634337	chr5	90610184.0	90610298.0	antisense	0.8087007625768035	0.09221214736453949	0.05
