motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
ETV5	45	55	8.284881356844188	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ETV3	45	55	7.0750530795245465	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ELK4	44	55	6.874228002283369	9.999000099990002e-05	chr1	173837438.0	173837552.0	sense	0.001342722870570086	2.8720136136914207	0.05
Gabpa	43	54	6.795341608675398	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ETV4	45	55	6.7922820387791365	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ELF4	45	57	6.541316393017989	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ERF	45	55	6.508988066214696	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ELK3	45	55	6.497602021924617	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ELF1	45	57	6.482662931025152	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ETV6	45	55	6.474402752851235	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ELK1	45	55	6.368085374210539	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
ELF3	44	57	6.105301458168892	9.999000099990002e-05	chr1	173837438.0	173837552.0	antisense	0.001342722870570086	2.8720136136914207	0.05
THAP1	47	56	5.805831520668516	0.00029997000299970003	chr1	173837438.0	173837552.0	sense	0.0031330200313302004	2.5040368283968264	0.05
STAT3	47	58	4.5694705154629665	9.999000099990002e-05	chr1	173837438.0	173837552.0	sense	0.001342722870570086	2.8720136136914207	0.05
Stat6	45	60	4.459416833129251	9.999000099990002e-05	chr1	173837438.0	173837552.0	sense	0.001342722870570086	2.8720136136914207	0.05
STAT1	47	58	4.113733863939746	0.00029997000299970003	chr1	173837438.0	173837552.0	antisense	0.0031330200313302004	2.5040368283968264	0.05
E2F6	46	57	4.0893360238175696	0.00019998000199980003	chr1	173837438.0	173837552.0	antisense	0.0023497650234976506	2.6289755650051263	0.05
E2F4	46	57	4.046352820017954	0.00019998000199980003	chr1	173837438.0	173837552.0	antisense	0.0023497650234976506	2.6289755650051263	0.05
Bcl6	47	61	4.046268997131747	0.0017998200179982	chr1	173837438.0	173837552.0	sense	0.01780874544124535	1.7493666738627056	0.05
HSF4	48	61	3.5886817475982866	0.0030996900309969004	chr1	173837438.0	173837552.0	sense	0.026153906348495588	1.5824634357108698	0.05
NFATC3	45	55	3.581102932101037	0.008399160083991601	chr1	173837438.0	173837552.0	sense	0.06316168383161684	1.199546300623339	0.05
REL	42	52	3.5200317189950994	0.0031996800319968005	chr1	173837438.0	173837552.0	sense	0.026153906348495588	1.5824634357108698	0.05
NRL	41	52	3.2259605544822723	0.026297370262973702	chr1	173837438.0	173837552.0	sense	0.1594808261109373	0.7972915233576976	0.05
HSF2	48	61	3.1000942485060072	0.0025997400259974	chr1	173837438.0	173837552.0	sense	0.024169011670261545	1.6167411085881147	0.05
TEAD1	44	54	2.989657408918495	0.014598540145985401	chr1	173837438.0	173837552.0	sense	0.10164909434982426	0.9928964863877331	0.05
HSF1	48	61	2.8646582473458833	0.0026997300269973002	chr1	173837438.0	173837552.0	sense	0.024169011670261545	1.6167411085881147	0.05
MZF1(var.2)	47	57	2.853441887589638	0.0163983601639836	chr1	173837438.0	173837552.0	antisense	0.11010327538674705	0.9581997613077041	0.05
NFIX	46	55	2.79385339322862	0.031596840315968405	chr1	173837438.0	173837552.0	sense	0.17471194057064882	0.7576774124370341	0.05
Nkx3-1	43	52	2.6546223517775247	0.0122987701229877	chr1	173837438.0	173837552.0	sense	0.08892956858160336	1.050953814544603	0.05
Tcfl5	47	57	2.4630506049494727	0.19018098190180982	chr1	173837438.0	173837552.0	sense	0.5766778160893589	0.2390667549100415	0.05
Rarg(var.2)	43	60	2.44711729846103	0.0047995200479952005	chr1	173837438.0	173837552.0	antisense	0.03759624037596241	1.4248555823492015	0.05
Hes1	47	57	2.4202275092346444	0.2852714728527147	chr1	173837438.0	173837552.0	antisense	0.7223849043667062	0.14123133802503166	0.05
NFAT5	46	56	2.40591132736321	0.0425957404259574	chr1	173837438.0	173837552.0	sense	0.22879997714514264	0.6405440232607396	0.05
EGR1	47	61	2.228655560009164	0.025197480251974803	chr1	173837438.0	173837552.0	sense	0.15790420957904208	0.8016062919513012	0.05
HINFP	44	56	2.1574863592706404	0.055094490550944904	chr1	173837438.0	173837552.0	sense	0.27993957361020655	0.5529357032283928	0.05
Gata4	41	52	2.145493992800941	0.029797020297970205	chr1	173837438.0	173837552.0	sense	0.16975272169752723	0.770183253814815	0.05
TEAD4	44	54	2.043037610998092	0.09549045095490451	chr1	173837438.0	173837552.0	sense	0.40800465408004655	0.3893348829156239	0.05
HMBOX1	42	52	2.031832924362582	0.10538946105389461	chr1	173837438.0	173837552.0	antisense	0.4263573642635736	0.37022623125834686	0.05
MAFG	41	62	2.0098727252075697	0.08259174082591741	chr1	173837438.0	173837552.0	antisense	0.38192278333142293	0.41802443332613076	0.05
TBX2	40	51	1.9047007870364732	0.1566843315668433	chr1	173837438.0	173837552.0	antisense	0.5167834093783603	0.2866914372170841	0.05
CENPB	40	55	1.891204272745013	0.12958704129587043	chr1	173837438.0	173837552.0	antisense	0.4596672408230876	0.3375564460793973	0.05
RELA	42	52	1.8897133186473947	0.027197280271972803	chr1	173837438.0	173837552.0	sense	0.15978402159784022	0.79646665229889	0.05
Rfx1	46	60	1.8590422688314623	0.0983901609839016	chr1	173837438.0	173837552.0	sense	0.4110522281105222	0.38610299335718506	0.05
E2F8	47	59	1.8470072324465163	0.019598040195980403	chr1	173837438.0	173837552.0	sense	0.12704936402911432	0.8960275045556629	0.05
XBP1	46	60	1.8363666459711747	0.0832916708329167	chr1	173837438.0	173837552.0	sense	0.38192278333142293	0.41802443332613076	0.05
ZBTB18	47	60	1.8082708000412924	0.06929307069293071	chr1	173837438.0	173837552.0	sense	0.3340281356479737	0.47621695042787526	0.05
ZNF263	40	61	1.7711863368494114	0.1366863313668633	chr1	173837438.0	173837552.0	antisense	0.47371262873712633	0.3244850372316387	0.05
TBX19	40	60	1.7223523403051524	0.12068793120687932	chr1	173837438.0	173837552.0	antisense	0.4448888444488885	0.3517484840137699	0.05
CREB3	47	61	1.7197440803087576	0.1065893410658934	chr1	173837438.0	173837552.0	sense	0.4263573642635736	0.37022623125834686	0.05
Zfx	46	60	1.7063320310402892	0.16328367163283672	chr1	173837438.0	173837552.0	sense	0.5247808552478086	0.28002201702396234	0.05
TCF7L2	48	62	1.6996669193203213	0.14828517148285172	chr1	173837438.0	173837552.0	antisense	0.49781450426385937	0.30293245399100116	0.05
LBX2	46	56	1.6823676249717698	0.39076092390760925	chr1	173837438.0	173837552.0	antisense	0.8255669278432982	0.0832477131767087	0.05
TFCP2	47	57	1.6568373697442886	0.11538846115388461	chr1	173837438.0	173837552.0	antisense	0.43386061393860614	0.362649773529489	0.05
RARA(var.2)	42	59	1.6138731755911755	0.04459554044595541	chr1	173837438.0	173837552.0	antisense	0.23288782232887825	0.6328532200683281	0.05
SP1	47	58	1.542618356832898	0.08949105089491051	chr1	173837438.0	173837552.0	sense	0.4005789897200756	0.3973118330951713	0.05
GATA2	46	60	1.5260303119510392	0.20657934206579343	chr1	173837438.0	173837552.0	sense	0.6068268173182682	0.21693523481346821	0.05
NFKB2	42	55	1.4567431903706163	0.11388861113888611	chr1	173837438.0	173837552.0	sense	0.43386061393860614	0.362649773529489	0.05
RORA	48	58	1.4420958323186535	0.12838716128387162	chr1	173837438.0	173837552.0	sense	0.4596672408230876	0.3375564460793973	0.05
YY1	46	58	1.4345837118677938	0.1785821417858214	chr1	173837438.0	173837552.0	antisense	0.5503843058317119	0.2593339584714222	0.05
HIC2	48	57	1.4323285438972007	0.300969903009699	chr1	173837438.0	173837552.0	sense	0.7254146380233771	0.13941368510981988	0.05
ZBTB33	45	60	1.3634499935320001	0.2906709329067093	chr1	173837438.0	173837552.0	antisense	0.7223849043667062	0.14123133802503166	0.05
SP3	49	60	1.3159554215751468	0.2927707229277072	chr1	173837438.0	173837552.0	sense	0.7223849043667062	0.14123133802503166	0.05
Arid5a	48	62	1.2496217137111554	0.5513448655134486	chr1	173837438.0	173837552.0	antisense	0.9433238494332384	0.025339185442208978	0.05
Gfi1	40	50	1.2439754839498125	0.4213578642135786	chr1	173837438.0	173837552.0	sense	0.8255669278432982	0.0832477131767087	0.05
NFYA	44	62	1.242246757837317	0.2866713328667133	chr1	173837438.0	173837552.0	sense	0.7223849043667062	0.14123133802503166	0.05
E2F1	48	60	1.2401493597785256	0.34296570342965704	chr1	173837438.0	173837552.0	sense	0.7675899076758992	0.11487074403229393	0.05
KLF5	47	57	1.2394044047452826	0.16728327167283272	chr1	173837438.0	173837552.0	sense	0.5247808552478086	0.28002201702396234	0.05
PLAG1	43	57	1.2317187924655557	0.1116888311168883	chr1	173837438.0	173837552.0	antisense	0.43386061393860614	0.362649773529489	0.05
MYBL1	49	61	1.1939631965969693	0.2248775122487751	chr1	173837438.0	173837552.0	sense	0.6236552815306704	0.2050553954081145	0.05
E2F7	46	60	1.1715363274515074	0.06669333066693331	chr1	173837438.0	173837552.0	sense	0.32995647803640693	0.48154334071344396	0.05
RFX3	45	61	1.1649692560823186	0.25917408259174085	chr1	173837438.0	173837552.0	sense	0.6960675361035326	0.15734862082888387	0.05
RUNX1	46	57	1.1402361691419265	0.4443555644435556	chr1	173837438.0	173837552.0	sense	0.8438267284382673	0.07374672234190269	0.05
MIXL1	43	53	1.0950022403110675	0.6665333466653335	chr1	173837438.0	173837552.0	sense	0.9737015369501301	0.011574144476151679	0.05
RFX5	45	61	1.0937568286997812	0.16748325167483252	chr1	173837438.0	173837552.0	sense	0.5247808552478086	0.28002201702396234	0.05
SRY	42	51	1.092260146546155	0.42595740425957407	chr1	173837438.0	173837552.0	antisense	0.8255669278432982	0.0832477131767087	0.05
NR2F1	49	62	1.0759978558486873	0.42285771422857715	chr1	173837438.0	173837552.0	antisense	0.8255669278432982	0.0832477131767087	0.05
HLTF	48	58	1.0678062246355295	0.6142385761423858	chr1	173837438.0	173837552.0	sense	0.9737015369501301	0.011574144476151679	0.05
CTCF	41	60	1.0610780661473207	0.29587041295870414	chr1	173837438.0	173837552.0	antisense	0.7223849043667062	0.14123133802503166	0.05
ZBTB7A	49	61	1.0581132653389844	0.41375862413758624	chr1	173837438.0	173837552.0	antisense	0.8255669278432982	0.0832477131767087	0.05
Myc	50	60	1.0458247429879595	0.2836716328367163	chr1	173837438.0	173837552.0	sense	0.7223849043667062	0.14123133802503166	0.05
NR2C2	43	58	1.024423426878851	0.3174682531746825	chr1	173837438.0	173837552.0	antisense	0.7333559326994129	0.1346851903127925	0.05
