motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
RUNX1	45	56	3.307546293377446	0.0006999300069993001	chr14	101292375.0	101292489.0	antisense	0.06194380561943806	1.2080021165647803	0.05
Klf1	46	57	3.149076744926939	0.00019998000199980003	chr14	101292375.0	101292489.0	sense	0.035396460353964605	1.451040165251075	0.05
RREB1	37	57	2.733817145790553	0.009299070092990702	chr14	101292375.0	101292489.0	sense	0.23513362949419342	0.6286852523753778	0.05
Hes1	49	59	2.712962914001179	0.046795320467953205	chr14	101292375.0	101292489.0	sense	0.3710525499174221	0.43056457954127714	0.05
EGR1	47	61	2.6988546721248277	0.026097390260973904	chr14	101292375.0	101292489.0	sense	0.2719938532462543	0.5654409104194666	0.05
HIC2	46	55	2.6667174390912516	0.0017998200179982	chr14	101292375.0	101292489.0	sense	0.10618938106189381	0.9739189105314124	0.05
SP3	49	60	2.622632545831366	0.0164983501649835	chr14	101292375.0	101292489.0	sense	0.2464138201564459	0.6083349383527084	0.05
SP1	47	58	2.5736238537975566	0.006199380061993801	chr14	101292375.0	101292489.0	sense	0.19173082691730825	0.7173080546558441	0.05
TBP	39	54	2.50328765766094	0.031296870312968704	chr14	101292375.0	101292489.0	sense	0.276977302269773	0.5575558190325888	0.05
ZNF263	38	59	2.4596296685270915	0.1568843115688431	chr14	101292375.0	101292489.0	antisense	0.5089017414048069	0.2933660630170483	0.05
ZNF740	48	58	2.390504385122894	0.012898710128987101	chr14	101292375.0	101292489.0	sense	0.2464138201564459	0.6083349383527084	0.05
Dmbx1	40	57	2.2527749710987726	0.027797220277972202	chr14	101292375.0	101292489.0	antisense	0.2719938532462543	0.5654409104194666	0.05
Gmeb1	39	56	2.153712132060129	0.19968003199680032	chr14	101292375.0	101292489.0	antisense	0.5311997371691403	0.27474214852336026	0.05
KLF16	49	60	2.1101729573311623	0.023297670232976703	chr14	101292375.0	101292489.0	sense	0.2719938532462543	0.5654409104194666	0.05
SP4	44	61	2.0137413559720905	0.0143985601439856	chr14	101292375.0	101292489.0	sense	0.2464138201564459	0.6083349383527084	0.05
HLTF	37	47	1.9256245277590194	0.035896410358964105	chr14	101292375.0	101292489.0	sense	0.3025554587398403	0.5191950070706561	0.05
SREBF1	44	54	1.9240780298943279	0.0059994000599940004	chr14	101292375.0	101292489.0	sense	0.19173082691730825	0.7173080546558441	0.05
CENPB	47	62	1.8368051119635518	0.050794920507949204	chr14	101292375.0	101292489.0	sense	0.3710525499174221	0.43056457954127714	0.05
Bcl6	37	51	1.7176049596341267	0.026697330266973303	chr14	101292375.0	101292489.0	sense	0.2719938532462543	0.5654409104194666	0.05
CTCF	42	61	1.715251688967884	0.0760923907609239	chr14	101292375.0	101292489.0	antisense	0.4081319140813191	0.3891994440223707	0.05
REL	42	52	1.6772871552748698	0.019498050194980503	chr14	101292375.0	101292489.0	antisense	0.24651106317939633	0.6081635852307761	0.05
SREBF2	44	54	1.6587027187611147	0.0108989101089891	chr14	101292375.0	101292489.0	antisense	0.24113838616138383	0.617733649966376	0.05
TFAP2A	46	57	1.6548306493134992	0.0522947705229477	chr14	101292375.0	101292489.0	sense	0.3710525499174221	0.43056457954127714	0.05
FOXH1	42	53	1.648298911533714	0.0178982101789821	chr14	101292375.0	101292489.0	sense	0.2464138201564459	0.6083349383527084	0.05
ZEB1	48	57	1.6404711470987303	0.0064993500649935	chr14	101292375.0	101292489.0	sense	0.19173082691730825	0.7173080546558441	0.05
MZF1(var.2)	46	56	1.6294784022927895	0.10648935106489352	chr14	101292375.0	101292489.0	antisense	0.476967303269673	0.32151139139229856	0.05
Zfx	44	58	1.5708668937233075	0.10308969103089691	chr14	101292375.0	101292489.0	antisense	0.476967303269673	0.32151139139229856	0.05
THAP1	50	59	1.5572871622288904	0.20577942205779423	chr14	101292375.0	101292489.0	sense	0.5311997371691403	0.27474214852336026	0.05
MEF2C	37	52	1.555359398852676	0.1638836116388361	chr14	101292375.0	101292489.0	antisense	0.5089017414048069	0.2933660630170483	0.05
ZBTB7A	45	57	1.5494615263038112	0.07539246075392461	chr14	101292375.0	101292489.0	sense	0.4081319140813191	0.3891994440223707	0.05
Foxj3	38	55	1.513607473346503	0.24997500249975002	chr14	101292375.0	101292489.0	sense	0.5527965721946324	0.2574346586178879	0.05
Foxk1	38	55	1.4956418449697368	0.20877912208779123	chr14	101292375.0	101292489.0	sense	0.5311997371691403	0.27474214852336026	0.05
TFAP2A(var.2)	45	57	1.483219701346859	0.16378362163783622	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
E2F6	45	56	1.4735328245651458	0.0958904109589041	chr14	101292375.0	101292489.0	antisense	0.4587189929655683	0.33845327781138745	0.05
ZBTB7B	46	58	1.464933546090754	0.072992700729927	chr14	101292375.0	101292489.0	sense	0.4081319140813191	0.3891994440223707	0.05
TFAP2A(var.3)	47	60	1.4036256526585924	0.09379062093790622	chr14	101292375.0	101292489.0	antisense	0.4587189929655683	0.33845327781138745	0.05
Mitf	50	60	1.3886375014220642	0.1812818718128187	chr14	101292375.0	101292489.0	antisense	0.5311997371691403	0.27474214852336026	0.05
Hoxc9	37	50	1.3744315546981853	0.0877912208779122	chr14	101292375.0	101292489.0	sense	0.4570307675114841	0.34005456205120865	0.05
Gfi1b	45	56	1.339990930847222	0.05909409059094091	chr14	101292375.0	101292489.0	sense	0.3710525499174221	0.43056457954127714	0.05
NFYB	46	61	1.326444956072165	0.12488751124887511	chr14	101292375.0	101292489.0	sense	0.5064107225641072	0.29549710729338086	0.05
MTF1	42	56	1.3185905546786618	0.018098190180981903	chr14	101292375.0	101292489.0	sense	0.2464138201564459	0.6083349383527084	0.05
NR2C2	44	59	1.3036612151401834	0.1294870512948705	chr14	101292375.0	101292489.0	antisense	0.5089017414048069	0.2933660630170483	0.05
Arid5a	40	54	1.289745292393182	0.38096190380961903	chr14	101292375.0	101292489.0	sense	0.5727927207279272	0.2420025098478636	0.05
PLAG1	37	51	1.289530124520907	0.11158884111588842	chr14	101292375.0	101292489.0	antisense	0.4817371921344451	0.31718982303323157	0.05
E2F4	45	56	1.2850650270068997	0.14808519148085192	chr14	101292375.0	101292489.0	antisense	0.5089017414048069	0.2933660630170483	0.05
TCF4	49	59	1.2705796907962608	0.05349465053494651	chr14	101292375.0	101292489.0	sense	0.3710525499174221	0.43056457954127714	0.05
MAFF	41	59	1.2570506335829523	0.34136586341365865	chr14	101292375.0	101292489.0	antisense	0.5709204941574809	0.2434243669779833	0.05
Tcfl5	49	59	1.25296000768131	0.44275572442755723	chr14	101292375.0	101292489.0	sense	0.6177828260339433	0.2091641689746158	0.05
USF1	49	60	1.2273202164352548	0.0547945205479452	chr14	101292375.0	101292489.0	sense	0.3710525499174221	0.43056457954127714	0.05
ALX3	39	49	1.2162769432451281	0.37416258374162586	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
GATA2	37	51	1.2006684153543465	0.21007899210078992	chr14	101292375.0	101292489.0	antisense	0.5311997371691403	0.27474214852336026	0.05
TFE3	49	59	1.1908159775919207	0.16098390160983903	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
ETV5	49	59	1.1573789216693195	0.19038096190380963	chr14	101292375.0	101292489.0	antisense	0.5311997371691403	0.27474214852336026	0.05
HOXB3	39	49	1.155510771814625	0.3615638436156384	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
FOXP1	38	53	1.1349652742130603	0.27857214278572145	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
NFAT5	40	50	1.1141236381682595	0.252974702529747	chr14	101292375.0	101292489.0	antisense	0.5527965721946324	0.2574346586178879	0.05
NFATC1	43	53	1.09842383140265	0.35326467353264673	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
XBP1	41	55	1.0544759164816038	0.1421857814218578	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
Nr2f6(var.2)	37	52	1.0497753496063376	0.029197080291970802	chr14	101292375.0	101292489.0	antisense	0.2719938532462543	0.5654409104194666	0.05
LIN54	41	50	1.043615730551293	0.1424857514248575	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
KLF13	41	59	1.040679582850398	0.15998400159984003	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
Pax6	47	61	1.0298485325073525	0.24867513248675133	chr14	101292375.0	101292489.0	antisense	0.5527965721946324	0.2574346586178879	0.05
TEAD1	42	52	1.0293144765513116	0.28177182281771823	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
HOXB2	40	50	1.0278851272910368	0.45095490450954906	chr14	101292375.0	101292489.0	antisense	0.6177828260339433	0.2091641689746158	0.05
Arid3b	41	52	1.0278692853168263	0.3498650134986501	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
E2F1	43	55	1.0232194423118182	0.19458054194580543	chr14	101292375.0	101292489.0	antisense	0.5311997371691403	0.27474214852336026	0.05
TCF3	49	59	1.0111070268892746	0.1401859814018598	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
TP53	42	60	1.0070020654942458	0.14438556144385561	chr14	101292375.0	101292489.0	sense	0.5089017414048069	0.2933660630170483	0.05
JUND(var.2)	40	55	0.9941287017339071	0.22697730226977303	chr14	101292375.0	101292489.0	sense	0.5379330488003832	0.26927177330370305	0.05
NFATC3	43	53	0.9848455584767268	0.3818618138186181	chr14	101292375.0	101292489.0	sense	0.5727927207279272	0.2420025098478636	0.05
TEAD4	42	52	0.9812587664538045	0.28077192280771923	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
ZNF143	47	63	0.972761839530015	0.09119088091190881	chr14	101292375.0	101292489.0	sense	0.4587189929655683	0.33845327781138745	0.05
NFYA	39	57	0.9663135532591677	0.36276372362763726	chr14	101292375.0	101292489.0	antisense	0.5709204941574809	0.2434243669779833	0.05
Nr2f6	37	51	0.965349891288579	0.14258574142585742	chr14	101292375.0	101292489.0	antisense	0.5089017414048069	0.2933660630170483	0.05
POU2F1	38	50	0.9505113006339221	0.3558644135586441	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
RXRB	37	51	0.9358280444185352	0.056894310568943104	chr14	101292375.0	101292489.0	antisense	0.3710525499174221	0.43056457954127714	0.05
TBX19	42	62	0.9283988658242044	0.46835316468353166	chr14	101292375.0	101292489.0	antisense	0.6177828260339433	0.2091641689746158	0.05
Rxra	37	51	0.9270915478036853	0.06079392060793921	chr14	101292375.0	101292489.0	antisense	0.3710525499174221	0.43056457954127714	0.05
MYBL2	37	52	0.9262102383667926	0.20407959204079593	chr14	101292375.0	101292489.0	sense	0.5311997371691403	0.27474214852336026	0.05
RELA	43	53	0.9120358685793511	0.0660933906609339	chr14	101292375.0	101292489.0	antisense	0.38995100489951007	0.40898995614907824	0.05
CREB3L1	47	61	0.9102946438658341	0.20417958204179582	chr14	101292375.0	101292489.0	sense	0.5311997371691403	0.27474214852336026	0.05
HMBOX1	40	50	0.90836935052513	0.37336266373362664	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
Hmx3	36	53	0.8934098738694778	0.513948605139486	chr14	101292375.0	101292489.0	antisense	0.6236519205222335	0.2050577359179991	0.05
YY1	46	58	0.8899214821480229	0.2288771122887711	chr14	101292375.0	101292489.0	antisense	0.5379330488003832	0.26927177330370305	0.05
Gata1	38	49	0.8894929685930599	0.2638736126387361	chr14	101292375.0	101292489.0	sense	0.5684756825522267	0.24528810821328953	0.05
Tcf12	48	59	0.8864539122657862	0.1603839616038396	chr14	101292375.0	101292489.0	antisense	0.5089017414048069	0.2933660630170483	0.05
HINFP	42	54	0.8716059429514293	0.36176382361763826	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
IRF9	41	56	0.8714592708273744	0.10778922107789221	chr14	101292375.0	101292489.0	sense	0.476967303269673	0.32151139139229856	0.05
JUN	44	57	0.8679407187437154	0.2238776122387761	chr14	101292375.0	101292489.0	antisense	0.5379330488003832	0.26927177330370305	0.05
MNT	49	59	0.8618702469621781	0.24247575242475752	chr14	101292375.0	101292489.0	sense	0.5502334381946421	0.25945302066725395	0.05
USF2	38	49	0.844930352585205	0.18498150184981502	chr14	101292375.0	101292489.0	sense	0.5311997371691403	0.27474214852336026	0.05
NFIX	50	59	0.8434565761019864	0.47895210478952105	chr14	101292375.0	101292489.0	sense	0.6177828260339433	0.2091641689746158	0.05
HEY1	49	59	0.8369085998928599	0.23577642235776422	chr14	101292375.0	101292489.0	sense	0.5419795682769385	0.26601708532846763	0.05
ELK4	48	59	0.8340469671176622	0.29257074292570745	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
ZBTB33	47	62	0.8186595905637902	0.4851514848515148	chr14	101292375.0	101292489.0	sense	0.6177828260339433	0.2091641689746158	0.05
LEF1	37	52	0.8122018911483564	0.3087691230876912	chr14	101292375.0	101292489.0	antisense	0.5709204941574809	0.2434243669779833	0.05
CREB3	42	56	0.8083229542261455	0.30886911308869114	chr14	101292375.0	101292489.0	sense	0.5709204941574809	0.2434243669779833	0.05
Rarg	36	52	0.8024331510765146	0.11648835116488351	chr14	101292375.0	101292489.0	antisense	0.49091519419486623	0.3089935259509187	0.05
POU4F1	37	51	0.7827454584726999	0.5065493450654934	chr14	101292375.0	101292489.0	sense	0.6236519205222335	0.2050577359179991	0.05
Stat6	36	51	0.7813399291245428	0.46565343465653436	chr14	101292375.0	101292489.0	antisense	0.6177828260339433	0.2091641689746158	0.05
ERF	49	59	0.7673715437836983	0.2665733426657334	chr14	101292375.0	101292489.0	antisense	0.5684756825522267	0.24528810821328953	0.05
STAT1	37	48	0.7659242290553282	0.22197780221977803	chr14	101292375.0	101292489.0	antisense	0.5379330488003832	0.26927177330370305	0.05
E2F8	46	58	0.7657300229233223	0.12588741125887412	chr14	101292375.0	101292489.0	sense	0.5064107225641072	0.29549710729338086	0.05
