seqID	numMotifs	numBPcovered	fragmentLength	fractionBPcovered
protein_coding__p1@C1orf170__chr1:917466..917485,-	35	72	115	0.6260870
protein_coding__p1@SYF2__chr1:25558984..25559000,-	61	84	115	0.7304348
Enhancer__chr1:52035422-52035744	49	58	115	0.5043478
protein_coding__p7@ANP32E__chr1:150208498..150208509,-	10	68	115	0.5913044
Enhancer__chr1:230031091-230031621	10	37	115	0.3217391
antisense__NA__chr1:2424795..2424796,-	6	46	115	0.4000000
Enhancer__chr1:9223907-9224260	84	69	115	0.6000000
Enhancer__chr1:16826315-16826438	16	77	115	0.6695652
Enhancer__chr1:22740781-22741031	7	38	115	0.3304348
Enhancer__chr1:23903714-23904323	5	32	115	0.2782609
Enhancer__chr1:25051079-25051208	62	100	115	0.8695652
div_pc__NA__chr1:32817102..32817134,+	76	100	115	0.8695652
protein_coding__p1@PABPC4__chr1:40042452..40042470,-	16	55	115	0.4782609
protein_coding__p1@DMAP1__chr1:44679113..44679152,+	49	71	115	0.6173913
intergenic__p1@LINC00466__chr1:63782888..63782904,-	15	69	115	0.6000000
Enhancer__chr1:66862994-66863164	51	90	115	0.7826087
protein_coding__NA__chr1:79085605..79085608,+	7	42	115	0.3652174
Enhancer__chr1:95928091-95928297	14	58	115	0.5043478
Enhancer__chr1:95928091-95928297	14	58	115	0.5043478
Enhancer__chr1:110444415-110444738	22	69	115	0.6000000
Enhancer__chr1:117030831-117031034	12	72	115	0.6260870
Enhancer__chr1:151945068-151945221	14	48	115	0.4173913
protein_coding__p1@SDHC__chr1:161284163..161284180,+	47	102	115	0.8869565
protein_coding__NA__chr1:170115099..170115116,+	25	71	115	0.6173913
Enhancer__chr1:171360015-171360229	22	45	115	0.3913043
antisense__p1@DNM3OS__chr1:172113926..172113941,-	23	75	115	0.6521739
div_lnc__NA__chr1:174129136..174129152,-	42	78	115	0.6782609
Enhancer__chr1:177454848-177455123	5	43	115	0.3739130
Enhancer__chr1:198901469-198901869	10	51	115	0.4434783
Enhancer__chr1:201244405-201244769	54	77	115	0.6695652
Enhancer__chr1:213090277-213090696	15	75	115	0.6521739
Enhancer__chr1:222002644-222003471	16	63	115	0.5478261
Enhancer__chr1:234471096-234471421	14	62	115	0.5391304
intergenic__p1@ENST00000442382__chr1:234831899..234831901,-	13	72	115	0.6260870
intergenic__p1@ENST00000400946__chr1:238649319..238649345,-	14	35	115	0.3043478
intergenic__NA__chr1:564474..564492,-	28	60	115	0.5217391
intergenic__p1@ENST00000428504,p1@uc001abo.2__chr1:713985..714054,-	96	85	115	0.7391304
intergenic__NA__chr1:714154..714191,+	60	82	115	0.7130435
intergenic__NA__chr1:753344..753361,+	42	61	115	0.5304348
intergenic__NA__chr1:753392..753395,-	36	68	115	0.5913044
intergenic__p1@LINC00115__chr1:762885..762905,-	90	113	115	0.9826087
intergenic__p1@ENST00000441765,p1@ENST00000449005__chr1:763033..763058,+	80	74	115	0.6434783
protein_coding__NA__chr1:817578..817593,+	23	74	115	0.6434783
intergenic__p@chr1:840205..840230,+__chr1:840205..840230,+	79	90	115	0.7826087
intergenic__NA__chr1:846792..846823,+	39	87	115	0.7565218
Enhancer__chr1:839741-840250	113	105	115	0.9130435
Enhancer__chr1:840753-841210	134	94	115	0.8173913
Enhancer__chr1:845485-845678	69	85	115	0.7391304
intergenic__NA__chr1:856539..856540,-	130	106	115	0.9217391
protein_coding__NA__chr1:860260..860279,+	8	90	115	0.7826087
Enhancer__chr1:855764-856157	88	76	115	0.6608695
Enhancer__chr1:856539-856757	68	67	115	0.5826087
Enhancer__chr1:858256-858648	46	89	115	0.7739130
protein_coding__p1@NOC2L__chr1:894620..894659,-	162	100	115	0.8695652
protein_coding__p1@KLHL17__chr1:895930..896033,+	34	59	115	0.5130435
protein_coding__p1@PLEKHN1__chr1:901847..901907,+	20	46	115	0.4000000
Enhancer__chr1:918449-918555	24	59	115	0.5130435
protein_coding__p3@HES4__chr1:935496..935509,-	74	97	115	0.8434783
div_lnc__NA__chr1:948600..948634,-	84	93	115	0.8086957
div_pc__p1@ISG15__chr1:948866..948885,+	52	63	115	0.5478261
Enhancer__chr1:936652-937138	28	49	115	0.4260870
Enhancer__chr1:941791-942135	52	90	115	0.7826087
Enhancer__chr1:945769-946034	8	34	115	0.2956522
protein_coding__p1@AGRN__chr1:955448..955508,+	52	67	115	0.5826087
intergenic__NA__chr1:998667..998671,-	12	71	115	0.6173913
Enhancer__chr1:993498-993878	72	88	115	0.7652174
Enhancer__chr1:994198-994452	36	83	115	0.7217391
protein_coding__p1@RNF223__chr1:1009683..1009688,-	41	101	115	0.8782609
Enhancer__chr1:1004646-1004986	84	108	115	0.9391304
Enhancer__chr1:1014834-1015095	15	58	115	0.5043478
protein_coding__p1@C1orf159__chr1:1051455..1051495,-	42	96	115	0.8347826
Enhancer__chr1:1060905-1061095	13	55	115	0.4782609
Enhancer__chr1:1063914-1064111	18	63	115	0.5478261
intergenic__NA__chr1:1072357..1072395,+	35	82	115	0.7130435
Enhancer__chr1:1070745-1071151	65	77	115	0.6695652
Enhancer__chr1:1093610-1093958	13	69	115	0.6000000
intergenic__NA__chr1:1104457..1104458,+	4	46	115	0.4000000
protein_coding__p2@TTLL10__chr1:1109255..1109268,+	23	83	115	0.7217391
Enhancer__chr1:1098630-1098901	35	77	115	0.6695652
Enhancer__chr1:1107193-1107436	14	54	115	0.4695652
antisense__NA__chr1:1114934..1114955,-	46	89	115	0.7739130
protein_coding__p1@TNFRSF18__chr1:1141927..1141985,-	38	83	115	0.7217391
Enhancer__chr1:1136075-1136463	84	83	115	0.7217391
Enhancer__chr1:1136667-1137146	50	78	115	0.6782609
Enhancer__chr1:1143531-1144198	128	73	115	0.6347826
Enhancer__chr1:1144376-1144549	58	105	115	0.9130435
protein_coding__p1@TNFRSF4__chr1:1149526..1149539,-	37	84	115	0.7304348
