motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	7	24	1.3335848847426854	0.1441855814418558	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
SCRT2	5	18	1.2033223576435674	0.001999800019998	chr11	65265153.0	65265267.0	antisense	0.5275972402759724	0.27769748480128137	0.15
NRF1	13	24	1.1356270540742033	0.0034996500349965005	chr11	65265153.0	65265267.0	antisense	0.5275972402759724	0.27769748480128137	0.15
CEBPE	11	21	1.0770658542182512	0.006099390060993901	chr11	65265153.0	65265267.0	sense	0.5275972402759724	0.27769748480128137	0.15
CEBPB	11	21	1.038672448232587	0.004899510048995101	chr11	65265153.0	65265267.0	sense	0.5275972402759724	0.27769748480128137	0.15
CEBPD	11	21	1.0209377380704276	0.0051994800519948	chr11	65265153.0	65265267.0	sense	0.5275972402759724	0.27769748480128137	0.15
ZNF263	6	27	1.0111981249736626	0.1342865713428657	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
Myod1	12	25	0.9794404627149548	0.025597440255974404	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
CEBPG	11	21	0.9785220229898204	0.0030996900309969004	chr11	65265153.0	65265267.0	sense	0.5275972402759724	0.27769748480128137	0.15
EGR1	5	19	0.939578886494226	0.10938906109389061	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
NRL	11	22	0.9383956670216775	0.1391860813918608	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
MAFG	5	26	0.9329535145305335	0.07549245075492451	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
Hes2	5	18	0.912376546543665	0.29687031296870314	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
MAFF	7	25	0.912256011534352	0.1374862513748625	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
Tcfl5	13	23	0.910722016266485	0.2665733426657334	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
Hes1	13	23	0.8953103818545636	0.41105889411058893	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
GLIS2	12	26	0.8771775030283414	0.0408959104089591	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
MYBL2	7	22	0.8739431511985892	0.036396360363963605	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
NHLH1	15	25	0.873387193990743	0.024397560243975602	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
Pax2	18	26	0.8733436137673077	0.12208779122087791	chr11	65265153.0	65265267.0	sense	0.8293341120433412	0.08127047091635485	0.15
Ar	10	27	0.8711453100323658	0.0344965503449655	chr11	65265153.0	65265267.0	antisense	0.8293341120433412	0.08127047091635485	0.15
