motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
TFCP2	81	91	6.0939112338613945	0.0005999400059994001	chr11	65265021.0	65265135.0	sense	0.19028097190280974	0.7206046389898422	0.15
LBX2	79	89	5.911049649241184	0.010298970102989701	chr11	65265021.0	65265135.0	antisense	0.5939072759390728	0.22628135416255746	0.15
GRHL1	80	92	5.5500231643033535	0.0010998900109989002	chr11	65265021.0	65265135.0	antisense	0.19028097190280974	0.7206046389898422	0.15
SPDEF	82	93	5.277783935725716	0.0008999100089991	chr11	65265021.0	65265135.0	sense	0.19028097190280974	0.7206046389898422	0.15
Barhl1	79	89	4.849012824402444	0.0453954604539546	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
GSX2	79	89	4.662773991567122	0.09379062093790622	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
CENPB	74	89	4.574010142705281	0.0122987701229877	chr11	65265021.0	65265135.0	antisense	0.6192780721927807	0.20811429750419286	0.15
GSX1	79	89	4.5502047080312416	0.10128987101289871	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
ETV4	83	93	4.4734105025812285	0.006899310068993101	chr11	65265021.0	65265135.0	sense	0.5939072759390728	0.22628135416255746	0.15
ETV1	83	93	4.4733146487135045	0.007899210078992101	chr11	65265021.0	65265135.0	sense	0.5939072759390728	0.22628135416255746	0.15
ETV3	83	93	4.4429450135143735	0.007399260073992601	chr11	65265021.0	65265135.0	sense	0.5939072759390728	0.22628135416255746	0.15
THAP1	80	89	4.34317163596354	0.0627937206279372	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
TBP	71	86	4.206433907620663	0.07649235076492351	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
HOXA10	75	86	4.180967255217539	0.035096490350964904	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
ELK3	83	93	4.10413076407353	0.008599140085991401	chr11	65265021.0	65265135.0	sense	0.5939072759390728	0.22628135416255746	0.15
DUXA	80	93	4.001285811685433	0.0178982101789821	chr11	65265021.0	65265135.0	sense	0.6192780721927807	0.20811429750419286	0.15
EVX2	79	89	3.988354572798913	0.08359164083591641	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
ETV5	83	93	3.9746439375931124	0.025997400259974	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
HOXB3	79	89	3.924020283032337	0.0888911108889111	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
ELF5	82	93	3.8403422764489177	0.030396960303969604	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
Nr1h3::Rxra	71	90	3.823948282165203	0.09929007099290071	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
BSX	80	88	3.7536366514468975	0.0164983501649835	chr11	65265021.0	65265135.0	antisense	0.6192780721927807	0.20811429750419286	0.15
ZNF263	71	92	3.693747546256801	0.06509349065093491	chr11	65265021.0	65265135.0	antisense	0.6851326540497701	0.16422533311458162	0.15
Arid5a	71	85	3.6186827484450443	0.1357864213578642	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
FEV	83	93	3.541030467766877	0.0178982101789821	chr11	65265021.0	65265135.0	sense	0.6192780721927807	0.20811429750419286	0.15
Hoxd8	74	91	3.521639611028717	0.1411858814118588	chr11	65265021.0	65265135.0	sense	0.6851326540497701	0.16422533311458162	0.15
