motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Bach1::Mafk	14	29	9.991911058078529	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
MAF::NFE2	11	26	7.940698102637237	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
JUNB	17	28	7.422641384885031	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
FOSL2	17	28	7.4069287166226045	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
MAFF	9	27	7.013038909559547	0.00039996000399960006	chr5	90610184.0	90610298.0	antisense	0.01482708871969946	1.8289441137786804	0.05
FOS::JUN	18	25	6.700061991576727	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
JUN(var.2)	12	26	6.683834806149767	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.003991908501457547	2.3988194217352414	0.05
JUND	16	27	6.42992636069463	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
MAFK	11	26	6.167656023495018	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
FOSL1	16	27	5.990519302425985	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
Pax2	20	28	5.7443233558306765	0.0005999400059994001	chr5	90610184.0	90610298.0	sense	0.01946055394460554	1.7108448017006859	0.05
BATF::JUN	18	29	5.66127837289691	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
NFE2	16	27	5.419593514325585	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
FOS	16	27	5.34996199472624	9.999000099990002e-05	chr5	90610184.0	90610298.0	sense	0.003991908501457547	2.3988194217352414	0.05
JDP2	17	26	4.890411672779751	9.999000099990002e-05	chr5	90610184.0	90610298.0	antisense	0.003991908501457547	2.3988194217352414	0.05
Mafb	11	23	4.459783875586733	0.0024997500249975004	chr5	90610184.0	90610298.0	sense	0.051894810518948106	1.2848760694284047	0.05
XBP1	13	27	4.42066693607857	0.0012998700129987	chr5	90610184.0	90610298.0	sense	0.03212535889268216	1.4931520118554873	0.05
NRL	11	22	4.368849829469774	0.0096990300969903	chr5	90610184.0	90610298.0	sense	0.16217128287171284	0.7900260477483108	0.05
Foxa2	16	28	4.179275693675882	0.0006999300069993001	chr5	90610184.0	90610298.0	antisense	0.021368451390155103	1.670226950792422	0.05
MAFG::NFE2L1	21	27	4.160736790223028	0.0004999500049995	chr5	90610184.0	90610298.0	antisense	0.017298270172982702	1.7619973241480673	0.05
ATF4	15	28	3.992835502883226	0.0010998900109989002	chr5	90610184.0	90610298.0	antisense	0.030044363984654168	1.5222369852230087	0.05
Atf3	19	27	3.895305212581071	0.0007999200079992001	chr5	90610184.0	90610298.0	antisense	0.023064360230643607	1.6370585875397672	0.05
Nfe2l2	13	28	3.7596753613001606	0.005099490050994901	chr5	90610184.0	90610298.0	sense	0.09452269058808406	1.0244639246726877	0.05
Atf1	18	26	3.7073672978850998	0.0012998700129987	chr5	90610184.0	90610298.0	antisense	0.03212535889268216	1.4931520118554873	0.05
HMBOX1	17	27	3.69655476944335	0.006299370062993701	chr5	90610184.0	90610298.0	sense	0.11273700216185278	0.9479335178737792	0.05
Gmeb1	12	29	3.688722573983214	0.14108589141085892	chr5	90610184.0	90610298.0	antisense	0.491433406994871	0.308535324086331	0.05
HOXB3	16	26	3.641730910225322	0.020597940205979402	chr5	90610184.0	90610298.0	antisense	0.25343977230183956	0.596125230274072	0.05
LBX2	16	26	3.628087035536045	0.032596740325967405	chr5	90610184.0	90610298.0	antisense	0.307594695075947	0.5120211588547096	0.05
ZIC4	8	23	3.5584163932478408	0.005099490050994901	chr5	90610184.0	90610298.0	sense	0.09452269058808406	1.0244639246726877	0.05
GSC2	13	23	3.5075282849454323	0.028997100289971003	chr5	90610184.0	90610298.0	antisense	0.30098990100989903	0.5214480758654675	0.05
Nr2e1	17	26	3.494000620129402	0.0018998100189981002	chr5	90610184.0	90610298.0	sense	0.044818245448182456	1.348545149297782	0.05
MEIS1	19	26	3.3785974991624985	0.007499250074992501	chr5	90610184.0	90610298.0	antisense	0.12973702629737027	0.8869360607563672	0.05
HOXA2	17	27	3.339971330318053	0.03189681031896811	chr5	90610184.0	90610298.0	sense	0.3065637880656379	0.5134791461941922	0.05
NHLH1	12	22	3.329795315907378	0.0023997600239976003	chr5	90610184.0	90610298.0	antisense	0.051894810518948106	1.2848760694284047	0.05
GSX1	17	27	3.1482505700589543	0.09769023097690231	chr5	90610184.0	90610298.0	sense	0.4056098390160984	0.3918915187176882	0.05
ZIC3	8	23	3.116864232070934	0.0023997600239976003	chr5	90610184.0	90610298.0	sense	0.051894810518948106	1.2848760694284047	0.05
ESR2	13	28	3.0350175969070268	0.041495850414958506	chr5	90610184.0	90610298.0	antisense	0.3234539559742656	0.4901875328917483	0.05
RARA::RXRA	11	28	2.931298889184345	0.0254974502549745	chr5	90610184.0	90610298.0	antisense	0.2940705929407059	0.5315484027697933	0.05
Myod1	12	25	2.843584258141078	0.0192980701929807	chr5	90610184.0	90610298.0	sense	0.2442853275648045	0.6121026171403665	0.05
RUNX1	15	26	2.843439779940356	0.025397460253974602	chr5	90610184.0	90610298.0	sense	0.2940705929407059	0.5315484027697933	0.05
HOXB2	17	27	2.832065657221784	0.08499150084991501	chr5	90610184.0	90610298.0	sense	0.39739269316311615	0.4007801225007695	0.05
GATA1::TAL1	11	29	2.824402172506442	0.058394160583941604	chr5	90610184.0	90610298.0	antisense	0.35451735725303873	0.4503624968005827	0.05
Myog	12	23	2.8013080670333412	0.011898810118988102	chr5	90610184.0	90610298.0	sense	0.17442422424424228	0.7583931998792419	0.05
ESX1	16	26	2.784569504294903	0.0898910108989101	chr5	90610184.0	90610298.0	antisense	0.39874730475670384	0.3993022394413377	0.05
ZIC1	8	22	2.7669506045688235	0.0027997200279972004	chr5	90610184.0	90610298.0	sense	0.05588671902040566	1.2526913860570035	0.05
GSX2	16	26	2.7619230297135555	0.1633836616338366	chr5	90610184.0	90610298.0	antisense	0.5049305414286157	0.2967683596020693	0.05
FOXB1	18	29	2.756459254590176	0.0108989101089891	chr5	90610184.0	90610298.0	sense	0.17141013171410133	0.7659635113656686	0.05
ZNF263	7	28	2.7366827521801316	0.012098790120987902	chr5	90610184.0	90610298.0	antisense	0.17442422424424228	0.7583931998792419	0.05
FOXC1	18	29	2.713049120306283	0.011698830116988301	chr5	90610184.0	90610298.0	sense	0.17442422424424228	0.7583931998792419	0.05
SPIC	15	29	2.668870737060923	0.03569643035696431	chr5	90610184.0	90610298.0	antisense	0.3234539559742656	0.4901875328917483	0.05
Pitx1	21	29	2.661437813050618	0.0372962703729627	chr5	90610184.0	90610298.0	sense	0.3234539559742656	0.4901875328917483	0.05
HLF	15	27	2.6488934805812834	0.030396960303969604	chr5	90610184.0	90610298.0	antisense	0.30338504611077355	0.5180058294544503	0.05
DBP	15	27	2.626797174450599	0.015898410158984102	chr5	90610184.0	90610298.0	antisense	0.22300742898683107	0.6516806691749483	0.05
CREB3L1	12	26	2.6209576695126167	0.020997900209979003	chr5	90610184.0	90610298.0	antisense	0.25343977230183956	0.596125230274072	0.05
MAFG	8	29	2.557939758932347	0.05349465053494651	chr5	90610184.0	90610298.0	sense	0.3351279329898335	0.47478937211170874	0.05
