motif	start	end	score	pval	tile_chr	tile_start	tile_end	strand	padj	neg_log_pval	fdr_cutoff
Gmeb1	55	72	4.035903257226656	0.0007999200079992001	chr1	211556065.0	211556179.0	sense	0.14991834149918343	0.8241452308969117	0.1
Hes1	54	64	3.8152716270075038	0.0025997400259974	chr1	211556065.0	211556179.0	antisense	0.14991834149918343	0.8241452308969117	0.1
NRF1	55	66	3.518599330126678	9.999000099990002e-05	chr1	211556065.0	211556179.0	sense	0.051894810518948106	1.2848760694284047	0.1
Tcfl5	54	64	3.482022987435001	0.0024997500249975004	chr1	211556065.0	211556179.0	sense	0.14991834149918343	0.8241452308969117	0.1
EGR4	51	67	2.5468628885731732	0.0032996700329967	chr1	211556065.0	211556179.0	antisense	0.17125287471252876	0.7663621295505173	0.1
HINFP	55	67	2.4426089929857686	0.0015998400159984002	chr1	211556065.0	211556179.0	sense	0.14991834149918343	0.8241452308969117	0.1
PAX5	52	71	2.371312458354021	0.014598540145985401	chr1	211556065.0	211556179.0	antisense	0.3788321167883212	0.42155320930794893	0.1
Hes2	55	68	2.2311388134706616	0.023797620237976203	chr1	211556065.0	211556179.0	antisense	0.5146235376462355	0.2885103540834988	0.1
EGR3	54	69	2.129682103075662	0.0018998100189981002	chr1	211556065.0	211556179.0	antisense	0.14991834149918343	0.8241452308969117	0.1
ZBTB33	50	65	2.0735240340615597	0.0064993500649935	chr1	211556065.0	211556179.0	sense	0.28369163083691634	0.5471534761003694	0.1
EGR2	54	65	2.063582494865653	0.0021997800219978004	chr1	211556065.0	211556179.0	antisense	0.14991834149918343	0.8241452308969117	0.1
Mitf	55	65	2.048340395080893	0.0136986301369863	chr1	211556065.0	211556179.0	antisense	0.3741888968997837	0.426909103224827	0.1
EGR1	54	68	2.0082039064963446	0.017598240175982403	chr1	211556065.0	211556179.0	antisense	0.4349279357778508	0.36158269634817425	0.1
Arntl	55	65	1.8795700969247193	0.0022997700229977	chr1	211556065.0	211556179.0	antisense	0.14991834149918343	0.8241452308969117	0.1
SP2	55	70	1.8545291490509292	0.043195680431956804	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
E2F4	58	69	1.7664770243207029	0.013398660133986601	chr1	211556065.0	211556179.0	antisense	0.3741888968997837	0.426909103224827	0.1
ZBTB7C	53	65	1.7568727737537237	0.06569343065693431	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
ARNT::HIF1A	55	63	1.6932695734123577	0.0024997500249975004	chr1	211556065.0	211556179.0	sense	0.14991834149918343	0.8241452308969117	0.1
TBX19	51	71	1.627040139693665	0.027197280271972803	chr1	211556065.0	211556179.0	sense	0.5428995561982264	0.265280513365024	0.1
HEY1	54	64	1.6075349598903508	0.0081991800819918	chr1	211556065.0	211556179.0	antisense	0.28369163083691634	0.5471534761003694	0.1
GLI2	53	65	1.5850423345718752	0.0231976802319768	chr1	211556065.0	211556179.0	antisense	0.5146235376462355	0.2885103540834988	0.1
GCM1	52	63	1.5763656058197242	0.0112988701129887	chr1	211556065.0	211556179.0	sense	0.36650709929007097	0.4359176086009099	0.1
HEY2	54	64	1.5569050676879552	0.012898710128987101	chr1	211556065.0	211556179.0	sense	0.3741888968997837	0.426909103224827	0.1
Zfx	57	71	1.526241474212406	0.06729327067293271	chr1	211556065.0	211556179.0	sense	0.647724116477241	0.18860993271605359	0.1
THAP1	56	65	1.5246127753128658	0.14338566143385661	chr1	211556065.0	211556179.0	antisense	0.9315118488151186	0.030811616514066803	0.1
E2F1	51	63	1.518572165583623	0.0188981101889811	chr1	211556065.0	211556179.0	antisense	0.445823599458236	0.3508369460773669	0.1
MAX::MYC	54	65	1.5173770941018017	0.006799320067993201	chr1	211556065.0	211556179.0	antisense	0.28369163083691634	0.5471534761003694	0.1
ZBTB7A	54	66	1.5133522041358134	0.053394660533946606	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
ETV5	56	66	1.509571949108586	0.046295370462953706	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
TFE3	60	70	1.4636849910784875	0.0377962203779622	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
Ahr::Arnt	56	62	1.4214608716018835	0.007999200079992	chr1	211556065.0	211556179.0	sense	0.28369163083691634	0.5471534761003694	0.1
SP3	53	64	1.419155207125375	0.12498750124987501	chr1	211556065.0	211556179.0	antisense	0.8752924707529246	0.057846807308268196	0.1
ETV6	56	66	1.4007792949298326	0.029797020297970205	chr1	211556065.0	211556179.0	antisense	0.5727649457276495	0.2420235695111369	0.1
CTCF	53	72	1.3639345051336724	0.07779222077792221	chr1	211556065.0	211556179.0	antisense	0.678092190780922	0.16871125712760995	0.1
TFAP2A(var.2)	58	70	1.3337577146761057	0.14358564143585642	chr1	211556065.0	211556179.0	antisense	0.9315118488151186	0.030811616514066803	0.1
GCM2	52	62	1.3249182485157345	0.05959404059594041	chr1	211556065.0	211556179.0	sense	0.647724116477241	0.18860993271605359	0.1
Klf1	54	65	1.3229506833731288	0.06529347065293471	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
E2F6	58	69	1.2692846311910453	0.07729227077292271	chr1	211556065.0	211556179.0	antisense	0.678092190780922	0.16871125712760995	0.1
NFIX	51	60	1.233947215072743	0.11528847115288471	chr1	211556065.0	211556179.0	antisense	0.8677965536779656	0.0615820789378675	0.1
ZNF263	51	72	1.2215934987063586	0.24487551244875513	chr1	211556065.0	211556179.0	sense	1.0	-0.0	0.1
KLF14	55	69	1.2204514098930066	0.07839216078392161	chr1	211556065.0	211556179.0	antisense	0.678092190780922	0.16871125712760995	0.1
NHLH1	56	66	1.1651464353759724	0.044495550444955505	chr1	211556065.0	211556179.0	sense	0.647724116477241	0.18860993271605359	0.1
TFEC	54	64	1.147568031134733	0.0644935506449355	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
ELF5	56	67	1.1444875638782073	0.1493850614938506	chr1	211556065.0	211556179.0	antisense	0.9341065893410658	0.029603564325098777	0.1
MNT	60	70	1.1429090178184083	0.054394560543945605	chr1	211556065.0	211556179.0	antisense	0.647724116477241	0.18860993271605359	0.1
Pax2	59	67	1.1395140688732106	0.22097790220977903	chr1	211556065.0	211556179.0	sense	0.9719282309057231	0.01236580304941945	0.1
ZBTB7B	53	65	1.1305925665319747	0.1264873512648735	chr1	211556065.0	211556179.0	antisense	0.8752924707529246	0.057846807308268196	0.1
Gabpa	54	65	1.128042931949024	0.08339166083391661	chr1	211556065.0	211556179.0	antisense	0.7095126552918478	0.14903985380143317	0.1
SP8	58	70	1.1233143632329323	0.19938006199380062	chr1	211556065.0	211556179.0	sense	0.9719282309057231	0.01236580304941945	0.1
ELK4	55	66	1.1223372808367513	0.0851914808519148	chr1	211556065.0	211556179.0	sense	0.7131351380990932	0.14682816415995864	0.1
EOMES	57	70	1.1218200019734184	0.19558044195580443	chr1	211556065.0	211556179.0	antisense	0.9719282309057231	0.01236580304941945	0.1
