motif	start	end
NHLH1	8	17
YY1	10	21
MAFF	11	28
NRL	12	22
Mafb	12	23
MAFG	13	33
MAF::NFE2	13	27
Mafb	13	24
NRL	13	23
JUN(var.2)	14	27
JUND(var.2)	14	28
XBP1	15	28
Gmeb1	15	31
BATF::JUN	16	26
Gmeb1	16	32
CREB3L1	16	29
CREB3	16	29
Pax2	16	23
BATF3	16	29
ATF7	16	29
JUN	16	28
Bach1::Mafk	16	30
Creb5	17	28
JUNB	17	27
CREB3	17	30
ATF7	17	30
FOSL2	17	27
JDP2(var.2)	17	28
Nfe2l2	17	31
BATF3	17	30
Crem	17	26
ZBTB7B	28	39
GLI2	28	39
ZBTB7C	28	39
ZNF263	29	49
ZIC3	31	45
ZIC4	31	45
ZNF263	32	52
ZIC3	32	46
PLAG1	33	46
ZNF263	33	53
NR2C2	35	49
PLAG1	35	48
PLAG1	36	49
E2F4	37	47
THAP1	41	49
Rarb(var.2)	42	58
RARA::RXRA	42	58
RARA(var.2)	42	58
RREB1	46	65
TBP	49	63
HOXD13	49	58
HOXA13	49	58
HOXB13	49	58
